,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
15,-0.48873043,1.771266,-2.0362594,-1.7963276,0.021334048,-0.07178384,-0.84743774,-0.5662486,-2.0499825,-1.5274994,0.5163124,-1.9448612,0.51103115,-0.85392535,-2.0603752,-2.0657547,-1.8414211,1.346505,-2.9648912,2.0801594,-2.3530018,0.6961938,0.25029716,0.50995946,-0.76553,-1.6323779,-0.029469118,0.43217206,1.7552099,1.2552592,1.4106836,3.6356955,-3.0974813,1.6004622,1.8625185,-2.508155,-3.8769948,0.2981227,-0.5668919,2.1559887,0.56937855,-0.81227887,0.7725163,1.2390697,0.35227442,0.5756136,-0.45276168,-1.1509542,0.8088858,1.4866899,-1.242206,1.9980551,-0.34847602,-0.30703005,0.14572059,0.20640321,-4.30236,-0.30027586,-1.7380534,-2.8196013,-1.4050499,1.236401,-0.9241998,1.1532223
103,-0.9018826,1.6692731,-1.4868615,-0.8942105,0.33930355,-0.4138857,-0.32271093,-0.81166244,-2.5885842,-0.40240535,1.0417708,-0.05992166,0.52799034,-0.2647919,-2.1526043,-2.4339,-2.0783556,0.81194687,-1.5718331,2.2107859,-2.2600987,0.6174883,2.0283139,2.0601044,-0.95135146,0.5194395,1.1639575,0.49487114,2.002508,0.2968747,0.6313969,4.567701,-3.0060918,0.85956883,1.2765179,-0.5668279,-4.8137813,0.6761886,-0.2713135,1.6280452,0.16442454,-1.2084303,-0.41529542,1.0130438,0.28246522,1.8630126,-0.37057856,-1.6037791,0.4470913,0.42635605,-1.5681388,0.30610275,0.06438984,0.98169994,-0.58638203,0.5359153,-3.2020645,-1.0823294,-0.5266274,-3.879502,-1.0366571,-0.08200498,-0.932519,1.3101457
106,-1.2249554,2.7698054,-1.621269,1.8607919,-0.09544656,-0.44069976,1.6237606,-1.5422171,-1.7473179,-0.87021136,0.8676765,2.458541,1.6254911,-1.4760107,-3.8033178,-2.9529016,-2.9999104,1.0428325,0.089918405,2.585744,-3.3831267,0.6337859,1.2533126,0.52763927,-0.9319052,1.7249035,3.256103,0.059772596,1.6860701,1.7018355,1.9488181,4.0153937,-3.7171497,0.046335846,1.4952024,0.23247743,-4.447334,2.2707727,1.4409984,0.07839452,-1.0840054,-0.7634035,-0.81285316,0.4514845,-1.5401679,1.9102446,-0.76286113,-0.8221555,1.1602834,-0.22992255,-1.9500623,1.4050001,0.7115588,1.813896,-2.3867984,0.8064563,-1.7284936,-1.4496812,0.20760848,-1.9688933,-1.4626613,-0.035949245,0.014418382,-1.0337338
116,0.34235543,2.8428667,-2.2397366,-2.2105696,0.8255071,0.94764346,0.29846957,-0.30585712,-2.5837348,1.1654779,1.5498589,2.4583526,0.92213964,0.57779765,-2.571987,-2.4310324,-4.081785,0.41178736,-1.8094242,2.9415002,-2.3629446,-1.0894529,1.7666146,1.4447031,-1.366015,0.915698,1.0837861,1.8516608,1.0801362,0.08539054,-0.2577322,5.3021736,-1.8614659,0.0070486814,1.9894779,-0.03363148,-3.8040783,1.3736423,-2.4713871,-1.3328072,-0.29575613,-0.48778495,-0.81660885,0.62294227,-0.9118651,0.8051113,-2.820387,-2.3289235,1.2116511,0.51302946,-2.665608,0.5534523,0.8339788,1.460827,-1.3726252,-0.7644768,-1.2087835,-1.1132323,1.0456817,-4.405162,-2.0057495,-0.70067096,-1.3587494,1.2612357
173,0.53716695,1.953635,-1.1907754,-0.75070673,0.45969424,-0.015489548,0.085096076,-1.3779252,-2.5396686,-0.267283,-1.1894276,0.4556561,0.07261217,0.61411893,-2.800118,-2.0565536,-1.7593502,0.58518,-1.0024012,2.2436574,-3.0391786,0.6365829,-0.033806473,0.20272368,-1.8287079,-0.5746031,1.2073992,0.651436,1.8193285,0.22903626,1.7741098,2.6386268,-0.8812149,0.3782342,2.0652099,-1.8620918,-2.1069863,-0.034357585,0.72979534,1.7565942,0.14511465,1.020023,1.6820902,2.5873265,-1.0070819,0.08670156,-1.582888,-0.19407985,0.4740785,0.89201653,-0.9032223,1.3618284,0.47825283,1.7675763,-0.8795212,1.7522012,-3.3885734,-1.3696293,0.11124414,-0.51896304,-0.9930713,0.9402068,-1.1507311,1.0140256
185,1.3388877,3.0223358,-1.1787598,-0.09160962,0.48929366,-0.24868819,0.32044283,-1.873076,-2.5076222,-0.7337452,0.29228818,2.4613593,0.47617194,1.0705965,-2.5659823,-1.7515663,-2.3313947,2.5368595,-0.281775,1.252767,-1.6257703,0.11179528,-1.7403785,-0.32588592,-0.051367454,-0.60562634,2.5204957,0.6885986,2.5917473,-0.26544833,0.89725894,2.4308102,-0.21910629,-0.2848509,1.6198026,-0.590085,-0.73304784,0.6742538,0.898161,0.115173206,-0.059153482,1.1072423,2.2273142,1.7159585,-1.6071485,1.2674564,-1.917033,-1.5228631,1.4488268,1.5037638,-0.7908871,0.35329098,0.6795803,1.9911027,-0.74287224,0.7845918,-2.324767,-1.1746058,2.2632015,-0.33266753,-0.7796531,1.3299198,-0.23498291,0.56392306
209,1.2886994,0.7911696,-1.7487113,-0.91694856,2.8597727,-0.7802391,-0.96864915,-2.3885243,-0.41874906,-1.6997323,0.8250825,-2.2627282,0.13634194,-1.1990526,-1.8972408,-4.20571,-2.5037563,1.0836027,-2.8479512,5.1714673,-2.1157694,-0.06329566,0.7458377,-0.09442671,0.63183826,0.30426908,0.5324714,1.3303137,-0.32408074,-0.7114613,2.839427,3.715058,-2.4969273,1.6816523,0.8914685,-1.4507631,-2.765348,2.0152988,-0.61406237,-0.44504488,1.0805724,0.923818,0.89784473,1.0804055,-0.008502206,0.2432939,0.107365966,0.5115178,0.27683437,2.024422,-1.4655149,1.7866268,0.84819555,-0.70188147,-0.26218575,-0.96741486,-3.8813787,-0.65873736,-1.9680449,-3.6427143,0.6869617,1.4404655,-2.11632,1.8632952
240,-0.49799496,3.0064976,-2.2568002,0.8100594,-1.0399399,0.34089482,1.0190663,-1.2326006,-1.5333655,-2.0450783,0.8534195,0.22873679,0.8972676,-2.1008613,-2.4484732,-3.323871,-2.1216486,2.895934,-2.1773927,1.7404634,-1.5377473,-0.24257553,1.4323447,0.7285204,0.6419454,-0.75664496,1.621111,-0.61792475,0.56347924,0.8630981,-0.3661361,4.708228,-2.9537597,1.729662,2.1552303,-0.45725167,-4.946759,3.010297,0.37339535,0.039913934,-1.6127975,-1.632814,-0.10181228,1.0115074,-1.0073583,1.5070277,-1.467049,-1.5295467,1.9444807,0.84948397,-1.7112237,2.1767826,-0.20951816,-0.08190189,-1.3910346,-0.22939485,-3.1450737,-0.43690342,0.44203728,-3.0556438,-1.4233658,0.6276785,-1.2894347,-0.6552932
257,0.26891097,2.6461751,-2.308909,-0.6350553,-0.5575091,-0.46016085,0.7176345,-1.3763283,-1.9741948,-0.8551401,1.2092874,2.012613,0.25366935,-0.027989194,-2.4382539,-3.1941178,-2.1806548,0.63372755,-1.5739177,2.4096317,-2.3730433,0.3843395,0.6713959,1.3624076,0.99317175,-0.35584155,1.7192358,0.981004,2.0578713,0.6957848,0.73141426,3.7522824,-0.8427186,0.41667968,2.980343,-0.23038769,-2.0403793,1.6444975,0.64051586,0.010306481,-0.50623095,-0.08250375,0.8958767,1.0689651,-1.870231,2.0982628,-2.3845785,-2.4016118,1.136441,0.27163997,-1.2302197,0.5289952,2.0551932,1.7684522,0.2246693,0.30493194,-2.5566542,-1.9562541,2.2701898,-1.5883342,-0.8250103,1.0015426,-0.7676276,0.56618845
279,-0.026368462,4.0400157,-2.1971297,-0.061277594,-1.5086776,-0.4712727,0.7386261,-1.8865012,-2.2602992,-0.5766141,1.2360553,3.1029353,-0.018119872,-0.71050894,-2.489094,-2.6638083,-1.3804045,0.74699885,-0.42480612,1.0202454,-1.9784017,-0.37388632,-0.190045,0.5320102,-0.10324448,-0.11055807,2.3015325,-0.4091555,1.0420021,-0.06696637,-0.21806166,3.6275852,-0.66117543,0.35975063,1.8946271,-0.8884046,-2.0735202,0.89336157,0.63455373,-0.34234476,-0.8227832,-1.1168517,1.004513,0.5664322,-2.1733742,1.3211071,-2.896427,-2.8020685,1.6286204,0.20558038,-1.2223294,0.57481813,0.71723694,1.3773363,-0.72899693,1.2289461,-2.2630131,-1.5712876,3.1725824,-1.7254333,-1.665917,0.38399464,-0.1089178,0.21741891
285,-1.1086463,2.615935,-2.4988196,-0.18818666,-2.7674885,0.9116153,-0.52281094,-1.8293419,-2.820523,-0.8687674,-0.037555225,-0.17451,0.094752125,-2.402745,-1.8227988,-2.0464458,-0.06022965,1.9392271,-1.5078294,1.8567936,-3.6305518,0.15665235,0.50792634,0.70145416,-1.8419414,-1.7565167,1.8393501,-0.31821412,3.383729,1.9882157,-0.8930433,3.4016833,-3.8501563,1.3480464,0.8575863,-0.7583654,-5.2400393,0.92261,1.8584095,1.4358361,-0.06273684,-1.4818937,1.7726136,1.9641647,0.4489204,2.270645,-1.3414035,-2.5448124,2.1451917,-0.5134989,-2.1619797,1.5956419,1.1810381,2.740259,0.93696225,0.90141517,-4.322885,-1.0099761,0.66656667,-0.7775988,-2.5343542,1.0292712,0.7605584,-0.71161115
348,-1.0535214,2.5420196,-1.7036772,-0.225764,-1.0209377,0.32932794,-0.6952465,-0.5136593,-1.4589492,-1.595834,-0.28076154,-1.5672026,0.5439904,-1.7864978,-1.8873385,-1.6950154,-0.9352479,2.394039,-2.6567667,2.4711285,-2.758565,0.2091693,-0.3689896,0.47224322,-1.4895005,-1.3722472,1.4910399,1.0318342,2.249663,1.347943,1.7411811,2.021321,-3.8775685,1.6016898,-0.027142892,-1.3061991,-3.7425575,1.6151668,0.35038,2.0061812,0.39145005,-0.9796803,0.5074418,1.1192696,-0.18628943,1.969395,-1.2718173,-2.1564875,0.5928917,0.30107632,-1.511491,0.72874576,0.43482262,2.4117446,0.35947675,-0.2580869,-4.1446376,-0.021738619,-1.0092723,-3.0080996,-1.3201624,0.24478945,-0.657223,1.685744
359,1.0741888,1.817757,-2.85678,-2.135184,1.7815037,-1.3967015,1.3629454,-0.47569603,-1.057499,-1.5556059,0.19014172,0.81150097,1.371946,0.29014534,-2.557612,-1.4361295,-4.557115,1.7402546,-3.9706843,3.6995046,-2.4784372,0.4436441,2.4436886,0.9678258,-0.95085126,-0.53173745,-0.4315512,3.4644203,0.51395833,-1.2044392,2.9046416,3.496387,-2.8792305,1.6735241,1.3099592,-1.3635861,-1.0863881,1.1220809,-1.7145733,1.2754797,0.65176404,2.3261933,0.015748017,2.4822245,0.76026857,-0.9015975,-1.1933782,-1.0516241,0.20245597,0.3363861,-2.445521,2.3691072,0.8203083,0.608641,-0.42092967,-1.4128655,-1.417071,-1.7733575,-1.5243044,-3.2650588,-1.6747428,0.3088151,-2.5420127,2.484564
390,0.49673772,1.811256,-2.462123,-1.9715362,0.87900186,0.123407185,-0.92481863,-0.5054782,-1.2082667,-0.45786357,0.45909286,-1.9750767,0.6578926,-0.38636008,-1.9794093,-2.2777414,-2.2047832,1.182334,-3.5909116,3.8472729,-2.5372028,-0.28011802,0.5078655,0.90728164,-1.2157159,-1.2743405,0.38715118,2.0036695,0.44075018,0.24001183,1.5206182,3.698312,-2.903395,1.6380035,1.2711657,-2.2273743,-3.5098455,0.91070116,-1.5912431,0.66328174,1.0178611,-0.108162105,0.12865952,0.9917108,0.7602372,0.4736147,-1.8037902,-1.5844834,0.9246638,1.463485,-2.152489,1.2575074,0.414089,0.75146484,-0.403453,-0.6879709,-2.521152,-0.545419,-1.5432881,-4.4961224,-1.6449406,0.44193155,-1.6562521,2.5221004
436,-0.31351,2.6014576,-2.8540592,-1.0500045,-0.531035,-0.8919429,-1.5458097,-1.2879748,-3.231629,-0.35422587,-1.1108116,-0.8636159,0.50533247,-0.74511325,-1.9202385,-1.3857319,-1.7472794,1.5039467,-2.4113152,2.454309,-2.6243083,0.14052258,0.95500696,0.4024597,-1.9094951,-0.79639834,0.8552648,0.36542523,1.8089272,0.28739667,0.5667891,3.838355,-2.3763924,0.84074384,1.5358384,-3.121809,-3.0708847,-0.8064632,-0.38253486,1.6332113,-0.43487722,-0.5017908,0.09594514,1.3075501,-0.03481958,-0.25211015,-1.8501713,-1.3089323,0.87109077,0.07828929,-0.3254401,1.0333031,-0.35975733,-0.17283082,-0.59221977,1.11487,-3.633326,-0.32956666,-0.64972144,-2.4824162,-2.745807,-0.62745094,-1.2300631,1.2387117
446,-1.3341103,3.889632,-2.2111564,-0.1734362,-1.3518256,1.9863955,-1.5753268,-0.6917363,-1.2061146,-2.6745214,0.06042682,-1.0407511,0.37762535,-1.8094393,-1.0871453,-2.7698123,-0.8067198,3.5531917,-2.2031496,1.477148,-2.1995,-0.11415755,-1.0676701,0.10013665,0.18139958,-2.0467255,1.634446,-0.23259708,2.2740932,1.4040246,1.0834622,3.4332187,-3.295836,2.2786596,0.4178062,-0.25777248,-4.6187725,1.8452525,0.15600097,0.2149992,-0.29839537,-1.3615147,1.5947615,0.72532046,-1.7393055,2.9807782,-1.1946812,-3.290959,2.0886383,0.59282327,-1.6946025,1.3198209,-0.019186169,1.570923,0.2615437,-1.0580302,-5.2776403,0.103213385,-0.08335133,-2.748122,-1.2106076,0.6575684,-0.6201603,-0.27037913
468,-1.6294203,3.5557866,-2.5139563,0.19834015,-0.815228,-0.17397946,-0.638079,-2.5254683,-1.2536798,-1.3638836,-0.60418236,-0.06130884,1.0630239,-0.84986174,-1.7714086,-2.7785757,0.3511901,2.034448,-1.433685,2.2750096,-3.0480378,0.6997241,1.449942,1.1149471,-1.2167621,-1.4744017,1.1804646,1.2092596,2.0411603,-0.1541799,1.4784024,2.6547384,-1.9638941,1.6485186,-0.7556385,-1.1458386,-1.7881899,0.55362433,2.5003195,2.1346743,0.2257345,-0.09442414,2.3444085,1.9700441,-0.86272025,1.8851322,-1.3913165,-3.4487288,0.70816183,0.37141392,-1.6726868,1.4352701,1.5548666,1.9548384,1.1751548,0.47904783,-3.7138932,-1.4914792,0.20958759,-2.6384552,-1.0159563,0.30734932,0.25607783,1.8983711
476,-0.2830329,2.902942,-1.1887066,-0.7999478,-0.01576478,1.1244866,0.1526163,-2.2670944,-1.1008916,-1.431863,-0.13943194,0.20643806,-0.40537962,-0.12033945,-1.5783201,-2.9557905,-0.38636664,-0.3496721,-0.97011584,1.5930537,-2.4540367,0.6071669,-1.0372443,0.35863346,-0.0785583,-0.7960107,1.0437399,0.42150235,1.2049854,-0.09559192,0.57113796,3.1727622,-0.27794355,0.29319662,1.6789601,-0.7489496,-2.4757433,0.586961,0.5727875,0.14043163,0.25830454,-0.5818976,2.3148525,0.8527138,-2.6681147,2.6553698,-2.0113454,-2.5977128,1.1494646,1.1880542,-1.969624,0.59733546,0.9862227,2.10461,-0.3729971,0.8387099,-3.0483925,-0.99540883,0.84865606,-1.2406167,-0.8619071,2.1145265,-0.38513023,2.2553518
497,0.4995641,2.4266586,-2.592294,-1.4727033,-0.27824733,0.0046209916,-0.41718906,-1.2257792,-2.7116911,-0.33930022,1.4807454,0.50227034,0.45788902,-0.27037773,-1.7095705,-2.8759687,-1.539471,-0.060072903,-0.93708473,2.388074,-1.9276506,-0.09920094,0.3728147,1.0818,0.6127343,-0.26991877,1.2458897,0.08866757,1.6152452,0.8314541,-0.16897789,4.2719064,-0.99218875,0.6658858,3.2318394,-2.2314649,-2.5792506,0.4055733,-0.016275536,0.2590212,-0.5358001,-0.9466765,0.9079619,1.1057976,-1.9276346,1.1996577,-2.6627808,-1.7471104,1.1386815,0.5590647,-0.30328494,0.70630455,1.0817325,-0.30489814,-0.6260267,1.2258682,-3.1868353,-1.1525457,1.2962646,-1.4282471,-1.2914568,0.8628836,-0.4030708,0.41509342
508,1.6259704,1.5401134,-1.3770785,0.15307775,2.6176305,-1.9112053,0.038210828,-1.342035,-0.5777967,-1.7098193,0.53889537,-1.0414959,1.304112,-1.0017818,-3.1301847,-2.8661258,-3.8678772,1.6559494,-1.6565233,3.8009627,-2.185983,0.31167108,0.5376785,-0.092187144,0.22841579,1.8039517,1.6833751,0.8199218,-0.3913187,-0.6162347,2.8895328,4.5163493,-2.6834502,0.22836821,1.3272094,-1.485964,-2.2830248,0.72366655,0.3360624,-0.12071745,0.01306437,-0.19961402,-0.13240121,0.9930297,0.028270058,0.44448024,1.0364994,0.3008111,0.8947314,1.7377365,-0.66114503,1.8809787,0.14555229,-1.6748394,-1.3313184,-0.08912613,-2.7496002,-1.352215,-2.57636,-3.2092037,-0.5445884,0.09390645,-2.2174447,1.1803912
