,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
64,-0.011501469,-0.22340943,-1.4416542,-0.46720287,-0.36033854,2.8435864,-1.9583342,-0.021089718,-1.621176,1.476623,2.507695,-1.6344955,2.40532,1.002428,-1.2242,-0.18258311,-0.32913896,-0.046212457,0.29663035,1.7212873,-3.407174,0.18125665,0.2496589,1.2500973,-1.2106338,-0.13798808,1.3896849,1.1268069,0.8752045,3.5234153,-3.2603538,1.0796084,-2.3278825,-2.0470483,1.9266185,-2.9012938,-3.2952056,0.64699286,1.3826025,0.44882154,0.081146,-3.108035,-0.712045,-0.09028854,1.5504247,2.655509,-1.7089278,-2.329105,1.3832513,0.3720726,-0.610708,1.0433779,2.1716597,0.10736734,0.92740405,-1.258497,-3.5999596,0.95755756,-0.36571902,1.8737227,-2.051242,0.25305587,4.7564764,-0.36470336
67,1.7897283,0.30769435,-3.2276385,-0.036344476,2.0156705,-1.7257193,-0.55428207,-0.18490286,-2.5799618,-1.1369642,1.7987134,1.2345432,1.3521606,0.84341204,-1.9645151,1.1216015,-4.7093253,3.4747486,-1.5893883,3.7187793,-2.2978206,0.058213376,-0.6160128,-0.36409098,-1.1619623,2.837976,1.6924839,2.292057,-1.385474,-1.1109648,1.0510032,0.21180038,-5.155553,-1.2766901,1.2859997,-4.16125,0.33819497,0.8523103,-0.9722535,0.7133034,0.7000492,-1.2354937,-1.9868063,0.6630948,1.3051672,-2.4350047,-0.41074115,0.6710694,-0.31516948,-0.023656987,0.85304725,-0.07327117,-0.5694575,-1.7652318,0.08864359,0.35900062,-2.7624128,0.8810801,-2.860155,-0.47183818,-2.0350478,-1.0984976,3.7943063,2.2642767
98,0.15920043,1.2518508,-4.4215007,0.13326597,1.2088723,-1.0342652,-0.7350607,0.31361705,-3.1561763,-2.8857632,1.7942282,0.045553364,1.625407,0.14240158,-1.780241,0.2625274,-3.167875,3.0829425,-1.029133,1.8624879,-2.4519107,0.8561833,-0.09169094,0.36972734,0.84570795,0.45283818,1.3177199,0.8245936,0.92991406,1.5249693,1.3874917,1.3360342,-4.3513184,0.56421584,2.138776,-3.8178039,-0.7745471,0.38399893,-0.048002865,1.3734814,-0.18593556,-1.2024438,0.17971015,1.2810115,0.25772518,-0.2959631,-0.66088086,-0.9432819,0.83606696,-0.14318816,1.3546973,1.3829523,-1.2308283,-1.8601668,0.40847635,0.2095084,-3.9719374,1.1363208,-2.950265,0.5421812,-2.3946135,0.86871535,2.625541,0.005085163
123,-1.9568826,1.530534,-1.6328318,2.274432,-2.5832047,2.2520084,-1.4061022,-0.81241846,-1.8450202,0.13258085,0.16468847,-1.5011216,1.9506536,-1.6428752,-2.5308769,-1.5725062,-0.19282603,1.9436779,-0.8263655,2.0979233,-4.5644913,0.9951409,-0.009151168,0.17543185,-1.3531463,-0.2133455,2.722852,0.43613327,3.02436,4.1131,0.059363097,1.0399928,-4.835769,-0.8512376,1.5668129,-0.89749366,-4.6747193,2.6623201,3.201081,0.5388181,-0.75004697,-2.8777027,0.46519154,0.59415066,0.52453744,3.3333232,-1.4163975,-2.117087,1.7539145,-0.33889169,-0.73255956,1.536556,1.3638896,2.3258555,1.0346859,0.10288267,-4.571274,1.1416503,-0.28999776,1.3895597,-1.8596492,0.9772713,3.2462034,-2.7617772
127,0.502736,0.25691053,-2.8219645,-0.869379,0.47918674,0.53840363,-0.6484427,1.1492372,-2.7963417,1.652612,2.4128246,0.47209913,1.6209897,2.148445,-1.8000436,0.18370208,-3.0634844,0.79088223,-0.9848661,2.5048137,-2.9680693,-0.30119893,1.9037323,1.6528217,-1.1268983,1.4810905,1.2094642,1.5518146,-0.20544356,1.9813777,-2.0414176,2.3241327,-3.4037828,-1.1352516,2.6621938,-3.6163423,-3.5229256,0.21402094,-1.1862855,0.5628103,-0.7809197,-2.7263649,-2.6930726,-0.5414146,1.9923592,0.43039575,-2.5224464,-1.8314708,1.3129038,0.27503252,-0.0745704,0.52986956,0.16041729,-0.8158048,-0.07048383,-0.2803793,-2.5649593,0.69712347,-0.982852,-1.6333871,-2.506668,-1.1224227,2.7776184,1.1857805
159,0.6372347,-0.5891849,-1.7400334,1.374976,-0.9882332,1.3134623,-0.5685303,0.07308453,-0.85394025,-0.5383808,3.276896,-0.62372905,1.4518707,0.665063,-1.0367719,-1.0937268,-0.8002045,1.221595,-0.6714257,2.0152771,-1.2870457,0.427243,-0.5281353,1.413774,2.0428522,0.6593365,1.6435068,1.1085533,-0.4758598,2.4563918,-2.3962314,0.51238793,-2.3549123,-1.2206095,3.5024881,-2.3924696,-1.6035094,3.9624846,1.1453711,-0.38456056,0.027517863,-3.1896799,-0.9784209,0.42382404,0.24287793,2.5277655,-2.1819196,-2.0343723,0.91282964,0.050104044,0.3243936,-0.10532391,2.1385155,0.3902375,1.2884403,-1.266403,-3.786495,1.5035166,1.1104268,2.3499317,-1.2326071,1.0391128,4.077692,-0.49780446
163,0.28574294,0.9749726,-1.0262861,1.3703761,1.3415408,-0.75891566,-0.7601328,-1.1128346,-0.5747447,-3.0343177,1.8716755,-1.8833115,0.10446959,-1.5118321,-1.8066984,-3.495268,-2.4000306,2.0822356,-1.7793723,3.7761712,-0.3741306,1.3288321,0.6358218,0.46195248,3.7275705,1.3117555,2.2139397,0.9633095,-0.2082129,0.50563115,2.45762,2.1506824,-3.8453026,0.9447223,2.2501535,-0.55008906,-3.2189727,3.9313962,0.48048306,-0.30468732,-0.06216386,-0.8887782,0.019458152,0.85178816,-0.52115655,2.6419315,0.4479692,0.63218474,-0.804206,1.0511247,0.038564466,0.263348,-0.050088413,-0.6334538,0.7204817,-0.44369853,-4.5487366,1.2364696,-2.4205003,-1.6177241,1.8136748,1.4026803,-0.69475937,0.27451468
208,-2.216834,1.6853838,-1.7550554,1.7784364,-1.854232,1.1275934,-0.2983502,-1.1413137,-0.4935501,-0.95249856,1.7930623,-0.015417799,2.553875,0.35072348,-2.0398765,-0.654124,0.5004115,0.61880124,-0.28416842,0.1853393,-2.8953745,1.2649729,0.37394658,0.39137867,0.86941683,0.43044126,1.7425143,1.4676161,0.73087394,2.5326438,-0.4130113,0.35383427,-1.3361928,-1.5695237,2.2505612,-1.2436346,-1.0716971,1.133146,2.7764657,0.520638,-0.91696435,-2.68332,0.016766973,-0.46138245,-0.4923281,3.893688,-1.2701682,-2.981377,0.18016589,-0.07551444,0.085860245,-0.028826728,0.94124347,0.94994015,0.6739687,-1.0891445,-2.681745,0.61795884,0.9324256,1.4439166,-0.90365756,-0.101046726,4.2810535,-0.8602853
220,-0.39555377,0.63502276,-1.5994673,2.2848022,0.5685177,-0.07443491,0.14241025,0.20791717,-0.8527297,-2.0788531,0.7520059,-0.614024,1.55698,-2.5704618,-2.032167,-1.9484726,-2.2718527,2.1824107,-1.3774832,4.092429,-0.50450015,1.1256387,2.1582568,1.7066268,0.8956769,0.98754996,2.6344306,1.537047,-1.1258954,1.2375103,0.77336395,1.7362776,-4.307266,0.8924165,0.65622807,-1.4767935,-2.8585489,5.7566266,1.1788274,0.79540867,-0.473283,-1.5838653,-1.6023911,1.829764,0.2501243,1.8300923,-1.7182964,-0.76578707,-0.117797405,-0.06751982,-0.43244183,0.29536417,0.51881963,-0.24504396,-0.3377992,-0.28058884,-2.682983,1.5501165,-2.7756996,-1.1781799,-0.2621889,0.42320085,0.00086261076,1.1325741
249,1.7136931,-0.08497216,-4.065318,1.5157801,2.102332,-1.7292626,-0.29079038,-0.4555343,-2.3218262,-1.401788,2.4301548,0.46157658,1.2845623,0.039834827,-1.8027762,-1.6971793,-3.8521936,2.8157072,-0.5224001,4.126805,-2.026794,0.6025193,0.48050117,1.1128584,1.3505952,2.201356,2.924975,1.1973933,-0.38658777,0.99900866,1.5290841,1.6480392,-4.712162,-0.50979924,2.1704257,-3.1866372,-1.104648,1.9629327,-0.23429576,0.35020187,-0.6581443,-0.8404111,-0.61516005,0.55759895,0.48536655,-0.5579186,-0.6138427,-0.12859389,0.906775,0.18105829,1.0669059,0.66788435,0.50299287,-2.1317139,-0.014055621,0.83539796,-2.80762,0.5520186,-2.9073675,-0.03674347,-0.80330986,0.64490104,2.7027051,0.91418195
