,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
61,0.5913539,0.22373725,1.2981517,0.9820867,-1.4524734,-1.0334244,-4.043549,1.5784223,2.7284846,-1.4684302,0.59089994,3.5670817,-1.3640224,1.1545516,0.31867653,3.0430806,-0.37346157,-3.9293253,-0.712468,2.4945514,-2.5326786,2.478568,0.62902415,2.5483458,1.5479519,-0.10211471,1.8739778,-1.6167089,0.3922979,4.140569,1.1961164,-3.112198,-0.64940965,0.30996138,-1.934875,0.8427748,-2.8514464,0.06896441,-0.85309064,1.5572891,-1.7415934,0.46823075,-1.6110448,1.2394103,3.6958892,5.7675905,3.9881518,-3.6409993,-3.4207702,1.5409776,4.463082,1.1125517,0.40411225,1.3012798,-3.2460456,-4.805802,-1.9529996,-0.16413952,-1.6387229,0.069261715,-2.0400324,-4.251001,-0.8796861,0.2841881
107,2.3952494,0.3285109,-0.83724856,1.0606984,-0.59620845,-1.8749523,-2.6786387,-1.0716567,1.7466801,-1.9896966,1.1341753,5.238594,-3.4041317,3.0219,1.7168629,1.2832652,-2.56503,-2.0045125,-0.013489008,3.006743,-2.3121157,0.5649571,1.0413455,0.027032971,1.2409983,1.1817129,1.9841172,-1.8072907,-4.1028123,0.00035646558,0.040248357,-2.8561203,-1.9893653,0.6332891,-0.94081247,-0.23560244,-1.1117234,-1.4374712,-2.4038463,-1.2291625,-3.4665363,1.1125573,-1.3808538,1.1984535,3.8782864,2.9679992,4.246233,-1.81099,-0.40857384,1.714845,3.7742229,1.7698967,-0.8869323,-0.10699849,-2.1952257,-2.0533948,-1.9624889,-1.0494095,-1.7390585,-0.6940079,-2.6497107,-3.8546531,-0.279727,1.7840174
155,1.5800596,0.79829466,-0.3607154,1.8845313,-0.071158305,-2.484185,-2.7349653,-0.5017612,2.7942798,-1.6128738,0.3145163,4.3764753,-3.3792865,1.4258949,1.1527594,1.9086103,-2.0490694,-2.864987,0.026959978,2.4608212,-1.7121024,1.7278389,1.331492,0.9745991,1.6859941,1.9393182,2.338234,-2.8433042,-3.809359,1.0767258,1.3032073,-2.0515952,-2.058158,1.3435057,-0.9818428,-1.1090965,-2.6179585,-1.4045502,-1.2434312,-0.1432954,-2.8597698,1.3082132,-1.7110597,1.0420858,3.8111138,3.2390647,3.6905491,-2.21079,-1.5523244,1.0032252,3.9446514,2.2681909,-0.9013436,-0.91121405,-3.658758,-2.4678032,-1.011771,-0.5068951,-1.837493,-0.58128184,-3.2130425,-4.8104362,-1.1158042,0.7741696
171,1.944656,0.31513157,0.2530949,0.28132844,0.039602567,-2.7502716,-3.7427762,-0.07654476,2.0816035,-1.8114508,0.027945291,3.566888,-3.5603933,2.2687588,1.3829491,1.7196119,-2.0368993,-2.64343,-1.5095996,2.8087063,-0.99295557,2.0251849,0.066616476,1.3758775,2.5202618,0.5574458,1.417567,-1.7145469,-2.7333205,1.1435462,2.0139108,-2.3160431,-0.07931178,1.2155316,-1.2969218,-0.5108508,-1.4398513,-0.7354666,-2.2121212,0.8600958,-2.2876546,2.137335,-1.6502312,1.502161,3.948366,3.5179467,3.4831395,-2.4783716,-2.9403546,1.6227094,4.6016264,1.073531,-0.54893494,-0.17209484,-2.8262398,-3.8061345,-2.2413356,-0.3910902,-1.4939024,-0.8536226,-2.066526,-4.790544,-2.5959876,1.9043231
182,3.5746665,0.4825652,-1.3851452,0.90584725,-1.0056843,-3.6206844,-3.2034857,-0.60757965,1.8755202,-1.8138852,-0.94859385,4.0303035,-4.022595,1.3067199,2.2061648,2.1137557,-3.774833,-0.7667963,-1.3867716,4.0635004,-1.77576,1.3510948,-0.19788644,-0.3512029,0.5560098,1.3499897,2.270839,-0.39601547,-3.4772363,0.42618012,1.9859504,-2.8249178,-2.2997904,-0.06734226,-1.02671,-0.6801102,-0.56291735,-1.2793356,-2.2414455,0.47523135,-2.1972828,1.7996364,-2.023515,1.7849474,3.7077627,1.5739174,4.6673417,-1.5966473,-1.2301615,0.08028381,3.492919,1.4595461,-0.71534,0.35210335,-2.430077,-2.0118914,-1.3331922,-1.7744912,-3.4387643,0.08485536,-2.7059164,-4.740055,-2.053002,2.7789898
216,0.72515196,0.8992883,0.8419159,1.3033607,-0.23743138,-2.708113,-2.9415653,-0.36786512,1.5015723,-0.9020426,0.5160819,5.005945,-3.1731555,2.6786613,0.55286276,0.89202344,-2.4323633,-2.5423472,-0.652959,2.6297283,-0.9792151,2.1058576,1.1169862,1.4891211,1.3526106,1.5972998,2.3780975,-0.6134969,-2.415121,0.96286654,2.1188905,-2.41093,-0.4735415,0.07411507,-1.4019248,0.13756907,-1.8630173,-0.17249559,-1.6391978,1.012249,-2.2363136,1.7124648,-2.088056,0.8598182,2.9534268,3.9441743,2.778276,-2.6037467,-3.0243635,0.75559735,3.3458827,-0.20993504,-0.5773504,1.3676572,-2.575241,-2.5478504,-1.514521,-0.5400823,-0.37792587,-1.4662118,-0.55236715,-4.6503253,-1.6558628,3.1359746
280,2.0927284,-0.084494606,-0.44536448,1.3484933,-0.6934088,-2.2340045,-2.6832418,-0.6191366,0.979614,-1.655347,1.2447706,4.81572,-2.799658,3.0253763,1.2501876,0.8653314,-2.2372143,-2.3340771,-0.04400949,3.2322197,-1.9240179,1.1022273,0.40923697,1.0127331,1.3987134,1.348869,1.9897326,-1.2407995,-3.1259549,0.3901934,0.417623,-2.5856419,-0.94486576,0.17265515,-0.87756956,-0.42624304,-0.3334903,0.07703262,-2.3238096,-0.46033058,-2.765521,1.16261,-1.5398005,0.72798723,2.9981825,2.9229865,3.5397117,-1.5313865,-1.3212454,1.767243,3.938633,0.22725803,0.15061542,0.51601344,-1.5902587,-2.035524,-2.0178504,-0.5924356,-1.1315298,-0.9924641,-2.063311,-3.4025502,-0.6022186,2.0903897
351,1.8539268,0.85850084,-0.868396,0.49625033,0.37276068,-1.9492683,-2.7107313,-0.7008928,1.7948236,-1.9685198,1.0753292,5.3425345,-3.2799454,3.5358179,1.1508836,1.9651338,-3.7905612,-2.349717,-0.5594967,2.1949253,-2.2560017,1.1449333,1.2455449,0.46789017,0.8281598,1.7713863,1.4261527,-2.1143298,-4.060204,0.24537747,1.2747896,-1.5348114,-1.9431846,0.6207688,-0.3116114,-0.649634,-2.1103737,-2.6992466,-3.0249958,-0.7429386,-3.3183296,1.6950195,-1.9425281,0.7942754,3.5734577,2.43938,3.6134968,-1.9560012,-0.8578305,1.1218863,3.8023896,2.226687,-1.9663849,-1.2218865,-3.8899975,-2.7183683,-1.0973259,-1.0281093,-2.0379586,-1.2152569,-3.3640547,-4.4816895,-1.0875497,1.5167781
447,2.6471872,0.1375203,-0.75990826,0.43042386,-0.20076396,-2.9882412,-2.931699,-0.76383966,0.71545506,-1.564214,1.0609686,5.1234145,-3.8586519,2.1861165,1.7703384,1.304718,-2.908056,-1.2354808,-1.127017,3.7553575,-0.4518593,1.193574,0.59410787,0.6554594,1.5309665,1.5465647,2.0419009,-1.4579557,-4.532938,-0.30138892,0.54928696,-1.997548,-1.7139359,0.65398157,-1.2041444,-1.5908501,-1.4886991,-0.3123132,-2.8836522,0.2783792,-2.8682852,1.330328,-2.0136254,1.2969544,3.850366,1.7253528,2.389112,-2.0979095,-1.49472,1.038098,3.537149,0.711735,-1.159562,-0.8256926,-2.4390688,-1.983366,-1.4585383,-0.36535186,-1.622494,-1.0138315,-1.7783927,-4.1360025,-0.94666064,3.2607746
494,1.4757938,1.2877998,0.43390834,1.0456854,-0.20006385,-2.8432333,-3.990076,-0.061686028,1.8297299,-1.0350301,-0.3951115,4.06429,-3.7628067,2.4549608,1.2310294,1.2904766,-3.3204198,-2.197383,-0.9239337,2.8116326,-1.0486199,2.5340796,0.54768175,1.3788993,2.100114,1.0382618,2.738365,-1.3784966,-2.7248595,0.9370512,2.0231345,-1.6197972,-0.3995372,0.6841483,-0.8833273,0.30230942,-1.9004996,-0.7118892,-1.174593,-0.06073483,-2.724286,1.6241227,-2.2454777,1.0639945,3.4105952,3.6994517,3.7074196,-2.647401,-2.2890956,0.80933946,4.2381816,0.46240705,-0.85686094,0.13895641,-2.845419,-2.7986197,-1.6962485,-0.70071703,-1.1629838,-0.8214891,-1.8728092,-5.0278063,-2.453672,2.2259676
