,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
35,3.3874478,-0.29813126,-1.2784514,-0.61089385,1.0368562,-1.324639,2.3147445,-1.2812572,1.5862614,0.47090068,1.113053,1.8954972,-0.288774,2.5773542,-3.480893,0.21990462,-1.6653672,-1.288518,-1.3613977,-1.0986158,-1.9278735,-3.2021937,-1.409697,-0.52588713,0.7615932,-2.2182553,2.4790022,2.5558062,1.6657006,0.6487981,-1.6210817,-3.1697059,0.16345456,1.1138912,1.1033558,-1.4134631,-1.493214,-2.1183903,-4.3748527,-0.44126388,1.2149587,-0.07904519,1.3723334,0.7050505,1.6221718,-1.4947425,0.03320699,-0.48846707,0.40308654,0.9412676,-2.5279267,2.825026,0.5629826,2.681094,-2.8901904,-0.33459577,-0.99206734,-1.0184823,2.080952,-0.8256241,1.1249521,0.186221,1.3698274,3.8373425
77,2.0201514,1.056717,-1.0432911,-0.1441353,0.9369358,-1.1912698,1.9320809,-2.6492958,0.71316683,0.5579679,0.96740454,2.516369,0.83703554,2.3093057,-4.2085767,-0.26217544,-1.7739996,-1.5113889,-1.0260305,-0.102450974,-2.5313396,-2.2805622,0.89421093,-0.3955097,-1.5601931,-0.58553624,2.2777925,2.6285563,-0.48076653,-1.3511989,-0.70544237,-0.65894526,-0.48581922,-0.20420747,1.0453861,-1.886396,-1.6961715,-3.0024877,-3.2941186,-0.44903585,0.10434295,0.16273408,0.7462436,0.6359809,1.2245272,-1.3401611,-1.0824028,-0.73448056,-0.14293182,0.49746308,-2.805355,2.6358056,-0.45002043,1.0672642,-3.8252265,0.76913446,0.060429566,-1.2249161,1.1549752,-1.7552084,0.32566172,-0.3197217,0.8613658,3.7701073
114,3.1242611,-2.5129638,-0.31949973,-0.79933965,0.43603575,-1.6984723,0.41848463,-0.92129457,-1.048885,2.5324688,1.2749543,-0.14480345,-1.2826074,1.9171723,-2.4573097,-0.7935388,-1.9600452,-2.517562,-0.4308499,0.13874832,-0.70140857,-0.69201255,-2.2299113,2.002907,-0.09515516,-3.4389515,3.6273942,1.796958,3.2012355,2.982498,-3.2788577,-0.13375272,1.0501677,-1.3829253,1.5555528,-1.6359595,-3.279379,-1.0155886,-2.0434122,1.5499953,1.6716924,-1.360741,-0.56803447,0.3578696,2.2244809,-0.2004295,-0.24744345,-1.10503,0.5303415,0.27982002,-1.6776254,0.5718828,1.4754548,2.7807932,-2.252658,1.3219137,-2.0397816,-1.438451,1.2075248,1.7404381,1.0169009,2.5008607,0.23028454,4.2443867
225,3.2955582,-0.8017387,-1.07201,0.36313862,1.3139236,-1.3784974,2.2780602,-3.1990428,1.8353462,0.39692762,0.48993194,2.0471864,-0.16858128,1.9937361,-3.8168757,-0.7401561,-1.3695513,-1.2100235,-1.033233,0.16993488,-2.6043296,-2.8280163,-0.12230791,-0.96440196,0.08241704,-1.5336816,2.9184391,2.4997354,1.0867785,-0.86682785,-1.8412293,-2.788235,0.05140315,0.75897396,0.95298404,-0.60885334,-0.9938376,-2.0029995,-3.3384721,-1.1678354,0.9867456,0.60286313,1.9172065,1.1962517,1.4549258,-1.5113447,-0.20497693,0.29812464,0.21652386,0.684184,-3.0207171,3.1981616,0.78737533,2.7834728,-3.1046,0.2010357,-0.6157788,-1.3616574,2.2033558,-0.16235796,0.9141688,0.53937846,1.3268348,3.3715475
234,3.7297997,-0.153164,-1.0068271,0.517735,0.096637174,-2.8033345,2.0765262,-2.525222,2.1412704,-0.29327014,-0.35237166,1.0659155,-0.508471,1.8861723,-3.9742491,-0.35941178,-1.6021509,-1.2090516,-1.4544103,-0.4933916,-1.6499982,-2.0960176,-0.8773577,-0.49491715,0.90226763,-2.2349026,2.5742786,2.0747747,1.3294731,-0.6573078,-1.1121509,-2.3303366,1.3970792,0.6012953,1.84457,-1.449011,-0.6198408,-2.3577278,-2.514928,0.36175957,0.5473328,0.73030627,1.6612959,0.8798034,0.15415029,-1.8297501,0.52938694,0.23439768,0.3404191,0.32908437,-1.7603233,3.4218473,0.8680099,1.2981433,-3.0771542,0.48442215,-1.6495247,-1.4614254,2.0654907,0.7548317,1.4579821,0.36382926,-0.35391438,2.424202
283,2.9809887,-0.6688036,-1.1367795,1.7507136,1.4682579,-1.3145014,3.0758102,-2.0939357,1.6952751,1.7444031,0.96416837,1.8890424,-0.97427106,1.8392054,-4.175878,-0.67981094,-1.8694965,-2.855029,0.022470698,-0.4139472,-1.339599,-2.5039396,-0.6834128,-0.104805574,1.4328973,-1.4083886,3.7359183,1.0369654,0.6631189,0.92734945,-1.9781892,-2.0883389,0.23335364,0.15086596,1.9972899,-1.5539613,-2.4288595,-1.2334548,-2.3555622,-1.9028475,0.30510473,-0.2285159,0.77729136,0.19442427,1.7220068,-0.8596243,-1.6473142,-0.51784134,1.6500902,0.27419293,-2.255999,3.071361,1.1686918,2.805145,-3.6425502,0.82996786,0.0939452,-0.4643997,3.2159536,0.6543706,0.12517242,1.2734494,0.8839175,2.3961377
287,2.726894,0.44054046,-0.86572546,-2.6650434,1.4343734,-0.821802,1.0113298,-0.6946244,0.28631005,1.0635108,0.022049967,3.5144827,0.1990459,1.6827632,-2.9419076,1.1578577,-3.260799,-0.9242078,-0.64666003,-1.3682,-1.7296325,-1.8383985,2.2102828,-0.36957628,-2.3545442,-0.7982118,2.2167337,2.8136582,0.68026346,-0.068201676,-0.90381,-1.1583612,-1.5807669,-0.3636313,2.2691038,-0.65838015,-4.421324,-4.245462,-4.785369,0.13207501,1.2647843,0.54215854,-1.2550792,0.6988582,1.4983141,-1.5316073,-0.47192785,1.4506534,-1.5410241,0.59389186,-3.3455362,2.578239,-0.47883233,0.14619231,-3.372502,1.5696509,-0.3421604,-2.2722392,-0.21423659,-2.7077088,1.5309803,-1.863336,0.14379086,4.3225293
313,3.6939998,-0.7403136,-1.9668276,0.16611937,2.0143678,-1.3168402,3.3944676,-3.1634793,2.1641326,0.36210132,0.81694144,2.369479,-0.721308,1.657297,-2.9928253,0.2765019,-0.6876426,-0.65807,-1.8102703,0.49732924,-1.9917092,-3.6668177,-1.4662222,-1.7964929,0.36328402,-2.4151955,2.931154,3.3297966,0.161009,-0.7526692,-1.204372,-5.3646827,-0.6180173,0.88355386,-0.21107925,-0.9954708,-0.2851303,-1.7045064,-4.093184,-1.809928,2.107173,0.7052841,2.0955453,0.48280618,2.984358,-1.9763356,-0.7074947,-0.68957263,0.9723921,1.2352868,-3.5357234,2.8386106,1.0696685,4.3817825,-2.3203423,-0.38188887,1.0676231,-0.9809984,2.1365366,-1.0308566,0.47560203,1.0084012,2.6554122,5.3786016
317,1.4568648,-0.8008813,-3.470324,0.86409456,2.2563455,0.23377876,3.0126195,-0.09004103,-0.49477455,-1.6622934,3.1135015,2.5848675,2.4228172,2.6071172,-2.7769973,1.1020657,-3.1192863,2.1669152,-0.37458307,0.21226127,-2.790327,-0.7758268,-1.4788384,-0.59135187,-0.048920814,1.0145361,2.0848126,2.5317464,-1.5775107,0.23984604,1.363847,-2.2723508,-4.047698,-0.36898065,1.9522256,-3.0901403,1.8509558,0.18431947,-1.937325,-0.3027495,0.4233975,-1.439668,0.23592928,0.3346054,1.0133649,-1.6949952,-0.81017005,-1.7279232,2.043798,0.6389399,-0.60106534,2.6394358,-0.6718257,0.9018377,-1.286964,-0.037884384,-0.3636786,0.037595525,-0.9044789,0.5532098,-1.9540346,0.79633874,5.6634865,1.679138
324,2.3690276,0.23892854,-3.1815028,0.35310456,1.1444603,-0.7715545,1.8279033,-2.7628682,0.012986749,-0.5406654,-0.115429804,3.4400063,1.1128126,1.1161842,-2.4195426,0.12182228,-1.2495985,-0.7747231,-0.08007996,0.90322053,-3.7091134,-1.973171,1.6229241,-1.6196759,-1.6418481,0.19805978,2.7143013,3.3724916,0.57371557,0.09113781,0.13663448,-2.6506135,-2.6559277,-0.89331734,1.4462119,-1.5707663,-0.92208314,-3.105192,-3.4679837,-0.12414794,0.20633414,0.9122651,1.6584384,1.5514659,0.53307915,-1.2023779,0.043822348,-0.5634635,0.66152406,-0.15309681,-2.4892044,3.4620953,-0.17195569,1.3847394,-2.8582876,1.6501982,0.2888083,-2.3139858,-1.3128873,0.34747416,-0.08023603,0.27768546,3.02605,3.6238036
