,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
26,3.8990524,0.48255262,-0.7191293,0.51591796,0.3838345,-1.5726132,2.1491435,-2.9694662,1.6349443,-0.611616,0.22883748,2.7185636,-0.3762538,0.6149858,-3.081424,-1.1652002,-0.58453876,-0.3390007,0.38896048,0.50898457,-2.6631095,-2.7657168,-2.6561153,-2.350579,-0.29307783,-0.5011497,2.8407357,2.11263,-0.17671907,-0.39018732,-0.12924266,-3.2439978,0.050364394,0.22540961,0.31150907,-0.780615,-0.80427384,-1.6666046,-1.6048058,-0.3019146,1.0077231,-0.04609871,2.4350207,1.6491679,0.2703039,-0.7507718,-0.14715753,-0.40572944,0.6752465,1.5575038,-2.2591317,2.2804685,0.26787132,2.1638484,-2.7688682,1.3748685,-1.8677138,-1.5767967,0.82103753,0.5177372,2.368193,1.0134614,0.9782782,3.6675835
41,0.67641014,1.5518692,-0.6843069,-0.9046188,2.1444814,-1.2106678,0.82744956,-1.4817994,-1.4920425,1.0924928,2.7835531,2.862921,0.5314852,1.8720237,-3.5804431,0.29850686,-2.5242677,-0.60733503,-0.20303892,0.31086764,-2.6489618,-1.2224945,-1.4831891,-0.82105494,-1.1695592,0.8479075,1.7951764,1.1901009,0.6713858,-0.56525594,-0.11782842,0.03874709,-1.3302974,-0.8793464,0.2323854,-2.1745837,-1.1995375,-1.6824344,-1.4934218,-0.6849933,1.153686,-1.1292181,-0.27119493,-0.58762276,1.9743764,-0.08601737,-1.8160663,-0.9828787,-0.074569166,1.5229951,-1.1792787,-0.03476838,-1.355978,1.2465439,-2.25698,0.5691468,-0.24251577,0.01727806,1.6303862,-2.2598662,-0.81829524,0.26517782,2.448797,3.6552846
263,2.5170858,0.3202256,0.2095592,0.09935487,-0.2168393,-0.9788855,1.6277229,-2.5629864,0.9906535,-0.7788315,1.0700802,1.0888664,-0.567966,0.16645522,-3.1047328,-1.9417309,-0.1747987,-1.6888866,-0.080062225,0.46628958,-2.349591,-1.6854906,-2.5615127,-1.4184048,-0.20844631,-0.36331016,1.8468999,0.9716095,-0.08316012,0.0020150691,-0.4857009,-0.64813477,0.40893432,0.040636033,0.9421744,-1.187704,-2.0787063,-0.24654885,-0.8672835,0.05655363,0.6703371,-0.7924131,1.5422726,1.2041698,-0.28075045,0.4622822,-0.49977884,0.36214408,-0.16351393,1.7278624,-2.0313895,1.1136549,0.21715648,1.3803668,-2.7404087,1.409222,-2.4915886,-0.71777767,1.1006402,0.3360288,2.2619777,1.6663467,0.048666082,2.7756777
268,2.7425544,0.10148503,-0.81495565,0.36540875,1.8777025,-1.1691974,1.7273725,-1.8159685,-0.51977706,-0.183036,2.3145578,2.8588405,0.48346955,1.0510632,-3.3171449,-1.1398622,-2.1741395,0.22624627,0.7246197,1.3650206,-2.6283126,-2.128682,-2.441779,-1.1174545,-1.2582567,1.7164253,2.432821,1.3793474,-0.9659702,-1.2607787,0.6535791,-0.21731873,-1.9328982,-1.189857,-0.05879257,-1.9378155,-0.8811042,0.12954439,-1.2526076,-0.30222774,0.30476397,-1.2939456,0.347474,0.46404487,1.119471,-1.1373817,-1.3787781,0.059497613,0.7489332,1.7876117,-1.7752285,0.3883226,-0.041826576,0.4741548,-2.350694,1.8435328,-1.3609829,-0.09303511,0.15471634,-1.4146127,1.2605526,1.1054502,2.41055,4.1746073
369,1.5598726,0.00763518,-0.6539883,-0.4639656,2.3114154,-1.2026213,0.50537,-1.7039522,-1.6730351,0.98164564,1.1089057,2.6114974,-0.011320561,1.2745001,-3.34251,-0.40545022,-1.6153401,-0.8227901,-0.37504828,0.40702558,-3.0969908,-1.6750166,-0.33094457,-0.6102421,-0.8895405,1.0305377,2.066981,1.4042548,1.7711645,0.32579565,0.80052096,-0.25461477,-1.8310028,-0.4090469,-0.13726321,-0.44927108,-3.1019495,-1.5630158,-3.2231133,-0.34260446,0.73419386,0.5479044,0.13392437,0.8723592,3.1326268,0.16341071,-1.0320963,0.7828051,-1.5570931,0.97252935,-1.7775861,-0.008117616,-1.1706914,2.0381618,-2.9124434,0.23498543,-0.8435787,-0.5099391,0.7358449,-2.2064555,0.3193992,-0.4662783,1.015504,3.5045104
431,1.2731115,0.28908807,-0.4800501,0.05832403,1.7784594,-0.5945666,0.72442085,-1.0212793,-0.6206534,0.051704966,2.5287824,0.42817676,0.5836068,1.2208736,-3.7167928,-1.4874334,-1.7288802,-0.8000401,-0.5213186,1.4821019,-2.5795283,-1.2389715,-3.4881923,-0.96576416,-0.23347963,0.6489631,1.9737952,1.3102024,-0.03368663,0.74803984,1.7629416,0.21609546,-1.1900674,-1.1121715,0.9037184,-2.6840682,-1.3321581,0.7281201,-1.0039796,-0.18615657,0.9310253,-1.5788308,0.057259806,-0.62937486,0.46977332,0.6637458,-1.7940944,-0.48770806,0.3927715,2.405451,-0.99126136,0.07504086,-0.48160753,0.88835835,-2.108405,0.64292073,-2.1137419,0.8387325,0.3233289,-1.2686256,0.7061064,1.6554397,1.6530182,2.9495084
439,1.8543688,-0.26494303,-0.84465593,1.9641389,-1.2841773,-1.0754529,2.942924,-1.9422599,1.2082993,-0.45453912,1.5145619,3.5557582,-0.37466618,0.7539842,-3.6768618,-0.9277921,-1.5631843,-0.94422466,0.98038167,-1.475989,-3.0168803,-0.86188364,-2.1932015,-0.53889835,0.2391178,-0.7382079,3.5298,0.83837277,2.0047977,1.7554301,-1.4718604,-1.1951114,-0.006418839,-1.3297131,1.4143999,1.6662055,-1.8260044,-0.21414842,0.31287962,0.34540737,0.061773974,-2.0538104,1.050778,0.7955351,-0.15207666,1.214308,0.081463024,-1.1856067,1.3593633,0.40846264,-2.2411973,1.2732584,0.6491151,3.1908314,-2.4920683,1.2882262,-1.0235128,-1.7139268,1.8392394,2.4858897,1.1910075,2.0008302,2.3318083,1.2487907
452,5.142705,-0.7091983,-0.83861804,-0.23831582,0.591238,-2.1968162,2.391576,-2.0776732,1.6180904,-0.5495462,0.20847817,2.4950073,-1.666876,0.15910631,-1.940466,-0.54423434,-0.9829129,-0.67963153,1.2518743,-1.4434419,-0.051493526,-2.4815326,-3.125291,-1.6372018,2.2877362,-1.9090629,3.2721906,0.49045497,1.4525576,1.4834001,-3.3565829,-3.0457284,1.1487687,0.6899495,1.8007728,-0.30481663,-2.4084713,-2.3181872,-2.0228941,-0.5483327,1.053859,-0.4808989,2.2884793,1.7768177,0.74270034,-0.83489436,0.43067166,-0.31903702,1.5356908,1.3130538,-1.5378637,2.485505,0.11122974,0.99085987,-3.192074,1.4093645,-2.0959058,-1.1747509,1.3937753,2.3686574,1.9969329,1.8381505,0.46255845,2.9953854
559,2.0875475,-0.7067284,-1.3188784,1.7525415,1.6840259,-1.5924939,2.1247456,-2.4191732,-0.72873366,0.5017249,1.2175163,2.4396422,-0.37264493,0.12963994,-3.3679774,-1.5814106,-0.4707873,-0.78603995,0.8189096,1.8645104,-2.5772097,-1.7243499,-2.527434,-1.6609204,-0.26105076,1.3735895,3.1090841,0.46018636,-0.42938238,0.20709682,1.4986457,-1.7234015,-2.118473,-0.5556082,0.5503177,-3.0446508,-0.91338634,0.36764854,-0.7007701,-0.404152,0.39169767,-0.65729123,1.0745468,0.7168918,1.6828525,-0.941099,-2.2462792,0.15234073,0.87976646,1.5780293,-0.97587204,0.6868162,0.2567345,1.7805889,-2.2573853,2.6415899,-1.5510167,0.46196806,0.9211155,0.16607498,0.4004525,1.6573888,2.5708191,3.178904
643,0.20467967,0.2360564,-1.0019057,0.017389908,1.0810664,0.6327631,-0.34751326,-0.41103178,-0.40397468,-2.46547,2.9796686,0.036030017,2.0387142,-0.56017506,-2.5444267,-1.1444557,-0.53285015,0.3884446,-0.55002415,2.2327623,-2.6973927,-0.6556362,-1.4653826,-0.9636737,-0.83008003,1.3009655,0.7759752,1.6939393,-0.7271967,-0.39948058,2.4255447,0.07367344,-2.9776428,-0.68210286,-0.37086552,-1.4604266,-0.5262653,2.0772176,-0.65866446,0.37733036,1.2097428,-1.8195869,0.67259943,0.44682232,0.047424965,0.9324349,-0.65990025,0.005575374,-0.77000654,1.7789674,-0.8748176,0.41315615,-0.8999328,-0.98377836,-0.42089206,0.12294181,-2.87451,1.6024203,-2.578992,-1.3759824,1.3417916,1.4794824,2.5944953,1.7406524
