,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
1,5.098071,2.3471513,-0.058712393,-1.1769457,-0.9221977,-1.7388701,2.5717676,-0.90354586,0.1541822,-0.9075101,-1.9282949,2.496957,0.21890053,-1.1550785,-2.3514874,1.1443214,-0.56551844,1.1640099,0.30770487,-0.42385784,-1.845374,-2.6832273,-4.305507,-0.72694707,-2.411034,-1.359376,2.1218638,0.22675084,0.4997906,0.30665827,-1.4055241,-0.7195873,1.5427616,0.41382396,-0.12830605,-2.394229,-1.9628525,-1.3772018,-0.6679044,2.7274497,0.76276106,-0.54171735,1.3563751,2.3086638,-0.76214755,-2.144075,-0.33251455,-0.37721807,1.3682227,2.700972,-1.2566017,3.2133126,1.2341485,0.0870249,-3.8193061,1.0553849,-2.3985505,-3.1922967,-0.17013276,-0.11811999,0.3163939,0.17246987,-2.083098,2.6590142
5,2.7000782,1.8721219,-0.24640295,-0.59789175,0.36840138,-0.1985429,2.1108155,-0.029202312,-2.4063745,-0.09093049,1.3361138,3.1217031,-0.3788136,-0.25509387,-2.5703127,1.3164135,-0.9582313,-0.8953498,1.7456481,-0.7300426,-1.239472,-1.8517303,-3.2286606,-0.031459294,-0.4366104,-0.557228,3.299481,-0.7603168,1.66598,1.7349616,-1.5553433,-0.89478904,-1.3692715,0.074521884,1.5174414,-3.0358267,-3.4121401,-0.5236662,-1.0461168,0.6241447,0.54661417,-1.2327367,0.5952983,0.7571018,-0.41439763,-0.37957585,-2.004727,-0.4714295,1.1177673,0.9132702,-0.808981,1.5112422,0.2158178,1.2488961,-2.6443443,1.9730463,-2.2959747,-0.4560454,1.4903109,0.96746045,-0.43220013,1.7934612,1.3884143,1.5934228
31,3.71324,3.3826375,0.14967862,-0.32533073,-0.70192826,0.33640647,3.4296906,-0.90317774,0.573099,-1.3028797,-1.1046269,5.108388,-0.6687571,-0.25247216,-2.1347036,0.296112,0.17848739,0.51832765,0.4200803,-1.4921371,-1.3584411,-2.9850185,-4.0780478,-0.76990294,-0.12570375,-1.7167858,3.2462628,0.92782867,1.7522492,0.7499427,-1.3303038,-2.6115317,0.6034745,1.0037152,0.6469007,-0.04773122,-2.0892112,0.2787466,-2.0902376,-0.088250704,0.792738,0.076487556,2.459925,1.7327958,-2.3087733,-0.0039237477,-1.9565191,-2.319079,1.4078015,1.6482862,-2.881983,2.2373056,1.6966466,3.802451,-2.838984,0.38479692,-1.6168548,-2.014187,2.6907287,-0.30836594,0.7455276,1.2556801,-0.40526453,2.8378358
45,2.292126,1.2247717,1.0536635,0.6097853,0.02749498,-1.9160856,3.1063952,-3.050544,0.39410064,0.11529884,-1.5454062,2.003323,0.13013794,-1.1959983,-4.397563,0.037200056,1.5837915,-3.2333033,1.6946905,-0.32336864,-4.2652,-1.383293,-2.7063901,-1.2529967,-2.2699203,0.24609502,3.240608,0.31540817,2.4973068,1.8317989,1.3210189,-1.7552891,0.6797862,-0.4017368,0.11029132,-1.2911829,-3.1987963,-2.9702659,1.2637254,1.8976651,1.5094595,0.010969459,2.306969,1.8635958,0.2555106,0.10628386,0.8930304,0.78503984,-0.60884655,1.2104616,-1.7876476,2.4914174,1.8796285,3.182892,-4.025931,2.209795,-2.251604,-3.2088926,0.48512644,0.9683997,1.0962689,0.7538014,-0.23402293,1.8808883
71,4.576657,1.9981017,1.1795788,-0.73208266,-0.89874756,-1.4074144,2.26715,-2.1559896,0.50699914,-1.2107855,-2.805347,2.434293,0.35028172,-2.5197754,-2.8618867,-0.028165296,1.5478659,-0.6482844,0.30469224,0.6379246,-2.4886413,-3.0789218,-4.0018096,-1.986362,-2.4754596,-1.0465344,2.140061,0.7531905,1.626842,0.80124956,-1.3489546,-2.4361928,1.9260172,0.08253451,-0.48805764,-1.3688296,-2.0044813,0.10147032,-0.28539127,1.9863325,1.6010914,0.27813292,2.2916358,3.5960653,-1.3756742,-1.569604,-0.27465683,1.096277,-0.6200533,2.388326,-1.8590024,3.0364423,2.2676394,1.1684822,-3.706016,0.83562994,-2.8767304,-2.6983664,0.6545369,0.9906518,1.9002106,0.43135464,-1.410367,3.0276437
81,5.087996,1.7954731,0.4622923,-0.53733724,-0.0816959,-2.5943122,2.8643458,-1.7122351,2.0443501,-1.0287867,-2.7597008,2.15789,-0.8719231,-1.3814023,-2.5124938,1.3806443,0.499119,-1.3701963,1.5670835,-0.553725,-2.01968,-1.6597509,-4.3560963,-0.95960927,-1.108912,0.004571736,2.4219549,0.45523578,0.98994535,0.018866025,-0.0072786883,-2.0672708,1.3882161,0.59655076,0.11297429,-2.0985317,-1.654964,-3.303074,0.31214586,1.8246033,2.161028,0.27966338,3.0273244,2.7210188,-0.5401101,-1.3098834,0.33751816,-0.02389887,0.78017235,1.7277042,-1.3738002,3.3103876,2.2808025,1.2901452,-3.3166842,1.7984802,-2.2710342,-3.2766743,-0.51539963,1.114206,0.6203959,0.6472327,-2.0057273,2.6417954
95,3.624092,1.542841,-0.19727549,-1.2203478,0.035246775,-1.021682,2.1358635,-2.9529564,2.013761,-0.055320233,-1.946079,1.6417736,-1.1804318,-0.20042652,-2.070176,-1.0697057,1.3139303,-2.8098643,0.71004933,0.40680778,-2.29533,-1.9903247,-2.0843592,-0.81122494,-0.9064669,-0.8235445,1.2803317,0.45699006,0.18782996,-0.31698048,-0.18287769,-1.3628451,1.4814434,0.9702791,1.303312,-2.5378654,-2.0483813,-2.7850177,-0.40083572,1.1851165,1.4932489,0.48488688,3.123856,2.392101,-1.292308,-0.9975484,-1.278144,-0.4526327,0.7539201,1.7128646,-2.4362128,3.6334987,2.6209888,1.5834879,-2.6949449,2.234573,-2.7813907,-2.8775706,0.95409286,0.26273257,1.2007294,1.0876116,-1.3255653,3.3091369
156,1.8378332,3.2886434,-0.7701496,-1.100791,-0.73722297,0.34864068,1.0269204,-0.83368814,-2.6703374,-0.112472154,0.03336544,4.2108974,-0.39340922,1.0870862,-2.0382392,-0.9928489,-1.5075072,0.5442426,0.78061515,-0.8628848,-2.019431,-1.0966742,-1.1008328,-0.6204219,-0.7883615,-1.489635,1.7438964,-1.2881377,2.5209732,0.39823884,-2.201406,2.0321577,0.31478518,0.42589432,2.777976,-1.2845709,-2.4955654,-1.3469187,-0.5061164,0.61092216,-0.7785029,0.15467139,1.9975977,2.2114286,-1.40055,0.050938375,-1.9240074,-1.683143,2.0742033,1.2022175,-1.2728069,2.3010025,-0.037482902,1.4739066,-1.5759097,1.5518359,-2.6061351,-2.1502507,3.1608758,0.20626862,-1.3028466,1.2526722,-0.32202503,0.4598953
161,5.161801,0.7341997,-0.6349779,-2.0847335,0.7145778,-1.4120806,1.4794846,0.89454174,-0.8874831,-0.02414627,-0.5990492,3.4369226,-0.81939125,-0.5027021,-0.52468204,1.4447632,-2.1484978,-0.6405965,0.64192915,-1.0211911,-1.4430622,-1.5464786,-3.1158235,0.41088262,0.83786553,-0.92351395,2.7907856,1.0874875,3.2741127,2.1750684,-3.2247293,-0.96297604,1.0913982,0.15102534,1.1525495,0.64717525,-2.22229,-1.2422125,-2.4462347,1.1653388,1.9417284,-0.4008623,0.34054878,2.1597116,1.3022671,-0.2966703,0.7718946,-0.6276493,0.47552043,0.40735298,-1.5119064,1.4219569,1.7140565,2.0373456,-2.0640244,-0.5175928,-0.44324163,-3.3273907,0.06519553,0.8399141,-0.20607823,0.22936255,-1.2425953,2.3945363
162,4.518202,1.4993728,0.46203494,-1.3908404,-0.4238576,-0.20286831,1.9615642,-0.95581335,0.2982583,-0.51190627,-0.6458253,2.0728438,-1.4542692,-0.55413747,-1.3713902,-0.2662204,0.77341807,-1.2450495,1.4276468,-1.5393702,-0.31177148,-1.9095161,-4.400381,-0.288899,1.4565134,-2.3182864,3.1838934,-0.5055951,2.2167125,1.8554571,-2.3197713,-1.1939024,2.0009778,0.51987994,2.0537891,-0.96804464,-3.1177435,-1.7580035,-0.8747885,0.4040204,0.78122306,-0.79900813,3.0166142,1.771747,-1.4804186,0.9858909,-0.76476294,-1.7170506,1.7222359,2.285751,-1.1259764,2.3311663,1.7423095,1.6837955,-2.6340628,1.2901293,-3.040882,-2.308934,1.7468612,1.426169,1.6462846,2.2029672,-1.0529383,2.1329033
217,3.9719296,0.62839425,-0.17348859,-0.26965058,-0.3506946,-1.3527317,2.454033,-0.59507865,-0.64412165,0.47052214,-1.8746076,2.6788492,-1.5163884,-0.34743476,-2.0206966,-0.088961765,0.55386776,-1.1505493,2.095422,-0.91070575,-1.1007048,-1.2052374,-2.9427493,0.4352747,-0.22341676,-1.1326984,3.357015,-0.48229504,2.4970078,2.19136,-1.1850818,-1.2129004,0.67866975,0.5282265,1.7091413,-2.549023,-3.1063519,-1.6816156,0.055715285,2.2308848,0.5039755,-0.3702197,2.7371583,3.0622978,-0.15918586,-0.5602887,-1.2140273,-0.9934367,1.6641201,1.5743818,-0.79478925,2.7260008,2.1266735,2.1091733,-2.375153,3.1686676,-3.256836,-2.4385872,1.0707402,1.6518267,0.8568655,1.6131513,-0.6498205,2.4370005
219,3.8834565,1.6705194,-0.6407445,-1.0319233,-0.051264536,-1.4148588,3.1469748,-2.2974722,0.7624204,-0.8193839,-0.3077838,1.922079,-0.115380794,-0.35248703,-2.9684212,0.5604862,-0.9000709,-0.1218213,0.8713879,-1.2880422,-2.6296718,-2.8619494,-2.4494436,-0.7532599,-2.7588947,-0.63788366,1.3267068,-0.98794216,-0.98557776,-1.0088899,-2.1141386,0.15995938,-0.46103024,0.8662622,0.10293419,-2.9881036,-2.3850694,-3.0210414,-0.25047,1.531867,0.48794562,-1.4785758,1.7395604,2.458235,0.9038011,-2.192815,-0.006531734,-0.23569024,2.5288181,2.4933193,-1.9007664,4.688659,0.49835777,-0.26981246,-3.551666,1.8229507,-2.1989996,-3.1207874,0.05871907,-0.9052137,-1.1043618,0.39122134,-0.24362168,2.4463947
262,3.557786,1.7052773,0.49923006,0.10973949,-0.39889935,-0.96291625,2.6609738,-0.62075967,-0.5578064,-0.4481179,-2.5656497,5.0854487,-0.5588112,0.11410351,-2.1697922,0.17788848,0.31528795,-0.037605677,1.5897541,-0.6873512,-1.2707316,-0.62914586,-4.023138,0.43905815,-0.007069774,-1.0504965,3.596506,1.4276396,3.986037,2.1622853,-0.17499691,-2.576793,1.8872203,-0.46299535,0.97951895,0.019821167,-1.0622972,0.06577372,0.2908059,2.3263755,1.2414594,0.82031673,3.1156602,3.5872805,-1.7967855,0.565722,-1.543964,-2.5793805,0.32454547,1.461069,-0.825347,1.7092,2.8558335,3.9284341,-2.1819878,1.671543,-2.6094146,-3.0050988,1.8880222,2.0650094,1.4483973,1.4634984,-0.6104012,3.247177
273,5.087937,1.4049206,0.12902817,-1.957473,0.36781296,-0.11790484,0.96304095,-1.7017232,-0.812907,0.33395293,-1.4210906,2.9087732,0.42485118,-0.5195178,-2.5173192,-0.4172477,-0.51544785,-0.5900816,0.49908072,1.1252836,-2.1312735,-3.145951,-3.4185631,-1.2122632,-2.2924974,-0.78590256,1.8115611,1.0577265,1.1444739,0.32892,-2.4722557,-0.41719013,2.8335078,-0.8146113,0.20362136,-1.2036195,-1.299399,-0.4745608,-2.1589606,0.6983401,1.3102951,-0.0059394855,2.0694194,2.9024367,-1.9102749,-2.1759114,-1.1342344,0.15468585,0.097139806,2.627001,-1.3575267,2.994647,1.5021249,0.56109834,-3.5622962,0.43421763,-2.684141,-2.7235694,0.956156,0.5853779,1.3078645,0.58431286,-1.3919066,2.5886292
281,3.9665282,3.1080222,0.9038892,-1.9061644,-0.4023203,0.09969184,2.5717719,-0.8025671,-0.5702703,-0.9544561,0.36582512,4.121815,-0.47583118,-0.30804262,-1.9203906,0.2687779,-0.23544186,-0.15096861,1.0753329,-1.6653284,-0.40051937,-2.4331815,-4.3623905,-0.33000606,-0.22577056,-1.2100606,2.533585,0.1260996,1.2448353,0.748507,-1.8409133,-0.54730284,1.6583261,0.58763534,1.3578067,-0.8321216,-3.0753965,-0.6793861,-2.2339616,0.9097443,0.7887724,-0.59878445,1.7577707,1.4547817,-2.5594804,0.29465592,-1.5783293,-1.3976468,0.5594219,2.4787354,-1.9878207,1.5498037,0.37543762,1.4137598,-3.9897616,0.71431756,-1.8658868,-2.108761,1.6945089,-0.38103658,1.5131166,1.5918993,-1.3961002,2.6733346
