,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
151,1.297687,-2.8380456,0.9789295,-0.18830311,-0.20666695,-0.80623853,2.6740544,-1.1220305,3.2749023,-0.04269735,-2.8996086,-0.109640464,0.2525151,0.8168311,-1.4487431,1.1060847,1.7469561,0.5316401,2.2967212,-1.0083269,0.9610426,1.8693482,0.9026605,-2.0666497,1.967252,0.41864437,-1.4942672,-0.51003194,1.8228697,2.0486302,-1.6373142,-0.19323903,-2.0828254,-0.7811602,-1.8020602,3.6573036,3.4116163,0.21640736,1.6339924,-3.7902808,-3.5759118,0.8907092,-0.40692464,-0.6804821,-0.70692635,-2.5013688,1.6324952,1.2319608,1.7343098,1.9682671,2.1688764,-0.84378797,-1.565482,2.7820013,2.7030478,1.7947875,-2.179239,0.6306095,-0.6684959,-2.7428322,-2.53538,0.14610842,-0.91904783,-1.8880862
200,0.5201378,-1.4899911,1.0514137,0.7595631,-0.2082885,0.079961255,2.5220249,-1.1212331,4.4095592,-3.02063,-2.0361147,0.80435044,0.943532,-0.50285447,-1.0546732,1.746727,3.0691693,-1.6918533,2.4526,-1.0995506,-0.74891704,1.2304502,3.8373888,-1.8518726,-0.31680536,0.84328336,-2.3653216,-0.82646054,0.028715868,0.9756159,-1.6192877,0.65740293,-3.295333,0.3748743,-3.7116582,2.687704,0.85465217,2.324832,1.5375991,-1.2440777,-2.1998796,0.22428976,-1.7435626,-1.0717663,-2.1715586,-2.1647954,1.637719,0.674774,2.3726435,0.6702795,-1.4429331,0.8811697,-1.6240646,2.3659167,1.4513663,0.42224908,-0.24098414,1.7039655,-2.2572649,-2.0422845,0.87154657,1.9739995,-0.055219986,-0.92607903
567,1.0312814,-2.8628943,0.7990455,0.1880354,1.0040209,-0.39675152,1.3122979,-2.2149465,2.6902263,-1.4974614,-2.9657714,0.88828194,-0.077570334,0.9601015,-0.8395734,1.1934462,1.8651638,-1.3277118,2.7340124,-0.17652343,0.5467899,2.510883,3.369904,-1.80423,0.8462577,1.2654546,-1.715258,-0.4192509,1.522457,1.1742154,-1.955729,1.0345323,-2.71524,-1.4278892,-2.6377954,3.316351,2.0257525,1.6136386,1.2821149,-2.1078188,-2.7355418,1.1731306,-1.1433638,0.17647737,-1.5739561,-2.863493,0.7860313,1.5253267,1.6869739,0.710832,0.5074939,-0.2693076,-1.9415692,2.2597597,1.4035256,1.9495552,-0.41860244,1.8700567,-2.5266006,-1.225969,0.14802545,1.9205784,-0.117561504,-0.4106897
626,-0.5799771,-1.31815,1.0582112,2.258288,0.5741033,-2.8578176,0.2038373,-1.6143461,3.2986934,-3.309228,-1.564424,0.45877904,0.8787148,-1.1011769,-0.29145107,0.557129,5.5164046,-1.1185397,2.8960145,-1.2743804,1.2616519,3.0600598,2.4634094,0.7344507,2.4760866,0.44339556,-2.1660948,-0.03289192,2.6736383,-0.23531283,0.47925594,-0.8805787,-0.3931075,-0.3435266,-5.7817416,2.0412073,3.1564925,2.3407729,2.7237806,2.3723357,-0.16708562,0.81651926,0.18679959,-0.6462386,-2.1434927,0.19890073,-0.36139786,-0.8077057,-1.7614492,0.67296255,0.3278067,-1.8180858,-0.36351192,2.4359643,3.0897975,0.29891843,-1.4710622,2.8390799,-0.8989742,-2.3252027,3.949636,2.8798177,-0.44322377,2.6831918
1009,0.79010683,-2.075925,0.6933737,0.38098532,-0.2506827,-1.0209026,2.6324542,-2.0442998,4.004713,-1.6233367,-2.2156363,0.70150644,0.44909912,0.3235742,-0.77329844,0.7284964,1.9784178,-0.16621047,2.653391,-1.4912481,1.5271021,1.493689,2.4203544,-1.9326754,1.044657,0.91472524,-2.4216697,-0.5381182,0.4907658,1.711448,-2.2532008,0.32565412,-2.3728132,-0.2221167,-2.7637637,3.1818712,2.601983,2.249484,1.6677457,-2.8864076,-3.0865142,0.85782146,-1.4714603,0.052369017,-2.0304015,-2.9664671,2.00621,0.38199475,1.7573798,1.3927516,0.18711737,0.09793499,-0.7387284,2.5266032,2.2734585,1.6551313,-0.9411947,1.7954104,-0.90574956,-2.4778805,-1.1031305,0.69698507,-1.0601662,-1.2793531
1106,1.7128061,-2.7845457,1.0348811,-1.0875671,0.9713382,-0.71130365,0.16079578,-1.7417333,2.5323122,-1.7303604,-2.3506734,1.0402462,-0.18822703,1.0720956,-0.6419494,1.3049163,1.564353,-1.0173419,2.0208535,-0.31724453,0.96688706,2.192731,2.1992626,-0.7645025,0.80687106,0.1327646,-2.090575,-0.22450277,2.0242958,1.2037568,-2.4762933,0.91085064,-1.9543366,-0.77469206,-3.266904,2.642621,2.3128805,1.8679863,0.25528774,-1.2759887,-2.1366067,1.6357251,-1.871773,-0.5871121,-1.9551822,-3.0912468,0.42183968,1.3525183,0.64725494,0.6395272,0.33425346,-1.6039255,-1.3887001,1.9351162,1.6414217,0.7691091,-1.7118787,2.379327,-1.8092093,-1.6411624,0.5722765,1.8699677,-0.6622068,0.74734175
1119,0.5563793,-0.9413321,-0.8282309,5.329302,-0.843184,-3.4649186,1.686242,-2.2623343,4.259173,-2.2573056,-2.0781128,1.8075355,1.3197384,-0.50724673,-0.51255816,0.4200259,4.353589,-1.9269047,4.5947523,-0.2433475,-0.4070047,3.3483524,5.177885,0.09178583,0.21072534,3.0398154,-0.78349006,-0.055826798,1.2932361,1.6721296,1.3877001,-0.86009955,-3.8937144,-0.5878848,-4.491479,1.6025256,0.9123179,2.5307426,2.6687365,1.9518763,-1.693706,1.2927989,-2.0340297,-0.48452646,-2.6808438,-2.5966535,1.929838,-0.2785544,0.20787379,-2.0698643,-0.9239541,-0.6858448,0.8849337,3.1851943,2.1184092,4.8844547,1.2419988,2.1482985,-2.9897814,-0.42081338,2.4872956,1.6516532,-0.3147402,0.8626477
1221,-0.48167425,-2.229852,0.41254407,1.0167452,0.789531,-2.1380496,0.2091524,-1.2803113,2.403572,-2.4546895,-1.8871075,0.75189936,0.37575042,-0.3501903,-0.56739724,0.9917545,3.910439,-2.492052,3.3007724,-1.0351313,0.49885905,3.1260672,3.4830499,0.61213005,0.6679072,0.5971818,-2.0133767,-1.0151519,2.9798558,1.1877979,0.085223205,-0.065414004,-2.1939983,-0.20126238,-4.3617263,1.0791223,1.5749296,1.3246193,2.1201608,2.334111,-0.7568231,1.0961787,-0.88547564,-0.098115586,-1.1152612,-1.7903446,0.696699,0.57111824,-0.71686375,-0.3722827,0.17968646,-1.2866813,-0.46720302,1.5976835,1.8642832,1.9782126,-1.690517,3.0673563,-2.70128,-1.3223733,2.420489,2.0716345,0.04754912,1.4833978
1334,1.4753128,-1.9806205,-1.2900107,-0.6452211,1.955032,-1.1364573,-0.10048898,-1.3109889,0.86731076,-1.0458577,-1.1296711,1.0451432,0.97202647,1.9579837,-0.9822565,2.564418,0.15807605,-0.86746866,3.0934548,-1.8941962,-0.07616162,2.1464446,1.7678698,-1.251395,-0.20626345,0.51297307,-2.5066743,-1.1185062,3.0740135,3.1312993,-1.5465045,1.7471564,-2.723749,-0.5171892,-2.5253115,1.4238026,1.4200279,0.00860019,-0.15333784,-1.6860702,-2.0827544,1.8878161,-2.9446297,-0.8304869,-1.1532555,-4.862902,2.3977253,1.7922231,0.84902394,-0.18461327,0.32644376,-1.1212168,-2.063066,1.1118857,0.99244416,1.9992156,0.113535814,2.8761268,-2.0199354,-0.6121285,-1.180097,1.444793,-0.11963693,-1.3680762
1375,2.5123348,-1.6961671,-0.25944543,0.9927767,0.31116074,-0.4605264,0.04449345,-1.461417,2.399157,-1.4190835,-1.0136645,0.47549194,0.9921304,0.157566,-0.52402484,1.5542934,3.7045093,-0.8887387,1.9664881,-0.18527327,0.16926129,1.3528005,3.3900146,-0.26239306,0.1815536,0.4812408,-2.507639,-1.0997692,1.4713485,0.66564554,-2.5577183,1.394089,-2.5023594,-0.37638843,-4.2383375,2.0050664,0.21844122,2.2507877,-0.6988868,0.45909476,-1.6761794,0.5159236,-2.049647,-0.81787777,-1.3007572,-3.5337956,0.09636223,0.9060245,0.37381378,0.21817186,-0.36469668,-1.0251259,-1.8188899,1.1280373,1.0231631,1.6116109,0.1859585,2.6283753,-1.835304,-1.8952789,1.6957686,1.974448,-0.20337468,1.3795394
1864,0.680126,-2.887978,1.3036978,0.4282328,0.53673756,-1.3266088,1.3009176,-2.3032079,2.951205,-1.8947114,-1.6493393,1.5216948,0.26557785,1.2042019,-1.1585898,1.1060858,1.30691,-1.6517754,3.0520253,-0.99156195,0.52716506,1.9239178,2.5304816,-0.918115,0.92197317,1.1105443,-1.2623701,-0.10644683,1.812549,1.3321617,-1.3661604,0.20790266,-2.5632594,-0.54933035,-2.7780051,3.5775936,2.8734097,1.7659485,0.6791576,-2.565773,-2.3532925,1.758111,-1.951882,-1.0281467,-1.6382667,-2.6544912,1.8951327,1.5478655,1.1310854,0.16605113,0.52303314,-1.3530641,-0.96674275,2.5193205,1.8411182,1.0723953,-1.1643775,2.1017783,-1.977408,-1.2465932,-0.69227815,1.6322569,-0.5779199,-1.3582773
1872,-0.117121026,-2.2522027,1.9208667,0.071783654,2.1514473,-1.7723095,-0.062230982,-1.3878113,4.079825,-3.2599943,-3.080736,0.6191981,-0.4493743,0.60157466,-0.8655525,1.6364778,2.0174124,-3.2375002,2.966979,-0.97397846,0.095397204,3.8551686,2.863644,-0.4041989,1.6515555,0.54507685,-2.276127,-0.96645755,3.3974833,1.4379886,-0.26560602,0.58498746,-1.6252799,-0.4121467,-4.447869,2.4644046,2.2821782,2.2188137,3.109186,0.04789788,-0.39018452,2.2844794,-1.3295307,-0.63928914,-1.9545437,-1.4599302,0.85033894,1.2814022,0.7575624,-0.18597001,-0.27928412,-0.7712318,-0.51037204,2.553984,1.7883643,-0.36649615,-1.0589269,3.2225087,-2.276923,-0.12471001,2.3958445,3.0312521,-0.60682994,0.12956522
1899,-0.9652276,-1.7545578,1.2606936,1.8445859,1.1660719,-2.9256475,-0.038548805,-1.6103089,3.8243375,-3.8734152,-1.5895292,0.9542251,0.65206134,-0.97237325,-0.2503203,0.64185745,4.4335313,-2.0194278,3.3519347,-1.341431,1.3038357,3.2171385,2.7788284,1.1598139,2.2049325,0.66336733,-1.8426285,-0.1806864,2.6295745,0.26715207,0.45533478,-0.95340353,-0.8155385,-0.04763812,-5.9323654,2.006855,3.116747,2.6902401,2.9209921,2.6099818,0.16877423,1.2800422,-0.29807553,-0.4002998,-2.3388062,0.08382422,0.36564586,-0.5887957,-1.5662148,0.19894789,0.030026026,-1.414357,0.44797486,1.9400492,2.813286,-0.2921944,-1.480121,3.204641,-2.0894835,-1.3769679,3.7735875,2.5233183,-0.13443348,1.8531649
1919,-5.6549435,-4.0833797,0.5456804,1.9808737,-4.309795,-4.8647075,6.315926,-14.424923,-3.5881317,18.339693,10.675059,-11.990345,-1.1560844,0.7730504,4.4258847,-7.4021096,12.669479,9.089463,-1.329041,-3.3065388,1.5009414,0.5854327,-6.522131,9.932079,4.0135665,14.619984,-6.0831685,7.791994,-0.8311159,-11.003561,-9.923489,7.053261,0.66811216,6.453041,-5.840195,-1.1157755,3.1267352,-1.403477,-5.9793763,13.24575,-7.1787386,3.6388175,3.1340737,-0.27904204,-7.11912,-1.3972318,6.8838143,-13.724576,-16.34199,-6.0946865,0.0906618,9.678147,-2.2927985,2.4130137,-7.6319814,9.482519,5.318099,12.783321,2.0658517,4.1500964,-6.428775,-12.619999,-0.43707952,-8.497499
2343,-0.7070885,-2.0478356,0.9516988,2.3831167,-0.39684352,-2.7118227,1.0556773,-1.9319017,1.8669218,-1.3751891,-1.3631706,0.75866,1.2844206,-0.63608444,-1.5234294,0.21897806,4.6999702,-0.6065554,2.8545716,-0.9610977,1.2366585,3.142812,2.9661493,-0.17322303,1.5734582,1.0616068,-1.2244496,-0.033593453,3.2469068,0.7497322,0.6451251,-0.74082214,-1.3430414,-1.5855799,-4.514996,3.007067,2.4709811,1.5155193,2.0389068,1.3231425,-1.6185222,0.7658562,0.118800364,-0.21301699,-0.4583105,-0.5909307,-0.009471793,0.3156796,-2.05801,0.8302994,1.3641571,-2.376546,-1.2524749,2.827711,2.1986692,2.328713,-1.5116378,2.3468306,-0.716569,-3.2211776,2.1323125,1.1154706,-0.3801232,1.5995154
