,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
302,0.60135615,-2.7244778,1.4453082,-1.0040203,0.54241055,-1.1866924,1.4706812,-1.4032147,2.6513581,-1.2746327,-1.9850053,0.2317048,0.3104308,1.0315714,-1.007485,0.65364605,1.8743789,-0.16178322,2.2694244,-0.95404506,1.8919461,2.1789513,1.1598563,-1.06822,2.4483755,0.035837144,-2.1150236,-0.24089414,3.087414,1.6914539,-1.5707444,-0.28000697,-1.1052504,-0.95953715,-3.2431016,3.6242824,3.941555,1.4769807,1.0055764,-2.1190124,-2.3075495,1.488702,-0.2656127,-0.57767504,-1.2589483,-1.6643393,0.9206886,0.7596082,0.82161236,1.9790226,2.032782,-1.5378925,-1.1483734,2.7850485,2.6048927,0.679375,-2.5293958,1.7684968,-0.67387974,-3.0722613,-0.60134,0.72135615,-0.9866437,-0.36494505
469,2.093248,-2.7527578,0.08601205,-1.4851419,-1.9805819,-0.008355267,4.0374355,-0.7358778,2.8287177,1.0379739,-2.8017244,-0.08568694,0.35458553,1.02384,-0.9358282,0.30842495,0.84436786,2.7440238,1.7614882,-0.6241655,2.5766878,0.02128023,-0.3739111,-2.525983,2.0919766,0.054713696,-1.1740961,0.023313835,0.9433449,2.3609772,-2.8634667,-1.0468713,-2.1415827,-0.4645304,-0.64389807,3.7703273,4.181596,0.005918041,-0.39887607,-5.3722467,-4.789525,0.22071284,0.4815191,-0.14952582,-0.7151158,-3.0259945,1.5913436,0.9342934,2.823965,3.2727168,3.3938978,-1.0907687,-1.2368072,2.5569274,2.8822563,2.5200152,-3.7859423,-0.49052835,-0.4015693,-4.746994,-5.217267,-2.2245884,-1.2612693,-2.767663
616,1.9653524,-3.6049256,0.87280846,-0.11167524,-1.7483051,-1.0827799,3.6887095,-1.7387401,2.463795,0.39021394,-2.6901078,-0.06860897,0.17389286,0.05528717,-1.3314846,0.22822575,2.2347074,1.8393694,2.2167654,-0.18773425,2.13542,1.0788696,0.41604298,-1.9994946,2.08694,0.9097757,-0.89566946,0.008891851,1.3414257,1.5672672,-1.876248,-1.3455193,-2.3746104,-1.031952,-1.6120071,4.393908,4.086801,0.6395865,0.3595802,-4.0265584,-4.1555314,0.81989276,0.6213004,0.00011805445,-0.09633051,-2.6244626,1.8198001,1.566959,1.4202534,2.2796216,3.1129801,-1.6346614,-1.2278157,3.1155055,3.1410303,3.2519877,-3.242009,-0.13430735,-0.62638384,-3.773957,-3.59087,-1.3551718,-1.1431005,-1.9018325
694,4.7889047,-1.9329126,-0.4842257,-1.495089,1.3506774,1.6268014,-2.692814,1.508045,1.1347882,-0.8831373,-3.2102053,-0.42407197,0.18172982,1.6428876,-1.0539608,4.6644006,1.4830679,-2.3864129,-0.40082324,1.0069425,-3.144038,2.9246852,3.4250994,0.30696204,-1.0643942,-1.3348805,-3.7893963,-0.28197157,5.6900253,2.3837261,-1.99542,2.053927,-3.2141664,-0.8777606,-2.8256865,2.2571547,-1.2161623,1.5051508,-2.582257,2.9709213,0.30444366,1.8706108,-2.8258576,-0.9201582,-1.0382234,-4.9585505,0.020220086,2.462933,0.85509384,-2.2199242,-0.973391,-0.22441432,-3.9432638,2.5631096,-0.031890202,0.13222761,0.5008772,2.655444,-3.6294098,1.7978411,2.8867443,3.7242246,-0.48765516,1.4041597
721,-1.743449,-2.4784737,-0.36350995,1.5756276,0.7557871,-3.6753404,0.4918938,-1.7650775,1.8987992,-3.5243096,-0.19320478,0.48880684,0.78214025,-2.5713174,0.09267619,-0.35620052,6.133564,-1.4195604,4.1345043,-1.7895507,2.1415756,2.3083217,2.4831681,1.2650316,2.1239104,-0.36976126,-1.6459501,-2.229692,3.3691823,0.5806316,0.15692374,-1.7119566,-1.289704,0.8073718,-5.9562497,-0.043115944,3.0531168,1.0093656,2.7185993,3.5279753,-0.4454549,0.91180146,1.9759855,0.24953029,-0.36733234,-1.0437483,0.3571664,-0.4639456,-1.96505,0.71314704,1.3000929,-1.113267,0.0997664,-0.48855,2.6076052,2.1475847,-2.9765236,4.242781,-2.4086359,-2.0032408,2.3023124,2.0769818,1.1720408,1.8008466
734,-1.5950397,-2.22974,1.933707,0.15600741,2.0416763,-3.0124006,-0.46614236,-2.383656,3.7817533,-3.9051487,-1.8393443,1.0116559,0.036417633,-0.6323757,-0.01779985,-0.38101506,2.5420194,-1.8621562,3.543455,-1.3229883,2.4069233,3.7641015,1.8040569,0.6615263,2.495388,-0.080615304,-1.878397,-1.0512122,2.9782085,0.88346976,-0.7953412,-0.39424124,-0.4873973,-0.3497432,-5.849548,1.9374377,3.8779442,2.6913333,3.4621482,0.70288706,-0.029469326,2.1822896,-0.28683308,-0.50841314,-2.1338382,-0.33274913,0.5149103,-0.29644853,-0.5516126,0.91985554,0.40595368,-1.3325788,0.7485017,1.2787738,2.3409932,-0.5454741,-2.4264417,3.7386405,-1.7949963,-1.6087457,2.295904,2.3626387,-0.5073512,1.2868234
864,-0.15193422,-2.5615177,2.0011802,0.013165392,-0.37070146,-1.4085939,3.1495845,-1.8677648,3.5546997,-0.8968898,-2.383584,0.09039615,0.56551427,0.17922118,-1.6404086,0.32458442,1.9083062,-0.36399177,2.932045,-1.4253532,1.4687264,2.4482062,1.2771342,-1.1607155,1.4744895,0.26905417,-1.291214,-0.60681313,1.7211847,1.8046118,-1.6769463,-0.5600022,-1.8928592,-0.47813404,-2.788794,3.7560098,3.4280179,0.8572462,2.3860326,-3.3040545,-2.7837896,1.0597452,-0.33920065,-0.8312983,-0.8282846,-1.5569212,2.2915525,0.5356708,1.5398347,1.82747,1.4136133,-0.9491866,-0.8631302,3.0098796,2.3332114,1.9010301,-2.2483563,1.0712863,-0.93586177,-3.0554876,-2.7728457,0.2110815,-1.0518061,-1.5485797
903,-0.38746125,-3.0724335,1.2100375,-1.0480307,1.2424663,-1.6209098,0.57663786,-2.314148,2.50334,-1.3960631,-2.6195078,0.69737566,-0.14282092,1.1636094,-0.8980079,-0.24383007,1.1028478,-1.4598485,2.9849486,-0.81489664,1.6757358,2.649827,1.907475,-0.5497601,0.7446476,-0.07627483,-1.7417557,-1.2674057,2.5565445,2.1272492,-1.4978583,0.24757437,-1.9324187,-0.7640131,-3.4465423,1.3989768,2.9979346,0.92299557,1.7088144,-1.0608345,-2.4612448,2.0958295,-0.8774968,-0.41615784,-1.3377728,-2.8757973,0.93845755,0.9430048,1.1413177,1.4039468,1.3251066,-0.91427076,-0.10293244,1.0649718,1.7579575,1.6991276,-3.4550416,2.6564488,-2.3246994,-2.3997357,-0.71750355,0.9620142,-0.5964979,-0.1818104
910,-0.32110465,-3.8023715,1.6395111,-1.4089074,0.62682724,-1.5859,1.7436105,-2.4179828,2.3627067,-1.6320847,-2.4310439,0.24972628,0.7012373,0.4663485,-1.1253958,0.47300637,1.587833,-0.67168105,2.297872,-0.15583712,1.3754028,2.5362132,0.49491748,-0.96919036,0.6972167,-0.6120503,-1.6524915,0.42553216,2.8457546,1.9852172,-1.3893,-1.377302,-1.5833306,-1.0003785,-3.8394647,3.2212133,4.846075,1.3097242,1.9453214,-2.2857664,-1.581521,2.557601,-0.25268483,0.36937842,-0.486458,-2.016288,2.0368514,1.1897168,-0.35131678,1.7928782,1.4900523,-1.778883,0.46248868,3.0940106,2.5896466,0.6713936,-3.3022716,1.6217512,-1.8163133,-2.1259162,-2.1073122,0.50144184,-0.53693175,-0.6539957
979,-1.31147,-2.9090502,1.4439237,-0.5000219,2.042565,-1.7868732,-0.16481024,-1.9475254,2.631967,-3.012447,-1.8174646,0.820362,0.7424995,0.14378828,-0.7124222,0.44566733,2.3062615,-2.144515,3.627784,-1.0778159,1.2995466,3.6961234,2.2401545,0.35188913,1.0586214,-0.21565004,-1.8160794,-0.6316743,3.8219354,1.9564108,-0.41225123,-0.8064343,-1.4567027,-0.88832885,-5.0210147,2.0313852,3.6247146,1.8769755,2.943029,0.6932443,-0.4088241,2.3002942,0.0035050064,-0.099410616,-1.4860175,-1.007362,0.9087211,0.49752396,-0.5256027,0.88818115,0.76932836,-1.4600178,0.34448698,1.6425261,2.1973639,0.38586974,-2.6114442,3.4622986,-2.572469,-1.2926426,1.2023737,2.1133685,0.5622396,0.7669616
1225,-0.77365375,-3.3395767,1.7467003,-1.3142023,1.6074377,-2.3209674,0.4264921,-2.1105685,2.8546913,-2.6196363,-2.015436,0.55126524,0.13455644,0.45029292,-0.29213476,0.1172642,2.0023744,-1.2184669,3.0754406,-1.2055858,2.6544852,3.2347455,0.93273973,-0.25554073,2.5931077,-0.29022637,-2.1058197,-0.49932557,3.5748634,1.821349,-1.0067307,-0.72702736,-0.392931,-0.97374094,-4.3175416,2.6880002,4.8036356,1.8484536,2.5594015,-0.8822909,-1.1186998,2.4183593,0.014862843,-0.15337765,-1.4040847,-1.1713377,1.1366609,0.47341776,-0.4685227,1.9131734,1.7691048,-1.8321217,0.67233753,1.8912072,2.9345882,0.064322904,-3.2120175,2.9474454,-1.4129056,-2.1841168,0.4154268,1.2399151,-0.6425375,0.18044734
1269,-1.2908872,-3.4592073,2.1951382,-1.95787,1.851281,-1.4277016,0.5731897,-2.0733395,2.4495354,-1.8013738,-1.9407122,0.38546336,0.39196685,0.9580152,-1.2870729,0.5098025,0.81704587,-2.0217044,3.030118,-1.3441207,1.4114126,3.5243704,0.9594213,-0.38291624,1.1923621,-0.4449559,-2.0137022,-0.56854606,3.7997792,2.603234,-1.3480198,-0.1516086,-0.8061746,-0.9429009,-3.9333272,3.0571535,4.031588,1.3619943,2.6533124,-1.2368143,-1.141752,2.3939238,-0.920837,-0.61591995,-1.1251792,-1.3832166,1.9487873,1.0403687,-0.22803369,1.43741,1.1922797,-1.9185013,-0.04487789,2.4460084,2.051057,-0.13298547,-2.893521,2.8083494,-1.6842616,-1.5548344,-0.6366517,1.1131563,-0.33475703,-0.8609092
1343,1.4687693,-2.3545942,0.94868165,0.4390974,-0.96285886,-0.0636162,3.4470527,-0.9360255,3.1381192,-1.0025312,-1.9403458,-0.5527101,1.0592592,-0.60007083,-2.0079613,1.3417977,4.26301,-0.31745622,2.166878,-1.4540837,0.016625755,1.0618259,2.8361788,-1.3841162,0.7221036,0.6296418,-2.62628,-1.8216194,1.0038552,0.80485326,-2.0955477,0.3898409,-2.9694073,0.26327217,-2.8448927,2.8810074,1.1902722,0.7059793,0.6720518,-1.5580624,-3.3384082,-0.2825884,0.056578107,-0.09229327,0.05032956,-2.4807663,1.378861,1.2130133,1.3717467,1.9795568,0.95489424,0.36617863,-2.5385435,2.288299,1.6324818,2.4267967,-1.8281273,1.2037656,-1.0013787,-3.5005107,-1.3234563,0.27717996,-0.35704267,-0.9413502
