,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
133,2.6764047,-1.5696647,-0.77595973,4.1404366,2.7820015,-1.6614268,-0.39876702,-1.0405456,4.771249,-1.2229038,-4.8451147,2.2385123,-0.9518032,0.9222357,-0.6808541,2.0990129,3.4119418,-2.2320774,3.9033813,0.055558156,-2.5057,2.8015616,4.3817573,-0.43697608,0.4013132,3.6965706,-1.416331,-0.48786634,-0.3100923,1.1058676,1.7619724,1.340358,-2.8453057,-0.4328624,-2.94377,0.68386984,0.28389654,0.9461761,2.572409,0.37084076,-1.958816,2.4693015,-2.4000125,-1.3277382,-3.279289,-3.2496355,-0.7179072,0.7082948,1.030032,-1.3748897,-1.3056968,0.2412036,-0.9911766,1.9137521,2.5143387,2.3069391,0.7989907,1.2633346,-2.3791122,1.0168991,3.3884735,3.2716606,-0.6198046,0.053465255
267,-0.55621266,-2.6872754,0.8917466,2.1785927,2.5572217,-3.681693,-0.67309463,-1.594082,3.2871575,-4.025186,-2.2509842,2.0668278,-0.3901209,-1.8232183,0.06711047,1.249164,4.5444927,-2.1213279,3.9133132,-1.6929466,0.6670492,2.3857732,1.8424053,0.65722454,1.5432403,1.1671879,-1.1509684,-0.37718415,0.7686107,0.8059034,-0.026799522,-0.22190392,-0.7838749,-0.039877057,-5.4622216,0.274612,2.4310708,1.9087646,3.6064363,1.5980531,-0.43290204,1.5111407,-1.5060458,-0.8795144,-2.0992804,-0.49988362,0.35842085,0.047117002,-2.3726196,0.22634426,-0.8222143,-1.6619517,0.022669407,-0.08704962,3.1697915,-0.70856166,-1.7688258,2.939157,-2.392321,-0.19938815,4.0898867,3.8151789,0.18535575,1.328022
315,1.1642004,-2.4672174,0.33950627,1.3529212,3.0400627,-1.9711034,-1.2757576,0.24256524,3.1318984,-1.6546353,-3.8385997,2.2308898,0.12901719,-0.2964337,-0.47129813,2.463996,3.6945353,0.22509617,2.8028944,-2.182131,-0.26930922,1.0631989,0.2940508,0.533514,1.713773,0.565469,-1.2289863,0.38708884,0.47692865,2.4777818,-1.0816902,0.6275955,0.51371735,0.25932986,-3.726993,0.9031254,2.716993,1.0406847,2.4328227,-0.94377136,-2.2206798,1.6562576,-2.231188,-1.8561952,-2.7638745,-0.8905757,-0.9677837,-0.83220476,-1.5679902,1.8859369,0.06311723,-2.0137506,-0.73944956,-0.045730855,4.1047955,-2.4909844,-2.1654632,1.4531866,-0.29482353,-0.88898146,1.5549341,2.7251835,-0.5743442,-0.51662916
382,0.104496665,-2.3473892,0.6139168,0.41989672,3.6098979,-2.4463456,-1.4979382,-0.8681885,2.6741042,-3.2142043,-2.316071,1.711073,-0.2456542,-0.38308537,-0.5189158,1.8937432,2.928625,-2.2003887,3.410615,-1.9259032,-0.3003517,1.7134428,1.4524549,0.46692416,0.3060854,0.51549333,-1.6220543,-1.0729945,1.22454,1.1134412,-0.285456,0.9551655,-0.722242,0.2922914,-4.750887,-0.51024354,1.7288806,0.5432148,2.4062412,1.3382274,-0.37436303,1.6208317,-1.7163849,-1.1306809,-1.7308092,-1.4590629,-0.18760256,0.46209893,-1.0862169,0.74970055,-0.5971477,-0.9089962,-0.97589093,-1.0920964,2.006349,-1.2448424,-2.0885038,3.003951,-2.5086896,-0.40567738,3.0497162,3.5613463,0.13075763,0.89978313
488,0.4911846,-4.0401626,-0.8807178,0.5548637,3.0946603,-2.7959552,-0.49460804,-0.3078469,0.61373305,-1.6502492,-3.5581057,2.9790194,0.13144717,-0.3623368,-0.45502776,3.1663277,2.995743,-0.78414387,3.3544533,-2.4048626,-0.0966859,1.0182788,1.0262164,0.7716019,-0.75617445,0.7491896,-1.1377144,0.7287729,0.27348176,2.9029841,-0.37982786,-0.11808179,-1.2326326,0.25414062,-2.9744124,-0.96995413,2.616815,-0.5956113,1.5313618,0.28270864,-2.437169,2.410056,-2.5162544,-0.31719524,-0.9924511,-3.5655272,0.5820289,0.45128483,-2.8716786,0.44939315,0.17031112,-2.3267808,-0.7943208,-1.3950065,3.5125673,0.058028087,-2.9546418,1.9937125,-3.0192912,0.34024543,-0.06699103,2.5433075,0.3478441,-0.41095543
586,-1.0950493,-2.217857,-0.8648359,1.9485523,1.9140306,-3.726818,-0.69119775,-0.8349696,2.3945463,-4.040779,-0.5852466,0.7999821,0.36610782,-2.9807649,0.49432558,0.7786559,6.7341967,-1.4572511,3.8951204,-2.138359,1.2626804,1.5110974,1.9139868,1.8944786,2.3559275,-0.52116054,-1.830522,-2.1025422,2.5343685,0.6315734,0.40267837,-1.4059612,-0.38177052,1.8389616,-6.2470613,-1.1555191,2.6022062,1.0601996,2.7985168,4.473201,0.17734307,1.0635141,1.2999679,-0.3442904,-1.1593022,-0.8378087,-0.31318468,-0.8207247,-2.757513,0.45380446,0.48777783,-0.8847161,-0.10208764,-1.5498769,2.9931145,0.13502805,-2.659638,4.273636,-2.316461,-0.68964815,3.6837857,3.080729,1.1877182,1.6075209
590,-0.31123734,-1.4875317,0.07701536,2.7318037,1.7781167,-2.7903633,0.20248103,-1.5749794,3.4311178,-3.892114,-1.6093735,2.1246212,0.55388296,-1.1078126,-0.06744243,1.224793,4.807991,-1.4264743,3.6695962,-2.1642027,0.07911751,1.7903131,2.520212,-0.3186819,1.391788,1.5963014,-1.7807485,-0.25320706,-0.07452026,1.0710663,0.11806239,0.12288563,-1.2418965,0.2540449,-4.662835,0.62978727,1.7518208,1.9207497,2.6947174,0.6258834,-1.4945447,1.1192154,-1.855675,-1.4629183,-2.7535543,-0.81327134,0.7248534,-0.8346398,-1.1811727,0.34968728,-1.2347103,-0.9239746,-0.6103276,0.44302973,3.1926394,0.026152998,-0.41562986,2.5185945,-1.3131356,-1.0891042,3.5293531,3.4574356,0.12625374,0.93542767
842,1.882187,-2.8477502,0.3313603,-1.2388022,-0.93432605,0.23303278,3.7976422,-2.5753994,3.0605686,-0.29371774,-0.8426906,-0.07605928,0.84824777,0.40161946,-0.88058525,0.08633144,0.8706582,2.2778275,2.9172668,-1.4416544,2.2562644,0.18452464,0.37393937,-2.8319128,0.67765844,0.3509072,-1.9013243,-0.8454881,-0.35994762,2.3517334,-3.7685184,-0.09781089,-3.1795702,-0.12008812,-1.7533226,3.8447785,2.96299,0.86747396,0.2634391,-5.7131677,-4.0121613,0.4744018,-0.45024425,0.05380507,-0.743392,-3.2793286,3.694758,1.2960879,3.0096536,2.9688792,1.2988526,-0.29401535,-1.3296765,2.302079,2.488278,3.0807674,-2.2722175,0.07921091,-0.79023826,-3.7034914,-5.112602,-0.7756087,-0.46482372,-2.916049
882,0.261329,-1.908044,0.16637172,0.3701921,3.1242208,-2.407028,-1.7930185,-1.1770782,3.681817,-4.1906676,-2.473926,1.8577373,-0.6635153,-0.2980728,0.6739422,1.3458277,3.6687472,-1.7642971,2.6611893,-1.2669785,0.70897406,2.0588377,2.0552375,1.2681139,0.9131847,0.11315353,-2.6400187,-0.6626487,0.7309635,0.09273718,-0.22070882,0.55366737,-0.8848389,0.78375036,-5.762041,-0.70003676,2.1924949,1.7933196,1.5388334,2.712752,0.09974066,2.2115338,-1.2835983,-1.0111452,-2.8973553,-1.9917723,-1.161699,-0.6634431,-1.0862731,0.44788447,-1.0427816,-0.6586121,-0.32229662,-0.90555716,2.4568946,-1.5244098,-2.1972196,3.5887403,-2.6927686,-0.929015,4.1432924,3.6352594,0.09494311,2.5192733
1007,0.12777255,-2.9139047,1.3511922,1.3993518,3.2680218,-3.1794355,-0.99994874,-0.8950438,3.2129786,-2.0297935,-3.1991343,1.8277093,-0.55263114,-0.41076502,-0.8847128,1.684248,3.7139647,-1.955754,3.3310792,-2.2899208,0.14672096,2.017936,0.9359585,0.17477018,1.5620606,1.2821096,-1.2813249,-0.19478862,0.28837442,1.7006471,-0.19715956,0.8790749,0.56584907,-0.08443236,-3.6330938,0.37261492,2.4017594,0.6731167,3.317751,-0.36298513,-1.5169201,1.7690629,-2.582321,-1.8599056,-2.0484726,-1.1334871,-0.12898818,0.4191918,-2.5652497,1.1348253,-0.27107522,-2.3262239,-0.66297907,-0.1805287,3.3010025,-1.2856017,-2.1158586,2.230092,-0.7593762,-0.9012713,2.5188947,2.932261,-1.0649078,-0.08646941
