,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
181,4.85124,-1.7913494,3.8305745,-2.7029939,-0.41128895,1.0285447,-2.3137565,0.24652213,2.2375176,-1.2566438,-1.1222492,0.56718,1.8715342,-4.8025756,-3.2980578,-1.2416397,1.0073656,-0.6162277,0.94076777,-2.0218732,0.30009156,2.1901646,1.2099934,3.4689662,2.0087729,-0.7981012,-3.1176608,-1.9515718,1.1733682,2.6063628,-3.5346167,-0.95843786,3.5550935,0.083557725,0.9342414,-0.27053604,2.0837817,2.6980245,-2.80592,-2.6362445,-0.87185246,3.8038268,0.85439163,-6.027788,0.95037293,-0.6542508,0.76915026,2.8862383,1.7380146,-0.5122466,-0.6036013,-4.157063,-2.3286147,-0.38021362,-0.9566756,0.2574796,-4.418476,4.72585,4.455521,1.1017424,-4.0403805,-0.42694068,-2.250573,1.5286099
327,2.1707802,-0.69114625,4.08283,-0.08231963,-2.1813133,-0.51129365,-0.42148483,0.5453409,3.1403751,-2.0734224,-0.9735525,-0.7638689,2.724685,-6.13379,-4.6329145,-0.24259682,3.1398995,-1.5849267,0.9611124,-3.6920862,-0.6035156,4.081242,1.1372569,3.5267797,2.7070713,-0.8342016,-2.5645466,-1.6122094,2.0566332,2.8401601,-0.5391641,-2.7909257,2.6448185,0.5434856,0.119957335,0.5528981,2.1529033,1.2684699,-0.11927226,-1.2058159,-0.6243491,3.3235333,1.7830058,-6.3312087,2.5325282,1.9280362,2.3449337,1.8065542,0.12191785,-1.2003115,0.0073765516,-4.4807014,-2.5606594,1.5683774,-0.23596025,1.0597063,-3.4194338,4.4299717,4.435843,0.669481,-3.9947035,-1.3012614,-2.0855122,0.67040974
378,5.681622,-1.3962127,3.4626575,-2.1173291,-1.8139809,1.9762667,-0.9094943,0.46652192,3.4712892,-1.6243223,-1.6475315,1.3167619,1.6345505,-4.05482,-2.7630277,-0.48117566,0.20474353,0.62909305,0.8789379,-2.1346817,-0.3663038,2.2472348,1.7443091,2.8420095,1.9464464,-0.32142085,-3.0068102,-0.97303575,-0.59182554,2.2058399,-3.8086674,-1.179348,1.9000032,0.31548446,1.9435849,0.6974743,2.2030659,2.3478599,-3.4885783,-4.4864545,-2.0470743,3.6555293,1.0797985,-6.5604568,-0.0708481,-0.9029678,1.6645557,2.1514935,4.143802,-0.9579669,-1.2084478,-3.271904,-3.2139,0.59591746,-0.37026954,1.239114,-3.1879814,3.8196392,3.6460178,1.592251,-5.4769535,-0.5008849,-2.1071136,0.37063164
582,6.2215853,-0.6000115,3.7315238,-2.470656,-2.4002855,2.9344013,0.03421908,1.9307438,4.9653983,-1.3488457,-2.0087998,0.69010234,2.1765182,-4.6100554,-3.0921793,-0.40754902,0.110881515,0.8279683,0.06859073,-3.0929284,-0.2104404,1.2287625,1.5533282,2.4769263,2.0669515,-0.4356464,-3.776135,-0.7495786,-1.9738338,2.2724602,-3.7141829,-1.6189042,2.4871497,0.6381252,3.0251217,0.29059613,2.119382,1.9272188,-4.001661,-5.16147,-2.320963,2.9542022,1.18885,-6.6553755,0.3413582,0.11257346,1.1164926,1.6648083,4.949157,0.1267212,-1.1398873,-2.6468034,-3.153127,0.4605269,-0.7698761,0.7106756,-3.3684027,3.1592731,4.456569,-0.16264501,-6.564068,-2.1154766,-3.461775,0.30851072
650,4.3542633,-1.5629259,3.8069682,-1.7828703,-0.89053994,0.6058746,-1.3677397,1.5592936,2.6597662,-1.1003467,-1.9074306,0.31501043,2.3840244,-4.6769567,-4.3504744,-0.25713688,1.0614599,-1.2494676,1.1756285,-2.9528863,-0.7724937,2.7431636,1.3974367,3.793129,2.1122842,-0.48509413,-3.0412612,-2.105994,2.0333166,3.524909,-1.8256443,-1.6236502,3.4125998,0.52654606,1.4570473,-0.5659635,2.1459742,1.7043986,-2.101624,-2.1465461,-1.3902462,3.7627254,1.1869129,-6.4127603,1.4485435,-0.47247544,1.3220423,2.7460763,2.249458,-0.8093041,0.09783823,-3.773643,-2.2387385,0.016539866,-0.7215085,0.84822625,-4.210937,4.8019614,4.242002,1.3773489,-4.659891,-1.34031,-2.4793503,0.27780712
666,0.27669838,-1.7767909,3.2479854,0.7735096,-1.48407,-1.9915131,-0.34177032,-0.2807044,2.259394,-2.3834722,0.19402397,-0.86538213,2.9704287,-5.994692,-3.8013155,-0.9975556,5.6775846,-2.312973,2.1537476,-3.1617494,0.23510836,3.5394723,1.7275909,3.7979364,2.5518072,-1.0417153,-2.5057237,-2.3620028,3.2848759,2.4163527,0.16281876,-3.4986346,2.7091014,0.7533039,-2.4677463,-0.27249345,2.7482266,1.6189386,1.222193,1.8825881,-0.30170128,2.4402878,2.1182225,-5.0494895,2.231066,1.3707501,1.978809,1.4052496,-1.9810097,-0.4949957,0.84887403,-4.314887,-0.8421119,0.4903373,0.81534475,1.460508,-4.221957,5.252159,3.1419437,-0.24809669,-1.0334779,-0.2741952,-0.6568823,1.6889187
700,4.603535,-0.61529374,3.5934784,-1.7452887,-1.7330213,1.8794512,-1.315908,1.8381808,3.8857045,-0.68344945,-2.5067387,-0.32631356,2.4779768,-4.8313646,-3.7124918,0.014615402,1.3813668,-0.4941036,0.31889695,-2.148394,-0.8773874,3.0744274,1.4110501,3.660187,1.9609232,-0.66019285,-2.8686802,-0.46478546,1.1718652,2.8552568,-1.3665289,-2.745207,2.861099,0.39194804,1.6172497,0.6119395,2.5473163,1.7868742,-2.242886,-2.046394,-0.74841374,3.956946,1.9598129,-6.037415,0.57540107,0.9611878,0.9396989,1.0136666,2.1464999,-0.807205,-0.47945854,-3.3985815,-1.9169139,1.7317988,0.0028981306,0.4953578,-3.581913,3.8972607,4.0814033,1.3265741,-5.0250597,-1.9961127,-2.4310231,0.5914843
747,4.1269207,-1.4467494,3.8540444,-2.102272,-0.9018326,1.4556376,-1.6708782,1.7454393,3.2604113,-1.3983827,-1.288042,-0.6112222,3.014714,-4.6220593,-3.8698719,0.018022276,1.0879326,-1.108808,0.6783531,-2.724285,-0.71983707,3.2733264,0.6685611,3.966701,2.1221051,-1.497116,-3.0515723,-1.2387359,2.2506654,3.8970726,-2.260338,-2.2913003,3.3066585,0.21926247,0.9207977,0.17882642,2.484458,2.1814964,-1.8774806,-1.9735478,-0.42550528,3.620694,1.2230108,-6.675577,0.8442304,0.50650716,1.6173697,1.798133,1.7723225,-0.56335825,-0.3261953,-3.7413597,-1.9569665,0.95374775,-0.76153696,-0.17903744,-3.534883,4.893191,3.9077716,1.6113702,-4.679577,-0.85800403,-1.9468391,0.37228996
858,-0.3459031,-0.6995026,3.4284027,1.9455103,-1.5886422,-2.3892808,0.3749232,-1.7687142,3.0738122,-2.5357544,-0.6055856,-0.6422613,3.20784,-5.3137565,-3.5966883,-1.0972422,6.167074,-0.8613744,1.4626147,-2.1424854,0.18537717,3.632213,2.5692332,2.9373372,1.4335101,0.39214468,-2.7677267,-0.4536265,1.7039763,-0.34600866,1.1317785,-2.9941232,2.1953928,0.15686025,-4.4753003,1.1040785,3.2936285,2.6853456,1.8198236,3.6452882,0.3314672,1.7983801,1.758509,-3.2041545,0.4568206,1.899475,0.87186956,0.17759722,-3.3821592,0.08801555,0.05978512,-3.2486115,-0.8153225,2.4440124,0.90573496,0.950133,-2.8540435,3.7081952,2.8183017,-2.1242893,0.9697971,-0.88295954,-1.1161063,3.488041
875,3.3336515,-1.1948112,4.988714,-0.3704793,-2.6079314,0.16241716,-0.652111,-0.07227354,3.246535,-1.5143889,-1.4268925,-0.0793889,2.5296376,-5.818866,-4.505065,-0.7454086,2.0092196,-0.8591175,0.4620728,-2.4742606,-0.5788219,3.2801118,1.2934223,3.0625985,1.8287785,-0.041200936,-2.4692004,-0.7267407,1.2332537,2.3319366,-1.5947995,-2.6921105,2.5206585,-0.18437114,0.38646418,1.5384593,2.338443,2.8748813,-1.1104474,-2.4262364,-0.5963341,3.4940162,1.0091287,-5.5888085,1.8637353,1.4054586,2.1814911,2.6525912,0.37777776,-1.2725525,-0.5861784,-4.5911565,-1.8684678,2.459175,-0.20337151,0.73864913,-3.6318238,3.8273535,4.769562,0.919432,-4.1882305,-1.6506169,-2.790176,0.5834906
