,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
50,6.650897,0.20929067,3.411127,0.2461614,-1.589059,1.2476345,-2.3212855,2.1418605,5.5057917,-0.6758475,-1.4808351,-0.22062199,4.1611047,-4.724466,-1.738685,-1.8307719,0.818945,2.0957158,1.3826517,-1.8742126,0.008816011,2.4032865,1.3873159,5.2750897,2.110723,-2.9778807,-2.6478164,-1.2735914,0.03175076,3.0490525,-5.4705777,-0.25574923,3.5560973,-0.19393125,-1.5195985,-0.4034193,2.6253834,3.4066386,-1.1798776,-2.761335,-1.6750453,2.2747858,0.8201192,-6.865604,0.22923937,-0.1546898,0.48698816,0.06793578,4.414365,0.26923215,-1.0056698,-3.0766973,-1.4531139,-0.38556653,-2.0136871,0.8088979,-1.7956759,2.3089938,2.6313248,-0.9061056,-5.5186768,-0.70842457,-3.5774813,3.0627117
58,5.7567306,1.6007112,1.0613234,5.4282637,-3.8115962,-0.5522147,0.97273797,1.5339674,10.152655,-3.4150105,1.9626088,-0.24412744,7.450783,-9.0452175,1.024279,-3.2690403,6.839729,4.213832,3.2110033,-2.3312345,2.7883492,0.23071752,2.9297674,10.393704,0.8899621,-5.009133,-2.1645312,-1.3483742,-5.393057,-1.703976,-9.017465,-2.4165456,1.531415,3.7276325,-8.889555,-3.1232886,2.932769,5.441972,-0.5590242,1.6602827,-0.7801869,0.07105832,1.8313597,-6.60806,-0.7519443,1.4100282,0.3739199,-7.3748355,3.9125917,1.5389167,-3.1926193,1.4157681,2.7058516,-3.229077,-2.3313067,1.4985976,-1.2968706,3.652286,-0.4669962,-4.983776,-5.6425323,-0.82484496,-2.00757,6.3860736
124,3.772897,-2.6788285,4.313649,-2.6199498,-0.21008407,0.81862515,-2.5347106,0.17621265,2.2316673,-1.5848274,-0.8819498,0.13273922,1.7553306,-3.2950466,-3.102622,-0.7713427,0.3324745,-0.9006835,0.78336936,-1.9734614,-0.34136662,3.1970534,0.80758166,3.3879066,2.0014648,-1.3373479,-3.124923,-1.239571,2.7123415,3.301547,-2.7929018,-1.2028006,3.2732909,-0.7701534,0.40063694,0.9880084,2.7884026,2.9729276,-1.7632805,-2.1988823,-0.4531508,3.4989316,0.35941964,-5.9189153,0.50157475,0.34868518,1.9426117,2.5165694,1.5128739,-0.16932629,-0.20768145,-4.2874913,-1.64052,1.3254045,-0.10123463,-0.40404642,-4.03944,4.462834,3.7289789,1.5751977,-2.8197622,0.39393577,-1.9444693,1.2009441
326,0.90676343,-1.3721151,0.9293278,-3.5145154,0.82904863,1.7198333,-1.7533551,2.2355683,-0.030284256,-2.8223598,-0.8591062,0.40960318,3.361438,-3.261338,-2.462858,1.3412117,2.5873566,-2.2243047,0.6740151,-2.8788362,-2.8109906,2.99222,1.357106,3.1006386,0.3064663,-4.2406898,-4.9279504,-1.499521,5.8950157,3.7555766,0.039670378,-3.454119,1.9223696,0.81621736,-1.1104152,-0.6515113,4.277023,1.0325375,-2.0270853,0.82031065,0.49323797,5.2041,1.8574106,-4.886039,1.7886971,-0.9251418,1.6750858,1.926712,-0.55350375,-1.221966,-0.41983688,-2.566897,-1.5392815,1.3397847,0.5893616,-0.9590855,-4.202646,4.5287175,2.6638846,1.9543351,-4.068755,0.95754737,1.2145454,1.8036377
340,2.6300497,-1.4110954,2.4489777,-2.358798,0.3613368,1.2783973,-0.86331874,0.3947786,3.0763133,-2.0178852,-1.1095349,0.55076146,2.146738,-3.9312506,-3.1160536,-0.46394897,2.4622772,-1.4271916,1.4272771,-2.9471488,-0.9719595,2.5453365,2.3977058,3.2991433,1.6038299,-1.4425284,-4.347513,-3.0479224,1.348776,1.9579263,-1.6474301,-1.4372027,2.426384,1.8432688,-0.17198071,-0.57130474,2.5951617,0.81335276,-1.6275265,-1.5936892,-1.1411545,4.078116,2.535846,-5.5401216,1.187798,-0.9845075,0.7605502,1.499445,2.1633556,0.036356382,-0.42435676,-2.2259784,-2.1233356,-0.47345042,-0.084179714,0.5445952,-3.88565,4.8540773,3.323667,0.3450973,-4.271126,-0.15550537,-0.82657117,0.49856853
346,3.6834826,-1.90017,3.6820478,-3.3233874,0.3454185,2.4958172,-0.88984436,1.5771447,1.7193953,-0.25042254,-2.3838828,0.6610912,2.7995324,-2.2645447,-3.9583304,0.90759754,0.34460548,-0.669272,0.19799642,-2.6870081,-2.1286998,3.6890752,2.201898,3.3030648,0.42768788,-2.2018178,-4.3227534,-1.2073156,3.0147517,3.3147073,-1.5377321,-1.1335845,2.5067759,-0.087546036,1.216792,1.2075905,3.1200633,1.5301574,-2.492883,-1.7689402,-1.7373309,4.820928,0.7937292,-6.151916,1.135813,-1.2258241,1.2855461,1.7705564,2.0044851,-0.27143157,-0.66940415,-2.9754987,-2.7764175,1.92157,-0.2149646,-0.020374343,-2.9760659,3.8175154,3.8201928,1.4720349,-5.6008997,-0.1313885,-1.267433,1.1490214
389,4.0819283,-2.6324143,0.3203389,-4.0524817,0.63679016,2.5864446,-1.6654288,3.1101909,0.1907503,-2.0268128,-1.5274696,1.1192561,3.35117,-1.656865,-1.9505728,2.0623002,1.5060645,0.07354469,-0.08485858,-2.757612,-1.7305783,2.2427285,1.9019213,3.967998,0.88385946,-3.364563,-5.1250496,0.13710769,3.6055405,3.7499769,-1.5997121,-2.8952808,2.2864614,0.09411013,0.7001019,-0.6266687,4.372194,0.6452326,-4.465957,-0.9130013,-0.63203865,4.3711715,2.4566076,-3.719984,2.2041156,-1.1780838,0.6076717,0.6364481,1.7369422,0.3501864,0.62169176,-2.5748801,-2.0369596,0.8877378,0.99549425,-0.37317324,-3.6908424,3.6795416,1.9761806,0.9908939,-4.887191,0.26439512,0.07839619,2.3892555
568,3.964785,-2.2253451,4.3210325,-3.9802694,-0.23156808,1.8334603,-2.0214486,1.5336245,2.3571424,-0.57478267,-2.0768492,0.19989793,1.2593988,-1.7794214,-2.6678977,-0.27515495,-0.5245025,-0.72625995,-0.10538104,-2.5827315,0.10228144,3.0385804,1.5189805,3.587862,1.663898,-1.4798434,-3.917357,-0.3852504,2.1684527,3.0637512,-2.6290002,-0.08916457,3.9549942,-0.14614539,1.4974506,1.1672217,2.7215402,2.7094636,-2.988171,-1.9829886,-1.0105069,3.8072305,0.054118045,-5.4627957,0.07194696,-0.21756634,0.86561936,1.6562723,1.779746,-0.17737497,-0.5567993,-4.2164392,-2.2450778,1.7753812,-0.09490882,-0.73851454,-3.8453,3.8599362,4.032439,0.44181013,-3.3840287,-0.71718687,-3.1184778,1.7348255
580,4.904879,-1.5136049,4.315088,-2.4569151,-1.0831164,1.2815368,-1.3845239,2.0069044,2.4619706,-0.29952046,-1.6430694,0.12915474,1.9728543,-2.9464257,-3.4720573,-0.57316655,0.03092695,0.8385477,-0.00430806,-2.8689206,-0.07348086,2.5361345,0.5085851,3.0016153,3.2229958,-0.41401702,-3.3206315,-0.33860284,1.4818469,3.1720562,-1.969389,-1.2831223,4.279299,-0.9368384,2.3406038,1.2092798,2.7935543,2.2630303,-3.2775614,-3.738799,-1.7455342,2.9993615,0.23978055,-7.0284286,0.5952543,0.5797915,1.2439407,2.4855819,2.1972783,-0.016964342,0.21435371,-4.672909,-3.2237208,1.9379535,-0.21487606,0.253896,-3.4596624,3.2194576,5.5358515,-0.25878328,-3.9546692,-1.7970183,-3.6085758,1.2948916
683,1.3600308,-2.2171538,2.9022582,-1.5411885,0.6039403,-0.26706398,-1.1568798,0.0012281388,1.9247704,-2.5030828,0.52611804,-0.48156446,2.259446,-4.455756,-3.6421611,-0.2831967,3.446328,-3.1099305,2.0277777,-3.293952,-0.63962615,3.5358505,1.8897758,3.4346774,2.3808208,-1.548015,-3.5385914,-3.2882159,3.3775678,2.9505792,-1.5114832,-1.6888676,2.5926213,0.82766443,-1.1291292,-0.67345786,2.1507957,1.1301107,-0.089326575,0.2488786,-0.3415104,2.8600292,1.616903,-5.9519305,1.7451612,0.07345477,2.1008554,2.062301,0.3668567,-0.35805193,0.21284083,-3.3941293,-2.281079,-0.39790955,-0.17461744,0.6140091,-3.604083,5.9369607,2.94555,1.3070818,-1.9130292,1.1218761,0.21681993,1.0371456
