,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
84,0.26727492,-3.6039631,1.4524279,-4.0890045,1.646661,0.3246979,1.04632,-1.280891,0.9931774,0.639544,-2.0460286,0.18090649,-0.0034745932,2.049065,-1.3807522,0.31129593,-0.013267614,-1.2581016,2.1285267,-1.0213275,1.4574645,1.6789318,0.8195782,-0.081089735,-0.47833347,-0.69139993,-2.320508,-0.8100299,2.579376,2.2766812,-2.9119654,1.3581264,-1.1679871,-0.7961801,-2.3174834,1.8550807,2.3228996,-0.19267716,-0.26513922,-1.5886338,-2.696809,1.7465303,-1.3121771,-0.41638893,-0.49165532,-3.0932736,0.9955334,1.2840166,0.41609877,2.207504,1.0789672,-1.793019,-0.8358032,1.254348,1.0613307,1.3016673,-3.9820728,1.9820865,-1.6013056,-3.3147562,-2.2357562,-0.32108545,-0.61965376,0.021619357
93,0.8865508,-3.3800073,1.3408442,-1.35598,1.0898029,-1.0953456,0.68309087,-1.8733133,1.8503661,-0.78421074,-1.9120317,-0.70059824,0.6833967,-0.038426302,-1.2626203,0.24855441,2.2346952,-0.5350023,2.34533,-0.039705787,0.8822005,2.4239743,0.99561334,-0.27167517,0.86609465,-0.6417623,-2.3856323,-1.6153299,2.672567,1.5342382,-3.2314937,0.79102004,-0.7376187,-0.8172872,-4.130663,2.0875394,2.6602948,1.4847238,1.9152035,-0.2410929,-1.6733508,0.7339967,-0.96934533,-0.27159095,-0.6754774,-2.7140722,1.0300237,1.8884931,-0.0085796565,1.557998,1.4417826,-1.3678294,-1.1170961,1.3995986,1.1713526,1.1569976,-2.7934618,1.8508695,-1.3678055,-1.8701996,-0.13108593,0.95592993,-0.41675648,0.40719914
140,-0.35244876,-3.939922,1.0855169,-1.6599442,1.6980094,-1.5887251,1.5655942,-1.7620533,2.072293,-0.74785507,-1.6332684,-0.8418677,-0.2638616,-0.13027813,-1.1049157,0.051272154,2.444557,-1.1773802,3.2913368,-1.5711145,2.3895156,2.7379177,0.63908327,-0.78672826,2.2262557,-0.5992756,-2.0658476,-2.2772717,2.5011578,2.0782673,-2.1075885,-0.073448844,-0.8512803,-0.6476598,-3.11743,1.5972402,3.609736,-0.29415542,2.5080824,-1.8897042,-2.3429058,1.2000949,0.69910157,-0.61991644,0.16306059,-2.230651,1.6615669,1.4022802,0.4966957,2.491273,2.5455167,-1.3831947,-1.2983248,0.46053463,2.346103,2.1478724,-3.4359944,2.8038301,-1.5235868,-2.267881,-1.6151406,0.91536474,0.117885716,-0.7396827
256,0.888997,-3.7032194,0.8983836,-2.1812382,0.31026015,-0.46419835,2.3529396,-1.0622424,1.6369474,0.26990724,-2.575561,0.06999291,-0.114696145,1.5864526,-0.7255193,0.33822596,0.5322527,0.85658085,1.9497924,-0.49896356,2.0763347,1.8244277,-0.006391138,-1.7225624,1.9459474,0.11010097,-1.9104028,-0.4258026,2.210647,1.9048438,-1.9690905,-0.16321321,-0.93792707,-1.4642369,-1.5735271,3.6077182,4.1015515,0.35025418,0.45656756,-3.979131,-3.6077094,1.1537731,-0.25399366,-0.50648373,-0.6966189,-2.5202389,1.0551444,1.2347581,1.5999689,2.352142,2.8431582,-1.7134221,-1.1882304,2.580513,2.2071867,1.410563,-2.9120533,0.80909705,-0.09755708,-3.262555,-2.2555525,-0.4096889,-0.98158693,-1.141056
345,3.106268,-2.9974673,1.264466,-2.6921146,0.97794056,0.34834552,0.6288442,0.44260982,1.625677,1.180432,-2.5534894,-2.2089493,-0.35398808,1.791104,-1.0556167,1.6611711,1.4223958,0.5249345,0.6346362,-0.36292452,1.7065167,2.362172,-0.5516678,-1.4881814,4.1627502,-0.8592372,-2.9465237,-1.2019097,3.7978637,2.1919103,-3.2466288,1.8126554,0.6385262,-1.6101106,-1.2256235,3.9918098,2.5394511,0.6179317,-0.37421897,-3.4952745,-2.7054307,0.5528573,-0.9403681,-1.7744235,-0.6025437,-2.4814808,0.4050689,2.3097727,1.0328578,2.3453732,3.0548797,-2.078475,-3.2658722,2.7408452,2.1166396,0.38698763,-1.5758641,1.291495,0.8431846,-2.4996758,-0.73699296,0.4283216,-2.1042051,-0.95309436
360,-0.75570875,-3.6760447,2.258555,-1.6863246,2.1151972,-2.0400739,0.5546985,-2.3706431,2.2931223,-0.82489526,-2.5699363,-0.4513452,-0.56611943,0.64742017,-1.5385693,-0.22621547,1.1990745,-1.6131673,2.8880389,-1.0342214,2.1051264,3.6284018,0.556901,-0.90821815,2.0098789,-0.21879436,-1.966356,-1.624819,3.3402753,1.8586901,-1.2664199,0.38350105,-0.06508011,-1.2697275,-3.5751164,2.6027029,3.8016365,0.7524806,3.0304983,-1.6902801,-1.5036976,2.2727673,-0.34700412,-0.6013035,-0.39663377,-1.8191622,1.3092594,1.9576964,-0.26819444,1.9765003,1.9891993,-1.9484415,-0.56953394,1.9046725,2.0692449,0.99228555,-3.3174012,2.6988275,-0.73991084,-2.1735327,-0.5305394,0.57092035,-1.141888,-0.8042449
430,-0.8659823,-3.107016,1.6037786,-1.6339577,1.7062823,-1.0441395,-0.46924013,-2.2233417,1.6646854,-1.9524944,-2.2805886,0.052884184,-0.3163191,0.4118532,-0.5308782,0.28003275,1.8303114,-1.5911182,2.2459853,-0.6394381,1.0938177,3.7581654,2.0586834,0.233792,0.12493324,-0.6822472,-2.5006828,-0.9144586,3.3958805,1.1538962,-1.3269534,0.42063612,-1.9874611,-0.6715278,-4.652435,1.9347448,2.3850331,1.2702707,1.7404732,1.3099926,-0.5782131,2.2420964,-0.5290025,0.19294804,-0.70086575,-1.8208959,0.8237494,0.813361,-0.5196947,0.5318606,0.33477426,-1.3354348,-1.0521612,2.0539424,1.7225852,0.9405635,-3.1915061,3.0761645,-2.406974,-1.3274636,0.8459903,2.006741,-0.16349548,1.3292643
478,1.0767996,-2.8754654,1.7860303,-1.7719971,0.52159923,-0.5392862,1.7982442,-0.69964755,2.3813026,1.4289111,-3.038609,-1.7490453,0.6658796,0.77874947,-1.6687424,0.4580726,1.1394718,1.4048818,1.5559411,-0.85049087,2.1755571,2.5252378,-0.6164664,-1.0043797,2.6060553,-1.0877339,-1.7623855,-0.67328316,3.2757537,2.4701412,-2.9996946,0.34946924,0.22456211,-1.3563374,-2.4820614,4.3273983,3.79921,0.49333662,1.733291,-3.4361727,-2.7066634,0.7274504,-0.2979125,-0.6108856,-0.11591246,-1.5047388,1.3480775,1.183119,0.5422313,3.302511,3.0255423,-1.8618226,-1.6584235,2.9226668,2.1287842,0.8488526,-2.595337,0.39900142,0.23148938,-3.6097653,-3.2094083,-1.0332938,-1.8642601,-1.2473216
509,-0.68110603,-2.912969,1.6226523,-0.5496551,0.32767436,-1.6115475,2.5109985,-1.9129167,2.874569,-1.500026,-2.0499244,-0.055208802,0.44139072,-0.116222516,-0.95393693,-0.11861502,2.4623206,0.12900412,2.5927088,-1.154437,2.439933,2.5336866,1.186874,-0.8754028,2.123944,0.18199266,-1.7131137,-0.31333104,1.6866571,0.9968765,-1.354806,-0.8882028,-1.320183,-0.81621915,-3.6191306,3.2016633,4.072966,1.2547072,2.125621,-1.9825153,-2.3592403,1.0973176,0.47348803,-0.23059127,-0.6296319,-0.8050923,1.338154,0.15280752,0.46200156,2.4440737,1.7669574,-1.2340367,-0.72776717,2.473627,2.6597152,1.4362259,-2.7372735,1.7690787,-1.0619861,-3.7097256,-1.0924617,0.15473843,-0.63272953,-0.08108251
594,-0.11595422,-3.9151258,1.660852,-2.9029052,1.6401874,-1.4451064,1.6665597,-1.6243361,1.7862089,-0.47312513,-2.5399625,-0.6505481,-0.17032325,0.83995736,-1.2350807,0.37018007,0.85324335,-0.34914896,2.6222878,-1.5114486,2.5245306,2.6864533,-0.19290835,-0.7403531,1.7776024,-0.9009064,-2.390685,-1.567978,3.0121825,2.274335,-2.6605737,0.5766189,-0.6496427,-0.66966176,-3.0492363,2.2543252,4.0304275,0.1252908,2.1133902,-2.4168465,-2.5893476,1.5702822,-0.41239083,-0.4046469,-0.09087242,-2.8956869,1.8113922,1.557985,0.6560726,2.5446796,2.4393475,-1.5632997,-1.1586615,1.1738181,2.0953405,1.2690071,-4.0938387,2.1416726,-1.2738148,-2.816001,-2.5542731,0.36161995,-1.0412445,-1.1371727
