,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
101,1.3342456,-3.2999098,1.23616,-3.0872889,0.75785065,1.0385206,2.0603964,-0.9623319,2.588416,0.40873206,-2.632745,-0.04340104,-0.08274114,2.0394988,-1.3847808,0.77249503,0.11241577,0.03218434,2.0169187,-0.693562,0.8002116,1.5944091,0.5978668,-1.6281549,0.33165652,0.10953529,-2.613727,-0.54150933,1.9846835,2.265606,-2.6404638,0.7086863,-2.4841764,-0.8482707,-1.4744986,2.9968631,2.8332827,0.12786287,0.065280825,-3.2856154,-3.3002021,1.2646623,-0.76309675,-0.62185955,-1.5140105,-3.0722904,1.051238,1.2303777,2.467874,2.2932572,1.4896772,-0.5154803,-1.6676589,2.550981,1.9125195,1.5210165,-3.4648223,1.1425693,-1.0877395,-2.9414215,-2.9886444,-0.0045615137,-0.4099683,-1.3539803
111,0.35069716,-3.3205023,0.6239772,-0.4324472,-0.17915979,-1.4103904,2.920477,-2.2198126,2.8021753,-0.27550754,-2.9837492,0.166794,0.14331111,0.49479255,-1.0848988,-0.31089228,1.7446848,1.334259,2.9766624,-0.7106553,2.3218687,2.0587258,0.53266037,-1.7920785,2.2330897,0.46491587,-1.2304999,-0.71090686,2.0210829,1.7534732,-0.9041147,-1.1306659,-2.0234632,-0.9975885,-2.511292,3.4172606,4.7861004,-0.016329773,1.7952183,-3.4689198,-3.8031313,1.7707981,1.3037726,0.05355539,-0.46756253,-2.1537669,1.2713267,0.8815553,1.5224198,2.657931,3.2752657,-1.0708442,-0.704877,2.3539214,2.89968,2.681439,-3.9859009,0.714308,-0.85575384,-3.6042192,-3.4314752,-0.7815215,-0.7085847,-1.7388538
516,1.495121,-3.9082627,0.83349603,-1.8911707,-0.24556528,-0.3038172,2.4343786,-1.626919,2.2529235,0.32085496,-2.0198638,-0.26013374,0.1870416,0.22333536,-0.8370479,0.14700928,1.4124652,1.0669091,2.342043,-0.03971351,2.4344838,1.3008447,-0.08441165,-1.2777815,1.3749151,-0.4525528,-1.3150098,-0.64313257,1.8749473,2.4448693,-2.9351134,-0.82858527,-2.2934735,-0.8708258,-2.8501742,3.4307725,3.621151,1.1060362,0.45164362,-3.711448,-3.351951,1.2160379,0.05070477,-0.5045055,-0.08186318,-3.021953,1.4297993,1.2601614,1.573712,2.6357172,2.3795736,-1.6305528,-0.57243687,2.3751166,2.563822,1.7521331,-3.7982504,1.3750043,-1.1374276,-3.4418383,-3.5135176,-0.4631303,-0.28244957,-1.4960641
520,1.6332805,-3.0972645,0.89366555,-1.9107305,0.5278814,-0.30693614,1.9679778,-1.0503621,2.9298809,-0.37332374,-2.6882534,-0.16777395,-0.12728336,1.456068,-0.65344596,0.66067487,1.3030815,0.73232067,1.967943,-0.6581435,2.0833218,1.7530679,0.52858424,-1.699305,2.6593478,-0.15609936,-2.3044553,-0.55928344,2.3123572,1.9790447,-2.437147,0.12142421,-1.3171502,-0.8144313,-2.2544897,3.6535842,4.022141,0.8755988,0.45244893,-3.7316678,-3.3105502,1.4343053,-0.15006997,-0.7414046,-1.2889835,-2.6014438,0.7702556,0.9846002,2.1016848,2.678557,2.5525804,-1.0035207,-1.5482434,2.4560304,2.62373,0.9515279,-2.9247496,1.091666,-0.36772954,-3.427445,-2.1050363,0.18243766,-1.1389624,-1.2231067
528,0.7524116,-3.5261984,2.1522865,-2.6478696,0.6216251,-0.547024,2.2273538,-1.3776944,3.3477197,-0.24809577,-2.6484652,-0.6091045,-0.4401771,0.8474442,-1.3090912,0.30913633,0.7441079,-0.33583766,2.3765006,-0.99385494,1.8056053,1.8964801,-0.038838074,-1.8548309,1.3257627,-0.22134033,-2.1657448,-1.1532612,1.9647661,2.3235228,-2.7898104,0.5872478,-1.4197754,-0.5800167,-2.5021288,3.2661626,3.3980849,0.70676094,1.7307817,-3.6189072,-2.812271,1.239405,-0.9225073,-0.9857852,-1.2110339,-2.7658346,1.8797371,1.7552211,1.6344857,2.4095783,1.6495881,-1.0092859,-1.2139952,2.093345,2.1564617,0.7998317,-3.6324735,1.3537345,-0.7367934,-3.0459359,-2.3710222,-0.01528348,-1.261592,-1.9041737
536,0.32638368,-3.3325162,1.8279746,-2.3202772,1.6436262,0.19766025,1.3931637,-1.1069498,2.524804,-1.0764574,-1.9611793,-0.16503337,0.7279128,1.2433364,-1.5610377,1.4047602,1.230899,-1.1206794,2.6271226,-1.2363391,0.9268963,2.5662484,0.8646531,-1.06616,1.6568866,-0.07451786,-2.6571815,-0.8802752,3.7642424,2.6966848,-2.1475437,0.18708073,-1.7619599,-0.961527,-3.1029863,3.6093788,3.5040674,0.9856441,1.2342412,-2.8358824,-2.0956073,1.781325,-0.360586,-0.5862723,-1.0608283,-1.9965554,1.4472985,1.3818123,0.97910845,1.9591432,1.6798556,-0.92080516,-1.2982558,2.7053401,1.9841247,0.13340716,-2.6538699,2.3754685,-1.1926352,-2.0621295,-1.822614,0.9724771,-0.13250355,-1.7632722
545,0.09734074,-3.0215635,-0.22731057,-1.0522271,1.8234829,-1.6743691,1.0111982,-1.6908389,0.98309994,-1.4446956,-1.9479516,1.8122387,0.45976043,0.66543007,-0.9295775,0.8346794,1.160462,-0.0013052523,3.2842643,-1.3179821,1.9983045,1.9087303,2.1135974,-0.3742481,0.59955764,0.13927226,-1.6846367,-1.8036664,2.573018,1.8762114,-1.7749848,0.72702557,-2.2802985,-0.57458854,-3.6562173,1.161338,2.438031,0.35145485,0.71624804,-0.38966706,-3.0559754,1.7828426,-0.78870547,-0.18313959,-0.64766765,-4.1844764,0.26775846,1.2335263,0.89201915,1.2269516,1.7697253,-0.9390821,-1.7719208,-0.66053796,0.7196265,2.0113711,-2.783697,3.1097536,-2.6128778,-2.426173,-0.9455569,0.81805223,0.357611,-0.23308693
617,0.7513461,-3.7243493,1.9652116,-1.7084917,-0.41055956,-0.31258354,2.8117106,-2.1321473,2.194301,0.52806103,-2.501395,-0.53675884,0.5418967,0.282407,-2.0629845,0.38493317,0.8176625,0.4806045,2.11894,-0.41868177,1.4682057,1.7992759,0.16668287,-1.8782325,0.68818647,-0.13977975,-1.2375156,-0.64237076,2.5396068,2.5272202,-2.9958866,-0.21114384,-2.2950664,-1.287173,-2.3397458,4.4117284,3.0723722,0.7408628,1.205321,-4.191769,-3.309672,1.1785164,-0.62988013,-0.42726278,-0.015911289,-2.5828264,2.2554917,2.258216,1.1036317,2.2340052,2.0379808,-1.6437284,-1.1669806,3.2020388,1.8460933,1.6790649,-3.3303328,0.91962266,-0.7692184,-3.037536,-3.920934,-0.76930374,-0.83478844,-2.4695833
729,1.6245912,-3.3042867,2.3240247,-2.7737832,0.23942284,0.46281987,2.5429175,-0.5974662,2.8801134,1.0704085,-2.9727573,-1.799854,-0.1204693,1.2472597,-2.2527106,1.5839473,1.2288607,-0.4978241,1.1153492,-0.73779875,0.555142,2.0137224,-0.023276493,-2.1147182,1.1610377,-0.47779983,-2.9256456,-0.8763673,2.8066225,2.5003052,-2.3561811,0.8854027,-1.4752356,-0.75202066,-1.6803249,4.006681,2.5748725,0.10223543,0.64849544,-3.4388545,-2.8152037,1.357918,-1.1290591,-1.3550631,-0.28456917,-3.043264,1.9994339,2.5668952,1.0162694,2.2853918,1.8136883,-1.144848,-2.5351772,3.610565,1.9923973,0.865555,-3.025133,0.5892446,-0.07332844,-3.0608747,-3.0311117,-0.3860016,-1.7340952,-2.2136858
793,-0.6231506,-2.948399,1.731262,-1.000532,0.41730854,-1.6074711,2.0388358,-1.8744718,2.397593,-1.6617244,-1.7722744,-0.19688584,0.54660785,-0.20936185,-1.1751662,0.19223078,2.537296,-0.49860042,2.5267162,-1.1835378,1.865015,2.5399218,0.6335398,-1.3552804,2.2395425,-0.23344953,-1.8452024,-0.61634904,2.8542082,1.9235339,-1.4487584,-0.57092935,-1.2051724,-1.259049,-3.681312,3.1572745,3.8216283,0.99125665,1.9823086,-1.9983469,-2.2123456,1.3539829,0.106169425,-0.98960584,-0.583053,-0.95533043,1.8045763,0.7011935,0.25987718,2.1634471,1.6071489,-1.6270912,-1.0792983,2.5373342,2.5873528,0.8814909,-2.765498,1.8844914,-0.8224424,-3.1842697,-0.770202,0.76259816,-0.38060895,-0.3746493
