,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2,6.6313047,-0.21847977,-0.21489856,0.9951574,-0.2837328,1.65827,-1.7581388,1.4451795,3.269742,-0.42469585,-2.1657648,-2.4116788,0.1622828,-0.020121083,-0.8363612,4.0124736,4.8472686,-1.1230798,-0.91569763,1.2584274,-2.0891209,2.5498843,2.8994706,-0.03749831,3.0792,0.10511167,-3.8229635,-1.2076137,3.3951125,-0.05827354,-2.4413745,2.475613,-1.3016518,-0.26422054,-2.3993542,3.7583795,-2.018802,2.2217429,-2.2138436,1.977466,0.054932,0.0069707497,-1.4964639,-1.6744117,-1.2477062,-2.4671695,-1.270088,1.6594121,0.31128275,-1.0511948,-0.2537327,-0.41644844,-4.348408,3.6850283,1.0407629,-0.0290884,2.1194432,1.7144911,0.029792085,0.5318427,4.3928185,2.7846227,-1.7427346,1.4389497
188,0.35222316,-2.3119652,0.7629157,1.9868501,-0.5015839,-2.3506525,1.0987972,-1.093802,2.5012028,-0.75726587,-3.3254294,0.14308943,0.60371137,0.30806974,-1.2809463,0.56814057,3.8126683,0.0010644495,2.7927094,-0.4586709,0.6776576,3.2618477,1.8198872,-0.89908004,2.2563083,0.68760437,-1.1989111,0.14229573,3.448662,2.2034314,0.5335642,-1.0243593,-1.5098932,-1.4209695,-3.5737624,2.9993017,3.339122,1.1657913,2.6409135,-0.70932037,-2.673263,1.1734862,-0.19869049,-0.448771,-0.89705455,-1.1388646,0.48632154,0.58642685,0.041739732,0.9298811,2.3617163,-2.202569,-1.0214972,3.5987933,3.3124764,2.6075497,-2.3000922,1.0890725,-0.76140034,-2.5500183,0.6759787,1.0474176,-1.1852014,0.433531
242,0.4073065,-2.2196224,0.81404716,0.05567766,0.9017255,-0.7810801,1.2906278,-1.5878698,3.1203196,-1.5165484,-1.992074,0.541852,0.5045434,0.93203783,-0.70932263,1.0119419,2.2561913,-0.8395927,2.7572277,-0.79677236,1.0543286,2.5103815,2.5857656,-0.8029052,1.6042848,0.7822263,-2.0116174,-0.058296576,1.9078935,1.098048,-0.9606714,0.18176918,-1.921368,-0.98246586,-3.258982,3.0815814,3.0863721,1.220741,1.1732272,-1.5225477,-2.106749,1.3027177,-0.8813695,-0.82016015,-1.7290719,-1.5856208,0.83248013,0.39250043,0.9481776,0.9575116,0.83963794,-1.0504421,-1.2340677,2.7779782,2.3218782,1.202468,-1.0779371,1.6885651,-1.6141055,-2.3760455,0.05241514,1.3584764,-0.44303724,0.20583916
416,-0.9167348,-2.7773194,-0.8534742,1.1533544,0.9462588,-3.4072924,0.02923768,-1.4014031,1.4786026,-2.1030219,-0.73092854,-0.7394609,0.8193747,-1.3851848,-0.10351518,0.6939389,5.595692,-0.43028778,3.3885782,-1.6117083,1.7317549,3.180128,1.2194722,0.250667,3.2278836,-1.2454922,-2.364957,-2.2148054,4.9065638,2.28491,-0.3807203,-0.8356008,-0.9621852,-0.12385054,-5.339289,0.67651606,3.1230478,0.0896074,3.2038996,1.8403491,-1.1467402,1.1947987,1.4132859,0.030183576,0.44680926,-1.3723154,1.0104907,0.19908352,-2.0557282,1.3299725,2.2824788,-1.8506483,-0.63193417,0.7474522,3.5068872,1.9168422,-2.6547034,3.4453988,-1.3384396,-1.6229923,1.0875951,2.2593663,0.783654,0.90574634
569,-1.4900954,-1.5083296,0.8806999,3.2957966,-1.1677679,-4.131475,1.0619944,-2.3280547,2.5444589,-3.2805173,-0.030734176,-0.3677979,1.7650713,-2.9679985,-0.13844757,-0.43919396,7.6410184,0.23287839,2.8419533,-1.2054863,2.52641,2.9044077,1.9837925,0.9164138,3.0120313,0.38613796,-2.043406,0.19508044,3.0737908,-0.9916311,0.7222648,-2.1275063,-0.4488359,-0.81104,-6.8348985,2.2958205,3.6117706,2.5135431,2.942064,4.036361,0.06695944,-0.077991694,1.3215102,0.08053621,-0.843132,1.2106711,0.42057055,-1.1149063,-4.1463346,0.90256643,0.81664675,-2.5241852,0.05301933,2.884075,3.6784558,1.635315,-1.9383326,2.6915052,-0.41737825,-3.6019206,4.2009478,1.7812034,-0.20140862,3.7449465
717,1.0891763,-2.2613337,0.5844451,1.3608223,-0.026867036,-2.1368203,1.2227247,-1.2909906,2.6403782,-1.3493451,-0.5226666,-1.2690748,1.6610506,-0.030731127,-1.7255725,1.5289451,4.4325914,-0.42729932,2.1992133,-0.95908993,-0.16961128,2.8196337,1.3799855,-1.1054751,2.1277244,0.3733157,-2.5643554,-0.55442613,3.463443,1.2721133,0.39724335,-0.36894298,-0.98006505,-1.0000526,-4.1204143,3.086725,2.9314117,0.467681,1.9058233,0.3442248,-1.1124301,0.8502948,-0.4112484,-1.1350969,0.046266034,-1.1856532,2.072316,1.4792392,-1.428458,1.2355176,1.7692358,-1.8808392,-1.6704956,3.3492455,2.7162943,1.578468,-1.1003722,1.3600012,-0.13639936,-2.624209,1.1060011,1.0450562,-0.84458935,0.2328329
746,1.9108863,-3.3485453,0.61616683,-0.43828562,-0.55461025,-0.81734675,2.2368104,-1.7909741,2.2891262,0.08993069,-2.488203,-0.056730002,0.07316364,0.47652635,-0.76071537,0.097011425,2.5061588,1.5350469,2.143358,-0.06408205,2.2548587,1.5274202,0.92472386,-1.5469326,2.4425936,0.5335509,-1.6137555,-0.41277766,1.6765131,1.2672608,-2.2975187,-0.56423163,-1.8988281,-1.0907557,-2.2814815,3.803718,3.697067,0.90708625,0.34103292,-3.2437437,-3.6526687,0.84039855,0.5689921,0.06635301,-0.54647315,-2.5663998,0.6909159,1.0218548,1.2669235,2.4123394,2.8000572,-1.4298213,-1.5150592,2.4309604,2.9162269,2.5701334,-3.0195825,0.7994486,-0.62189937,-3.5320876,-2.2019265,-0.15060346,-0.8736322,-0.6896046
977,1.7277728,-2.582977,-0.5403075,-0.3811665,2.1645756,-0.9575018,-0.6706632,-0.6243316,0.71610975,-0.69850725,-1.2131366,0.026536968,0.43709058,1.0621405,-0.7652892,1.5702413,3.0969086,-1.1648474,2.3810077,-1.0645616,0.8274143,2.1145298,2.1619945,-0.28651506,2.8486044,-0.03291796,-2.676586,-2.3060122,4.061151,1.8197136,-1.4881501,1.5171478,-0.97568506,-0.87783504,-3.0105367,1.5027723,1.689743,0.338539,-0.75140053,-0.39664868,-2.4290805,1.4947388,-1.0006316,-1.6578348,-0.31008375,-3.3254654,-0.4077528,1.8461454,0.11721993,0.9798414,2.118984,-1.5703955,-2.6469069,0.21870932,1.4197977,1.28366,-1.1474743,3.2944891,-0.8337823,-1.8008572,1.0302927,1.9422601,-0.1990738,0.23043805
1637,1.9494255,-1.364825,-1.3927052,1.4955003,-0.37396762,-0.8665975,-0.37898916,0.65868187,1.8737683,-1.6396908,-1.8643641,-0.91422176,2.358885,-0.14436546,0.01961279,2.8274226,5.8694696,0.25791943,1.4897038,-0.060532022,-0.38104427,3.2365773,2.7042015,1.4123896,1.3262653,-0.8913894,-3.4777992,0.8491105,4.805293,1.6007355,0.17971902,-0.93659186,-1.7141749,-0.49538392,-5.346556,1.9829396,1.809195,1.7200916,0.5694533,4.360042,-0.05991368,1.007176,0.23775724,0.32171327,-1.1446072,-1.46715,0.04712118,-1.2701305,-1.7811611,-0.057921775,0.58459514,-1.4586295,-0.7542394,3.6462107,3.4213693,1.4374883,-0.3825234,1.9723574,-1.8814232,-1.2794926,2.9585578,2.176291,0.15373564,3.086796
1687,-0.4731151,-3.7331934,1.2327902,-2.2581565,1.1703483,-1.3311766,1.9000596,-1.8332001,2.4111924,-1.3633863,-2.731127,-0.06183572,0.52858025,0.51282585,-1.1532612,0.9948139,1.251465,-0.5197833,2.4456117,-1.111138,2.031234,2.4139345,0.6935904,-1.0682634,0.8143478,-0.86242163,-2.7307432,-1.0483923,2.8873103,2.4156518,-1.9764347,-0.32530951,-1.4644282,-0.56338847,-3.583064,1.86034,4.253578,0.66964966,2.067188,-1.3976291,-2.1637042,2.1439226,-0.48301825,0.105833106,-0.6480936,-3.4444327,1.5906001,1.5858556,0.393504,1.9163364,1.7890699,-1.2144821,-0.53777647,1.4252877,2.041569,0.75518477,-3.7092643,2.4097831,-2.0240123,-2.0918248,-2.4522417,0.46754438,-0.35543257,-1.0276701
