,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
112,0.03989009,-0.4388335,-0.13230851,2.8735006,-1.4926068,-1.6466935,-0.39208353,-0.7000545,2.5506394,-3.1612623,-1.5948102,0.018032376,1.9362621,-1.0359572,-0.26264864,0.94364804,6.8150935,-0.8410949,2.1571705,-0.6395334,-0.26704508,2.2338824,3.3838832,1.8008776,1.00949,0.38252187,-2.3728974,0.9443346,3.495491,-0.44327945,1.8641789,-2.3489223,-1.8069623,0.61024266,-5.5233426,1.4700849,2.3014913,2.205067,0.40645647,5.5894217,0.1923241,0.30668095,1.0014901,-0.2357561,-2.9126275,-0.3109463,-0.27948567,-1.267353,-2.1931932,-0.7977088,0.54700506,-1.3435843,-0.40786776,2.913666,3.403935,1.7193799,-2.2209363,2.626189,-2.3634086,-1.8478372,4.8230658,1.817854,0.29395676,3.2880266
115,2.208248,-1.3408234,0.02550494,2.3908648,-2.3845897,-0.94258237,1.4514663,-0.530232,2.948453,-0.18227412,-2.0349855,1.0777116,1.164654,0.601984,-1.9449458,0.5706857,3.224069,0.80861205,2.106464,-0.7861529,-0.51343745,0.2892341,2.8746967,0.15042183,1.2394528,1.7207934,-0.3074,1.0388587,1.5754836,0.67928046,1.0449184,-2.4937043,-1.8903297,0.28093344,-1.9770929,3.8675277,2.9981856,0.94247943,-1.379465,-0.12088221,-2.995173,0.80476594,0.031527676,-1.789648,-1.4458348,-1.5161083,0.76811033,0.6286053,1.2280785,0.14761315,2.497626,-1.6447548,-1.7300912,2.726669,2.6894436,2.7065282,-2.1491284,0.27532548,-0.8255359,-3.1014934,0.017040461,-1.620611,-0.9895036,-0.9070527
194,3.6429052,-1.5370784,-1.7957208,0.21450892,-1.2649251,1.0749454,-0.19582286,0.83337754,0.36777386,0.2832141,-2.6657252,0.96497375,2.5665843,3.6525993,-2.1415265,4.1290565,1.2085433,-1.2525463,0.6459283,-0.36886367,-3.1255746,0.6779044,3.847215,0.44803587,-1.2770066,-0.13772313,-2.1844509,2.2560635,4.6066446,2.8065455,0.34144807,-1.4467263,-2.1825838,-0.10734644,-0.3057436,3.4593108,2.3345141,0.283185,-4.5432606,0.92028415,-1.9910822,1.9582223,-2.4952092,-1.5890975,-1.7781516,-4.981771,1.8922794,1.8539517,0.9527068,-1.796876,2.0239654,-1.628053,-2.242042,3.1374998,1.9811229,1.9192598,0.17503941,1.1330115,-3.3267193,0.43305612,-1.0184345,-0.26696688,-0.36357456,-1.1215581
413,2.861829,-1.8024452,-0.5969438,0.52751327,-1.2129347,-0.75782424,-0.049306266,-2.143279,1.9853203,-1.5646716,0.40709686,1.9524142,1.072832,2.9486527,-0.57555616,1.0290936,0.34289902,-1.5932446,2.9820817,-1.4960104,0.26520425,-0.7358645,2.6503046,0.15502095,0.88390356,1.6088406,-0.8047222,1.100516,2.0013332,1.8783174,-1.1499085,-1.5405917,-1.641713,1.2782289,-0.4173118,3.6889234,3.1027381,2.4735434,-3.7155612,-1.7681701,-1.9242628,1.3793108,-2.9634247,-1.9865458,-3.841682,-4.1192145,3.8884377,1.5790727,1.8194368,-1.4773486,1.4339825,-2.0293527,0.27432004,1.8774505,2.7603312,2.0145023,-0.49494007,2.162998,-2.0578752,0.0586209,-0.5595378,-0.35784835,-0.5598419,-2.514763
635,2.5887132,-2.0771255,0.38340873,1.8699762,-1.9466714,-0.95769566,0.85376704,-1.4153514,1.6541983,-0.1498772,-1.845953,1.5441992,1.3540332,2.052802,-2.3310826,1.5530801,1.6537108,-1.5135914,2.481642,-0.59833646,-0.8318244,0.3717382,3.1401196,0.251277,0.68024766,1.7894543,0.22482091,1.5221242,2.8900123,1.4608641,0.16504687,-1.6934847,-1.69061,0.24324663,-0.93411547,4.6589646,3.1693964,1.5654423,-2.650056,-1.3170326,-2.7239735,1.4512488,-1.9660885,-2.0919693,-2.3067498,-3.372656,1.8559163,2.468156,0.75342524,-1.4967585,2.6047144,-2.954671,-1.0851865,3.08499,2.251303,2.1265447,-1.1212562,1.2344465,-1.8787395,-0.6719338,-0.93388295,-0.76485586,-1.0972855,-2.4512208
658,1.8388594,-1.510994,-0.015632346,2.2207055,-0.5334678,-1.3565419,0.81131744,-0.7031791,2.9824595,-1.5139023,-2.2822716,1.5958803,1.2000357,0.83227575,-0.98414165,1.5533128,3.679457,-0.33113843,2.54026,-1.1006862,-0.073776335,1.1118186,2.86374,0.34080356,1.6645544,1.3785044,-1.2755374,0.5852374,1.7749403,0.65925556,-0.17889997,-0.8191253,-1.3707972,0.36524987,-2.8679516,2.9525473,2.875728,1.6696242,-0.39785323,0.05259725,-2.4475162,1.0953319,-1.013519,-1.4697632,-2.6248536,-2.1588635,-0.15088138,-0.007895052,0.23194635,0.032124713,1.2485304,-1.4958409,-1.0433254,2.031132,2.7438493,1.0644656,-1.0669712,1.5611864,-0.97798353,-1.931377,0.9569603,0.9372528,-0.76670283,-0.3373698
970,2.472144,-1.3878353,0.6259123,2.4702075,0.78757936,-1.2165703,-1.1281937,-0.9028008,1.5861117,0.39386547,-3.1791947,-0.7644009,0.5125934,1.7086875,-3.279412,1.7948947,3.05618,-1.6019973,1.2559633,0.32191786,-3.1168804,3.0626216,3.3673825,-0.09098074,1.3054307,1.3711855,-1.5645903,-0.67521316,4.9159884,1.2376907,2.5143354,0.48777732,-0.91409355,-1.124016,-2.9733121,3.189575,0.7911538,0.31254125,-0.08176075,2.2822819,-1.5012972,2.136108,-1.2348186,-2.8070092,-0.5155151,-2.5236983,0.3889713,3.2271466,0.08887248,-1.0969948,2.036196,-1.7576761,-3.7250054,3.6654155,0.8200478,1.8216379,-0.57312846,1.3564976,-0.9459489,-0.64710337,2.8383415,0.91475314,-1.3629597,-0.016035296
1112,0.041019488,-1.6882572,-0.7155032,0.39682704,1.3981944,-1.6590176,-1.0413101,-1.4420334,2.202277,-3.2521656,-0.8031415,1.8818835,1.8651364,0.95223737,-0.5276391,2.264094,2.5623994,-2.5690668,3.1045902,-1.5989614,-0.10356855,1.8073167,3.2088027,1.3251618,-1.2123559,0.40887743,-2.2372267,0.8033009,2.2947664,1.4643257,0.36312824,-0.9798336,-2.3120828,0.43138564,-4.469855,0.5554632,2.2217724,1.1257665,-0.4732082,2.7196374,0.36693645,2.287242,-1.9926564,-0.35597432,-2.4436269,-2.890673,1.3213111,-0.01679121,-1.6303594,-0.74070066,-0.39212364,-1.0082867,0.13073367,0.27534723,1.4533163,0.8807773,-0.9463557,3.4512007,-4.153447,-0.701971,1.5048616,1.5399289,0.475335,0.81847906
1150,1.3298471,-1.245308,-0.25913715,0.5066872,-0.16169629,-2.2255116,-0.95486605,-2.376736,2.0720334,-2.1412632,1.5739871,1.3257413,1.9422258,2.3767934,-0.87670165,0.85219723,0.7307089,-3.3581975,3.744518,-2.4322586,0.8756223,0.14632714,2.3433337,0.6761143,0.052443653,1.5634613,-1.3800778,1.4420468,2.5723205,3.5204325,-0.08724526,-1.3960166,-0.40626106,0.7417401,-2.1831708,2.414246,2.418488,2.9904337,-2.3183677,0.020751256,-0.41567576,2.0714636,-4.3170843,-2.1909041,-4.186171,-3.0711067,5.292755,0.8590199,-0.5647688,-1.4404718,0.039409168,-2.8614125,1.8496764,1.812357,2.5227075,1.9238291,0.5204572,3.5191622,-2.198146,-0.27963972,1.4523125,-0.35862315,-1.2901143,-1.5885884
1157,-0.41502285,-1.5273165,-0.7230608,2.6595979,-0.88594747,-3.0804238,0.1689879,-1.2613128,1.8883082,-2.3278182,0.7508294,0.5028834,2.6823177,-0.86196935,-1.480651,0.66805327,4.7857604,-2.6469138,4.2103405,-2.3375542,0.20571311,1.0532886,2.9466598,2.4291499,0.89429134,-0.41674608,-0.7069011,-1.24682,3.9657524,2.3941398,-0.05794064,-2.7315223,-1.2682246,1.8815144,-4.6584783,1.1715654,2.3568785,1.1421502,0.3071349,2.9456835,-0.51418924,0.70030993,-0.80993706,-1.7981926,-0.9601314,-1.8700507,2.9315186,0.39313588,-1.2314342,-0.899235,1.6982726,-2.3084455,0.74788105,0.27847588,2.473387,2.0962675,-1.8116485,3.7384508,-2.9248827,-0.9576436,0.57726145,0.4637912,0.4773333,-0.6758723
