,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
73,1.6692201,-3.7129438,0.8990246,1.0091752,2.0502083,-2.0142276,0.02628123,-0.6205403,2.6003685,-0.25298306,-3.6784928,2.868232,0.3921039,-0.56540513,-1.3711188,2.1574697,2.5297837,-0.5957642,3.0363848,-2.4283466,-0.37078756,-0.62464255,0.293594,0.08515814,-0.9573347,1.2432245,-0.023622721,0.9140935,-2.2771087,3.113269,-3.2627132,0.8998452,-0.075021304,0.71317214,-1.8166804,0.5650326,1.9966931,0.39399368,1.6894634,-3.120762,-3.731757,0.9184248,-4.4154377,-1.7904066,-2.0592391,-3.1310732,0.6929952,0.6310808,-2.1608589,1.5065742,-0.43229672,-2.8398623,-0.4994415,-1.5651724,3.0707362,-1.3369936,-2.5004365,0.76583207,-1.2786382,-1.0414883,-1.5960847,1.4382191,-1.0935307,-2.1768281
113,0.48831308,-3.6766627,0.97623986,0.97713965,2.531767,-3.1363811,-0.7170383,-1.2599719,2.3250647,-1.4799396,-2.7132194,2.012649,0.43696097,-0.5448158,-1.6213082,2.3204064,2.9138474,-2.5008178,3.4138944,-2.4842944,-0.6074599,0.95002997,0.15852362,0.31353855,-0.08585503,0.98234135,-0.34572014,0.44795328,0.31544253,2.8551948,-1.3978437,0.21757321,0.08496661,0.61867875,-2.915588,0.5790302,2.5092137,0.06553097,2.3543255,-1.5960109,-1.7230122,1.7001202,-3.3384917,-1.8318044,-1.4513549,-2.6686618,1.7441556,1.2918073,-3.0497427,0.5955654,-0.10233195,-3.0322757,-0.094812125,-0.84482837,2.7270231,-1.0463372,-1.9655987,2.1573124,-1.9251488,-0.04424817,0.080274,2.0847647,-0.66466105,-2.0392087
183,1.5557065,-3.5287132,0.30636004,0.91357845,2.6178153,-1.8643368,0.22348064,-0.068597615,3.3995485,-0.7554303,-4.5149183,3.5383246,-0.41372856,0.67642593,-0.11706801,2.4415095,2.1493108,0.04396043,2.84252,-2.8986654,0.60301775,-0.25604224,-0.025737524,-0.17581569,0.8862967,1.6395507,-0.34710512,1.9748143,-2.502375,2.787909,-2.3343935,0.47221628,0.6940269,0.8012515,-0.802812,0.89599574,3.5903618,0.34468043,1.293368,-4.3043866,-3.8286383,1.6122088,-3.4009032,-1.8534901,-3.3903167,-2.5098307,-0.21991016,-1.2988015,-1.1001343,1.9599189,-0.12618396,-2.4199882,-0.034331765,-0.7295421,4.456914,-1.9520931,-1.9284589,0.6980726,-0.4249276,-1.1691135,-1.4962454,1.6352837,-1.4085035,-2.3110673
277,1.5524989,-2.547006,0.7425542,0.61088187,1.6231399,-1.0788654,-0.5943974,-0.95977247,3.0934942,-2.8851814,-2.3067622,1.8890855,0.2330173,0.56978714,-0.6020416,2.1799226,2.3231006,-2.7226877,2.841225,-0.7038341,-0.334791,1.9489368,3.3429267,0.9236803,0.9334678,1.0122813,-1.6953801,0.3670084,2.033061,1.1845738,-1.0033104,-0.21968555,-1.5372288,0.44535774,-3.4651155,2.2181735,2.1129963,2.7621918,0.4800194,0.48142266,-0.7635659,2.1525598,-2.0845141,-1.029298,-2.8439612,-2.3498926,0.6163431,0.9741811,0.066023536,-0.95651484,-0.40184537,-1.0475848,-0.2773642,1.4728646,2.2307482,-0.4020669,-0.83949536,3.122234,-2.6004405,0.85097337,2.4827282,2.7492447,-0.20443864,-0.28635788
538,1.4630313,-2.92768,0.993635,1.3928457,1.3418031,-1.9761114,0.8728505,0.14586882,3.617897,-0.62185776,-4.387522,3.4555225,-0.06322914,0.34555542,-1.1026684,2.3647726,2.1228714,-0.3965103,2.9760559,-2.9878914,0.12427071,-0.51052904,0.43838915,-0.48532128,0.4603538,1.9375696,-0.17045745,1.7992834,-2.2251496,2.88291,-2.2309163,0.09567313,0.08370051,1.01048,-0.79573876,1.201251,3.0097308,0.7511911,1.443075,-4.0077686,-4.0888476,1.0589861,-3.7335303,-1.822012,-3.2953143,-2.5168333,0.39340946,-0.6011069,-0.8499644,1.4578065,-0.33227068,-2.240252,-0.3134723,-0.1533627,4.0194516,-1.3297751,-2.1033745,0.7936738,-0.4825899,-1.4300885,-1.3928841,1.1593851,-1.8022199,-2.7887993
755,-0.94048584,-2.5164323,0.70615274,2.8334932,1.535802,-3.7423806,0.44504234,-1.3461295,2.8634686,-2.9557364,-2.6754043,2.2864788,0.5761267,-1.7001921,-0.5511376,1.088159,5.47464,-0.71908957,3.435545,-2.4797523,0.78430265,1.671854,1.219971,0.17263743,1.8008289,1.3320872,-0.8950398,0.6568957,0.07849027,1.1905397,0.4104341,-0.86357033,0.07005833,0.045437723,-4.4577394,0.799912,3.3406422,1.1564658,3.450582,0.34736395,-2.0620973,1.189076,-1.1323419,-1.0825135,-1.8663449,-0.16754772,-0.040457156,-1.0517051,-3.1457264,1.3166097,0.13017541,-2.3647833,-0.16949537,0.23242709,3.968417,-0.4859475,-2.1817155,1.9251488,-0.6323266,-1.9851638,2.4242673,2.4901576,-0.35756412,0.7741313
818,0.0067008883,-3.4929738,0.9150054,2.1753113,1.6248974,-3.058358,-0.038691603,0.031665932,1.3968401,0.08263471,-4.531759,2.8420386,0.3203947,0.11314173,-1.9837481,2.5548534,2.7899406,-1.0708076,3.0848165,-2.5406668,-0.47970432,1.7206625,0.73046756,0.4516867,-0.4129798,1.7042603,0.3072237,1.9647251,0.38764167,3.785477,0.42400864,-0.5175846,-0.19528073,-0.79047054,-1.5486687,0.7376024,2.5707703,-0.16947518,2.5854118,-0.51371974,-3.2215667,1.6527542,-3.437002,-1.4927737,-1.8951312,-1.7944784,0.4320925,0.008624196,-3.3429248,0.5598988,0.5993725,-3.6935968,-0.52920336,0.76961195,3.9209237,0.18070342,-2.4315815,1.0757753,-1.5390806,-0.5258401,0.01573044,1.4007427,-1.0371606,-1.176905
859,3.1486952,-2.1855602,-3.799828,-3.2371645,2.3760633,1.2494247,-2.5990443,3.1074002,-1.3430077,-0.6893178,-4.369413,3.8971322,-0.54043746,1.2641019,1.9162866,5.3473387,-2.5184221,-0.62502795,2.1539237,-0.87966084,-2.5666606,-1.4393067,0.97727096,0.17905572,-3.925742,-1.6173285,-1.83358,1.1581239,3.5478053,3.7044706,-3.0387282,0.6479719,-4.233756,0.35172844,-1.0243124,-0.92700297,0.8280934,-1.2698901,-3.369417,-1.4989101,-1.1915553,2.9279306,-4.119499,-0.23288605,-0.14152965,-5.8483543,-0.61256206,2.4345565,1.9416414,-2.769097,-1.7418869,-0.84480923,-1.7294481,-1.4878751,0.93995595,-1.0811069,-2.186642,1.5211543,-4.731388,1.7581419,-3.008453,2.8488755,0.454582,-0.42659676
980,2.9852965,-1.2527596,0.2013385,1.191792,0.19318846,0.03200963,-0.10976536,-0.5560828,2.878624,-0.7055699,-1.4175968,-0.13282943,0.84501135,1.7106876,-1.3947293,2.3179083,3.443939,-1.5615759,1.6885357,-0.77192116,-1.1684102,1.482643,3.369446,-0.056121342,1.3005466,1.3394297,-2.1201692,0.6360223,1.5408031,0.52901316,-0.37463504,0.58056355,-1.6618222,0.033918694,-2.3798933,3.3172736,1.4303154,0.9064992,-1.7574328,0.28863454,-1.5848856,0.5996995,-1.8656299,-2.4118311,-2.1710384,-2.2752314,0.90826696,0.689818,0.5080756,-0.29778594,0.67609787,-1.3762904,-3.105144,2.5988846,2.2957644,1.147836,0.30770057,1.3108312,-1.7496606,-1.6906819,1.8538535,1.239702,-0.8182389,0.44589424
1017,0.5375355,-3.7040048,1.5392785,1.3227197,2.7584572,-2.3736215,-0.2121658,0.02323499,2.1779277,0.018746855,-4.8659697,2.7723327,0.53770494,0.72845685,-2.5527463,3.140016,1.6696978,-2.0301695,3.1436956,-2.6619194,-1.1496339,1.327208,0.1779244,-0.08947554,0.058175772,1.6310314,0.0435182,1.8102653,0.8253636,4.466269,-0.5495977,0.019220877,0.82477725,-0.39320365,-1.4241549,1.9919006,3.2819586,0.41501117,2.7863035,-2.9723852,-2.9652693,2.4502578,-3.9775498,-1.9092399,-2.3983295,-2.45099,1.0684197,0.96079767,-2.6618683,0.65375626,0.56773984,-3.4174776,-0.20431128,0.8733551,3.657552,-1.8326811,-1.9474884,1.3542774,-0.8573375,0.5583609,-0.9576343,1.35142,-1.3988129,-3.6044462
