,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
122,-0.77648133,-1.7270535,0.8638779,3.0539045,1.8980188,-3.9288247,-0.7654464,-1.4479505,3.127051,-3.610662,-2.2038202,1.6344447,0.21576297,-1.637827,-0.15942843,0.57014567,5.934984,-0.46162692,3.4792109,-1.7548921,1.1677989,2.5184321,1.4502888,0.949069,2.6057863,1.3303621,-1.5694703,0.1571338,1.5518031,-0.16384114,1.4631772,-0.6352019,0.13694786,-0.32203716,-6.2108445,1.051473,3.4066854,2.0931401,3.2987432,2.6435513,-0.3698058,1.3385487,-0.1527417,-0.6972667,-2.332128,0.7051488,-1.1031462,-0.90280807,-3.1441844,1.0354825,0.21477267,-2.1377645,-0.37634566,1.0789876,3.8230808,-0.52741325,-2.1321099,2.352454,-0.690682,-2.2097602,4.9035206,2.9295135,-0.37205184,2.6886148
131,1.205004,-2.7596157,0.25692588,1.3446376,2.530466,-2.0901215,-0.5624751,0.07308543,2.9728367,-1.3740801,-3.9393063,2.2794116,-0.4397563,-0.06815654,-0.36889324,2.4388416,3.7541237,-0.11966361,2.5141277,-2.671864,-0.22196361,0.69131345,-0.07478465,-0.28298163,1.8893328,1.247876,-1.2552869,0.8071635,-0.4292705,2.275961,-0.9656912,0.8082184,0.4666027,0.4820614,-2.220086,0.9347366,2.7935767,0.32090756,2.0068932,-2.1167243,-2.9650848,1.3528794,-2.4731872,-1.9063544,-2.8943274,-1.4321842,-0.5831459,-0.61169946,-1.8303663,1.5843334,0.17439091,-2.3567123,-1.0964012,-0.032670345,4.479208,-1.8399051,-2.0956225,1.1323789,0.21367396,-0.93398136,1.114151,2.6075218,-0.97019815,-1.1378146
143,1.7959085,-2.843743,-0.061562315,1.672163,1.9736476,-1.6402615,0.21503218,0.283707,3.3540952,-0.79282045,-4.7956977,3.428402,-0.5436419,0.110509105,-0.3076848,2.3663487,3.1795893,0.6009453,2.6782875,-2.294536,-0.28899863,-0.3864941,0.49769583,-0.7696599,0.9816628,2.0612943,-0.5516392,1.6331993,-2.3241827,2.2616959,-1.325912,0.43325573,-0.24987513,0.3988906,-1.0656264,0.6477796,2.8772483,0.31747222,1.3369012,-3.299838,-4.272495,1.1837889,-2.774275,-1.9147072,-3.4356332,-1.9819993,-1.11423,-1.2065455,-0.6339742,1.8325447,-0.2354328,-1.8420265,-0.9852842,-0.38243508,4.651027,-1.1976712,-2.1460152,0.47285903,-0.24039458,-1.4158466,-0.0960117,1.9593396,-0.91582626,-1.4613862
396,4.0572624,-1.1536738,0.25671276,2.3911576,0.19870947,-0.3484481,-0.46789074,0.50018674,2.7308218,-0.9266256,-3.4566846,0.13811764,-0.14380494,-0.4675924,-0.84628797,2.8359916,4.9193873,-0.45775482,1.1714755,0.041305862,-1.4026916,2.0641286,2.6730194,-0.39160314,2.366948,0.9725016,-2.290874,-0.6134608,1.9218534,0.6405298,-1.5865505,1.3685409,-1.5146822,-0.3735585,-2.8471313,2.6242757,-0.32981408,2.2517962,0.2861221,0.36042297,-1.9210215,0.13786803,-1.5928782,-1.5473135,-1.8554721,-2.291401,-1.5632095,0.98730814,0.29736406,-0.18772294,-0.20645452,-0.9459754,-3.101132,2.8048728,2.6134553,0.4390092,0.4628193,1.6422226,-0.00065022707,-0.431965,3.7627454,3.4657192,-1.1208578,0.8861
546,0.6171637,-3.2755554,1.2843862,2.8722572,2.3935533,-2.5964408,0.63063794,-0.45111,2.5118086,0.57146615,-6.1453342,3.0195062,0.29063416,-0.5461068,-2.8481026,2.658578,2.8287122,0.2807828,2.8745947,-2.3386314,-1.7054954,0.9764083,0.60110736,-1.3147407,-0.25380126,2.2658076,0.17966302,1.4069787,-0.70893306,3.6297014,0.04791202,0.61106294,0.5434307,-0.80335444,-1.714749,1.8362257,2.7503822,0.023361772,3.952113,-3.2174227,-4.3704195,1.9458871,-3.308557,-1.5584856,-1.916693,-1.8665591,-0.14775616,0.79547524,-2.252514,1.7567986,0.41649386,-2.4021072,-1.5087489,0.9546352,3.7087011,-1.1125112,-1.8485708,-0.31792057,0.40330267,-0.6788071,-0.93187046,1.0976024,-1.4916549,-2.8924367
560,1.4741498,-2.5793645,1.1445327,1.2970269,2.749578,-0.9570164,-0.663368,0.21201405,2.5909357,-0.33973268,-3.648719,1.9826634,-0.054942325,0.47434986,-1.7809817,2.6521957,3.1166222,-0.4240903,2.4216168,-2.1796582,-1.7421137,1.1982331,1.062051,-0.982033,0.48242456,1.4294705,-1.5091645,0.2021371,0.31583124,2.5197349,-0.97514606,1.7535999,-0.46396118,-0.45635742,-2.4046533,1.9123405,1.2930992,0.50082594,2.0108356,-2.017818,-2.8444834,1.1350218,-3.0165725,-2.4127324,-2.170593,-1.5781372,-0.65464205,0.44994083,-0.8947402,1.5271077,-0.38591444,-1.7741675,-2.9406645,1.0003855,3.3807511,-1.5095783,-1.4595828,1.0391628,0.31411177,-1.0457275,1.351409,3.0551314,-0.6750044,-1.2807717
613,-5.561781,-4.155646,0.6389013,2.6288624,-4.1793275,-4.945203,6.1029224,-13.459828,-2.7620711,16.225304,10.25649,-10.999765,-0.6238419,-0.16800432,4.512221,-7.494171,13.015955,8.852299,-0.618537,-3.3659263,2.1845055,0.36872223,-6.002224,9.610371,4.0473905,13.825042,-5.611392,7.183227,-1.0130106,-10.545145,-8.74093,5.9908953,0.95579237,6.043896,-6.254233,-0.81116825,3.4697144,-1.0700814,-5.4547315,13.1790695,-6.531781,2.893574,3.3261144,-0.29969522,-7.140848,-0.7224885,6.0581813,-13.158895,-16.103724,-5.498144,0.3228829,8.84212,-1.7910097,1.9738739,-6.480651,8.791769,4.45995,12.045074,1.74251,3.1421719,-5.2246037,-11.723716,-0.64839405,-7.002696
619,1.7732373,-1.9916574,-0.51929945,1.1029165,2.4173288,-1.9978073,-1.7594482,-1.0737207,2.8307793,-3.0553296,-1.6533729,0.5200542,-0.07899806,-1.1611574,-0.03479061,1.6925555,5.3944902,-1.4134021,2.5167205,-0.53394926,-0.63927174,1.386688,1.9022123,0.6170877,1.2533338,0.49685556,-2.3489974,-1.2513524,1.1476908,-0.24241354,-0.4418211,0.8027522,-0.90745044,0.84684616,-5.4101043,-0.30083197,1.1105524,0.9282866,0.9822343,2.4289234,-0.018788218,1.0138141,-0.551033,-1.1939118,-1.7225554,-1.82447,-1.0284663,0.671275,-1.497851,0.69509614,-0.26741537,-0.82427263,-1.603898,-0.6291108,2.0867352,-0.37778848,-1.617287,2.6721945,-1.8172336,-1.1532024,4.4279566,3.3427682,0.33553812,2.0764554
703,-0.9357207,-1.9285297,0.502252,1.6618009,2.3230891,-3.636894,-1.2320999,-1.4107746,2.546803,-3.7381248,-2.028206,1.1537521,0.081463635,-1.3366933,-0.2529067,0.9415128,4.843618,-1.8728533,3.289893,-1.5339293,0.269408,2.5096874,1.8095144,1.1818949,1.0771735,0.48849273,-1.8357732,-0.71414083,2.4967847,0.17281626,1.2058157,-0.27722996,-0.4877658,0.20387794,-6.0357585,-0.362476,2.471566,1.1125162,3.0101016,3.9028847,0.48198554,1.3995302,-0.10899745,-0.24307457,-1.6260511,-0.56644213,-0.34446573,-0.22601506,-2.524281,0.33701608,-0.17472649,-1.280949,-0.12573934,0.0605973,2.6559892,-0.32986888,-2.5965703,3.1174104,-2.331366,-0.93860424,4.393298,3.2951353,0.31726694,2.6270654
731,-2.2783859,-0.70104736,-0.49881428,5.091944,-1.3642918,-5.119842,0.31966066,-1.9484416,3.331279,-4.4269385,-0.72482115,1.1736459,1.1167215,-4.574466,1.6393665,-1.391263,9.262072,0.541258,3.758817,-0.88264835,3.2869122,1.4505001,3.0220268,3.064493,1.9854558,1.3055555,-0.97358835,0.6318798,1.2546943,-2.3730745,2.404429,-3.8841796,-1.6617852,1.0310224,-7.830406,-0.34193942,3.5375257,3.0465248,2.2477818,7.522084,0.79519737,-0.08088826,2.6449716,0.971908,-3.0558655,0.54657197,-0.939312,-3.4775374,-4.8206367,-0.46800664,-0.24809802,-1.1385024,1.7519299,0.40168723,4.2042465,2.5121176,-2.8305993,3.642262,-2.9314427,-2.9538195,5.897191,1.3848002,0.9927728,5.3493047
740,2.368143,-3.895144,0.1562276,1.0102907,3.2569184,-0.6054526,0.43861327,-0.39034012,2.0753741,0.39898232,-4.6415296,3.7605412,-0.1505211,-0.18755391,-1.2124461,2.4556284,2.1315622,0.79486585,2.9156973,-2.284814,-1.351754,-1.1759719,1.3808538,-1.763009,-1.143425,1.994245,-0.8441515,-0.15682477,-2.7617612,2.8072023,-3.1380599,2.2924838,-0.12108696,0.2661668,-1.1418875,0.90843666,1.5237534,0.5923303,1.9106019,-5.016038,-5.196944,0.663333,-4.0549145,-1.6391442,-2.3818805,-4.0711293,-0.5646901,1.2241148,-0.10875964,2.4184883,-0.6323887,-1.4362574,-2.0092604,-1.5966995,2.8912094,-1.5044858,-1.6841196,0.27953666,0.32432455,-1.0111905,-1.0280638,2.2201161,-0.34639898,-2.6714773
780,1.1813006,-2.2263563,-0.08627312,2.6047497,1.640168,-1.9191083,-0.07704242,0.0051102694,1.8105992,0.36672157,-4.0570054,2.1973598,0.448674,-0.2245315,-1.5680442,2.054589,4.7292213,1.7257997,2.5370145,-2.218962,-0.8990408,0.7231875,0.059092954,-0.7642555,1.6662116,1.639649,-0.5606338,1.3028407,0.13243401,2.3385494,0.21743079,-0.055041593,0.2593046,-0.72181386,-1.9756376,1.571605,2.946728,-0.7375002,2.1769855,-2.1409569,-3.8349464,0.8463466,-1.0266836,-1.6269566,-1.89008,-0.32050273,-1.1993842,-0.83501285,-2.1797972,2.5674915,1.3270221,-2.6960607,-2.1283882,1.151208,4.984507,-0.113365754,-2.508578,-0.32930696,1.0884697,-2.32415,0.27644143,1.680679,-0.4445171,-0.5990789
894,2.9753704,-1.7653221,-0.9815158,-1.4007078,3.070509,0.90086037,-3.5386722,1.0556946,1.9642224,-2.5236268,-3.598099,1.1381594,-0.31389472,0.43807954,0.34063667,3.7785914,1.5535282,-0.8905651,1.3414547,-0.04242896,-2.3669848,1.6807466,1.862305,0.003936261,-0.9295895,-1.0728225,-2.8733487,-0.42141855,3.2251167,2.1044185,-1.4722453,1.3240937,-2.8463829,0.3979109,-3.9054933,0.57906187,0.84760404,1.217972,-0.48813063,1.4215039,0.19407555,2.0934687,-1.9211551,-0.9220632,-2.6375146,-3.6706786,-0.53069323,1.0247517,0.6930101,-0.8790986,-1.1438775,-0.141047,-2.8589904,0.15945001,1.8996845,-1.695119,-1.5563707,2.5727232,-3.4773693,1.4294093,2.530758,3.8725793,0.824235,1.0091264
