,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
94,3.1595113,-1.5441759,-0.53429675,0.2790884,-0.6605199,1.0124681,-1.1391945,0.46890727,0.5629767,-1.1715882,-1.81447,0.5758336,2.39813,1.2848604,-1.7247865,3.3694797,2.371743,-0.438397,1.1831865,0.091267146,-2.9385154,1.3222861,3.1540608,0.93116915,-1.3190305,-0.17452346,-2.1409526,0.8297885,4.1358,1.9050686,-0.68305314,-1.0541178,-3.088119,-0.16548596,-2.7031538,2.9050045,1.4536175,1.2206861,-2.7776968,1.567808,-1.1777391,1.2930629,-1.3211855,-1.8519466,-1.7199705,-3.6428196,1.3166823,1.7500589,0.28230935,-1.2081575,0.8732922,-1.5812936,-2.7126265,2.429192,1.69738,0.8808314,-1.4891031,1.7620167,-3.0029488,-0.23012128,0.06613583,1.2654607,0.95501953,0.44620234
144,4.8218694,-0.15167539,-0.42063385,4.8427377,-1.7386785,-0.504004,-0.59738326,0.32380146,3.4313323,-0.6811704,-2.577176,-1.2565917,0.7346399,-1.0806082,-1.0836974,2.0187993,6.4220757,-0.045900755,0.51207757,1.8267113,-2.4475524,2.9125834,4.0592866,0.76369536,2.511259,1.5945709,-1.9903095,-0.54079205,2.401322,-1.0441368,0.26764858,-0.07191192,-1.3784775,-0.050770722,-3.8278074,3.699347,-1.0438101,2.4793983,-0.32209337,3.8719327,-0.31524503,-0.18270697,0.04995639,-1.8385344,-1.0594065,-1.9246699,-0.7749954,0.9739429,-0.1155899,-1.9052858,0.35047147,-0.72164744,-3.8057969,3.8947175,1.2186126,1.8994975,1.640725,1.1668546,-0.40866536,-0.1760355,5.616314,1.9907432,-0.9929002,2.1437845
372,4.5364857,-0.66961795,-0.122175634,2.129118,-1.1676364,1.9483835,-0.28713506,0.1808448,1.1824077,-0.13809401,-1.2371123,0.8226009,2.3359463,0.2728782,-2.310191,2.3735454,3.1561005,0.24551597,1.0759151,0.24967463,-2.8600996,1.9972192,4.0087614,1.0135123,0.9484338,1.996736,-2.1761422,0.13827167,2.602539,0.4657905,-0.6724273,0.117665544,-2.3675892,-0.9935801,-1.5578866,4.0803943,-0.03998182,1.7812557,-3.4884903,-0.3195726,-2.1172125,1.1373184,-0.23948917,-2.974828,-0.74984574,-1.8868519,-0.27352187,1.5914913,1.3050052,-1.3900969,0.52827066,-1.7871153,-4.101183,3.723632,0.66261333,1.8531089,0.56201464,1.4627904,0.497674,-0.57713884,0.13423316,0.79467434,0.3392885,0.67601913
501,4.407159,0.11244583,-2.295765,3.282229,-0.6852434,-0.8499271,-0.8392513,1.0172071,0.7790557,-0.47079468,-1.960028,0.53480196,1.7576624,0.124000765,-1.5609413,3.6554615,4.2389374,0.8122959,0.7945092,0.037753984,-1.9423529,1.9792686,4.081677,1.3494979,1.2000294,1.2463338,-1.6414949,-0.94013256,3.371886,0.16393414,0.20876908,0.9302257,-2.4476745,-0.30735165,-3.1363091,2.293354,-1.8034147,0.1467602,-2.435449,3.9502432,-1.5675471,0.28168997,-1.3499928,-1.5465777,0.25108692,-3.8774016,-0.9167995,1.8283079,-0.8456439,-1.7650836,1.3853126,-1.1380763,-4.6404605,0.58140075,-0.43951076,2.4838572,1.4603305,1.4634739,-2.1629522,-1.392592,3.1978905,0.46233845,-0.35442692,1.6158429
702,5.2180114,-0.43095958,-1.279057,4.174025,-1.4768568,1.106289,-0.01476635,0.3596196,2.146797,-0.41041142,-2.671997,1.027514,1.2014952,0.46184918,-1.2664762,2.295902,3.922334,0.17685387,1.4067228,1.5023772,-3.4107714,2.2173986,4.3061094,0.7796525,1.3955538,2.6132743,-1.5088935,-0.4058671,2.1837332,-0.17922534,-0.079659514,0.06335351,-2.7493505,-1.0652757,-1.8709912,3.605984,-0.9159615,2.3807883,-2.023383,1.8235617,-2.1598785,0.10678187,-0.5245209,-2.1386175,-1.9145164,-2.7233744,-0.88121474,1.280182,2.0479631,-1.8811091,0.257147,0.025315374,-3.3558629,3.771465,0.3952111,2.582288,1.6528828,0.76858246,-0.72518337,0.5284902,3.1992977,2.0070171,0.52573586,1.091757
761,6.4151444,-0.8572026,-1.4507046,1.6803542,-0.86467665,1.6366346,-1.2099218,1.3783972,0.6471901,0.14063132,-1.8946735,0.0039009564,1.3734406,1.8900263,-1.2458819,4.113266,3.220206,0.2757223,-0.049779817,1.1062934,-2.565925,1.5690796,3.8718445,1.316057,1.3731813,1.0130069,-2.8368368,-0.33526814,3.001867,0.05027776,-1.8170913,1.3637207,-2.480849,-0.39311972,-1.4433863,3.422539,-1.3755,1.043972,-4.634414,1.7988619,-1.7215428,0.42071125,-2.1089137,-2.161003,-0.3401475,-4.5741205,-0.7859635,2.488139,0.76456535,-1.8075819,1.1435779,-1.183462,-5.203983,2.4071758,0.3011364,1.7085302,1.1485877,1.0569067,-1.6731507,-0.6087599,2.0942733,1.4474521,-0.8383072,1.1104182
857,4.0172215,-1.2113268,0.6877256,2.7038562,-1.0925168,1.1001612,0.39557722,0.323016,3.173969,-1.2831694,-1.6083376,-0.3619541,2.3996184,-1.3910772,-2.0181081,2.3278983,5.6499085,-1.6002759,1.6449509,0.67135197,-2.801982,2.769688,5.010612,1.880719,0.7744005,1.708273,-3.0190217,-0.29589862,2.0416665,-0.27853757,-0.47990155,-0.7318135,-1.9960182,-0.28649378,-3.276051,2.9086754,-0.27382538,2.6121747,-1.0803137,3.0345032,-0.76572007,0.68310255,0.13483596,-1.8292633,-0.87306166,-1.2656171,0.24195033,1.3754822,-0.1982151,-1.0231774,-0.61342543,-0.3784267,-2.4650924,3.5677311,0.6352578,1.8327258,0.71720016,1.9372021,-0.90762335,0.042507753,2.915427,1.6969775,0.2999745,1.8946164
912,5.468224,0.36683282,-2.277839,3.7152214,-1.2366368,1.9116257,-0.58865935,2.3195922,2.2227483,-0.1383558,-2.4178221,0.02235055,0.87430036,0.6167642,-1.3031397,3.6679547,3.8024256,-0.7837873,0.48524803,1.0747483,-4.496507,2.5436475,3.9739437,1.5627042,1.6039898,1.9350333,-2.125922,-1.1549349,2.7760422,0.38750935,-0.46093577,1.5924296,-2.7186968,-0.60975283,-1.3742725,2.6228418,-3.092975,1.246267,-2.3946476,3.6260633,-1.346612,-0.7473041,-0.62421286,-2.378088,-1.366973,-2.5322313,-1.2386671,0.7807092,2.2861633,-2.773866,-0.36009723,0.6586298,-4.564493,2.9341938,-0.531492,1.7651924,2.8579926,0.7596347,-1.4640374,1.4639318,3.8579397,2.3802528,0.84117293,0.8856582
1190,4.8464413,-0.08677681,-1.1183171,4.501712,-1.5473492,-0.6566214,-0.16458356,-0.20939669,3.4199293,-1.6344419,-2.2293792,-0.6956816,0.867803,-1.6556565,-0.20165868,1.2739295,7.2988906,0.8554434,0.6018328,1.6005592,-1.0573386,1.580092,4.0895424,1.0631915,2.9281662,1.6006975,-2.5130074,-0.7920528,0.93749905,-2.2275171,-0.2500795,-0.3184377,-1.3215034,0.343916,-4.494754,2.3046036,-0.097846374,3.1043622,-1.2586074,4.2128754,-0.99901193,-0.36072937,0.69055915,-1.3190124,-1.5690495,-2.3314698,-1.5822177,0.031357273,0.067770205,-0.90444475,0.2521926,0.18146399,-3.078878,2.336563,1.2693436,1.8337231,1.0111544,1.5320113,-0.41931283,-1.398348,5.628602,1.8068072,-0.41999254,3.4347556
1259,6.8972564,-0.3698132,-1.6643043,1.4629949,0.42744514,2.2559083,-2.4666173,2.348051,1.7074138,0.9021288,-1.8535213,0.10176233,0.6292379,2.311976,-1.2320111,3.6638343,2.4055827,-1.27589,-0.016177759,1.5918494,-3.3624282,1.6810021,4.014258,1.8740065,2.3253512,2.0289688,-2.6138105,-1.1883326,3.225181,0.78431696,-1.5773588,2.6248357,-1.8250376,-0.2840228,-0.6707284,2.5045855,-2.831006,1.3590899,-5.1611066,1.8129034,-1.3605468,0.611996,-2.228799,-3.6126132,-1.2550052,-4.122554,-1.7701932,2.0818322,2.064452,-2.0927033,0.35082823,-0.2907358,-5.038155,1.7962081,-1.3208945,0.7825623,2.5358946,1.875211,-0.8328418,0.34463042,3.6192029,1.4365107,-0.51990175,0.5435434
