,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
633,3.3491826,-1.0964637,-0.6819079,1.5427932,0.3607918,0.041920647,-0.93758583,-0.111582056,1.8871522,-0.8421906,-1.8770112,0.4013223,0.838575,1.3253156,-1.2712805,1.9420004,3.7748365,-0.73849463,1.560034,-0.17362532,-1.479137,1.6075947,4.264017,0.82370615,0.6644388,1.4008303,-2.4052706,-0.6727554,2.382121,-0.11312485,0.4869877,0.8597399,-2.525788,0.07395232,-3.1128836,1.79815,0.11343493,0.6872568,-2.5224116,2.7338705,-1.7758625,1.0119417,-0.8492657,-1.7880112,-1.4215043,-3.304637,-0.8430921,0.97986233,0.8262669,-0.53159195,0.89484483,-0.40509355,-3.523326,1.3524091,0.9504012,2.1477141,-0.655273,1.9928323,-2.0437503,-1.9809722,3.0793216,1.2140384,-0.3815193,1.5518019
639,2.194236,-2.5832367,-0.15036026,2.812739,0.611987,-1.9865534,0.08193982,-2.1451223,3.1922438,-1.8728541,-3.078195,2.8766136,-0.3153516,1.956802,-0.7369399,0.59102905,1.8447595,-1.4948585,3.5764456,0.35420772,-1.047318,1.8146993,4.863756,0.07995075,0.91813713,2.7903388,-0.21415499,0.23103671,1.7711655,0.46125895,1.5684721,-0.95271385,-2.8641236,-0.09024993,-2.5867224,2.6393974,2.8162572,1.5326135,-0.11614618,0.44515818,-2.567407,2.567814,-0.86445993,-1.0798718,-2.4370615,-3.4879906,0.6261174,1.5985997,1.9958588,-0.94711745,1.595354,-0.375053,-0.6975078,1.5516543,1.9340458,2.9339755,-1.5584903,1.2594291,-3.2162008,-0.38963765,1.8373215,1.3273762,-0.23499435,-0.39563203
826,2.105126,-1.1583215,0.5174876,2.2049499,-0.20241775,-1.0436766,-0.14831468,-0.32858995,1.8349034,-0.90535593,-1.3232552,1.2029313,1.3117403,1.5324277,-2.3377216,1.8024908,2.5346327,-1.405666,1.9180727,-0.5934901,-1.4584355,1.6586702,3.9095955,0.54892576,1.1360183,1.5092816,-1.0034615,0.41120416,3.4990597,1.193428,1.0972203,-0.3722125,-1.3967193,-0.26766434,-3.1199489,3.644235,1.0381012,1.7478857,-1.5540026,1.624947,-1.7482185,1.385072,-1.8183451,-2.3026717,-1.2990739,-2.1745203,0.38421914,1.7469683,0.32446766,-0.7358572,1.5246416,-1.5196164,-2.6758904,2.6379094,0.9239774,1.1454264,-0.2388595,1.7208898,-1.3881558,-1.7055205,2.8001554,0.46735334,-1.0312653,-0.22956206
986,5.9040885,-0.013305869,-0.48406762,2.7180808,-0.7105477,1.3611326,-1.1592818,0.5105324,2.5413368,0.51531684,-2.3101742,-1.3796391,1.0698997,0.118484095,-1.9865607,2.8747027,4.824115,-0.5249634,-0.26833475,1.7445539,-3.8817606,1.4619755,4.1107106,-0.14076546,0.38255617,0.57214254,-2.6225402,-1.7336516,2.6595075,0.334468,-1.9916477,2.4261544,-2.5499787,-0.36713067,-3.6848211,3.061388,-3.3979673,1.6278726,-2.2094254,2.6707916,-1.4022045,-0.34190866,-2.28667,-2.8582892,-0.62806296,-3.9663947,-0.901616,2.4774165,1.2079245,-1.308228,-0.37553054,-0.24063641,-5.0450373,2.4721637,-0.5792457,1.4097257,1.8104666,1.1157428,-1.2278339,-0.73731124,4.2105093,1.9820495,-0.91080797,1.3978933
1226,4.9830337,-2.0552068,-2.2452111,-0.057539284,-0.42581308,1.4506553,-0.51508486,1.8890305,1.3190262,-0.17015561,-2.8533916,0.9738343,1.6690464,3.0995052,-0.7765431,3.9048922,1.8687291,0.27775887,0.6358051,0.03318078,-2.0826652,0.8120774,4.103437,0.6724037,0.16161993,-0.040755868,-2.9073932,1.5201308,4.0132194,2.2980804,0.29373857,-1.0003078,-2.6756632,-0.01960285,-1.2027339,3.1076458,2.0152662,0.7787433,-4.6501718,2.0122964,-2.4179382,1.9839954,-1.3103203,-1.3053492,-1.8012829,-5.1157713,0.35807574,0.9534589,1.926938,-0.85160595,1.9629606,-0.4173651,-2.9488523,2.2130098,2.1376903,1.9215474,-0.5094665,1.0908831,-3.310388,-0.431217,0.438231,0.4134637,-0.23897597,0.17474784
1417,3.3809388,-1.5232204,-2.5289974,-2.098672,0.57792455,3.435984,-2.3852627,2.880993,-1.6751207,1.1075444,-1.6891822,1.7340785,0.7230483,2.1738935,0.31661364,5.305177,-1.2833601,-1.5584869,1.4664956,-0.023338366,-3.2195978,0.21105865,3.0404794,1.1328542,-3.4044483,-0.61223215,-1.7906032,0.91948414,6.074538,3.0710893,-1.7108091,1.5414234,-5.9997506,-0.84972125,-1.4527531,2.2303517,-2.4695003,-0.37784827,-5.8424697,0.9764255,-0.40274084,2.0674162,-3.6702528,-1.7334642,0.8542745,-4.3750124,-0.7622855,3.0940332,1.8862454,-3.7598798,-0.97905546,-1.4882866,-4.520687,1.4135132,-1.1840388,1.0345159,0.205796,1.8568538,-4.6915436,0.6547952,-1.3957664,1.7633744,1.1044457,-0.007434301
1498,8.092604,0.4820692,-1.996944,1.4756893,0.28992984,2.0684054,-2.775803,3.1305752,2.046876,1.0657933,-2.8566399,-3.3898566,-0.5769087,0.50698245,-1.3293267,4.295622,4.841948,-0.7255637,-1.5472771,0.8495729,-3.7428331,1.2165353,1.857383,-0.4511357,4.313132,-0.30187827,-3.7210088,-3.6200378,4.1220236,0.72679645,-1.890574,3.5198264,-1.0385865,0.6016604,-0.8872625,1.8434244,-3.7591047,-0.42093092,-4.417005,1.8183862,-1.4555736,-0.19764943,-1.0232798,-3.594865,0.26240098,-4.384488,-1.7842379,2.9752898,2.0973115,-1.3616778,1.1610552,0.5104466,-7.1413336,1.405975,-0.34303445,0.3716442,1.908434,1.8830389,0.26208186,0.68123126,3.8155267,2.225087,-2.0128882,-0.082011804
1568,4.9237843,-0.4509476,-0.71144193,1.8639667,-0.66953003,1.1350274,0.53208387,0.28440806,1.2837257,-0.9202808,-1.5844911,1.0761504,1.3251817,0.7578194,-1.5956893,3.054349,3.6013422,-0.14138043,1.8642322,0.40729392,-2.7248588,1.496909,2.5708287,-0.17241488,0.7105942,1.085688,-0.92946374,0.21417992,2.839513,0.62976605,-0.36672625,-0.46002656,-2.5653195,-0.79985213,-2.1990206,3.119428,-0.6131821,0.98291534,-2.1462991,1.9938685,-1.2441134,0.054808676,-0.09219753,-1.2210867,-1.8347436,-2.3310094,0.04818763,0.9973591,1.5717604,-0.46016383,0.18735206,-0.06347074,-3.3706183,3.5005155,0.5420689,2.422638,0.81618506,0.4025634,-1.7270776,0.43095702,3.1195254,2.3374038,1.0455433,1.3893238
1569,1.63734,-2.5051672,-0.19042048,0.46208197,0.50358003,-0.66761947,0.62566614,-1.9497565,2.026041,-0.6029981,-2.8219156,1.3041703,0.057549156,0.88201416,-0.7274291,0.7547111,1.838442,0.005412221,2.226754,0.18795769,0.40050542,1.4575827,3.2923684,-1.832309,0.30287358,0.73149776,-1.5917299,-0.9510447,2.0148172,1.7984207,-2.0351193,1.5706666,-2.810023,-1.2347655,-3.0496528,2.4096057,0.9777441,1.5442661,0.31451392,-1.8649256,-3.7984562,1.3333973,-1.8735801,-0.24143013,-1.1659938,-3.9076,0.07481464,1.8000755,1.5472735,0.89617825,0.7245694,-0.44937822,-1.5948772,1.3484385,1.2120359,2.1470819,-1.2365003,1.7606846,-1.6689259,-2.2145972,0.15389623,1.1783243,-0.57260215,-0.34103394
1582,1.3526516,-1.3377078,-1.4409683,3.1981273,-0.30458486,-1.8971137,-0.77214324,-0.52245486,1.2781023,-2.3316174,-1.1424135,-0.66508,1.0353844,-1.7846854,-0.42546192,1.5813866,6.929019,-1.2777396,2.3185225,-0.17364258,-0.9719625,2.0482965,3.1287916,1.0568743,1.722177,-0.2564858,-1.8947554,-1.7564813,3.8425179,0.49147117,-0.08521562,-1.0610406,-1.840744,0.6984691,-4.953026,0.27088302,0.40645206,1.0843885,0.83726436,4.7812266,-0.48797083,-0.24705145,0.85258716,-0.6706478,-0.8290075,-2.248405,-0.011267964,0.60814047,-1.1922098,-1.0086199,1.0046506,-1.021707,-2.1317248,0.8662401,2.153829,2.4676824,-0.9850345,3.4075131,-2.3620975,-0.019435897,4.203971,2.9674575,1.2292906,2.0416784
