,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
25,0.44027555,1.0641735,-1.5204728,-1.398749,0.6668543,-1.3570416,-1.0755008,-1.2126851,-0.06841497,-1.0607586,0.39755407,-2.2371924,1.53481,-0.36602768,-2.7758608,-2.3351643,-1.0230191,-1.5911072,-3.3220744,4.131822,-2.8407514,-0.6039133,1.2577212,0.4492443,-1.114635,0.25406998,-0.8962271,2.1397772,-0.41740194,-0.54540604,1.9691616,2.6938207,-0.81761885,0.60445845,1.6657032,-3.9532561,-0.864266,0.64534545,-0.87655246,1.2852399,1.5021462,-0.2222563,-0.1704987,1.7986915,-0.35153455,-0.16158283,-0.73934853,0.61257195,-1.5805037,1.1980343,-0.649636,1.2565887,1.3144438,-1.4074175,-1.0057089,-0.3977934,-3.477322,-0.6588677,-1.4839069,-2.5703878,0.029873893,-0.3998748,-1.8118697,2.1655302
92,-2.0097659,-1.1977209,-0.5282969,-0.38962308,0.15489085,1.8209661,-1.2965035,-0.061187234,-3.2965703,0.85117054,-3.6372998,0.078613974,-1.8075897,1.031097,1.2429342,0.7656295,-1.9537073,0.86741567,-3.3407094,2.6071608,-1.6041852,0.041687988,-0.5429524,1.3019089,-3.0996041,-1.4267026,0.4375917,-0.2871012,0.8166523,-1.0480992,-2.8551621,1.0020522,-1.1547806,1.45152,2.8734741,-3.9859986,-1.7245055,3.9422824,-1.4405742,2.85731,2.715056,-0.76133054,-2.8611448,-0.17905211,-0.9019383,-1.3356676,-1.3328909,-1.2800351,2.7020986,-1.1018714,-3.4492662,-0.43115014,0.2477498,3.313612,-0.69138473,-0.7731243,-2.6366606,-0.48427856,1.5566423,1.8107082,-5.63937,2.5061605,1.4770021,1.512829
135,-1.6611323,2.9617815,-2.6604168,0.31454122,-1.1758568,1.767246,-1.2270643,-0.5199338,-1.8571006,-0.69593275,0.44669887,0.3604598,1.5644869,-0.11174229,-2.3096547,-2.0523734,-1.7272904,2.1796505,-1.3869332,2.0876153,-3.5515113,0.4918814,0.807181,1.4825784,-0.809602,-0.42683065,1.9780111,1.1418856,2.94367,2.0335388,1.202319,3.10977,-3.7547276,0.4451022,1.4481438,-0.36571807,-3.253,1.5898821,1.0897535,0.69275355,-0.59252095,-1.1373987,0.6955942,0.9048431,-1.5433571,2.7557511,-1.9541969,-2.9150066,1.5612196,-0.3439695,-1.1151787,0.8541404,0.7016384,1.7236735,0.23171964,-0.18698728,-3.7725244,-0.4248482,-0.31267363,-1.3222901,-1.7696838,0.33510303,1.1681852,-1.1918256
339,-2.3642933,-0.42700443,1.3104143,-0.6944221,-0.038778283,1.444546,-3.0742886,0.25148466,-1.5517656,2.0196514,-2.89549,-2.7967017,-0.692212,0.76047015,-0.2884243,-1.3736539,-0.068003275,-1.7392478,-1.2134709,1.7969868,-2.296545,0.30171734,0.51739913,2.6169744,-1.4574075,-0.5768615,0.0032290965,-2.3562582,2.701123,0.74107033,-3.3185232,3.0901456,0.9768683,1.409248,3.1175754,-3.2733493,-4.046248,1.5990375,0.4916354,3.6035395,2.3488603,-2.302803,-2.0550551,-1.032654,-2.3280573,1.1788414,0.36549017,-0.8295261,1.5008363,0.09970829,-2.1120267,0.38245016,1.1093241,0.52542484,-0.75345874,-0.43510866,-5.241519,-0.6379896,1.4936725,1.0752684,-3.9521148,1.0071363,0.18369803,-0.77554536
381,-1.3168521,-1.5020412,-0.59254634,1.6537327,1.5011548,0.9777023,-0.06405612,0.015641704,-2.35874,-0.6350956,-0.76712084,-0.29082805,-0.5255499,-0.8317921,1.3219169,-1.1394715,-1.6450913,1.9034258,-1.5618418,3.7601728,-0.51046467,-0.8625917,-0.503062,1.048962,0.10695596,1.577871,1.9004661,-0.5981828,-1.3971357,-1.7014129,-1.5138347,1.7710521,-2.2450147,1.4894955,2.8323777,-2.9731185,-1.673163,6.2210326,-0.6455938,-0.39509162,1.7339509,-3.238836,-2.7810335,-1.5846008,-1.4031823,-0.4793959,-0.1878692,-1.4530114,3.7218256,-0.04678298,-2.701537,-0.26432785,0.54098094,1.224495,-0.69031876,-0.608461,-1.5646836,0.080541536,0.8486541,-0.7737885,-3.1630492,2.7268147,2.0397298,1.0835326
522,-1.6214517,-1.7187656,0.41379482,0.6295731,1.7210462,3.1389694,-3.4222677,1.675041,-1.8612541,1.1689126,-4.6675396,-0.19532235,-2.258019,1.19419,3.1912792,0.8436771,-2.3559632,1.2006954,-1.2033235,1.9963365,-0.014604986,-1.2714553,-0.69755983,1.9316168,0.17529646,0.32991838,1.8177105,-1.5788271,1.3758186,-0.8387182,-4.417418,1.748,1.0862433,2.0827131,3.6392004,-1.8100073,-2.6372786,5.5695863,-2.706313,1.2352594,3.2651625,-2.4004014,-4.190369,-1.9845874,-4.217454,-0.17858495,0.7292809,-1.462131,4.418473,-1.2795029,-3.5666773,-0.26858917,0.3893699,2.1721761,-1.881763,-2.5723405,-2.5941372,-1.2594205,1.5177929,2.3820453,-5.5698595,1.3208898,1.0370467,-1.5482917
542,0.98369044,0.9494329,-2.0470424,-0.87040675,1.8544137,-2.390197,-1.29699,-0.3229675,-1.8859627,-1.2076173,0.44713137,-2.4250324,0.9940374,-0.20920646,-2.0500062,-2.8180628,-2.9438198,0.79809505,-2.2601824,3.5123875,-1.8054472,0.24985217,-0.1525523,0.47852728,0.74489933,1.1450912,0.9791788,1.3588487,0.059673164,-0.26205117,3.096436,3.8196414,-1.963419,0.19767357,1.8705196,-3.0926254,-2.1007876,0.154178,-1.2285396,0.91615885,0.03533835,-0.28566983,-0.50898975,0.31230113,0.32623354,-0.21958792,0.5476905,0.91642123,0.061472863,1.1135037,-0.037702363,0.6166882,0.014782378,-2.4143856,-0.50886506,0.39380097,-3.2426429,-0.3938263,-2.7252057,-3.0929759,0.54669446,-0.15821894,-1.7297379,1.9124793
577,-1.06015,0.45444286,-2.103755,-0.5902164,0.9079981,-0.1295783,-1.6732816,-0.7719891,-1.6645434,-0.634106,-2.8031766,-2.1938956,0.52460146,0.0937609,-0.54771465,-0.5996142,-0.61941373,0.82887536,-2.2713084,2.5685697,-3.2403586,-0.307008,0.25452763,0.6937332,-2.193327,-0.6769324,-0.3961418,-0.597187,0.9793053,-1.0785829,-0.55717456,2.4817164,-0.66697323,1.8122177,1.4397261,-4.103107,-1.1426874,0.18998183,0.77984643,2.9595888,2.1183336,-1.1826696,0.09738583,1.2635516,-0.35049927,-0.79064435,0.1186029,-1.2855589,2.405083,0.5924493,-1.3562765,2.0306292,0.9087745,-0.34369993,0.022754667,-0.47084564,-4.0845385,-1.3012366,-0.73955095,-0.2674352,-4.306999,0.61477375,0.5107676,0.5451298
581,0.0056391954,1.0158526,-1.2075377,-0.15002519,1.1819074,-1.4762483,-1.7182025,-1.4996966,-2.453281,-1.0017021,0.4271278,-3.3341374,0.1864025,-1.4633902,-2.2103565,-1.6614757,-1.8918229,1.6362493,-2.4384825,3.4342544,-2.5486863,0.32333574,-2.7823377,-0.33477718,-0.42999315,-0.04166971,1.4177924,0.7669216,1.7879977,0.18345855,1.9885142,2.1278367,-2.9285154,0.3959282,0.33956677,-2.5620277,-2.3116078,1.0558146,0.5547925,0.8200531,1.8803375,-1.2421603,0.070928894,0.41301817,1.2504963,0.9175621,0.4154771,0.19265747,0.26010293,0.786595,-0.3037585,-0.1367711,-0.24434668,0.837764,0.107663155,-0.009490207,-4.141706,0.5480495,-1.4423643,-1.5517799,-1.3763682,1.3157568,-0.2511645,1.8451227
618,-2.0124419,-1.185752,0.26954576,0.63102895,1.6987677,1.9558262,-1.6971674,0.37965095,-1.562661,1.6675138,-3.6134343,-2.0358462,-2.1601555,0.42667076,1.3059874,-0.05023095,-0.3170211,-0.17296883,-1.8039981,2.5597775,-1.2277646,-0.11934226,-0.935428,2.0856986,-0.53852344,0.33298272,1.0531228,-2.7186232,0.013129048,-1.2236161,-2.1662393,1.6726273,-0.4653412,2.5442016,3.047881,-4.4692082,-2.3575408,4.002756,0.15770642,1.9302514,3.139685,-2.4294589,-2.064367,-1.2409517,-1.1445566,-0.20936564,-0.57937604,-1.8041168,3.8605058,0.11659413,-2.4459426,0.1674515,0.8461656,2.283497,-0.5634759,-0.5904473,-2.6543996,-0.2728511,2.1023984,1.0864499,-5.6875076,1.5206544,1.9927326,0.15579385
