,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,-0.90341437,2.9437966,0.29252928,1.4696426,-3.6600645,3.4989977,0.032489188,6.457546,4.7326612,1.8562741,-4.3689,2.0600486,0.15613459,-3.0719028,4.645976,2.6437995,1.9994136,-2.9970396,-0.039867535,-3.3448627,2.7172325,-3.3301773,-0.686973,1.2561842,-0.6019825,2.2879007,0.194539,3.224358,2.7165384,-0.8639132,-1.9752693,6.1900444,-3.9240086,1.0487059,-1.6343557,1.0349187,-5.2149534,1.0097325,-2.6433918,-3.8612163,3.4832046,1.116061,-0.6129768,4.2401,8.084344,-0.3986562,-3.067746,-4.2255177,0.6341615,-6.8717203,-4.46529,-1.3182987,-0.47081712,-4.1241584,-1.0650913,2.732279,-0.51473933,0.43977112,-2.3043582,-1.8572351,-3.2367873,-3.233795,-5.874975,-1.7400913
40,-0.44222212,3.125639,0.8044149,2.9578025,-3.0333846,0.050863877,-1.2242885,4.4755764,3.771479,0.87976664,-5.4261756,1.3434836,-0.017002761,-5.0784574,3.1697595,2.9276512,1.1870099,-1.941836,0.6680893,-3.060073,2.5953205,-1.5285956,-2.56647,0.11731444,0.114154935,3.4103038,2.2707427,3.122022,3.0756328,-2.26443,1.2180575,4.3879805,-4.007113,-0.49812436,-2.2242658,1.7295142,-2.1196113,0.0012051314,-0.73818153,-3.3280833,3.2708175,1.3102925,-0.5358212,3.8862271,8.437821,-0.58193195,-0.84834224,-2.1080003,-1.0238909,-7.780655,-3.0640037,-2.7209973,-0.32029864,-3.3539865,-0.70763755,3.2577932,0.029722214,0.4365059,-2.9716668,-0.6726049,-2.648345,-4.0533237,-5.3080187,-0.7438511
47,-0.4248544,3.6109052,-0.42564344,3.177972,-2.3569517,1.1535357,-0.8121238,5.169252,4.2992487,1.6535298,-5.6585903,2.0266292,-0.36106643,-3.834114,4.112032,3.103696,1.2084383,-1.743492,0.5599638,-2.6723716,3.4546156,-2.2996368,-3.361923,0.27479047,0.5399865,3.797128,1.8030684,3.5872903,2.1482995,-2.273922,1.6015521,4.2239146,-4.3389177,-0.11907606,-1.8404477,-0.23088688,-1.7992821,0.7732868,-1.1386262,-4.5658154,3.5866394,1.5401077,-0.48310807,3.8816664,8.179659,-1.2574126,-3.560462,-3.1829102,0.24859029,-7.1617584,-2.6936092,-2.6633205,0.030114943,-3.6093872,-0.7672367,3.7725725,0.0766797,0.92852294,-2.2009664,-1.5168644,-3.3590755,-3.4878604,-5.039594,-0.46439582
109,-0.63629186,3.2823217,-1.3324125,4.161618,-2.6649485,1.1955394,-0.29237002,2.953365,4.3026767,0.7602569,-5.6398964,3.2046204,0.6136136,-4.3124185,3.2906735,2.9432974,1.0208993,-0.33361146,1.1138312,-2.2820132,2.6910496,-2.1721113,-0.4859098,-0.62868154,-1.3031151,3.7151897,1.6402793,2.9777339,1.3545312,-2.7940388,0.920865,3.9235528,-4.0820537,0.054154858,-2.5326712,1.5264238,-2.0147936,0.22902647,-0.54999566,-4.289079,3.143989,1.7554088,0.061133213,5.0215993,7.0239058,-2.4345708,-2.4178739,-1.7486384,-0.06630118,-6.799253,-2.2367067,-0.67582357,-1.0692433,-4.4790707,-2.4655466,3.8038688,0.6727079,-0.156833,-2.7731159,-1.126632,-3.0303438,-4.332187,-4.591177,-1.7229378
227,-0.7924669,3.830311,0.2613689,1.5959634,-3.150887,1.6495064,-1.8414507,5.064485,4.358988,1.7608846,-5.074481,1.3997198,-0.73686445,-2.7631917,4.4582887,2.3680396,1.3753672,-2.8983169,-0.9919527,-3.376261,3.7015696,-1.8424137,-2.4771166,1.0246575,1.6918421,2.5253603,0.1981757,3.471773,3.3119235,-1.7131971,0.32875997,5.63447,-2.5921104,0.67762905,-0.7198761,1.1896306,-3.2476883,0.08803101,-3.2370424,-3.9291613,4.137427,2.4040103,-0.5339254,3.7120686,7.301949,-0.30457252,-3.1724162,-3.6442719,-1.0343386,-7.2870517,-2.9641914,-2.36944,-1.1194601,-3.6691208,-0.91385466,2.6589346,-0.44832158,0.5015605,-1.4643911,-1.3695627,-3.069736,-3.948962,-7.343892,-1.7810793
289,0.31388485,2.5740688,-0.59809273,1.986149,-1.6901555,2.2786372,-1.1019192,5.1877823,3.7419498,1.5992856,-4.079301,1.5172461,-1.2914327,-3.378927,5.13106,3.5374987,0.75241536,-1.8822042,-0.6071484,-2.0203733,3.3717763,-2.6178308,-4.701052,0.04653682,0.64634454,2.6433792,1.1137291,3.6046977,1.9342453,-2.2186537,0.9770429,3.8739543,-5.458235,0.079800025,-2.1279671,0.06761641,-2.1964834,1.4306563,-2.886325,-5.269264,5.2095056,2.1327434,-0.4302902,3.632725,9.650653,-1.5549418,-2.7009397,-3.2413049,0.89549375,-7.4058805,-3.6299312,-3.0559368,-0.55412054,-2.583719,-0.38952,2.7885401,0.710307,1.1397035,-2.388544,-0.56592435,-4.20012,-2.1042707,-3.9902635,-0.20590366
358,-0.5768076,2.7690456,-0.23070839,3.7623448,-2.4627984,0.8637845,-0.49764627,4.6180005,3.6844203,1.6261089,-4.4759593,1.8082314,-0.8237506,-4.4666243,3.88132,3.5322945,1.3589814,-1.680314,0.02546677,-1.5373124,3.1179264,-2.4224558,-4.1906548,-0.3127486,0.08060226,3.3424122,2.2343063,3.272292,2.12029,-1.8586358,1.6267464,3.0152626,-5.528003,-0.24298932,-2.5279226,-0.4570536,-2.2030427,1.8015648,-1.3425988,-4.5861473,4.402226,1.5139683,-1.2024543,2.8548684,8.772337,-1.5681182,-2.7787275,-2.2551732,0.119311914,-7.469342,-2.8850396,-3.1891685,-0.41094846,-2.6015918,-0.8933637,3.572844,0.64010566,1.6378726,-2.161163,-0.6244916,-3.813497,-2.600804,-3.690418,-0.44097722
366,-0.39171714,3.742517,0.83547974,2.3561885,-3.7814705,2.2040808,-0.31116614,5.1044636,4.5329185,1.072447,-4.175309,2.129473,-0.2533679,-4.235246,4.251044,2.7145994,1.6919509,-2.2684186,-0.16410227,-2.6953237,2.7544804,-3.2883294,-2.1258388,0.38331553,-0.7943728,3.1706536,1.3701689,3.7578356,1.81664,-2.6292317,-1.1269817,5.1254864,-5.0079536,0.48606932,-2.098766,0.9774643,-3.9615064,1.6101362,-2.191038,-4.6238055,4.1601005,0.6072956,-1.1010809,3.893866,7.8715286,-0.6209412,-2.278235,-3.431497,0.17482805,-7.3267727,-4.753223,-2.1130624,-0.65037143,-3.2569957,-0.8899768,3.43205,-0.40944946,0.6971151,-2.5645537,-1.8247845,-3.09667,-3.0029614,-5.5713444,-0.804555
440,-0.66646415,3.694375,0.09705096,2.1633086,-3.697185,2.2907715,-0.30201682,6.0091953,5.0480876,1.2973602,-4.4102497,1.8410734,0.06570204,-3.9495175,3.850313,3.3024917,2.1539938,-2.8385293,-0.3364514,-3.095323,3.4536223,-2.6173878,-1.4232734,0.98451614,0.14480957,2.2276561,0.53612745,3.3631594,2.0807564,-1.3281121,-0.9678333,4.6816096,-4.014271,0.99566364,-1.7227597,-0.10563338,-3.5818834,1.6778939,-2.1160932,-3.507808,3.6886666,0.5985252,-1.190599,3.7376933,7.299994,-0.40522113,-3.4843671,-4.0829444,0.031371318,-6.7328615,-3.7867665,-2.199335,-0.44930872,-3.7096155,-0.9919303,2.9592018,-0.15767097,1.298544,-2.3020058,-2.0138073,-3.1481285,-3.1054256,-5.6267357,-0.2898435
498,-0.4608932,3.5857346,-1.7122691,2.803258,-1.871111,1.3368902,-1.3150903,4.1195836,3.959605,1.5363513,-5.5420527,2.8853655,-0.20780382,-2.7273746,4.341389,2.6721034,0.6307333,-0.72903454,0.49355102,-2.6209927,3.2604516,-2.288522,-2.355728,-0.19252747,0.7599572,3.5935314,1.2661369,3.3490906,2.616431,-1.9889811,1.6300367,4.6251535,-3.9144788,0.09753707,-1.6625749,0.64975023,-2.3048768,-0.6672225,-1.9484941,-4.305273,3.497366,2.571677,0.34337777,4.068868,7.6987224,-1.760581,-3.2328174,-3.0844872,0.45529148,-6.8956075,-2.1035376,-1.7683386,-1.2395687,-4.7174883,-1.538206,3.4362628,-0.22909832,0.3656959,-2.4798014,-1.4231675,-3.371176,-4.1205626,-4.927268,-1.8765469
541,0.64690775,3.2496564,-0.4986626,2.475894,-2.2952592,1.3794733,-1.1678318,4.87237,3.9929314,1.0746726,-4.399146,1.8603246,-0.6262094,-4.19554,4.5716457,3.3036225,0.76064134,-1.4652445,0.32120794,-2.9080873,3.1446595,-2.572179,-3.5345304,0.2732214,0.2783995,3.113949,1.7528788,3.3367558,1.7779158,-2.555548,0.48059535,4.3402,-5.08456,0.24909426,-2.177737,0.39689383,-2.47739,0.53305846,-2.139346,-4.679707,4.4238834,1.2973473,-0.25007236,3.785576,9.241031,-1.345437,-1.9075114,-3.133939,0.8914294,-7.152131,-3.64391,-2.3790617,-0.50048065,-3.7452128,-0.77110225,3.19474,0.513192,0.40117615,-2.797387,-1.3443918,-3.4577193,-2.8454545,-4.361171,-0.30353183
588,0.485875,4.475896,-0.24093321,1.9719487,-2.353999,1.2906694,-1.7718866,5.7963877,4.5790343,1.3242544,-4.2463775,1.8036115,-0.4878207,-3.7808394,4.184292,3.4868035,0.4093258,-1.7325097,0.08971827,-3.6445923,4.0370474,-2.9442444,-4.2096562,0.07126917,1.5292413,3.477477,1.3623072,3.0931153,1.5058918,-2.7174954,1.2811738,4.6901584,-3.7211084,0.22084926,-1.4561261,-0.37931386,-1.9776721,0.24511729,-2.6798186,-5.5050244,4.044249,1.0296662,-0.75831556,3.1200578,8.579952,-0.9563387,-3.4226694,-3.0468953,0.7532948,-6.7859235,-2.8849661,-2.5156837,-0.6670311,-4.3886433,-1.2542262,2.6353881,0.6747038,0.83268654,-1.7086533,-2.3712482,-3.0719519,-3.6236937,-5.7751145,-0.88088137
821,-0.04531093,3.329396,-0.32299227,1.6918468,-2.7970185,2.0523605,-1.727716,5.047015,4.075489,0.6349825,-4.291958,1.6723906,-0.32322532,-3.649723,5.329338,3.2259934,1.4566147,-1.8870909,-0.19031553,-3.085163,3.4672723,-2.5540593,-2.730178,0.47370288,0.65213853,2.5523944,0.8175837,3.6912398,2.689091,-2.272379,-0.6101992,5.411152,-4.036344,0.6115019,-1.7614788,1.0752558,-3.0655384,0.271546,-2.9848409,-4.614516,4.859366,1.6911578,-0.17308974,4.31387,8.301519,-0.7406029,-2.181148,-3.4638433,-0.11049895,-7.3628654,-3.5862634,-2.3204713,-0.99552566,-4.283113,-0.74653363,2.6911623,-0.11060281,0.1347993,-2.935404,-1.0347767,-3.3025131,-2.8173153,-5.56184,-0.9675387
861,-0.06164813,3.7301068,-0.4782806,2.033006,-2.3154705,1.105466,-1.5123158,4.491994,3.508364,0.70842457,-4.255394,1.3855795,-0.22712904,-4.349875,4.2877383,3.693161,0.80300677,-1.9130468,0.101379395,-2.9598181,2.9637296,-2.244834,-3.9923797,-0.552505,0.81822956,3.287503,1.9140328,3.9259844,1.8822788,-2.4653342,1.2616011,3.981709,-4.58187,-0.43176067,-1.5775743,0.6253806,-1.8935733,-0.40898156,-2.1647813,-5.2794,4.2293158,1.3526506,-0.47328338,3.1634855,9.195401,-0.4875088,-1.3401334,-2.6692543,0.17966811,-7.392668,-3.2328608,-2.7497802,-1.2002093,-3.6886923,-0.9544862,2.8808756,1.1146928,0.49058563,-3.2363749,-0.9631132,-3.5680945,-3.0764835,-4.338293,-0.7175438
974,-0.46313816,2.8278887,-0.58955616,2.3465514,-2.3227787,2.0818956,-0.23395497,5.8447948,4.270349,1.6454089,-4.4351773,2.0971248,-0.7898493,-3.2009425,4.715298,3.0332847,1.5791346,-2.158428,-0.07263729,-2.547686,3.5595522,-3.0031195,-3.3089173,0.40166023,0.541096,2.9746902,0.97831607,3.0945513,1.9624335,-1.5541134,0.38661304,4.4710197,-4.508913,0.6339453,-1.8412149,-0.6701549,-2.7617166,1.637572,-2.197477,-4.3454084,4.3245053,1.3049369,-0.6763114,3.825082,8.487576,-1.1727356,-3.8366647,-3.629495,0.757913,-6.598107,-3.1815388,-2.5806851,-0.36965263,-3.4992268,-0.71919906,3.0572429,-0.058196183,0.98713374,-1.9366547,-1.6778605,-3.6834114,-2.7204416,-4.6419997,-0.39388245
1041,-2.0677364,3.5539606,1.2553434,3.4296615,-3.4332697,1.3758397,0.24984932,4.8234167,4.6907244,1.5182221,-4.7603264,1.6289622,0.050596982,-4.0955863,2.2013645,3.3793793,1.7166588,-3.2437096,0.34654954,-3.5863404,1.3757731,-1.6816651,-1.8557304,0.22813895,-0.9754387,3.6429632,1.6669014,2.8385265,3.2798054,-1.1491995,1.5696412,4.6106157,-5.423608,0.3809715,-2.012883,1.2119639,-4.2412157,-0.072016284,-0.27361995,-3.1955366,3.7851667,1.1589586,-0.83906144,3.5528157,8.698254,0.28975117,-1.3273984,-2.7791758,-0.55402267,-7.5548396,-3.6654303,-1.9583948,-0.85438174,-1.9338433,-1.3669733,3.5261936,-0.111215115,0.6821948,-2.5018013,-1.1787412,-3.6570857,-3.784592,-5.137416,-2.3957052
1067,-0.2220173,2.7592363,0.4402135,2.726642,-3.1597233,1.7152501,-0.43554068,5.1231527,3.8712847,1.7427471,-4.657381,2.0916998,-0.800732,-4.4075055,4.2190995,2.825423,1.5304369,-2.3654704,0.33875632,-2.4552526,3.2954755,-2.8966765,-2.6033506,0.21102887,-0.009757809,3.6602998,1.8993998,3.2347796,2.0581238,-2.3766606,-0.34792253,4.756695,-5.2097645,-0.13829209,-1.8474362,0.36652514,-3.0962498,1.7291039,-1.8058943,-4.4476004,3.5021622,0.64450186,-0.9328254,4.0725226,8.936485,-1.2820692,-2.5850494,-3.032947,0.32174316,-7.604486,-3.8399858,-2.7579193,-0.1432092,-3.3484018,-0.5126348,4.0009565,-0.036349505,1.144477,-2.4276352,-1.2277086,-3.102154,-2.983133,-4.504965,-0.13064879
1086,-0.62021255,3.910308,0.66052616,1.8492975,-4.181408,2.5903218,-0.41159183,5.8439765,4.7018256,1.4022702,-4.6879025,1.4756626,0.24899352,-4.390386,3.6604521,3.3194332,2.0654845,-2.4983912,-0.2962798,-3.7170157,3.1120143,-2.9956818,-1.4641119,0.6719842,-0.20617093,2.4714522,0.5754558,3.0635812,2.2536182,-1.9924442,-1.5464627,5.631235,-3.7260344,0.8164085,-1.6129477,0.76876193,-4.043856,1.0385298,-2.142212,-3.627217,3.3459425,0.12299967,-0.4445312,4.213765,7.891382,-0.30811477,-2.8659787,-4.145089,0.23006134,-6.562847,-4.0319457,-1.5210646,-0.7830495,-4.072844,-1.1216435,2.8959076,-0.07104279,0.9541522,-2.3388739,-2.0519094,-3.3652134,-3.7201412,-5.977992,-1.404926
1095,0.14659764,4.013183,0.108773336,3.4023352,-2.9523392,0.53863484,-0.8979616,4.5565133,4.3537493,0.43796387,-4.868033,2.0564642,-0.12735209,-5.4270697,3.21188,3.4476488,1.0250192,-1.4306307,0.561074,-2.5927658,2.6947482,-3.0884364,-3.7792087,-0.5918617,-0.08456223,3.9941928,2.1593974,2.9309983,1.1992247,-3.2007036,1.4090763,3.9508624,-4.6241393,-0.10225563,-2.519352,0.63275707,-1.6852407,1.0646473,-1.194126,-5.1568594,3.872637,0.872176,-0.62095195,3.7400339,8.534073,-1.5548722,-2.0585434,-1.843051,0.20390072,-7.463017,-3.4015455,-2.4531088,-0.7514483,-3.8393316,-1.4814503,3.2553391,0.69735146,0.829657,-2.8386762,-1.2193271,-3.436005,-3.715052,-4.804358,-0.88047147
