,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
125,6.595492,3.619378,4.44406,-3.6773245,-4.1423597,-2.3039327,-4.7450376,4.4793077,0.041654296,3.7745724,-4.5492706,0.17296335,-1.4527138,-6.736105,0.42175063,0.071821146,-1.0566399,-3.36149,1.1714725,-3.5588686,0.6009724,2.8520439,-0.96475303,-4.694977,2.8660026,0.9806929,4.4745393,-4.800282,0.54622334,-5.9342713,0.77047694,2.369661,-5.433759,1.8609759,3.9524243,1.758692,5.9036174,3.118825,-0.9146209,3.6587403,-2.698529,-2.107066,-1.1578608,3.0013053,5.0541334,-1.3845199,3.6741903,-1.4679656,-3.0441487,-0.57828784,-6.0574307,-0.42225695,2.646389,-5.4660068,2.8010721,3.0657392,0.94966197,-1.208743,-2.7022245,-0.14785808,-3.9750998,-3.9044497,-1.670078,-1.0070771
147,6.6114593,3.5710073,4.3035398,-3.585786,-3.815093,-2.2854729,-4.8450537,4.349881,-0.12423077,3.9365635,-4.7558317,0.2491976,-1.1845348,-6.602747,0.24741589,-0.024264887,-1.3528309,-3.059629,1.2561593,-3.40158,0.59699756,2.848144,-0.8565203,-4.6540313,2.7509258,1.0221086,4.250086,-4.6788516,0.7772995,-5.6546626,0.626525,2.545423,-4.892582,1.6159554,3.8418283,1.8097085,6.0639133,3.2140687,-0.6302207,3.5483124,-2.736539,-1.9856702,-0.96206564,3.4009144,4.996258,-1.51222,3.3530164,-1.3802478,-3.0305917,-0.29164103,-5.6844087,-0.19306979,2.5279152,-5.6300387,2.5284026,2.8341188,0.9048602,-1.3364558,-2.4416735,-0.08879291,-4.0280523,-3.7972052,-1.7381145,-0.85329413
236,5.947517,3.51758,4.356164,-3.0926344,-3.933867,-2.8506625,-4.7811403,3.9023116,-0.28451443,4.094255,-4.9143653,0.11582917,-1.3333197,-6.5055084,0.278288,-0.1556983,-0.8520322,-3.3544645,1.2546701,-3.0289543,0.4543745,3.4264383,-0.92811763,-4.3025045,2.972991,1.0896666,4.831013,-4.2474046,0.9659668,-5.262242,1.0762284,2.2679954,-4.9152346,1.6106421,3.8694592,1.5548706,6.074945,2.889815,-0.304757,3.7292607,-2.6041055,-1.8056264,-1.0427684,2.739725,4.8089237,-1.2768843,3.641694,-1.8596867,-3.3256621,-0.8102844,-5.558638,-0.7734707,2.5766294,-5.0070405,2.785555,3.319647,1.3531083,-1.1170427,-2.6863317,0.23284046,-3.901234,-3.7303653,-1.5280945,-0.6343514
314,6.2736635,3.7244005,4.2421627,-3.482665,-3.9909856,-2.4398322,-4.921395,4.194339,-0.21844387,4.056132,-4.596571,0.17870478,-1.6555591,-6.4948444,0.47151223,-0.012725614,-1.0161978,-3.3405645,1.2163802,-3.2879303,0.57220274,3.0804865,-0.9374,-4.4886417,2.9490573,1.0044647,4.634198,-4.432906,0.71299595,-5.6359415,1.1130172,2.2237527,-5.186877,1.6862624,3.9696898,1.6962937,5.9798784,2.9048948,-0.52930665,3.5755832,-2.5978565,-1.9637148,-0.9892702,2.9075613,4.837236,-1.22239,3.596183,-1.8545111,-3.0864823,-0.72767735,-5.7164454,-0.599013,2.4982545,-5.2389274,3.0621648,3.2653158,0.92801803,-1.2188956,-2.7556944,0.23675944,-3.8454635,-3.5856488,-1.5214207,-0.79367673
385,6.0554166,3.6762595,4.536424,-3.4088674,-3.7314932,-2.3364067,-4.872515,4.1463213,-0.043728814,3.9908094,-4.527622,0.0716883,-1.4954016,-6.4373493,0.19765069,-0.089469105,-1.2284634,-3.4592643,1.4547502,-3.5647302,0.27758002,3.2893622,-0.9691231,-4.555454,2.7476249,1.1210093,4.6703405,-4.615617,0.8513084,-5.5778112,1.1673183,2.312684,-5.452077,1.6868914,4.0112343,1.88294,5.8945274,2.5606132,-0.31046697,3.5081923,-2.4553766,-1.9713354,-0.9202023,2.9113061,4.952923,-1.0176482,3.9101048,-1.6158322,-3.1215668,-0.69067794,-5.7712564,-0.48125702,2.3528595,-5.0080276,2.890789,3.2014706,1.0474392,-1.3236957,-2.7337675,0.18162532,-4.0430374,-3.5527897,-1.421489,-1.0315434
543,6.272274,3.7028291,4.627652,-3.0330625,-4.498084,-1.8411378,-3.4889147,4.227232,0.94771516,3.2275467,-3.6887083,0.24129009,-0.6775876,-7.3503127,-0.1917185,0.13377008,-0.5788179,-3.1725109,1.3677632,-3.7712977,0.13698535,2.133113,-0.1628744,-4.7662034,1.4728923,0.9056235,4.2921953,-4.9449234,-0.80639786,-6.4478793,0.102335125,2.3113987,-5.8324733,2.4115093,2.9479508,2.0767038,5.303492,3.2886946,-0.32302767,3.568889,-2.5428967,-2.8639543,-0.7995377,3.4671426,5.5160885,-1.4450284,3.9546425,-1.7158465,-2.6405778,-0.09749834,-6.6592307,0.65516543,2.0976326,-5.6406374,2.0138304,2.974355,1.2657378,-1.2796571,-3.0323575,-0.8226546,-4.2120886,-3.9802077,-1.2494092,-1.1052669
733,6.081209,3.4070659,4.4466105,-3.1217754,-4.133632,-2.7365146,-4.5363936,4.150046,-0.1863699,3.856526,-4.912537,0.24610944,-1.4046206,-6.670025,-0.14144625,0.033536464,-0.85317266,-3.387533,1.2238337,-3.3275166,0.33559567,3.0035894,-0.78869724,-4.4710517,2.658701,1.1732664,4.7284327,-4.520792,0.994994,-5.3852234,1.2605302,2.062092,-5.132497,1.7440284,3.6973178,1.8594054,5.7870836,3.1701877,-0.39345765,3.9655783,-2.6752703,-1.840834,-1.129054,3.1482747,5.002492,-1.3545455,3.688885,-1.1629845,-3.4150207,-0.68838435,-5.4948034,-0.5715692,2.6228497,-4.913953,2.7233465,3.1600199,0.818006,-1.2259622,-2.5228713,0.03358352,-3.7865446,-4.1846395,-1.5758972,-1.0903759
837,5.6825686,3.9572747,5.177176,-2.663712,-3.9698663,-2.1447442,-3.4270525,3.6358,0.7851912,3.3891053,-3.7471702,0.05996773,-0.3383347,-7.4642982,-1.1599704,0.29277122,-0.5830361,-3.3811464,1.6761531,-3.9558656,-0.677878,2.5700428,-0.18413913,-4.8529143,0.848734,0.75717163,4.6709447,-5.3544254,-0.11339721,-5.9938903,0.38343775,2.4391735,-6.114603,2.247714,2.4792895,2.1501164,4.999263,2.7148592,0.6903757,3.4854014,-2.356232,-2.46772,-1.1715139,2.9266613,5.4895616,-1.2928917,4.610455,-1.1279354,-2.9316556,-0.29575562,-6.575029,0.36338192,1.7958982,-5.1199694,1.6897036,2.957288,1.3323145,-1.2908831,-2.7977421,-0.31745648,-4.937915,-3.7740529,-0.78145754,-1.5008513
847,6.126676,3.554387,4.7274485,-2.9690578,-4.485143,-2.5738204,-4.2232733,4.4532285,0.04948511,3.923856,-4.836794,0.29167223,-1.237639,-6.9663353,-0.12589423,-0.008688629,-0.8772773,-3.460475,1.3947655,-3.369131,0.11679503,2.8561964,-0.6057278,-4.614407,2.188055,1.3663791,4.8226027,-4.5689874,0.73456025,-5.572999,1.082274,2.1292045,-5.53258,1.8387291,3.7332594,1.8909593,5.6253376,3.3041186,-0.32305115,3.9283783,-2.7691298,-2.2376516,-1.1945208,3.1632936,5.065191,-1.4275343,3.8308496,-1.3169603,-3.2664945,-0.77107894,-5.9282403,-0.30593055,2.6086493,-4.980214,2.5440745,3.4309769,0.9590795,-1.205862,-2.70549,-0.10026908,-3.850208,-4.0961814,-1.6457269,-1.0482337
947,5.7414317,3.5401611,4.437133,-2.6775517,-4.485927,-2.8471484,-4.0706177,4.03435,0.032110646,3.6025002,-4.9638405,0.40107632,-1.218656,-7.00064,-0.080126524,-0.049873784,-0.49066058,-3.5347207,1.3294052,-3.1760125,0.15084623,2.92659,-0.44765905,-4.64614,2.3058116,1.3886105,4.8842273,-4.181009,0.54599136,-5.4161696,1.3664968,1.8122072,-5.4149995,1.6616275,3.6490042,1.6145871,5.7576685,3.1351223,-0.25041464,3.9752786,-2.7390585,-2.0444193,-1.153356,2.9452138,4.962543,-1.1642704,3.8781526,-1.360594,-3.3411162,-0.85391885,-5.8443995,-0.52248204,2.6594715,-4.7907066,2.7297199,3.465124,1.0884049,-1.2486777,-2.8234768,-0.09472808,-3.5681863,-4.0862403,-1.4273508,-0.76393604
