,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
70,2.2712746,4.960513,-2.2345195,-3.7487588,-0.6449776,-6.1432714,3.025838,0.15992178,1.6017375,-0.7886922,-0.1071737,3.6348865,-1.9102345,-1.5031745,0.19318931,2.1448565,-4.807672,-0.5278988,-0.49584317,0.8810654,-1.639687,-1.1766905,2.431812,-0.32867053,2.1871495,2.496699,-2.1425636,1.6202569,2.0040913,-2.6645358,-4.7791944,0.35388353,-0.099213935,2.6807845,0.3339872,-2.941956,-0.8111316,-1.1977996,2.5078986,0.91700816,2.1233718,-1.6119629,-0.11200283,0.39202434,0.73514795,-1.3530122,1.352802,0.508796,2.8105443,-0.85930896,-1.7087656,2.7174344,3.1442783,-1.1111907,2.454072,-1.2347794,-2.1574748,-3.0151374,2.131735,-2.6247413,-1.1501136,-1.2943591,0.036089595,2.2796612
138,2.402709,4.198946,-2.1044724,-2.6597261,-0.97090405,-6.4442983,2.9061482,0.5251029,1.3507072,-1.1207609,-2.001327,4.2744904,-1.3338499,-1.9820076,0.5557471,2.526093,-4.4507117,0.91923904,-0.5433531,1.5842627,-1.63775,-1.0012335,3.25486,-0.63574755,1.1378281,3.1706886,-1.4440264,2.5951748,1.9359663,-3.365042,-3.7145982,-0.9523964,-0.58733195,1.7506632,-0.3874733,-2.5567153,0.77406496,-0.34585166,2.8486865,1.667822,1.3514984,-1.4749415,-0.29107296,1.3271303,0.78586125,-2.232813,1.762059,0.36596003,2.189301,-1.284237,-1.158452,2.473868,3.7242973,-1.3111895,3.1473944,-0.51348716,-2.482237,-2.793057,0.90788996,-2.526025,-0.34289038,-2.4244654,0.31214303,3.4857366
149,3.8018723,4.5168943,-0.5056047,-2.6107333,-1.3368373,-6.773451,1.3416702,1.2198273,1.5737932,-0.95482016,-3.1635814,2.8991096,-2.4581666,-3.3291984,0.78996146,3.227757,-4.4770584,0.8079738,0.28234166,0.80013096,-1.6632032,-1.6525923,1.9925002,-0.98149,1.1710744,3.4805217,0.1067569,3.2973125,3.1827235,-3.904779,-3.5727322,-0.89363325,-1.3642265,1.5063759,-1.4283981,-1.2551473,0.47774386,-0.56607985,2.7668452,0.8935328,1.9589736,-1.8260399,0.4524598,2.2039058,2.0899312,-1.6830516,3.6981847,1.4184616,1.60021,-2.3824868,-1.9986538,1.7227271,4.0054455,-0.6949934,3.9972534,-0.40021205,-2.9695082,-2.943357,-0.26839802,-2.6096108,0.5710413,-2.9574974,-0.069106445,4.1718335
224,2.6480076,4.181866,-4.4063854,-4.574915,-0.7083705,-5.8627105,2.3326545,-0.14146303,1.7875531,-1.2312535,0.2682547,1.3908117,-2.084521,-3.9152224,1.8647895,4.1849303,-4.958937,0.6678963,-0.5338549,2.7414603,-1.375473,-1.4675678,1.3414652,-1.588947,2.9023564,1.695207,-2.3001635,1.4996979,3.1141286,-2.219415,-3.5161703,-1.3442816,-2.0015528,3.831395,-0.20746903,-2.6347106,-0.051599704,-2.1488185,0.009575255,0.6422497,3.481022,0.6656987,1.0024817,-1.0522944,-0.06908062,-1.0801454,1.5395555,1.157955,3.320243,-1.94234,-1.0755291,3.5633535,1.4769627,-1.0857526,1.9545254,-3.0070226,-0.74890685,-2.2120109,-0.3989408,-0.8254443,-4.4106655,-1.2994534,0.06687338,-1.13796
241,4.163537,5.453778,-1.138329,-1.9729257,-1.4913707,-6.7786756,0.7097681,3.4200082,1.707305,-2.211139,-5.2674565,2.1915524,-0.64203334,-4.8477516,-0.24154894,5.637565,-4.714185,3.1775594,0.9274133,-1.7799395,-3.2181635,-3.017173,-0.035263337,-1.8372618,-0.03940071,2.6156433,1.0366478,3.6893716,5.164174,-3.7590153,-0.95033944,-1.1684783,-1.9494026,1.5209063,-2.7021446,-0.9503479,2.731128,-1.8224007,3.5717766,0.43836653,1.3313363,-1.9400185,2.2859032,3.3916163,3.6189466,-2.4628963,4.4275727,1.3368275,2.2726338,-3.0280638,-2.168693,2.0971198,3.5028608,-1.5554729,3.48318,-1.342925,-2.6607132,-2.4680088,-1.4743433,-2.477818,-0.64155066,-4.0232553,0.88657796,4.0660515
292,2.6652706,4.6666684,-1.2854252,-2.5339515,-0.9511909,-6.6084967,2.3165662,0.7618678,2.375016,-1.0753982,-2.8288467,4.090963,-2.4373004,-1.7926321,0.42626077,2.4460332,-4.1531916,0.7319658,-0.0729336,0.3283325,-1.7427231,-1.2178283,2.3588772,-0.57441205,1.9968991,3.0200605,-0.9743656,2.755309,2.7101958,-2.867883,-3.6115315,-1.2532606,-0.072478645,2.2155988,-1.0619012,-1.5927557,0.122442774,-0.69972116,2.9083927,1.4436438,1.6453567,-1.7369324,0.20417643,1.3034174,0.9153944,-1.3470236,2.465783,0.07970992,2.1146147,-1.1098896,-1.5992279,2.3870735,3.585774,-0.19589628,3.4085968,-0.87668055,-3.3387065,-3.1282358,1.1518621,-3.1599193,0.47039685,-2.688744,-0.050913345,4.0620584
332,2.700422,4.434304,-2.001267,-2.5171762,-0.8060111,-6.799052,2.6372814,0.38000676,1.9152935,-1.0313119,-2.93552,4.4060955,-1.9419701,-1.9287236,0.3612759,2.429791,-3.9854827,1.1582993,-0.25518394,1.1084971,-1.9379151,-1.1129696,2.8702605,-0.8992659,1.8012383,3.0470145,-0.87216485,3.308343,2.788285,-2.9774938,-3.364067,-1.458709,-0.12301912,1.7629467,-1.0475755,-1.8756257,0.93129593,-0.6775604,3.3033793,1.7168308,1.5036292,-1.4373608,0.6411398,1.7072338,1.2043595,-1.71417,2.2946577,0.091005504,2.1068687,-0.7938705,-1.3925259,2.448482,3.910628,-0.5397636,3.6709876,-0.5069246,-2.9220212,-3.3879974,0.7521063,-2.8681867,0.58221316,-2.514969,0.5537203,4.1781573
347,2.3758724,3.785573,-1.5531328,-3.1853328,-0.52933216,-6.2806125,2.4770584,-0.10282412,0.94380903,-1.0028145,-1.2776073,3.439944,-1.7449174,-1.9268696,0.60964686,2.7661068,-4.0785217,0.36332414,-0.87680054,1.8289456,-1.3753831,-0.587382,3.036231,-0.55918765,1.9314914,2.3922026,-1.5505995,3.1882389,2.7197852,-3.162621,-4.716611,-1.1109114,-0.36065614,1.6506429,-0.4694885,-1.9151616,0.5328458,-0.1454023,2.6064847,1.2867254,2.7653992,-1.343603,-0.30347726,1.5924504,1.3047451,-1.082547,2.3022206,0.83979344,1.3127941,-1.2407602,-1.5841402,1.9197532,3.302108,0.12457833,3.5217667,-0.9150123,-2.1287131,-3.0286345,0.90008205,-1.7586317,-0.5412866,-1.2954941,0.24578941,3.6803708
398,2.9591012,5.1736693,-5.5918317,-4.4482923,-1.0061195,-6.409246,0.9887199,1.2396115,2.9395134,-0.87579226,-1.6897057,-0.47334123,-2.048389,-5.3687267,1.8244048,5.223556,-5.1437654,0.19659847,-0.38899451,2.7002084,-1.4722502,-1.3140274,-0.8028307,-1.5140882,3.39405,0.22374518,-1.7604674,0.8784498,4.672376,-1.1810786,-1.0967519,-2.0507424,-1.9593194,4.6225557,-0.15645424,-3.6280653,0.36446735,-3.4621813,-0.149638,0.8821299,3.8617628,2.773722,1.6477542,-2.0393217,-0.23196754,-0.7606893,0.20830521,1.5846953,3.096014,-2.7315197,-0.59769094,3.568778,1.9526334,-1.700688,1.1926291,-3.959579,-0.50205934,-1.4655721,-0.95909715,-0.1040022,-6.3105993,-2.3054976,-1.2879525,-2.597634
400,3.3379812,4.07121,-4.7450056,-5.0119424,-0.7806887,-6.4190154,0.7001762,0.61385036,1.6930323,-0.9688632,-1.1208262,-0.3266325,-2.909819,-4.6345496,2.1676924,5.1146765,-5.462859,0.11568066,-0.93000036,3.0098546,-1.0374674,-1.3013718,-0.68986464,-1.668804,3.7913592,1.0302255,-1.7520772,1.8733385,4.7635655,-1.4349815,-1.7513005,-2.2259731,-2.004855,3.6582627,0.28815946,-2.8279731,0.5607927,-2.9765801,-0.6172258,0.87068105,3.9022887,2.203519,1.2149374,-1.4975096,-0.10114255,-0.7176583,1.14206,1.8586578,2.6640084,-3.2288847,-0.42335418,2.717358,1.8858707,-1.0234177,2.1912637,-3.52889,-0.794604,-1.5189906,-1.3062053,0.4055425,-4.9585047,-1.6954713,-1.125775,-2.1031353
