,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
44,1.1951915,3.9210138,1.8794434,3.1443377,-2.9773302,0.5334427,2.9945264,-0.18967503,0.25707477,-0.81294507,-0.3353415,2.3252237,0.3016541,2.6202233,-2.2057195,2.7088811,-0.42388356,1.7693623,0.80559254,-0.26945895,-1.0852258,-1.046918,1.3154941,1.3564385,0.8211681,-1.4732845,2.2384963,-0.32241744,1.0456533,-1.3636024,-1.8292209,-1.5351908,1.7589514,0.28126293,1.5953753,-0.09726602,-2.054296,1.3593891,3.1324542,0.35742515,-2.444281,1.9189095,1.7620698,0.97241616,0.19789965,2.6114626,-0.2173542,3.3833253,0.07998685,1.941078,-1.0814512,-1.5248822,1.0443465,1.0122025,-0.75771976,0.5655699,0.96013117,-0.31918058,0.6015852,1.3289245,0.38222697,1.6568329,-0.8384763,-1.234831
117,1.7848971,2.8672657,1.5806181,1.8943079,-1.5148672,0.3818401,1.1953069,1.5164393,-3.3038635,0.3901979,0.3947571,0.23541155,0.96904004,2.8734627,-0.80605686,1.8156734,-0.5052556,0.5737024,2.0538547,0.5601142,-1.2964652,-1.5673574,-0.80174565,1.5765365,0.23268661,-0.7457967,2.5941434,-1.8542923,1.2042882,-0.3302468,-2.9764745,-0.24693055,0.4286058,-0.07692249,2.091845,-1.411399,-2.7718403,0.69490635,0.99500644,-0.3899608,-1.9431353,1.9652671,0.97563964,0.76757693,0.70198655,0.8483274,-0.0107318945,4.899503,0.52247894,0.7041885,-0.10137738,-1.311033,-0.36600175,-1.3795211,-0.45553905,1.129448,1.2990053,-0.009941168,0.047068805,2.5383046,-1.7664229,1.8091336,0.95533013,-1.8118459
129,1.3305794,3.2708006,2.4111109,1.4779925,-2.2201095,0.9055869,1.8984619,1.1354609,-1.101024,0.13337246,1.7399611,0.5255036,0.4176707,2.8648286,-2.63911,2.898978,-0.55865943,0.11394707,0.53384584,-0.85984784,-1.7112995,-1.7191378,0.5755317,1.4519718,0.38260773,-1.7269926,0.8558706,-1.7906824,2.1810958,-0.48840457,-2.5488245,0.2444198,2.517576,0.360856,2.147965,-1.2112682,-3.327644,0.76580405,2.0786564,0.2575577,-1.6298978,0.7763189,1.4457475,0.43042183,0.9234843,2.0068603,0.24616008,4.8983145,-0.6446148,2.7030578,-0.7925122,-1.8249185,0.35124567,-0.4614709,-0.8984219,0.00708808,0.52875733,0.6882652,0.99921,0.83026665,0.63117456,2.3498292,-1.0595055,-1.9308974
265,2.7842178,2.9691584,0.60233784,2.3780563,-2.0800722,0.67156106,1.4003161,1.0667336,-0.598969,-0.5386453,0.0001473464,1.518386,-0.48752317,3.0512757,-0.47075024,2.098117,0.14838082,1.0261449,1.5875401,0.13076372,0.34115255,-2.0388613,0.5390006,1.9507861,2.9066048,-1.0043458,1.4995105,-1.8550886,0.78883475,-1.2127697,-2.4297748,-1.3219178,2.070067,1.3288623,2.8055928,-2.6211064,-1.6515949,1.084602,0.65319484,-0.75292724,-2.8242288,2.1639493,2.7045915,1.2860185,-0.4401252,1.4228776,-1.8447832,3.945335,0.4891907,2.0250275,0.57370836,-2.0364742,1.5467784,-1.2177821,-0.13953146,1.265512,-0.35347363,1.326055,0.6665691,1.5988638,0.12901992,1.8739331,-1.1161456,-1.1610807
274,2.6152053,3.3161492,2.174937,2.0393064,-2.9399302,1.283553,1.8241231,0.56635135,-1.0594893,-0.28579497,-0.3432436,1.7168366,-0.33378068,3.702364,-0.97543555,2.7879226,-0.8340966,1.7812505,-0.02476877,0.73448503,-0.89224267,-1.9285296,0.8390893,1.5934464,0.23764464,-2.2081225,0.8752136,-0.43564934,1.8313532,-1.0972186,-2.685418,-2.0122433,1.7234313,0.08644685,2.0154603,-1.0989568,-2.5236912,2.1623714,0.8894555,0.72920334,-2.189269,2.833414,1.4765345,1.5147824,0.21701223,1.3067216,-0.13122892,4.867923,-0.29638934,2.198344,-1.446755,-1.9382659,1.977671,1.1836445,0.2866272,0.55458856,0.24248579,0.35175002,0.14409374,1.5449657,0.64124316,2.6264815,-1.7194616,-0.12757017
304,1.0772165,3.271713,1.0891874,2.3030248,-1.693095,1.1845567,2.1538484,0.33881927,0.014284067,-0.6229959,-1.4614681,0.790739,2.177925,2.1469142,-3.1861339,3.325395,0.17592242,0.30789664,0.1909598,2.0041785,-3.78637,-1.5993549,1.8205508,1.0534898,-2.0218754,-0.59216106,0.7472843,0.5004187,0.9469246,-0.68135464,1.2161621,-2.8410447,-0.19689083,1.1509544,1.1866397,-3.5025,-1.1595585,0.8865509,2.1598988,1.6437174,-1.3366969,3.4835427,1.8148079,2.054819,-0.10728943,0.4773113,-0.6265113,5.056196,-1.565675,1.4378549,-0.90116644,-0.20104595,2.164244,0.48176008,-1.1462485,0.7573375,-0.72095096,0.283534,-1.7363802,1.6606594,-0.97400033,0.62346256,-0.23220578,-1.4026734
319,-0.51789844,2.1130345,0.8719305,-0.7441213,-1.6925963,2.219688,0.90985215,2.0689359,-3.5455198,1.4697299,1.676408,0.79749507,2.309055,3.4953494,-2.3939846,3.1494648,-1.0738109,-0.03076088,-0.25391084,0.5971418,-3.7352102,-0.5899041,1.8894293,2.5941968,-2.6447926,-1.962741,0.61199296,0.58215773,3.8524578,1.8520744,-3.072699,0.4462841,-0.44429344,-1.0273163,1.0413014,-1.9936905,-3.691704,0.15106201,1.1338168,3.0499098,-0.98248047,-0.3212712,-0.7316331,0.45723474,1.544926,2.4716518,-0.5709475,1.0429695,-0.8479004,1.058499,-1.3517118,-1.4459746,1.1417586,1.3856797,0.43417796,-0.37071788,-1.0671598,-0.094338454,-0.64327717,0.5743602,-1.9290335,1.111031,1.8736706,0.3808822
457,-5.298979,-4.0079856,0.85997146,2.3840766,-4.5056763,-5.0425634,6.3530216,-13.393012,-2.930178,16.262678,10.462578,-11.194214,-0.68282676,0.055986255,4.286061,-7.4183064,12.95208,9.019202,-0.515368,-3.2896535,1.7400458,0.2557645,-6.265679,9.38644,3.8981857,13.804305,-5.5928583,7.507297,-0.9868085,-10.568449,-9.0045,6.0396295,0.9393453,6.1007338,-6.387205,-0.91981065,3.6272545,-1.1154615,-5.21794,13.163223,-6.914483,3.0196304,3.4847803,-0.3520523,-7.2146716,-0.5251631,5.9401746,-12.964237,-16.034416,-5.2705064,0.39170346,8.788285,-2.1441102,1.8718956,-6.402934,8.751637,4.3063073,12.236655,1.6308881,3.3113859,-5.236822,-11.252501,-0.60524213,-7.076399
563,1.2473414,0.8390468,3.939691,0.38527286,1.7624862,-0.9973771,1.0582498,4.620398,-1.1379409,0.52765125,-2.989666,-2.9805024,0.28779337,4.03604,2.2357194,-2.6998398,2.8597639,-0.03411285,0.53530544,1.9464533,-0.2973944,-1.0119737,-3.9791017,1.9779065,1.320107,0.15798025,3.188343,-1.5700551,-0.86823326,-0.301301,-0.55282444,-1.813645,-1.2651478,2.1742563,-0.12551744,-0.11021519,-2.3678255,2.9976947,0.5430237,1.2039344,0.43646595,3.953021,-0.5034184,0.20750856,1.9315351,-0.5800943,-0.5093694,3.537156,-0.29898483,-0.027833043,-0.17634863,-0.15631609,0.2133258,-1.2215215,2.5624332,-1.3783313,1.5018587,-1.2115719,3.2695935,-1.6919079,-1.8487246,-2.5488403,4.047428,1.8423239
623,-0.07374862,2.9839396,2.55861,3.464946,-3.9498088,-0.023728028,2.8352675,-0.70937765,-0.43465385,-0.75660634,0.8988565,1.4083732,0.75590897,1.4045006,-3.440156,2.4899352,0.49239543,0.48185608,0.28294852,-0.569236,-2.5619857,-0.47228482,0.69438744,1.0513783,-0.22137904,-1.4695662,1.6038735,-0.6343309,3.1327963,-0.037818775,-1.372811,-1.8897004,1.0876735,-0.6643475,0.71260947,0.6384048,-2.6097257,2.402925,4.2538223,1.5302968,-1.5394871,0.8460438,0.9707021,0.62643695,1.1807802,3.0022917,1.3439362,4.6967273,-1.302607,1.4641169,-1.5550218,-2.514884,1.396918,2.3749323,-0.5511307,0.6243243,0.6830525,0.17650495,1.0205063,1.7700429,1.0427592,2.410515,0.13334686,-1.8257283
