,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
10,0.7234384,2.5697834,2.9891129,1.2876527,0.20787576,0.08920501,1.0922949,3.2186313,-3.0961554,0.94109684,-0.59831727,-0.90293646,1.8627765,4.565058,-0.8221141,0.7808179,0.25602135,0.0018019713,2.0288155,0.5797282,-2.249876,-1.1778259,-2.026508,1.8379325,0.47843152,-0.35602617,2.5710926,-1.4921676,1.9446511,0.1178401,-0.9618125,-0.942438,0.2043682,0.31615132,1.8463302,-1.0008808,-1.9236695,0.6142558,1.630909,0.009146605,-1.1029203,3.261639,0.78310525,0.52526087,1.2181455,1.3786641,0.008885771,5.02125,-0.036464095,0.8046491,0.25172997,-1.2053168,-0.24856673,-0.79882044,0.6755599,-0.05152712,1.3553025,-0.8018696,1.5756465,1.363592,-2.0473723,0.4688872,2.4651525,-1.0704623
59,1.3514546,-0.16177046,3.2667675,-1.7636592,1.4775778,-1.7528,-0.39402354,4.5449867,-0.9368098,-0.7272378,-4.5016384,-3.4624557,0.08356556,3.787553,4.0506654,-5.177095,3.079287,-0.097816944,-0.16952659,2.1349561,-0.4151435,0.049385794,-3.4922369,1.2492063,1.9872313,0.14949228,3.06016,-1.2594551,-1.1032964,0.11654031,-1.0776078,-1.0258557,-1.9032537,2.907084,-0.4075363,2.7031133,-3.6064498,2.2861257,-1.4881941,0.38384813,0.44802356,5.8232994,-1.4415301,0.25631994,2.0092895,-0.5877936,0.6433366,5.00842,-0.95674217,-1.8347694,-0.35306948,0.7910124,-0.7082599,-2.3693717,2.7428875,-2.7310343,1.0474585,-3.230386,3.3159242,-1.9604459,-0.94873214,-5.111149,3.5180972,0.81155604
74,1.6421812,0.32402012,3.1102545,-0.11026993,2.0374928,-0.42260158,0.20695364,5.394016,-2.6031685,1.0209893,-1.9872097,-2.099249,0.26352534,3.6208982,3.6847544,-2.0018244,1.5471051,0.68853176,0.9328606,2.7488258,0.88611937,-1.0859705,-5.356762,2.0741088,1.8758597,0.7546056,4.2083936,-0.46840167,-0.7271244,-0.16507722,-0.9447572,-1.8172519,-2.5186474,1.0870036,-0.14285372,0.5089089,-1.6882377,4.1211395,-1.0243157,-0.52854407,0.6579748,4.0640755,-1.3028871,-0.10311965,2.2642825,-0.34506807,-1.9702079,2.855666,-0.009535074,-1.4820554,0.1523726,-1.1289684,0.1448751,-1.0468984,2.7301586,-1.6687346,2.705751,-0.7078564,3.3976998,-0.55348945,-2.327999,-2.049834,5.0052667,1.7337275
118,1.7912937,0.83050066,2.6147099,-0.7678947,1.2916145,0.113411546,0.81604224,5.024788,-1.9967501,-0.17569338,-2.3582556,-2.080883,1.948669,5.038648,1.8307071,-1.6199147,1.6728691,0.9183882,0.016731434,2.662446,-1.5337108,-1.8889868,-3.72863,1.6325611,0.37485248,-0.43855935,2.0380588,-0.644314,-0.36033198,-0.23998679,-0.35325125,-2.0022676,-1.1674407,2.0690658,0.31442863,-0.95066136,-1.4684812,2.7657995,-1.3339243,0.46599728,-0.2208719,5.1100383,-0.014134109,0.6304656,1.2073585,-1.0963782,-1.7244639,4.818244,-0.3404856,0.43801093,0.098117866,0.32440868,0.34964782,-2.152685,1.6192362,-2.131281,1.2414494,-1.1318971,2.504465,-0.96563953,-1.6324244,-2.058777,3.660897,0.5970907
192,0.9586537,3.7927537,2.2020621,1.9001042,-2.9389467,1.6942071,2.4551601,1.8149709,-0.1092332,-0.8115332,0.81828284,1.4275357,0.7553904,3.1029336,-1.2220231,2.1292284,-0.052372456,1.6747303,0.28611624,-0.5134685,-0.6106144,-1.5722222,-0.10997333,2.479705,0.9833438,-2.2267127,1.6245285,-0.42708826,1.0243291,-0.7886118,-2.4517863,-1.5800865,1.2434144,0.9363706,1.6518931,-0.09874423,-2.4892092,2.9993107,1.9562511,1.0950968,-1.4520853,1.4368159,1.0615903,0.716166,-0.568426,3.2980528,-1.1015862,2.2522924,0.30857378,1.7211314,-1.7550985,-1.7878116,1.6019585,1.3629673,0.29439574,-0.8115225,0.54207045,-0.03696616,1.8341147,0.95418614,0.115181684,1.7331202,0.29451835,-0.7190258
243,1.3615056,0.49994057,1.8034229,0.44559437,1.9440088,-1.4732134,0.75285083,3.879974,-1.5905274,0.018704126,-4.08226,-1.5773095,0.7014675,4.2871914,2.9988017,-2.5996673,2.027827,1.90228,0.6903052,2.288901,-0.37249446,-0.80996346,-3.490574,1.2294197,0.6939956,0.7962602,3.3946803,-0.1977905,-0.94415003,-0.72945684,1.3733001,-2.6075015,-2.6114323,1.5375133,-0.5678497,0.3543396,-0.8877634,1.9952507,-0.29472524,0.9038413,-0.21572822,5.388845,-0.134279,0.68418986,1.9357686,-1.5775026,-0.724353,3.8917575,-0.21205309,-0.8926666,0.31112608,-0.19617668,-0.0023834389,-1.4558536,2.406387,-0.74223953,2.1189494,-2.0430899,2.1954432,-1.7630138,-1.2468885,-3.6860116,4.680121,2.270975
485,0.47297055,1.8471355,2.2478328,1.5732677,-1.0347285,0.37211186,1.6955274,2.3580227,-2.9883623,0.86350477,0.552117,0.44420826,0.62081224,3.656438,-1.3770174,1.568385,1.2442583,-0.007164508,1.0705129,0.26597086,-1.0490062,-1.2332497,-1.2616591,2.6305444,0.93562084,-1.4093021,1.176581,-1.9600152,2.4127662,0.2015582,-1.4590787,-1.211653,1.0586711,0.24759735,1.5097555,-2.7585366,-1.9540138,2.1968863,2.033754,1.7184056,-1.2650805,1.5113562,1.1324419,0.80131227,1.8612875,1.3206612,-1.8945262,3.4686685,-0.3734794,2.0504413,-0.0012208968,-2.3415732,1.3738468,0.123076424,1.1407495,0.8312868,-0.20893812,1.0687666,1.8942384,0.79383457,-0.82310855,2.2630587,1.515708,0.24648495
600,0.7936561,0.7134566,2.4573805,0.4364708,1.9792105,-1.832959,0.2546351,5.8105145,-2.0171075,0.33214605,-2.921129,-2.3140779,-0.15257224,2.5212924,3.5449054,-2.3716443,2.1509774,0.39496922,1.2768333,0.33595335,0.8857783,-0.6669916,-5.206479,1.49439,2.741949,1.2113625,3.9905782,-2.2029629,-0.6453845,0.33362275,-0.2631521,-0.5992527,-3.0238292,1.8596696,-0.0441629,0.22064403,-2.4219396,2.4536967,-0.7220164,-0.31624082,0.2469092,2.9583035,-1.1158376,-0.28944737,3.5217533,-0.9705841,-1.07431,2.3150148,0.9964912,-1.8270649,0.49563408,0.010396868,-1.4564314,-2.7704651,2.1804261,-1.2122861,2.5621388,-0.89333457,3.2356884,-1.6341577,-3.0637062,-3.1939225,4.7441735,0.81660724
615,1.358443,2.6906571,1.2824872,0.8396559,-3.0607035,1.7973876,1.8190162,2.3236785,-1.0883915,-0.4136793,1.3593073,1.653292,1.5035745,3.4231675,-1.0917648,2.0434368,0.16741407,1.0433345,0.94095176,-0.10909164,-1.2646469,-1.5176746,0.27332044,2.894218,0.3814071,-1.7727073,1.1765112,0.3129657,2.2779727,0.45297265,-2.46065,-1.3534473,0.8257821,0.026226923,1.9405684,-1.0468633,-1.7320246,2.2308645,1.3369468,1.9283091,-1.4507399,0.542448,1.7118534,1.5577399,-0.88254964,3.1622868,-1.1981897,1.6055318,0.32287443,2.2676454,-0.891534,-1.5313742,2.5207376,1.0186458,1.333722,0.07811399,-0.43442988,-0.38485444,0.74476033,0.9409844,0.5398676,1.7763917,1.2327714,-0.14521706
722,1.7834616,2.9352112,1.099158,0.89685696,-0.74404997,0.23642586,1.0726466,0.54062855,-0.661373,-0.25309226,0.5415595,0.1559949,2.0577376,2.4400349,-2.0599668,2.6292398,0.7743031,0.43054062,0.69411165,1.6253495,-1.3133111,-1.291915,0.92457557,1.9699748,-0.07290778,-1.0525025,1.103155,1.3242869,1.2591665,-1.4553677,-0.7567441,-2.461735,1.3416995,0.6712045,0.36478633,-3.0872145,-0.30913213,0.57156867,1.3845872,1.5372199,0.23721874,2.1501534,2.2794714,1.748621,-0.20592748,1.7305831,-0.2954294,3.0396624,-2.1013803,2.222781,-0.43153667,-0.96943146,1.7708422,-0.10709606,-0.16824016,0.4252023,-0.20127752,0.17511268,-0.82234925,0.60566103,0.5029707,0.93396443,0.35432366,0.6704526
737,1.8698279,0.025518388,3.5526533,-0.30482507,1.7055947,-1.7205695,0.8917349,4.414417,-1.4230103,-1.0240939,-3.5682454,-3.0847974,0.108114205,4.0101337,3.6088762,-3.8445926,2.861107,0.6648178,0.9914492,2.3110683,-0.7695494,-0.5700737,-4.401283,1.0035111,1.9696321,0.392757,3.7611175,-2.2366388,-1.1694868,-0.34549844,-1.0586026,-1.7944255,-2.2686186,2.2680209,-0.092793554,1.343216,-2.9251325,2.0117211,0.17801891,0.37600297,-0.1139199,4.9940176,-0.5032302,0.11830944,2.1204984,-0.925582,1.586163,5.5334406,-0.03797117,-1.0325009,0.088222794,0.5504072,-0.53082305,-2.565691,2.669232,-1.3682069,1.3108779,-2.8107996,2.6325347,-0.69042647,-1.3154218,-3.272299,4.8758345,0.8620368
745,0.51512057,0.044158883,3.649669,-0.38887677,1.1944331,-2.379086,0.42075005,3.314328,-1.2064149,-0.14458211,-2.5264113,-3.2454574,0.16994278,2.0363886,2.3181183,-3.677851,3.380124,-0.67036074,-0.6167854,2.1106982,0.25315672,-0.32910004,-3.5193653,1.7820523,1.3484597,0.26367873,2.6766162,-0.86300343,-1.094163,-0.44930488,-0.9021275,-1.3452706,-0.93903106,2.3020756,-1.1344581,0.8251301,-2.2418637,3.5723233,-0.39632112,1.7819037,1.2928393,3.539819,-1.7738807,0.13802809,1.8725749,-0.25450414,-0.12210783,3.4333405,-2.3085117,-0.9118528,-0.2518577,-0.9298497,-0.29485917,-0.8756251,2.0102644,-1.9624016,1.0406554,-1.5294085,3.5326228,-2.322243,-0.92750204,-3.4750497,2.8330467,2.3809326
797,1.4298074,1.6902533,2.9037714,1.583725,0.9498381,0.2683447,1.5215048,3.4521894,-2.4980872,-0.05203283,-1.5452576,-0.15475503,0.15161349,4.1626334,2.2809386,-0.52759343,0.888671,2.123831,0.9968108,1.5358295,0.5592616,-1.752162,-4.042612,1.2994324,1.8754616,0.06367807,3.5582967,-0.5218538,-0.78717667,-2.1096323,-1.1908444,-2.189488,-1.5768287,0.60766536,0.62893283,0.0833488,-0.48852175,4.061163,0.0026500747,-1.5002097,-0.68242264,3.8001266,0.031738468,0.5237418,1.4995264,0.30912706,-1.8882642,3.476228,0.7883452,-0.35283205,-0.6485723,-2.0563025,0.21664867,0.29245904,2.3352911,-0.64936656,2.8725984,-0.40233296,3.4754503,0.014344871,-1.9086728,-0.0047049075,4.1075354,1.8947893
805,-5.2821374,-4.187328,0.87429994,2.7022202,-4.310496,-5.2566657,6.331042,-13.343718,-2.757228,15.89274,10.152194,-11.066697,-0.668573,-0.14309676,4.3032413,-7.595723,13.123812,8.871697,-0.43631107,-3.212031,2.1171336,0.26396212,-6.154917,9.447032,4.0755005,13.567238,-5.349915,7.2582765,-1.0343442,-10.629775,-8.959229,5.7956753,0.8881206,5.988633,-6.377658,-0.82846415,3.706976,-1.0531578,-5.2234797,13.11576,-6.730156,2.8762941,3.4704344,-0.32066882,-7.293173,-0.5404662,5.901959,-12.870801,-16.028837,-5.1045613,0.5124319,8.709877,-1.8974447,1.6377732,-6.1870317,8.7148075,4.1735897,11.918853,1.6629744,3.085939,-4.9830523,-11.191259,-0.41320497,-6.677167
810,-0.53561854,1.2997675,1.0159523,1.6936798,-2.2990856,1.601629,2.205276,2.5885904,-2.1276362,1.0801373,1.8694931,1.1175328,0.89866126,3.4730835,-1.6674172,2.5765162,0.9644812,-0.4183988,0.90081036,-0.0032327073,-2.8042336,-1.1754818,-1.8017669,1.9223361,-0.8533459,-1.211793,0.7422223,-0.79596543,2.630703,1.450634,-1.3283913,-2.0096006,-1.4521466,-0.43963575,0.969959,-3.115463,-1.3636714,3.2145286,2.1328425,1.052254,-0.6815734,-0.46372753,1.0124147,0.24094585,2.282531,1.9689788,-2.2579045,1.9004898,1.4536186,2.2972877,-0.7718202,-2.0271232,1.7036252,2.281465,1.3774465,1.0100429,0.78773254,1.4503636,1.4864616,0.91423804,-1.5263374,3.5875142,4.058747,-0.0611272
984,1.2024273,1.6734104,2.3231492,1.8366098,-0.18890153,0.10706994,1.5482581,4.7319727,-2.6788416,0.3961972,-2.0548086,-0.2401682,1.422997,3.8534834,1.4751097,-0.5642977,1.9019564,1.1506296,1.5376909,0.988514,-0.27671283,-2.3556123,-3.0947917,1.429195,1.3863304,0.024137244,2.9181452,-1.5628035,0.5103916,0.031592328,-1.2035831,-1.7170247,-0.3341335,0.9473773,1.3457377,-1.0273229,-1.9791187,3.1157637,-0.31931663,-0.24654913,-1.544843,3.2846274,0.21152854,0.3334413,0.92609715,-0.27630967,-2.7765942,4.114281,0.82473147,0.40074426,0.2254102,-0.38955262,0.3264084,-2.1459668,1.2738738,-0.32131213,1.8364809,-0.007632181,2.9058945,-0.25439918,-1.6700889,-0.62038344,2.7729006,-0.7524439
1028,0.6219998,1.2248353,1.4353576,0.41768324,1.8066168,-1.7607175,0.40601963,5.7489715,-2.5806205,-0.14331794,-4.205832,-1.2508866,0.30300277,2.879778,3.2058172,-1.5960276,0.064009115,1.9528401,0.33635902,1.1304456,0.061319068,-0.45355284,-5.0886493,0.8886926,1.3229992,1.4630153,4.350293,-0.306587,-0.68874353,-0.3900649,1.3219271,-1.0763557,-3.670187,1.209163,-0.052528724,0.557297,-0.84491545,2.8876674,-0.922117,0.033216115,-0.30696282,3.5231864,-1.4565171,0.1731214,2.1450825,-1.8731632,-0.7753431,2.4133909,0.801502,-2.619515,0.23641813,-1.046489,-1.3257335,-1.8104082,2.1188405,-1.1225618,2.8052208,-1.1657006,2.0329528,-1.2302247,-2.9779153,-3.9145272,5.1398845,1.965628
1074,1.510495,1.4080745,1.4955733,0.7747201,1.2271094,-1.1588861,2.0883393,4.807102,-2.7194273,-0.68780017,-1.9057069,-0.92367685,1.2132715,3.6838608,1.4774649,-0.18462558,1.4659494,2.400125,0.45953214,1.4879845,-1.0151538,-1.657023,-4.6004663,1.2533735,0.46998984,-0.7042179,2.6628842,-1.0790122,-0.23564757,-0.7200066,0.6363412,-3.0097516,-2.2777257,2.1531174,-0.33422312,-1.8899257,-0.19216692,2.7782032,-0.123658344,1.3901174,0.28740498,3.878451,0.3970123,0.8208345,2.0627935,-1.7174503,-0.9515562,3.2336998,0.6279652,-0.11535814,0.10443533,0.036162496,-0.40713128,-0.7078814,2.0385256,-0.95882344,1.5290897,-0.6693917,2.6390579,-0.20253468,-2.699401,-1.0245478,4.8370385,1.54866
1113,-0.91921115,1.729297,1.7299087,2.2066278,-0.71495044,0.82145643,2.3641021,3.0908167,-2.9169118,1.8940539,2.9267347,2.2091298,1.1331332,3.8770783,-1.6435001,2.5388987,-0.15126836,-0.21387753,1.6568228,0.25356063,-1.565068,-0.9252633,-2.7678487,1.5991038,0.67339224,0.10042544,2.1187763,-0.6914519,2.6948862,0.9719117,-0.83180493,-1.7847316,-1.5841911,-1.9408485,0.67771405,-1.7641166,-0.92991054,3.5260377,1.8700862,-0.9374089,-0.5609486,-0.14497918,-0.20013434,-1.0568998,3.0776055,2.7207658,-2.978238,1.736063,1.469228,1.9865732,-0.073282376,-3.0062547,0.77966094,2.370962,1.4038159,0.4382798,2.6135879,1.6486818,2.825454,0.36139572,-2.1820803,3.2551444,4.7451982,0.32331687
1181,2.4165459,2.5865824,2.7743359,0.9662747,-0.14235586,1.5011462,2.1956613,2.071164,-0.9541812,0.5735959,0.10723677,-1.0066502,0.9295416,4.19835,-1.2003922,1.831348,0.777157,-0.96370524,1.3385426,1.4587425,-2.0287871,-2.4413357,-1.1735975,2.1493704,0.6471982,-0.87743527,1.3973639,-2.1844943,-0.16452663,-1.2970107,-2.2691574,-1.1348422,0.76446736,1.6325164,2.3670094,-2.834837,-2.435367,0.83836764,1.0182791,-0.8947645,-1.1148636,2.8023736,1.5715157,0.6155706,0.81485426,0.7018663,-0.4108422,5.536821,0.22085705,2.22295,-0.6468552,-0.993258,1.2884558,-0.98540246,-0.03580806,0.24769996,0.9969517,0.18012558,0.6986983,1.214244,-2.0399494,1.2382684,1.2435507,-0.77048033
1248,-0.8848017,2.1800349,0.5930646,1.072941,-1.1681237,2.2911656,0.8601921,1.0700542,-1.7657268,1.2546605,2.1704938,0.9847608,1.7708493,2.3467581,-1.5280443,1.4858085,0.0026390627,-0.16897866,0.51090944,1.1778071,-3.7676318,-1.2696184,-1.0183449,1.2492878,-2.5086122,-0.48519176,0.683725,0.008988917,1.5120685,-0.32436275,-1.8785329,-0.30369473,-1.7712817,-1.1025295,-0.60606307,-1.4071244,-1.2854415,2.6958218,1.287193,0.12593439,-0.1225754,-0.5704495,0.3891542,-0.5480622,1.4790071,2.238927,-3.369656,0.31116998,1.6166141,1.5495447,-1.9767964,-1.0309296,1.2447194,2.0005407,0.9244146,-0.4442464,1.0878223,1.1091303,1.5702249,-0.29839584,-2.9844692,2.8488712,4.0019217,0.78693813
1280,1.7239988,1.2829503,2.0673,0.5839096,2.6617744,-1.873032,0.6775287,4.642132,-3.0096836,1.169257,-2.965819,-1.3887095,0.79211795,3.432664,1.3747865,-0.13805875,-0.1701276,1.746843,1.3643148,1.6961056,-1.5462396,-1.0948291,-5.0698495,0.661546,-0.40495086,1.2814742,3.9674642,-1.0696219,0.043747064,-1.3450307,1.3168659,-1.6002675,-3.2455661,0.09530567,-0.5681287,-1.799391,0.21967384,1.3157682,1.4354477,1.3132118,0.039861463,2.5367017,-0.76290596,0.36883757,2.9843419,-2.1198626,0.4725066,3.0113008,1.1520662,-0.88438827,0.044361837,-1.3958575,0.088121735,-1.3539602,2.307583,0.30253196,1.9028078,-1.3795042,1.1685112,-0.4406669,-2.929604,-1.824664,5.850296,3.6429617
1484,1.8293487,3.1499016,2.7183762,1.6365016,-1.1045176,0.8885543,1.0399106,0.87265545,0.121343024,0.29102814,-0.5754345,-0.14023153,1.8906081,3.1785562,-1.9142374,1.1213645,0.22900254,-0.58071655,1.1585641,2.0485902,-1.9574182,-1.7185528,0.42720905,1.664515,-0.30269545,0.15590696,1.2200968,-0.1053793,0.19440193,-1.4813969,-1.541284,-1.1807281,1.4791191,0.24584164,1.5006098,-1.8949145,-1.2554399,1.1863697,1.5226157,0.17433763,-0.99672884,2.5884483,1.1710922,1.0497196,-1.2519969,1.6106749,-0.85611445,4.5996003,-1.1686851,1.8318251,-0.54742706,-0.9668357,1.6040343,-0.83889246,-0.51536775,0.24423109,0.24003094,-0.26086998,0.032587595,0.7230927,-0.11580336,0.40220436,-0.64358807,-0.77410156
1496,1.0328542,0.7646221,1.7665646,1.2254019,2.0243351,-1.8576747,0.14030501,5.244071,-2.67559,-0.29842663,-2.3116243,-1.7427293,0.53567576,1.1493573,2.8729517,-1.0225829,1.4722246,1.1475538,1.908469,0.36261463,-0.11854158,-1.4526522,-5.9376354,0.47055307,2.1962476,1.2488397,4.7746863,-2.3415186,-0.11847831,-0.46698034,-0.77097785,-0.44413105,-3.7091455,1.1408027,-0.7038401,-0.064961605,-1.2962965,2.326614,-0.26820403,-1.6034046,-0.06920953,2.033278,-0.63129956,0.14312463,4.297634,-1.1881919,-0.74192834,2.7666247,1.5416428,-2.1210465,0.42304325,-0.20219883,-1.39617,-2.9567025,1.7069423,-0.8435363,2.8644707,-0.36338556,2.341433,-0.10967451,-4.050089,-2.395507,5.7349877,0.6313278
1533,1.174186,0.7528621,3.0319333,0.52146316,2.522602,-1.4562533,0.89119834,4.341947,-2.3925002,0.33812279,-2.8066888,-1.858302,0.48601693,4.840711,2.1904244,-2.121785,1.0294169,1.3936633,0.8177775,2.176219,-0.39215714,-0.4251999,-4.8901844,1.4592726,1.6053157,0.7620825,3.9669917,-1.0061808,-0.3468254,-0.37941754,1.0611669,-2.206058,-2.219887,0.8690666,0.010139735,0.3107902,-1.0335733,2.417588,0.46390414,0.3800635,-0.162491,4.840663,-0.75428593,-0.13824072,1.9720361,-0.70051324,-0.5457803,4.0898848,-0.16788718,-0.78301346,0.8070783,-1.0117757,-0.35793874,-0.9635687,2.2389863,-1.1574894,2.2580862,-1.6077509,3.0997145,-0.7610261,-1.6505812,-2.5864923,4.9638367,1.735827
1540,1.6699741,0.9189026,4.713776,0.5124322,1.3597524,-1.6440568,0.43481424,4.2747617,-1.9641273,0.14392847,-4.009205,-2.8711452,0.57425773,3.595771,2.102549,-3.0094144,2.0837512,1.3161782,0.8317843,1.609201,-0.7247313,-0.543545,-4.1021824,1.479329,1.0688477,-0.09126811,4.2241187,-1.9020063,0.10429363,-0.24387555,-0.7701154,-1.5085338,-1.2226036,1.3422763,-0.4553341,2.3317735,-3.1120872,2.2493322,0.97521853,1.2428027,-0.36113277,4.80642,-0.6715187,0.48557043,2.5582995,-0.6605714,1.3861959,5.155149,-1.0631195,-0.88250804,-0.20564055,-0.09117231,-0.37527266,-1.8980746,2.3015432,-1.5492493,1.3466613,-2.1914485,2.8199034,-0.568952,-1.1546935,-3.5295377,3.5974622,0.7438569
