,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
46,-0.9957602,2.8819048,1.3120141,-0.50654745,-3.2883444,-0.40222085,-0.25943178,-0.23107453,0.7770777,0.26986197,2.3750083,1.2337905,-0.8491821,3.0387075,-2.39623,0.802607,-1.6968006,0.4847032,-0.75993496,-2.9699047,-0.49633324,0.72493786,-0.64568436,0.89790773,1.3242915,-2.5726228,1.1491784,1.2303314,3.0207367,0.33728677,-0.8899402,1.1418262,1.5281755,-0.9229779,2.1774497,-0.7403389,-0.48456457,0.5879592,2.6553545,0.89686245,-1.6109498,0.61639893,0.30713505,-0.7286537,0.4786466,4.134276,0.69499326,1.3744929,0.4496412,1.822656,-1.6399156,-2.4439807,-0.096458405,1.3982018,-1.304515,-0.028178528,0.40791625,-0.2878893,3.1619327,0.5681615,2.8859823,2.2143497,0.49186215,-2.4266555
121,0.28444773,1.66348,-0.1967032,0.27726442,-3.4499075,-2.472891,0.19484591,-0.9373814,-0.22636813,-1.1497885,2.286329,0.34234565,0.6465194,0.50399375,-2.7440054,1.2803264,-0.8270082,-0.31755212,-1.0049562,-0.6637229,-2.2105434,-0.19865818,-0.54202855,0.07169737,-1.233067,-1.3518221,0.27579778,0.506556,1.847496,-0.6947993,-1.3570094,0.91989964,0.052402563,-1.4977176,0.53102934,-2.7142637,-0.12102148,-0.21722712,2.4610534,3.1714156,-0.3028383,-0.9203785,-0.16352406,1.101584,1.812122,1.7759157,0.8798763,2.0111978,-0.49023154,0.88486636,-0.73484194,-1.0321896,0.6491877,-0.7286827,-0.8581829,0.49085253,-1.1769919,-0.8526659,0.55616635,1.0705558,0.85962254,1.5451813,0.7226943,-0.20679666
154,0.23510256,1.7535638,0.1559729,-2.4994128,-3.6458077,0.60458446,0.34030443,1.2906953,0.39194313,-0.3269951,0.715941,0.110035904,0.7739184,3.3486729,-1.8939189,2.8750596,-1.719449,0.4263247,-2.7991168,-1.3597622,-2.4213371,-0.112549126,-0.5245694,1.3643533,-3.8760865,-4.0288343,-1.3380086,2.7090535,0.98113114,-0.26453096,-0.31223366,-0.26186112,-0.030323282,-0.55265784,1.8385434,-3.996623,0.41589046,-1.2189436,0.815478,4.1511645,-0.18184248,0.666213,0.027078234,1.873241,1.0208417,0.503995,-0.4047425,-0.14418852,0.558273,0.86368066,-2.0733755,1.0417162,1.2287434,0.7698582,-1.0173022,-0.27915022,-1.1930724,-1.2542387,-0.24164972,1.2094812,-0.048890352,1.8412552,-0.17828564,-0.13016164
190,1.7381345,1.9618045,0.26250654,-0.99220526,-1.3770376,-0.4328224,-0.9238508,-0.9475031,2.0960224,0.8886447,0.100978285,0.6658166,-1.3481823,3.461281,-1.8521988,0.3336451,-1.1705811,-1.0318655,-0.6665203,-0.10476218,-0.58791107,-0.61348736,0.71074116,0.32166597,0.44209766,-1.3279785,0.87641,2.1440656,0.026350599,-1.7153914,-0.16582376,0.04763205,1.3165272,-0.56569695,2.6183336,-4.245508,0.8713602,-0.9496728,0.88287574,0.29112244,-1.5446763,2.4715106,1.4152029,1.7422366,0.002019912,2.1640232,-0.71373546,2.0307302,0.099044695,1.9877896,-0.8950052,-0.31260538,1.7296845,-0.021282066,-1.8628911,1.1991113,-0.78893274,-0.9302029,1.761225,0.790995,2.988695,0.6158971,-0.28853086,0.14248338
264,-2.2137506,-1.4020449,1.571235,-0.53875196,0.45016292,0.31073993,-1.2810471,1.5126282,-2.2189353,0.6362722,-1.9271193,-0.75111336,1.7574,-0.21307069,1.9216934,2.3769863,-1.7032043,0.17236564,-1.0177269,-1.8208245,-0.5703714,1.4267997,-1.0416015,-1.0314964,-3.588026,2.9017627,0.40752146,1.258578,-0.122581586,-1.5786458,3.8143218,-3.2243543,-2.188125,-0.48729354,1.4117272,0.08627396,0.19658563,-3.0854173,-0.21847528,-1.2388614,-0.25602394,0.7300011,-0.78525394,-0.21778959,2.4813483,-1.5445969,-0.23911007,0.07690056,-0.70169544,-4.641098,1.1634662,-0.8474877,0.6307565,-0.9889761,-1.7811431,-1.249665,2.475971,0.2096966,1.3896632,-0.689949,0.5584259,-1.2218614,0.316698,0.56802905
415,2.328009,1.5074449,1.5380588,-2.2331967,-1.9298941,-0.3473916,-2.3765829,0.8771875,1.2625511,2.0796623,2.0042806,-1.4035677,-1.5575693,3.0346944,-2.1420207,0.6575747,-1.8419436,-2.6084316,-0.64717156,-1.2423254,0.12532462,-1.022872,-1.9045551,0.7930553,0.759472,-2.546554,1.2379968,0.7422802,1.8604398,0.8309606,-2.1232216,1.5863677,2.833938,-1.4174615,3.6555626,-4.145723,-1.5765712,-0.9346144,0.6526155,0.15477455,-0.7453595,0.46065798,-0.4129238,-0.33247072,0.16587499,2.4923337,-0.16454689,3.1232183,-0.08955869,2.1360898,-0.6182553,-1.9196429,1.2965567,-1.4739513,-2.7191513,0.5520346,-1.4003553,0.35793245,2.16904,1.2693601,3.2749362,1.5736656,-1.4304047,-1.5851387
438,2.0432212,1.8177795,0.17642933,-0.7002132,-1.5735714,-0.7889013,-1.0063003,-2.4291155,1.7172201,1.4157441,0.038229782,0.5035247,-2.3237538,2.053657,-1.0331014,-0.8369297,-0.9257613,-0.57208204,-0.7415355,1.4420644,0.4258179,-0.5715809,0.8518591,-0.178104,0.56819975,-1.0855964,1.3355864,1.6591383,-0.68790305,-2.456766,-0.36259186,0.5833566,0.43903446,-0.33842456,2.4647338,-4.671669,0.19334432,0.06066113,0.94982594,-0.083783455,-1.7304285,3.2201338,1.4225731,1.6541219,0.45324823,1.4536018,-1.3267691,2.6273174,0.056799196,1.4445807,-1.6512977,-0.6325071,2.1716788,-0.047178466,-2.0119042,1.7031581,-0.5930683,-0.5255246,2.1042416,1.0176365,3.010116,1.1326597,-0.5672639,0.034689467
555,2.7057362,1.4207535,-0.053406373,-1.1662027,-1.5608459,-0.87828565,-1.1478503,-1.8127046,1.5239534,0.5620315,-0.46975935,0.46277303,-1.399104,2.3823965,-1.469175,0.5864426,-1.0160303,-0.51361907,-0.7683176,0.79216284,-0.4790182,-1.2527578,0.1867742,-0.13624932,-1.2246706,-1.2985758,0.71259904,2.2161055,-0.49509174,-2.5223136,-0.4855284,-0.5339078,0.82034004,-0.42554337,1.6486897,-4.538128,1.0377737,-1.005447,0.63969946,1.0052415,-0.7122663,2.5755067,1.2854096,2.8363163,0.043229133,0.4015942,-0.9538101,2.6568396,-0.28215092,1.3401648,-1.0103118,0.043897018,2.0260878,-0.15437414,-1.8720742,1.615195,-1.6275415,-1.0251606,1.1066608,1.2206327,2.5834098,0.671436,-0.8153724,0.65180814
558,-0.39993787,1.9980644,2.7478297,-0.06948048,-3.6232765,0.059982702,0.31670907,0.20876218,2.2640386,1.0503436,1.0495378,0.843926,-0.7479818,2.4840624,-2.8957229,1.3500279,-0.94049376,-0.30628467,-0.31278938,-1.9364014,-0.4330246,0.6521283,-0.121037945,1.5411384,0.68472064,-2.4766414,1.613739,1.8716515,3.2261057,0.8903608,-0.27922857,-0.48501536,1.8835194,-1.1280441,1.4436351,-0.5992142,-0.5007446,1.5270782,3.8217294,2.2171607,-1.5911655,1.3112518,0.3485134,0.5775152,0.53513145,4.6466136,0.95094174,2.3036468,-0.8170314,1.8602984,-1.6465499,-2.3529034,1.8428736,2.5876265,-1.7595226,-0.07273181,0.098173134,-0.61486244,2.1926093,1.4163525,4.1729727,1.3983039,-0.2799225,-2.3751364
583,-1.8916991,2.5933764,1.6420441,-1.7072458,-3.7151332,-0.07093937,0.5192477,0.8026693,0.13818449,-1.5899812,1.0945013,0.16889194,0.2680949,2.9203207,-2.2564058,3.2301815,-0.45012975,0.50549346,-2.6724977,-2.9196744,-1.4016057,0.94110245,-0.6731489,1.6218474,-1.519198,-4.564329,-1.8220685,2.0529091,3.2722993,-0.46189582,0.0744039,-1.0445577,0.95155597,0.0231449,0.078216255,-2.2801933,0.3754237,0.38267595,2.2233465,5.3553658,0.0042528138,1.3335803,-0.029542878,1.447624,1.5769783,2.7308307,0.61781764,1.4229866,-2.032712,0.96423787,-1.8300267,-1.5123466,0.0017982554,2.1962428,-0.51101655,-0.8549177,-1.7663276,0.07143207,0.7949517,0.92281085,1.4558055,2.1174884,-0.34968063,-0.09166962
