,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
65,0.0054167435,-3.878484,2.700219,-1.0830511,0.34389868,0.89183587,-1.4536954,0.22970414,-0.4547821,-0.108779795,-1.4428134,-2.3741765,-0.007705018,-0.6849052,4.8690386,-1.3459799,1.0174701,0.31454977,-1.6483508,-0.9341015,0.98732454,0.38985795,-1.3596921,-0.8236742,-0.31873232,0.5408305,-1.0046833,-1.5951061,-2.0763671,-1.5525452,1.6204805,-4.8320985,0.379215,0.972458,2.9987476,0.5754129,-0.09020928,-1.4930949,0.8616636,-0.6542054,-2.1108363,-0.66213506,-1.7495592,-1.4656909,0.8776275,-2.009124,1.6093162,0.3553798,0.9234173,-2.2832737,1.5856506,0.057605997,2.3801918,-3.098954,-0.5902148,-1.19633,0.0151829645,-1.3391228,2.509542,-0.887713,5.7672157,1.3446964,-1.5689374,0.8559594
110,-0.08237733,-2.7991443,2.53444,0.07576143,0.14312296,-0.06192952,-1.2549825,-0.49016702,0.37437358,-0.76918584,-1.8161963,-2.1188962,0.56984437,-2.0367215,4.430939,-0.7832083,0.36544403,1.0234175,-0.13660857,-1.2000284,0.7410023,1.251406,-0.5845115,-0.8447764,-1.2768667,1.8051487,0.44937778,-1.0098181,-2.7981808,-2.4842408,2.2165482,-4.6452365,-1.3187712,0.6561963,1.1939864,1.8154713,0.33451548,-3.2742414,2.24316,-1.4023719,-2.659206,-0.61054355,-0.5783024,-0.44969845,1.3749282,-1.5758994,1.7421116,-0.16666496,0.111605786,-3.6769547,2.2053804,0.10239634,2.6536071,-3.3770065,-0.32775456,-0.76115835,0.7207665,-1.5563363,1.0047628,-0.7631758,5.322405,0.12133533,-1.0992397,1.4711058
175,0.13517252,-3.174225,2.2425172,-1.1686052,0.5376875,0.15045147,-1.4488693,-1.4354774,0.59058464,-0.75404537,-1.4012191,-2.6753814,0.36442584,-1.0552111,4.682497,-1.216116,0.5385366,1.1834248,-1.0050949,-0.3150374,0.31533122,1.3384441,-1.0842543,-0.97358584,-1.1373196,0.7147764,-0.85474896,-0.7686263,-2.4119313,-2.7177958,2.5380864,-5.1270676,-0.8486861,1.2104748,1.6134676,0.74161994,1.2522271,-3.694126,2.5854797,-0.8265945,-2.2557282,0.042797122,0.23484263,-0.14696223,0.86609435,-1.6640433,1.4059806,-0.47657278,-0.027419597,-2.6741028,2.3869781,0.5435801,3.2133145,-2.9913535,5.5097044e-05,-0.9380755,-0.37938714,-1.7055345,1.4820031,-0.23228224,5.7690506,1.3774145,-0.9908492,1.9895257
186,-1.3481869,-0.811882,1.726186,0.09407837,-2.120244,-0.99726003,-1.9253466,3.3903441,-2.8767643,0.13820384,-1.8064927,-1.2371922,1.1326694,-1.7666137,1.7954558,2.3073175,-1.5432776,0.58557105,0.29525885,-3.1801453,-0.28166667,0.9191793,-1.2214297,-0.15531468,-2.6878934,0.9409923,0.97153103,-1.6326346,1.9291664,0.38311386,-0.015974231,-0.86445814,-0.63324416,-0.5352682,2.016124,-1.3045832,-1.6473291,-3.003149,0.81018513,0.9811398,-1.733906,-2.5303016,-1.0491178,-0.66876405,2.1532083,-1.4839176,1.2644874,0.39898178,1.061337,-3.379004,1.6469649,-1.0208642,0.45932746,-2.9854755,-1.2440058,-0.13314086,-0.28306302,0.51043075,0.76903695,-0.04307705,1.1067868,-0.16345654,-0.78485155,-0.2230499
254,0.41244793,-2.8021662,1.6477797,-0.30381197,-0.40367597,-0.11749303,-1.5609078,0.092994116,0.321989,-1.3271711,-3.667485,-2.213984,0.8599906,-2.7419062,4.626693,-0.1792262,0.6398177,1.8033556,-1.1968408,-1.0061994,0.2630515,1.2327998,-0.74175143,-1.1595526,-1.2780967,0.8996491,0.024887264,-0.684401,-1.7840147,-2.1436725,2.5965421,-5.0994782,-0.68153465,1.2527272,1.1682334,1.7071594,1.4306054,-3.2562006,1.9588404,-0.5392053,-2.5128028,0.1268584,0.4315815,0.6283823,1.5710305,-2.5948555,1.9348011,-0.3865027,-0.10848832,-3.9501595,2.4609983,0.28888038,3.332924,-3.1762338,0.13590457,-1.4084631,-0.06011539,-1.6287351,0.7075952,-0.036404893,4.568179,-0.72988826,-1.4503906,1.5719934
276,0.07520831,-1.8939285,0.78239816,-0.43356565,-0.08248326,-0.7190442,-1.245906,2.1121953,-1.4535185,-0.13332036,-2.4744346,-0.9988785,1.297894,-2.1153996,3.636311,1.6434894,-1.7668371,2.5825603,-0.16166864,-1.8110186,0.70371765,0.7154894,-2.2119257,-0.85462487,-3.0208707,2.4803734,0.42468476,-0.28984487,-1.602347,-2.8581505,4.135046,-4.6390953,-2.9714372,0.25000817,1.1758008,-0.22945347,1.4195217,-3.5526152,0.8269661,-0.3248687,-1.5036104,-0.9223765,-0.44752017,-0.44113982,2.1849637,-3.758301,1.1339041,-0.55364233,0.7455218,-4.5254617,1.8197849,-1.1182703,1.8146958,-3.1938536,-0.47658318,-0.05327686,0.61061627,0.3139472,0.12755266,-1.1698375,2.6476517,-0.932195,0.20777683,2.2554286
278,-0.37209487,-1.7534622,1.9010036,0.4305973,0.017043166,0.015855968,-0.55197054,0.95133823,-0.049746305,-0.20780748,-2.1028268,-1.534212,0.6667203,-1.6682373,3.3902094,0.16310543,-0.29627556,0.7325107,0.15826413,-1.6992066,0.28159893,0.6179949,-1.1577511,-0.8751223,-1.8046787,2.3462322,0.8830204,-1.5973485,-2.854727,-2.2740827,2.3592865,-3.6564655,-1.9068953,0.84570986,1.70493,-0.37991455,-0.04012642,-3.178957,2.2535045,-0.9799052,-2.7988472,-1.099925,-0.4508124,-0.6164317,1.7021297,-2.36453,1.052828,-0.29162338,1.6124135,-3.7614388,1.8093473,-0.102431476,2.1565642,-3.646162,-0.95603615,-0.13951619,0.8508064,-0.8552639,1.2665668,-0.7965159,3.3910272,-0.28921634,0.07761779,1.1981599
288,-0.7215223,-2.2642317,-0.043316662,0.2740734,-1.0646237,0.9746427,0.013507366,1.4478676,-1.3179626,-1.2790338,1.220861,1.2235242,1.8977789,-0.667372,4.358683,0.15284185,-1.1345962,2.3205805,0.6159876,0.6962336,-1.2477328,1.6670325,2.4062433,-0.7585075,-1.8231344,0.25174272,3.1606345,0.6055294,1.4235135,1.3373225,-2.4072864,2.5952773,1.5262975,1.4436426,3.1130939,0.16526607,0.7530196,0.7992932,0.11766887,-0.745818,0.3904944,-1.8573412,0.5050781,0.8935632,-0.4239898,-1.4686815,-0.78208333,-0.6794035,-0.575596,-2.010717,-0.07599993,-0.047899626,2.10169,1.5770483,-1.3694892,-1.7181733,2.623622,-2.4331796,2.7706954,0.20409827,-0.19902393,-1.0415066,0.75227326,0.6852005
330,-1.9425868,-2.8626192,1.5656638,-0.48079932,-0.82575184,0.9983335,-0.15595692,1.311105,-1.1614759,-0.409326,-1.3718275,-0.43497294,1.2936171,0.57390213,3.9224918,-0.16854464,-0.69053155,1.3052517,-1.2083538,-2.7597868,0.1015614,1.5657218,-0.3626903,0.13208562,-0.91118795,0.10665177,-0.7688081,-1.2466953,0.22824173,-0.29426152,2.0212061,-3.7158134,0.2885294,-0.25129896,3.3941202,1.8840328,-0.17307112,-1.4956374,2.6951432,2.1390235,-2.5230021,-1.7794851,-2.476746,-1.3971676,0.26143828,-0.76603436,2.6211567,-1.3300617,2.291947,-2.5582564,0.98093385,-0.2634316,2.4968674,-1.8199495,-0.37988365,-1.0526736,0.14240822,-2.6851006,2.6645422,-0.34546894,4.715396,1.1011627,-0.03459682,0.04197979
331,-0.39394897,-1.9787701,2.7808354,-1.099949,-0.82285434,1.2307826,-1.414368,2.4429674,-1.6077468,1.3847681,-1.016629,-1.3478554,0.5505803,-0.155771,3.5982819,0.8035971,-1.7077938,0.82785183,-0.68014437,-2.6004364,1.0501156,0.91500217,-1.2557017,0.69486845,-2.3462722,1.0579445,0.25692225,-0.9283889,-0.7807939,-0.71507883,0.26717994,-2.6349714,-0.76220924,-0.082421616,2.7503417,1.055531,-1.8436394,-2.5107503,0.67362183,-0.30824,-2.417878,-1.6677343,-1.7995406,-1.3013537,1.3730309,-1.2879465,-0.03536098,-1.2953341,1.7424452,-3.2542765,1.508988,-0.8660354,1.9842647,-2.5888155,-0.64316636,-0.99928284,0.995929,-0.6000079,2.2834694,-1.356029,3.4713304,0.6485909,-1.419799,0.7662341
