,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
42,0.21420765,1.8904747,-0.05815372,-0.17619857,-3.9479153,-0.13721168,0.20142308,-0.1882135,1.7871691,0.45859218,1.1712228,1.3741095,-1.3025956,3.4227054,-1.6697637,0.84045523,-1.9256412,1.0708426,-0.3786745,-1.9064887,-1.1078763,0.10064913,0.22255136,0.5340737,-0.008898795,-2.1146474,1.7997348,2.0626009,1.8749422,0.37519425,-0.41917193,0.39949936,0.08442469,-0.95722884,2.768633,-1.7226229,0.09623488,0.019247077,2.7012258,1.1759915,-2.4687858,0.8022852,1.1574829,0.7082241,0.5943463,3.2713943,0.900681,1.0058683,2.3142028,1.7018715,-1.6877173,-0.9900947,1.1240752,1.5685972,-1.2494627,1.130127,0.50158376,-1.358556,1.5354583,1.1698029,2.9685035,1.775774,1.1927862,-2.2849157
49,0.52556574,2.2175314,1.3928349,-1.8391672,-1.860518,-0.2596757,-1.3713819,-1.6867834,2.525363,1.3389633,0.6998354,-0.38866234,-1.4434164,3.2326288,-1.9256276,0.023324754,-0.73682606,-1.4630227,-1.0980291,-0.112176,-0.92412776,-0.53758276,0.9674798,0.56194663,-0.8652641,-1.3011693,0.28869236,2.6030726,-0.14322007,-2.365842,-0.01567886,0.59334546,1.2315555,-0.1409086,1.5488701,-3.8673189,-0.0074107274,-1.3458532,1.0876043,0.9585633,-0.77223366,1.9323969,1.1810883,0.88496214,0.6110647,2.4573169,-0.36239988,2.2196553,-0.71791255,1.9203413,-2.1907427,-0.95938677,1.2174221,0.4404871,-2.1445088,1.1648977,-0.24145436,-0.5629392,1.3241884,-0.9551905,3.748102,0.37668383,-0.68043864,0.5302051
85,1.2336766,2.3359764,0.11334177,-1.3584859,-1.7283752,0.12861617,-1.2266303,-1.3928771,1.946232,1.3262923,0.30798545,-0.18268478,-1.7261785,3.3148642,-1.1034961,0.19574162,-0.8387574,-0.00047964603,-0.1431786,-0.17663237,-0.53727365,-1.1396095,0.8824836,0.062994435,-0.37350905,-1.6633807,0.8698133,1.3044872,-0.30623093,-1.8645756,0.13422821,0.7882922,0.2450217,0.3820989,2.1302214,-5.0474873,-0.41562757,-1.9896824,0.7827628,0.42952347,-2.2741063,2.5527225,1.9089534,0.83526456,0.6788651,1.6901237,-0.50573254,2.6953113,1.1801792,2.4087489,-1.4816883,-0.26977563,0.99711186,-0.6702003,-2.1619508,1.8902874,-0.6520284,-0.3567856,0.6032167,-0.43803608,2.9552484,0.7513011,-0.19405954,-0.66819257
86,0.27473956,2.3215709,2.0113068,-2.099054,-3.993837,0.5734704,-0.909701,-0.17288938,2.3119874,1.1439507,0.10371776,-1.1076603,-1.7902023,2.739008,-1.64657,0.76259726,-0.8464763,-0.09826004,-2.275664,-1.2273895,-0.7457478,-0.3737643,-0.06147322,0.73661625,-1.8172026,-3.9005346,0.3251269,2.2376344,0.79057485,-0.69198525,-0.77018917,0.6063731,0.93287665,0.47685647,1.6449814,-3.439711,-1.261461,-0.3834759,1.4867154,2.69873,-0.9163191,1.3649473,0.72820354,1.0475483,1.3135211,2.668997,0.3399768,1.2320825,0.49379098,1.9702963,-2.945119,-0.6791343,1.0628052,1.746686,-1.5996401,0.45654762,-1.169429,-0.6898966,1.2505978,-0.27381784,3.1204228,1.090108,-1.581978,-0.3986405
97,1.4029,2.4986577,-1.3355584,-2.138636,-1.9697863,-0.69050497,0.077439435,-0.57738477,0.6109514,-0.05249521,-0.8594797,0.9363671,-0.00935322,2.326873,-1.0717977,2.143075,-1.1348894,0.87873656,-1.456076,0.5431744,-1.1725614,-0.8833064,2.0637455,0.1189336,-2.7520776,-1.5028862,-0.4459193,2.8934486,-1.1136789,-2.398128,-0.017917268,-0.14366053,-1.3703401,0.9353299,1.4339198,-6.556775,0.29969695,-2.261408,-0.2276892,3.1966588,-1.3251071,2.1718078,0.8508465,2.922316,0.94832635,-1.4591779,-0.56273186,1.5961385,-0.098631084,0.77856565,-1.6958355,1.6857456,0.21524669,-1.2854732,-2.3508043,1.9825833,-1.0098097,-1.0131675,-1.4679713,-0.12328269,1.2629683,-0.27691215,0.11831555,1.0828712
139,1.2129184,1.6596309,-0.5358352,-0.3256623,-2.221097,0.054798707,-1.3952594,-1.5334721,0.094989926,0.9199974,-0.15571055,1.2563075,-2.5056744,3.1764593,-0.3291041,0.056270063,-1.6564201,0.9379957,-0.15004577,-0.20595032,0.94357854,-0.10285156,0.031928636,0.32689247,1.1903086,-1.9951154,1.6500273,1.1980132,0.50256747,-1.615764,-1.344634,0.7077677,1.0041114,-0.6079978,2.7071097,-3.28188,0.60072917,0.35967755,0.8303562,-0.37136534,-2.7127717,2.4344049,1.2230302,1.0687578,0.1721102,1.5466833,-1.5676383,2.3771503,1.5257838,1.1737098,-0.64528865,-2.2256255,0.57155985,0.26334682,-1.4879313,2.2224557,-0.2573487,0.38009495,1.8604274,1.6666944,2.3146558,1.7956927,0.05864419,-0.79614145
150,0.32964998,2.056121,-0.20272529,-2.0746126,-1.22571,-0.53089845,-1.4606383,-1.4810272,0.91189146,1.5679309,0.31870544,-0.6663972,-1.7506025,3.5040438,-1.6073095,1.0729263,-1.4452938,-0.8582994,-1.1052419,-0.72489816,-0.88039786,-0.35368386,-0.37882832,0.37218902,-0.16851543,-2.2875664,0.072698236,1.2723249,0.7382856,-1.5862875,-0.08150052,1.110975,0.9050211,0.7001511,2.1563444,-5.293618,-0.13144648,-2.6355848,0.6393257,0.6800921,-1.0542479,2.7036576,1.4574221,1.012056,1.8022211,1.2021173,-0.6813092,2.8047755,0.43715417,1.4277545,-1.1010888,-0.76215625,0.10644201,-0.28150716,-2.6096363,1.2647775,-0.41490504,0.066358104,1.234543,0.9380509,1.386421,0.93762153,-0.10364136,-0.9777156
157,0.40589106,1.712125,0.9478194,-1.3310138,-3.633512,1.6271558,-0.07321488,0.70085365,2.3253264,0.66725504,0.7884097,0.77403724,-0.7989825,3.198336,-1.214546,0.8296387,-0.07091475,0.42392978,-0.8323317,-1.4205891,-0.81594217,-0.6576851,0.51993245,1.4256586,-0.9610453,-3.2024312,0.68100905,2.2751098,1.5407765,0.46622133,-0.6779092,-0.4570958,0.36715904,0.30568492,1.673505,-2.5702972,-0.09776664,1.0551621,1.8951646,2.0455222,-1.4863036,1.4477413,1.9290774,1.8928735,0.37431762,3.0373032,-0.010831121,0.32813042,1.1354167,2.343473,-2.2346969,-0.36926585,2.3461456,1.7225956,-0.8411144,0.40593004,-0.8246582,-0.86819524,1.4303322,0.61299336,3.1479762,1.4448453,0.907923,-1.2875136
164,1.8416976,1.9352527,-1.0851879,-2.8637264,-1.4095215,-0.36829954,-1.6476007,0.4397441,-0.22227153,0.7294752,0.62877417,-0.714785,-0.4421418,2.9649503,-0.7885147,2.8166378,-1.2447002,0.26040474,-0.46371096,-1.0367137,-0.5687047,-0.7392519,-0.032577105,1.2614818,-1.758409,-2.535205,0.10766922,0.9758624,0.22293076,-1.0942011,-1.3813006,1.3040725,0.3423791,0.076373935,1.592063,-5.953074,-0.52365804,-3.4327273,-0.18461712,2.5301745,-0.9784773,0.7137722,0.8425207,1.2296826,1.8830686,-0.2465913,-0.090119004,1.9698093,0.61478555,2.10452,-0.5119691,0.12555319,-0.2664057,-2.6175592,-2.217534,1.7445819,-0.82917005,-0.25375098,-1.9776759,-0.0031282008,0.35647327,0.60696113,0.22923079,0.33092886
189,1.2224445,1.9618607,-0.17801616,-0.085475355,-2.5815537,-0.03942445,-0.6236393,-1.4330679,1.6598579,0.115937024,0.4832837,2.0755217,-2.8885214,3.1670787,-0.15349786,0.23956051,-1.9411116,1.9055859,-0.64355016,-0.6279912,1.491936,-0.22433114,-0.20869628,-0.02831956,1.7953076,-1.9729567,2.1406283,2.330407,0.041113716,-2.0195527,-0.56740123,-0.4521913,0.32460287,-0.58115155,2.4054818,-2.2576184,1.4855375,1.329316,1.0435596,-0.43015644,-2.5017338,2.6821578,1.4359776,1.1928048,-0.38244227,2.7885134,-0.9915018,1.3880136,1.4731575,1.2371095,-1.3576334,-2.1662478,1.0825684,1.6449578,-1.1312387,1.2249712,0.24216613,-0.31337556,2.5567784,1.4768583,3.159886,1.8190317,0.64674467,-0.49515682
