,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
55,1.6006572,-1.7859277,-0.31150326,0.9593658,0.34309474,-2.86552,-0.94786096,1.7442282,1.7792752,-0.2455416,1.410516,2.4654336,0.29448298,0.65504014,-1.9035496,-2.306752,0.9356286,0.9176355,1.8195703,0.66991407,-1.2599541,-1.1063989,1.8386849,-1.545098,-1.188066,1.0338451,-0.006964609,1.7655817,-2.2856665,-0.99769264,-0.1134843,-3.611207,3.5949159,1.1948448,-0.42133924,0.9170296,3.4548056,0.0853531,1.3411243,5.449811,3.0637498,0.72734755,2.3121872,2.23253,2.494787,-0.42404056,-1.4055152,-0.6853588,0.63287365,1.2019621,0.11416819,-0.4269116,-4.809746,-1.9386048,1.3593277,1.4924912,-1.7300066,1.5818028,-1.7481673,-0.87014943,3.189275,-1.177905,-0.7980327,0.07121281
119,2.6228058,-1.1121273,-0.4517392,-0.5162108,1.5911641,-0.61845607,-1.474442,1.5292704,2.988644,0.5307385,3.2029,3.3613353,0.35982618,2.4112022,-2.291885,-2.83167,-1.0396643,-0.43212068,1.8690029,1.6473624,-2.632898,-1.8225491,2.5678966,-2.127826,-1.6801946,1.6101409,-0.7717397,1.7273008,-4.2015986,-1.5926101,-1.198664,-2.2984946,3.3016858,0.8538412,0.94192266,1.2623081,2.7458816,-0.62798744,0.48332056,2.7787974,3.1129026,0.84078336,2.170415,1.4744883,1.9560578,-0.391106,-2.2493598,-0.9398154,2.542591,1.7062254,-1.0778315,0.56964004,-5.34621,-2.8699634,0.38096723,0.78642994,-0.84950113,1.2682356,-1.5606554,-0.88607144,2.7695217,-0.34778762,-0.06993964,-0.5405775
130,1.259646,-1.673081,0.2703851,0.63678545,-0.16298822,0.40241122,-0.8020897,3.3536046,2.618501,0.8167003,3.241678,3.5275612,1.6533408,2.6340141,-2.9775686,-1.8988404,-1.739343,-0.1404552,1.8834479,1.1900561,-3.6203997,-0.26039472,2.2715955,-1.5413997,-1.5544755,1.0636477,0.36427468,2.915928,-1.2362858,1.8684114,-2.0148733,-3.0417273,3.6201816,-1.403385,2.0259984,3.8500197,2.2295814,1.7039483,2.930713,4.0974226,3.6889248,-1.1328812,0.8990279,1.4044288,1.5347611,2.2739248,-1.3094597,-1.7611811,2.9377093,0.95736486,-0.95898694,-0.20694447,-4.521056,-0.049235452,1.3871986,-0.3144809,-0.3467329,0.52903616,-1.3766994,1.7237605,2.6389215,0.07051789,1.4599746,-2.0596693
134,0.84894997,-1.3428794,0.4047984,0.0003009364,0.9614496,-2.590199,-1.7387038,1.5219077,0.96073174,0.67745095,2.199253,2.095748,-0.077503726,1.4409606,-2.662872,-2.3437781,-0.45229742,-0.5150828,1.3633295,1.0218096,-1.9620591,-0.08121751,1.8888128,-1.1445084,-0.98180425,1.0194042,0.20643523,1.8895608,-1.2453219,-0.31121522,0.09118721,-2.683627,3.9993885,0.39503413,-0.0059531312,1.8005489,2.2538161,-0.66254586,1.6593482,4.422981,3.43375,0.44078943,1.6173524,1.0107126,2.6024394,0.65075904,-0.85937303,-0.5875163,0.22436848,0.7196358,0.22442895,-1.4237306,-5.2162776,-1.0991508,1.2611485,1.0358168,-1.5182565,1.4827935,-1.2569556,-0.85392004,3.6147966,-0.8502812,-1.0115609,0.13823849
211,1.8740659,-1.9648553,0.17007601,0.6464854,-0.40205583,0.6104924,-0.36705834,3.663888,2.5468123,1.3673172,2.8705797,4.0214605,0.5590595,2.132956,-2.3839421,-2.8433142,-1.4281461,-0.19806293,2.3414013,1.0663041,-2.6227918,-0.93064195,2.8889704,-0.936051,-1.1793497,0.618073,0.86047804,2.1223407,-1.6675012,1.7808669,-2.58551,-2.3422356,4.054082,-0.44970667,1.9948862,4.2288923,1.1675322,2.0481417,2.6150184,3.7009978,2.8097086,-0.7367711,1.543236,1.8971623,1.9088951,2.213039,-2.1268091,-2.1302922,3.902974,1.3147621,-1.262296,0.11743048,-4.203351,-0.47149175,1.2911779,0.37975466,-0.33371052,0.35268933,-0.74702436,1.1773483,3.3072784,0.56082445,0.23248084,-2.220951
222,2.7957084,-2.6114972,-1.1359429,0.22694486,1.417919,-0.8121878,-1.0631801,1.762023,1.735254,-0.20220274,3.6035113,3.1495688,1.1924703,1.4532188,-1.8900295,-2.9029613,0.085905544,0.16011438,1.8411965,3.0710537,-2.1451855,-1.5866562,2.1986277,-1.3768371,-1.3504953,1.9828668,-0.1510607,3.0978882,-3.186985,-0.8698632,-0.1672222,-3.456701,2.4854183,0.26636106,0.20499544,1.3255066,3.239034,1.8774773,0.26554683,4.0644894,3.7777886,0.66842896,2.4260314,2.541785,1.7478467,0.13028683,-2.2420242,-0.7946069,1.0339141,1.8756104,-0.6557763,-0.06594787,-3.536913,-1.8200225,1.4340624,0.8940329,-1.509473,1.354933,-2.252518,-0.34672946,3.7182126,0.091492906,0.9976609,0.11478414
228,1.9926016,-1.2207148,-0.522623,0.30024025,0.8643294,-0.93878764,-2.3758607,1.5576445,2.449666,0.18754353,1.8033158,2.8323004,-0.415319,1.7453748,-1.7077258,-3.3574653,0.28821877,0.5993053,1.6223466,1.8925656,-1.9734106,-1.4747238,2.0210347,-2.232976,-1.2217984,0.99873096,0.31976172,2.0316122,-2.9194493,-0.8184469,0.4149616,-3.1582875,3.631783,0.97578704,0.091649905,2.0143914,2.833415,0.4950385,1.0926387,3.483355,3.126392,1.2099985,2.96748,1.6453376,1.6306305,0.40444902,-2.2555757,-1.1836355,1.8469614,1.57741,-0.3274988,-0.5637174,-5.181948,-1.9171646,1.5098358,0.98450226,-1.947712,1.6471485,-1.4328619,-1.1178967,4.108917,-0.806781,-0.4054896,-0.3949219
325,1.7728149,-2.7041566,0.30915117,-0.10387825,-0.32396927,0.99244016,-1.5869688,3.5109563,1.7676255,0.9708036,3.2734838,3.3634968,0.5467061,1.9366642,-2.2068095,-2.3129878,-1.5118369,-0.14601618,1.887744,1.632669,-3.2651632,-0.68858904,2.516069,-1.5510283,-1.8915789,0.46644473,0.92398834,2.5802124,-0.99757385,2.2558005,-2.3048136,-2.8062851,3.404468,-0.7416397,1.6580365,4.9360614,1.0189462,2.1103542,2.208029,3.6941254,3.8346477,-0.50721914,1.6930251,2.3230658,2.614164,2.369918,-1.0904197,-0.9654279,2.9676557,0.89370126,-1.1937754,-0.6993154,-4.962099,-0.04924171,1.5774447,-0.011926129,-0.34539473,0.7391564,-1.8215163,1.8663826,3.4281254,0.46124047,0.99601775,-2.6106706
357,2.4227064,-3.2440977,0.102642685,-1.2465149,0.5445953,0.011912383,-1.3903972,3.4924285,1.0457886,1.3509303,2.7667058,3.082822,-0.16702795,2.2220101,-1.0653002,-2.027106,-1.2121974,0.23026866,1.6902769,1.0873799,-1.2754492,-0.48675624,2.6346226,-0.6320722,-1.8836389,-0.55144626,-0.16338894,2.6739435,-1.799175,0.8333768,-3.2264688,-3.0766966,4.196946,-0.26719153,1.4941034,3.4042099,1.6419829,1.3390484,1.577626,4.985595,4.1874166,0.27288297,1.1072453,2.4157212,3.4890044,1.0482404,-1.978965,-1.0913167,2.2611969,1.3698578,-1.2962763,-0.9674184,-4.651672,-1.0104392,2.278447,0.9552018,-0.9281996,1.0397003,-1.8810678,0.94216996,3.0409496,0.81070536,-0.13206847,-0.4104408
395,0.6979534,-1.4203372,0.40570885,1.4034693,-0.3388596,-1.1567894,-1.0394589,2.7643073,2.4225543,0.42781863,2.8450682,3.1186523,-0.005205691,1.1303685,-2.2845511,-2.7583847,-0.58494973,0.23580194,2.1578896,0.2568145,-1.3852627,-0.26099554,2.2288609,-1.1933794,-0.22443941,0.81898266,1.0629989,1.6477722,-1.4371054,0.933578,-0.61989534,-2.9508486,3.8572373,0.14312445,0.62360615,4.275143,1.69263,1.743471,2.7578447,3.8734844,2.8686204,-0.25997046,1.6531003,0.9664289,1.8846921,2.3170104,-1.1694484,-1.2550331,2.0847318,0.94457525,-0.36397412,-1.3459824,-5.038925,-0.6240963,1.5650322,0.39620537,-0.4651714,1.5884211,-0.6495849,-0.08210615,4.122904,-0.19107004,-0.3078554,-2.1828685
