,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
20,-3.5141592,-0.16115765,-0.165528,2.5531042,-2.5739214,-3.7472403,-0.95612216,-0.7737724,0.68318653,-1.6913677,1.185934,0.6959561,0.39171582,-2.5739634,-1.4724436,-2.8623524,4.6619215,1.8185891,0.6661169,-0.4594119,1.1735349,0.4030139,0.99318826,0.45618173,0.016766489,-0.560462,0.98778915,1.9120861,1.5286398,-0.41898614,2.8674603,-3.8005,2.8394701,0.890391,-4.84948,1.9812058,2.7079532,2.133547,3.4190292,7.75569,2.926523,-0.9623658,3.5461283,1.2110081,0.34031197,2.5356975,-0.1618078,-2.575263,-3.9510925,0.2780523,0.6997582,-3.3536572,-2.2835217,0.5164531,3.6199346,0.69935304,-3.84072,2.4969544,-0.621802,-2.3371,5.4415674,-1.709609,0.72930014,1.8228973
34,1.0025911,-0.34131858,-0.59967464,1.080146,-1.123095,-0.942651,-0.080066375,-0.562949,2.7559786,0.27890322,-0.3546408,0.5027568,-1.7133907,-0.5800644,-2.6129794,-2.549988,1.092819,1.3963038,-0.20839937,1.1950761,-1.6687578,-3.2069547,2.4079037,-3.4689405,-3.6400387,-0.6679981,1.72219,0.7532333,-4.4404554,-0.99710304,1.4195429,-2.3761194,2.3937826,2.9886472,-2.379286,1.3641381,0.0012417324,0.136396,1.9883852,2.6807625,1.7133045,0.71972936,3.2171247,0.75313497,2.592862,-1.7865052,-0.019429002,0.09877044,2.9068184,0.66279966,-1.4374588,0.24551478,-5.54784,-2.0937178,0.6271392,0.78015375,-1.9188514,1.1028715,-1.4650742,-2.0626407,3.3174531,-2.4492521,-0.5360401,-1.8354809
38,1.2600787,-1.1938167,0.090448104,0.40044117,-1.2328103,0.23152973,-2.23727,1.4116195,2.6135752,0.8239133,-0.21286608,-0.16848819,-3.4886544,-0.100614294,-1.503614,-2.954659,0.759936,1.0100782,-0.24497904,0.87418896,0.44900513,-2.354686,1.698034,-2.6180878,-0.76843977,-1.4773684,2.6264713,-0.50727177,-3.485848,1.2344315,0.31977805,-1.813813,4.2490683,3.0951445,-0.69305587,2.706401,-0.9665522,1.4547509,2.22302,2.0684175,1.6660733,0.5306396,3.360002,0.35485584,2.1483467,-0.29993576,-0.4961687,0.035113174,3.3379781,0.7534064,0.088818215,-1.3941336,-6.1930404,-3.1513603,1.6212577,0.1636381,-2.4249876,2.736837,-1.1947368,-0.55287886,4.3123446,-2.3865163,-1.385163,-4.3444333
54,-0.42858267,-0.66303355,0.22642681,1.3178133,-1.3318729,-0.88556284,-2.0996976,0.7202856,1.8010055,0.5993927,0.22296514,0.7189128,-2.7780788,0.29186958,-2.243578,-3.1585405,0.71427184,0.9274614,0.24434383,0.9722545,-0.4203735,-1.0317254,1.2938765,-2.254306,-0.52501416,-0.48443675,2.9281106,1.0144519,-1.2736293,1.3092104,2.0177708,-2.3654132,3.7862809,2.0136495,-1.2909255,3.5527022,0.23151669,1.501613,3.3809273,3.0933504,2.5224392,0.34567806,3.6992686,0.612001,1.451544,1.3449289,-0.31670558,-0.8893375,1.8202893,0.13717312,0.41703823,-2.494792,-5.6100583,-0.6453325,2.665699,0.4017291,-2.8408031,2.044646,-0.5364757,-0.43505007,4.8981905,-1.8817846,-0.5012872,-3.2446246
60,-1.9653319,-0.3290718,0.27842355,1.6152807,-0.44364753,-3.2067785,-2.5692408,-1.274871,0.45650476,0.059136316,1.0276442,0.14954546,-1.269869,-0.038805634,-2.864293,-3.5289724,1.9829024,0.5958128,0.47939658,0.7297352,-0.7711668,0.27712983,1.0653687,-1.6863041,-0.575287,-0.14619341,1.717715,0.8211563,0.55957353,0.3727994,3.433387,-2.3663447,3.3567014,0.7572831,-3.0151968,1.7610817,1.0708085,0.050512515,3.600397,5.0146995,2.7654846,0.36317265,3.3202744,0.3014023,1.9738703,1.286847,0.28084844,-0.13405648,-1.6715959,0.68460935,1.194187,-2.9017572,-4.6258545,-0.7389004,2.373808,1.03951,-3.8333771,2.0542395,-0.437616,-1.8674201,5.433381,-1.6523106,0.14528462,0.011019044
82,-2.088286,-0.6173998,-0.41293722,0.9836727,-2.0176556,-0.91936225,-2.0135143,0.68430585,0.5693158,-0.25013077,1.1419123,0.105945125,-0.4989231,-1.6585318,-1.657863,-2.286913,2.8614342,0.79532295,0.3468992,0.3704911,0.057483718,-0.2628521,1.1256939,-0.56176645,-0.7952946,-1.320306,1.7557204,1.2902569,0.7866717,1.4171765,1.9384849,-3.5532718,2.3637826,1.4172754,-2.7473288,1.9189949,0.58193773,1.8375632,2.8735824,5.635095,3.0425644,-0.91830033,3.5728323,0.82346976,1.0549452,2.2103167,-0.7610947,-1.812616,-1.0709419,0.25325328,0.47780657,-2.8940072,-3.2015412,-0.024468232,3.3284783,0.48090303,-3.62851,3.0173929,-0.7912883,-0.75478464,4.7983017,-1.5667907,1.3784962,-0.76205164
88,1.1550109,-0.5961024,0.22635715,-0.0034150407,0.11466436,0.05054164,-1.7053286,-0.14491558,2.9084747,0.8236587,-0.046629325,0.21293452,-2.2166483,0.56190777,-2.8097515,-2.9821506,0.09395971,0.36108893,-0.2871018,2.0025964,-1.5403675,-2.4749691,2.1824424,-3.7508981,-2.7274795,-0.5202578,1.9883734,1.1569256,-4.3452444,-0.14345503,1.727893,-2.1312857,3.7034302,2.567494,-1.143968,2.4010274,0.2891907,0.024756879,2.122239,1.5117513,2.5481892,1.3842056,3.5554068,0.48939002,2.0235646,-0.76257193,-0.18468647,0.17698729,2.8813174,0.91899896,-0.8715454,-0.40807888,-6.4472094,-2.1552122,1.038262,-0.022074997,-1.7184334,1.3986497,-1.4832697,-1.3539897,4.012741,-2.2732892,-0.88990086,-2.6707652
166,1.0543689,-1.3595135,-0.5651313,0.8447533,-0.17203778,-1.1056,-1.9181762,-0.11436036,3.4075596,-0.22879848,-0.28305915,0.11285534,-3.25103,-0.08313748,-0.55046695,-3.6149275,2.4279895,0.7789353,0.8519618,1.7320886,0.6377661,-2.1776392,2.207508,-2.5040221,-0.54560965,-0.045323193,1.8769865,0.8897027,-4.2047377,-0.9206256,2.459724,-3.1746001,3.6929047,3.242028,-2.0502968,1.8964922,1.5689907,0.37539297,2.1089528,2.8367403,2.4423008,1.5701107,4.906642,1.0022691,1.2738732,-0.040026035,-0.7266025,-0.9376769,2.149101,0.78798914,0.22418648,-1.1372244,-4.917554,-2.3839192,2.8191319,0.9859645,-3.0610926,2.0494761,-1.8585395,-1.7440543,5.137206,-2.0696826,-1.0824342,-1.6100268
170,0.89300525,-0.5101159,-0.36133155,0.6410932,-1.2594293,-0.6706811,-1.7469587,0.21015112,2.747515,0.15719521,-0.94130415,0.6556822,-2.9261158,0.36718366,-1.570816,-3.0116544,1.2567191,1.6266305,-0.57007176,1.6331345,-0.47408748,-2.1566865,1.9508927,-2.997289,-2.070245,-0.94220054,1.8789439,1.6079161,-3.4843562,-0.50562996,2.895293,-3.3915465,3.4430954,2.626032,-1.6385975,2.226058,1.0947607,0.5457823,2.0232456,3.1747215,2.3285818,1.6125516,4.117101,1.0630035,1.6057552,-0.4460844,-0.82903427,-0.8156741,2.253454,0.45717072,-0.6148,-1.3280529,-5.184504,-1.014422,2.6465821,0.6850945,-2.9530792,1.6360855,-1.2912222,-1.5382336,4.746703,-2.3588867,-1.3730564,-1.6527511
214,-5.0191255,1.2391318,-1.0467727,4.0267754,-3.069018,-5.4796867,-0.4530747,-3.3671284,0.3719662,-3.5197647,2.9142597,0.933938,1.4635481,-4.1326966,-0.18264297,-3.694362,6.9268155,3.0531957,1.2552137,-1.5105278,3.4063993,0.48056582,-0.015075378,2.1813445,2.7975836,-0.14211614,0.093183145,1.2431703,2.170739,-2.84816,1.5785835,-3.1473665,1.5062132,1.0874346,-6.0486503,0.4412156,3.3572516,2.4721615,2.5182753,7.547391,1.9748774,-2.1281424,3.417303,0.73940873,-1.362786,3.8302577,-0.7357709,-4.3866873,-6.1586266,0.7242639,0.97558004,-3.2156587,-0.5192418,0.351665,3.338089,1.2491919,-4.495994,3.2596998,1.1802024,-4.137808,4.946809,-0.89865166,1.4628671,4.8527627
297,2.3862185,-1.0638101,-1.9057584,-0.18042168,0.016830318,-1.0038203,-2.385203,-0.85406834,1.2878146,-0.17773242,-0.79432964,0.6960018,-3.0312657,0.20200095,-1.2254871,-2.5803797,0.66245997,2.7617507,-0.9822963,2.182102,-1.0031811,-2.852803,1.3263305,-4.1344514,-1.6031976,-1.372047,1.880795,0.91350293,-3.264035,-0.75233364,2.1795983,-2.9708064,3.0866628,2.7231505,-1.4290458,1.6949673,1.3266187,-0.5284865,0.92066514,1.5542103,1.9678845,2.2009008,5.096383,1.3150895,3.1116467,-2.134056,-0.06231572,-0.16017678,3.1118793,0.88993853,-0.05928079,-0.5475222,-5.9802313,-2.737352,2.2741554,0.44382924,-2.5191438,1.5494153,-1.5603126,-0.8222549,3.5095766,-1.8496648,0.04076124,-1.4813672
318,-3.2330523,0.3536643,-0.066740036,2.3597748,-2.1273282,-3.1436975,-1.3761333,-1.002115,0.4505088,-1.1602802,2.1643353,0.8105568,0.5179316,-2.115747,-1.5588846,-3.571141,4.2440867,1.6372442,0.8597738,-0.245637,1.3327581,0.031113094,0.8399333,0.5094576,0.8548329,-0.82307315,1.0710608,1.2726312,1.516728,-0.20000489,1.626967,-2.6472342,3.576283,0.8405254,-4.3725247,2.231155,1.9308974,2.7989888,3.5405037,6.1636553,2.6280856,-1.251498,3.0405953,0.4070159,-0.0069837794,3.082999,-0.9739026,-2.4163573,-3.2135324,0.8958707,0.8024441,-3.4814997,-2.4208565,-0.12446712,3.049553,0.16859604,-3.7318904,2.6001406,1.0239735,-2.711498,5.6754284,-1.093202,0.7188433,1.3134809
403,2.108632,0.22583444,-3.046062,-0.91081774,-0.92160064,-2.2498825,-3.085938,0.51525635,-1.5135018,0.17280085,-1.4563196,-0.25423765,-1.7248708,-1.1329015,-1.7727385,0.83874303,-1.7650621,3.319672,-1.2542096,0.37800473,-2.886395,-1.5878164,-0.8380512,-4.1585994,-2.612884,-2.3481486,1.783926,0.82826674,1.8187841,1.5394121,0.8157026,-2.1554112,0.8093059,1.6933922,-0.8648393,0.35749695,0.5270535,-2.8187468,0.6592476,2.4942877,2.3492558,1.1208589,3.6673946,1.5950682,4.3497677,-3.1852489,1.6807419,0.82540625,2.2197711,-1.013352,0.48521334,0.058781043,-6.365459,-2.114463,1.1614592,0.5614588,-2.1997235,1.2994174,-2.5102718,1.5208228,0.041434854,-1.4448988,0.69115824,-2.0404012
