,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
995,-4.5273433,-0.7490102,0.62131774,0.20439586,1.1450983,-2.421972,-4.7352033,0.8311814,-4.3138976,-3.9900396,-4.2825003,2.55288,-1.5764064,-1.0434331,2.8830774,-0.9044567,1.6360029,2.6561792,2.8041837,-0.62241304,0.7711507,1.4772701,-1.8957311,0.3984644,3.3603737,-0.75222236,0.13190117,-2.9975073,3.3279161,1.4443891,0.3074526,-2.1950574,1.2082298,-0.7828606,-3.0544791,-0.932477,-2.2418184,-0.27762055,-3.0611923,3.9641097,1.8219676,2.4733257,-0.8767465,-1.1940615,0.15555093,2.3934188,2.56236,2.0203443,-1.5460172,-2.3378537,0.17422163,-0.84538627,-2.7633548,0.51557595,3.5320594,0.0719814,-6.500333,-2.2118967,-1.3695536,0.91019005,4.4677305,-2.1677785,-0.17652605,1.526929
1174,-3.772295,0.8270121,-0.29363126,0.112249725,3.5971792,-0.95875895,-6.491857,-0.6686521,-3.8397706,-3.2820013,-6.882977,4.4866858,-2.707506,2.3841608,2.9713774,-1.3430457,-2.558849,3.7267199,3.378558,0.9952334,-1.7659925,0.48288867,-2.0145035,-2.0128698,2.0128968,1.721277,0.7849871,-3.0575738,2.1008182,0.90355366,1.4922087,-0.5824563,0.14109673,-1.2392442,-1.4737555,-1.4484904,-2.5557055,-2.3611054,-4.2614346,0.14322928,0.95953196,4.5241265,-0.86245,-1.5432268,-2.3547027,0.5905219,2.2042222,2.749886,1.6633943,-3.103851,0.06391365,0.7159132,-4.189903,0.46584833,1.8768545,0.15382706,-6.063014,-4.385308,-1.2794605,1.1505759,3.3233624,-3.904741,0.26690888,0.84569156
1287,-4.979666,1.7237769,1.8906393,3.4743757,1.2258973,-0.69882774,-5.2881193,-0.4838491,-1.2955153,-2.594263,-5.8856964,2.889009,-2.5282345,-0.14482246,0.9066191,-1.5434171,-0.6950703,1.6295682,3.0514426,-0.13119729,-1.9588017,1.3938329,-1.018242,-1.5949433,3.0215507,1.3409866,2.0738049,-3.3678675,3.717691,3.347226,1.1376617,-1.8011664,0.6236655,-1.7973384,0.07130809,0.93772364,-3.1623485,0.119901255,-0.032256585,0.7579019,1.1711056,1.9392455,-1.3296041,-2.0854373,-3.2483099,4.287895,3.1933234,1.8293954,0.83551323,-2.5007794,-0.01304738,-0.12986937,-2.993412,3.2746158,2.0036821,-0.12804931,-4.9656105,-3.5994349,0.14554912,1.6736077,2.9245157,-2.6178977,-0.46058115,-1.1253192
1497,-5.590284,-4.332727,0.7554231,2.5335166,-4.252466,-5.034209,6.1306,-13.627738,-2.8574405,16.295946,10.279993,-11.252064,-0.592229,0.045639418,4.538537,-7.6300035,13.0582285,8.997466,-0.5646978,-3.3299599,1.8922577,0.49678618,-6.1740627,9.456465,3.9860578,13.893178,-5.722711,7.2942405,-0.95542485,-10.664413,-9.054319,6.2543564,0.8660635,6.039304,-6.208177,-0.9025024,3.5789294,-1.2571851,-5.464668,13.1336155,-6.8207283,3.0014708,3.3225465,-0.39043775,-7.410228,-0.67569745,6.004309,-13.081102,-16.176723,-5.466455,0.32663095,9.023811,-1.893078,1.9082761,-6.541527,8.8791,4.39634,12.062806,1.7191586,3.304034,-5.187995,-11.52895,-0.63852626,-7.1517496
1712,-5.597449,0.9550434,1.5599256,3.1502042,0.50537264,-2.3386512,-3.8532426,-0.7183612,-1.375917,-3.4213624,-3.7431486,2.2218735,-0.6552689,-1.443129,1.3920949,-1.7657148,2.4798524,1.7900159,3.3942056,-0.7088275,0.444093,1.8507503,-0.64030313,0.40963104,3.161322,1.0869688,1.1683981,-1.613296,3.1766539,0.98783636,1.7533774,-2.4948337,1.4480497,-1.5632485,-3.1258783,0.6273352,-1.1539646,0.40208572,-0.22045079,3.840348,1.8423965,1.1885993,-0.14452642,-1.3446939,-2.236354,4.949342,2.2797866,0.05303255,-2.299422,-1.5921354,0.084231,-1.2033722,-1.5793959,2.5174537,3.134355,0.24049868,-4.967407,-2.1682348,-0.6262891,-0.5522406,4.6962852,-2.3739848,-0.28242707,1.8571978
1947,-4.8761406,2.3928325,1.4925368,2.4901524,0.90590507,-0.8400362,-5.434211,-0.90912694,-2.0503,-2.8256106,-4.3681307,2.582821,-2.3630428,-0.33766228,1.0258551,-1.4185387,-0.39483935,1.9822124,2.5410912,-1.2575355,-0.96724486,1.0163041,-1.472349,-1.3349124,3.719531,0.5279107,1.1969928,-4.02947,4.0846863,2.5522985,0.102137916,-0.58094746,1.32695,-1.2055566,0.2608807,0.60613215,-3.4845505,-0.73021686,-0.91885394,0.33491808,1.0677017,1.1335324,-0.7019168,-2.1600876,-3.092197,3.998847,3.1588166,1.6044358,-0.04153827,-1.8109235,0.15027243,-0.41791728,-3.8132622,2.1728995,1.3597109,-0.43869126,-5.0964174,-2.7649567,1.2206068,0.7182792,2.817422,-2.1437562,-0.6532588,-0.8831038
2090,-3.7040617,0.29318166,0.80648816,0.063512795,1.5290266,-1.3026862,-5.3868456,-0.061870012,-2.9002771,-4.3009777,-6.1367173,3.0185583,-2.6970685,0.026083566,3.365909,-1.2134115,-0.10147417,3.437724,2.2877922,-0.1811903,-0.39636207,0.6933828,-1.7053962,-0.9800681,2.7293992,-0.48191416,-0.06024903,-3.0403478,2.0856328,0.561391,0.11675045,-1.4043998,0.907424,-0.3580058,-2.420671,0.15759864,-2.8022118,-1.136021,-4.259397,1.796838,1.3448591,3.9843497,-0.7410663,-1.0297472,-1.1751273,2.1282027,3.0156999,2.1555414,0.026702754,-2.6058326,-0.74339485,1.0756458,-3.6155145,1.0016278,2.9259696,-1.0407202,-6.6801386,-4.0858736,-1.1908917,0.81826824,3.6439898,-2.9256516,-1.5331391,0.801916
2305,-4.521993,0.637887,-0.2712868,1.4052447,-1.0701603,-2.9615407,-2.5260928,0.48044893,-1.5205256,-4.569957,-2.2231076,0.91824204,0.39525315,-2.5850356,1.5238848,0.6995804,4.612316,2.4057157,1.3607311,-2.433744,0.88907796,0.7228866,-1.0347681,1.0818332,1.2655368,-1.7747732,-1.3691012,-1.3674996,3.2274847,0.41933334,1.076148,-4.193031,0.12584147,1.4357481,-3.9617639,-1.5951148,-0.08244765,-0.5169346,-0.98447937,7.006141,2.7605307,0.6978282,1.1602976,0.669955,-0.36052966,1.7892383,2.4684412,-1.0098704,-3.7361016,-1.3573631,0.31738108,-0.07993002,-2.580574,0.2795847,2.683326,0.18236761,-5.690836,0.07277876,-1.6888115,-0.4234407,2.6410232,-1.585193,0.7286567,2.5868697
3299,-4.8816624,0.50135064,0.8354325,0.5132868,1.6363379,-1.1751443,-5.668026,-0.37240148,-3.219142,-2.5975018,-6.1436768,2.3179047,-1.6971289,1.4047422,1.8929713,-0.90144163,-0.17761679,1.4766163,2.541834,-0.05953418,-2.3440893,2.0329752,-1.0911739,-0.64514554,1.3591151,0.3906163,-0.13450697,-2.5039544,3.488765,2.2322443,0.6601831,-1.4406135,0.7195642,-1.4517647,-1.1250478,-1.2804755,-2.9164817,-2.424909,-1.628489,2.7450755,1.7857146,2.4816191,-0.79791135,-0.994675,-1.1568706,2.460317,3.095547,1.6005181,0.118377216,-2.4539218,0.03431119,0.83876175,-3.1359656,1.5188112,2.4441388,0.4714163,-6.2878995,-3.7438948,-1.46754,1.4575108,2.8875327,-2.6101117,0.022569658,0.74930197
3567,-4.197261,0.80252004,0.8745053,0.7387819,4.0617127,-0.86178654,-3.3690052,-0.4653642,-4.3619432,-0.89785546,-3.1775398,3.9986994,-1.2335984,2.410677,-0.04105377,0.4083616,-2.1711636,0.82601386,2.4338102,1.0673988,-2.4382327,0.35407048,-3.2349887,-1.9533252,0.49260342,1.8980954,0.89430594,-2.08495,2.3934019,0.74497384,1.6275543,-1.3434653,-0.53999853,-2.338596,-1.5768104,-2.637548,-1.8915148,-0.45412892,-2.5904498,-0.6742738,2.3623338,3.1945832,-1.8700992,-2.3084085,0.7383516,1.2848487,-0.069897816,2.3845177,0.99695134,-1.7774429,-0.7347457,-0.57777065,-2.9693134,2.930075,0.58311945,-0.40326923,-2.427331,-1.9715495,1.4034826,0.7510578,-0.078416914,-1.4638122,2.3679013,1.5256449
