,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
75,-3.85244,-1.9802521,2.9883938,-0.52192086,3.1460161,0.18413134,2.9796815,1.6806854,0.16427709,-5.1702776,-1.0586689,0.36147332,1.9487491,-3.7526054,-0.42735246,-2.9989755,-0.39952007,-0.7244043,1.4841522,0.5443774,3.2849338,4.372318,-1.0524458,-1.4362444,6.248759,-1.1921822,0.8055986,-2.5291665,-1.6629565,-2.2506,0.9988093,2.040111,3.8940334,-3.550642,-5.8606796,-0.7304181,-1.6341759,-0.7202702,-2.909532,4.9908433,0.29181665,1.365998,-3.6886377,-3.0317526,1.0573118,5.3911643,-3.1736085,3.2488184,-1.9530394,-2.2743433,-2.3751183,-0.94640595,1.9926306,0.10367392,4.7365127,-1.2429155,-1.8040304,2.6402948,-3.0144582,4.306556,3.9032874,-3.2837758,-5.4946203,-1.652488
258,-3.290415,-1.945285,1.7964053,-0.31927568,2.8910687,-0.3651399,3.0428724,0.9367667,0.40438107,-5.3390083,-1.5034528,0.5705858,1.8515308,-3.4961152,-0.24346144,-2.6399405,-0.16051835,-0.3629661,1.9832938,1.3285834,1.9721347,3.5703545,-1.1344706,-2.2036903,4.7247505,-0.6365178,1.0383704,-2.0119586,-2.3715403,-2.4314382,1.6298242,1.131888,2.5355222,-3.1464484,-5.846081,-2.1275918,-1.2766714,-1.782728,-2.6377854,5.043213,0.08528883,1.6328992,-3.0468411,-2.9241078,0.75338805,4.1311417,-3.1897051,3.3465917,-1.4769212,-2.0911593,-2.3909037,-0.21018234,1.8582847,-0.36999434,4.260358,-0.21073008,-2.1968555,2.476656,-4.0592093,3.9501638,3.4549413,-3.1531353,-4.116193,-0.90708673
336,-4.035618,-1.6590291,1.4748082,-0.012021653,2.8845673,-0.059127796,3.8731132,0.82170045,-0.3916528,-5.0568423,-1.2346164,2.2321334,2.0153627,-1.9735643,-0.18107621,-2.5279427,-1.1887319,0.7779327,2.040709,1.0545765,1.2259678,3.4583893,-0.7975992,-2.504367,4.3407903,-0.4033014,0.8808589,-1.8325472,-1.4084368,-2.5692608,1.2704694,0.47854277,1.622011,-3.5306027,-5.4924064,-1.2730782,-1.1504768,-1.521913,-2.0169666,4.8200164,-0.18470708,1.297047,-2.9466913,-2.694666,0.9819281,4.0948625,-2.9328659,2.5661373,-0.09120493,-2.326448,-2.708706,-0.12232621,1.5761111,0.74782807,4.591587,-0.22023247,-1.9599814,1.8627104,-2.9469283,4.01615,3.1552377,-2.5782201,-2.1702955,-0.26527435
342,-2.4977598,-1.7265041,1.0783885,-1.4968767,2.1044116,-0.79712003,2.4636726,1.188297,-0.6732652,-4.8231893,-3.8975847,-0.7161054,1.1499985,-2.9021034,0.16506153,-1.2826355,-1.3059552,0.40215206,-0.86452305,1.4212873,1.7707479,3.76489,-1.550639,-2.919953,3.0628152,-1.622511,0.079373375,-0.904266,-2.8565655,-2.918848,2.0249383,1.154052,2.6861072,-2.8483958,-4.669938,-3.2019978,-0.6840387,-3.0400558,-3.6135757,6.1584034,0.17372298,2.0494654,-3.8745787,-1.5878056,1.8762313,1.7985674,-2.5216508,3.3313313,-1.6720436,-2.784846,-2.2983534,-0.7843433,0.97263634,0.16187602,3.695452,0.034704074,-1.9370184,1.9310533,-5.042473,3.8524399,1.6052507,-4.4041595,-5.8248773,0.13051979
418,-3.139335,-3.334776,1.2970235,-1.2771904,3.6578088,1.9207984,3.4409418,2.6473722,-0.65802574,-4.61997,-1.8694817,0.9767063,2.1545258,-2.556246,0.53834844,-2.310782,-1.2217147,-0.021941567,1.9420555,2.3188167,2.0583403,3.843059,-0.94287324,-1.6560831,4.7688603,-0.7796745,1.350598,-1.5208927,-2.1261384,-1.352838,1.0004011,1.4396659,2.3948107,-4.09963,-5.3684754,-2.2241518,-2.0630484,-1.193312,-3.8971264,5.77222,-0.3870326,1.4625891,-3.6833844,-2.6208599,0.39737132,4.2308292,-4.473817,2.6767156,-0.38168755,-2.5841522,-2.7221422,-0.09083584,2.9362583,0.32680777,5.1930737,-0.21209484,-1.9543711,2.8004951,-5.0634704,5.581311,3.0189483,-3.402297,-3.5366776,-1.371473
562,-3.4941235,-2.5099018,2.4625788,0.008759066,3.203378,0.012202412,3.3659422,1.344025,0.22004405,-5.3894544,-2.7792838,1.6145906,1.2052368,-3.0922935,0.003036771,-3.998053,-0.91589683,-0.5067381,2.0544071,2.4538262,2.670005,4.316188,-0.118306935,-2.1024125,5.746439,-0.11457737,1.7119001,-2.0647788,-3.0863533,-2.6156855,1.4062836,2.148864,3.486139,-4.127474,-5.5982428,-1.7792166,-1.7582779,-0.7880578,-3.1486197,4.774165,-1.0998232,2.381149,-3.929507,-2.7653248,0.040402927,4.703536,-4.8367205,3.564576,-1.0411997,-2.8727212,-2.5226002,-0.20461367,2.6561162,-0.18096076,5.0485444,0.35277492,-2.394834,2.5602095,-3.762481,5.105673,4.292598,-3.9177082,-5.7525396,-1.276261
762,-3.807142,-2.262608,2.428013,-0.3567275,3.3945475,1.6101307,3.6573894,2.2331128,-0.19336933,-4.4887,-1.3371857,1.4374946,2.7076192,-3.4414597,-0.64652795,-2.2652328,-1.5391194,-0.36202377,2.4857104,1.7096984,1.681538,3.987956,-1.017356,-2.1035562,4.49321,-0.6200276,1.5949142,-2.1640024,-1.7531269,-1.3684603,1.3137565,1.5324391,2.563309,-4.4677987,-5.7815957,-0.9964012,-2.3602016,-0.6658318,-2.7278314,4.5526547,-0.022953361,1.2205776,-4.135194,-3.7375524,0.5717281,5.0618644,-4.086884,3.266738,-0.33174366,-2.4275274,-3.1530895,-0.21458215,2.4106555,0.77173436,4.5506454,-0.92301124,-1.2081861,2.7385232,-3.7971072,5.2396436,3.3232422,-2.8031564,-3.7785163,-2.3624892
884,-2.9054582,-2.3254664,0.8752478,-1.0398315,3.7974977,0.85008025,3.1404629,0.88559705,-0.4657031,-4.886698,-2.025116,1.8407729,0.7384062,-1.8393918,0.9504255,-3.4359627,-1.395621,0.33463755,1.6890445,2.8489423,2.8177328,3.3589332,-0.35747573,-2.4279623,4.887345,-0.012085408,1.2262378,-1.5476933,-4.139129,-3.7257707,1.3059691,1.9238626,1.893026,-3.7253954,-5.559005,-3.2893565,-1.3008087,-1.4525698,-4.6804757,4.346229,-1.4901054,1.9065874,-3.616996,-2.756819,-0.056881875,3.2603264,-5.3473344,2.3147523,-0.29236746,-2.436245,-2.7237008,-0.579563,2.0239444,-0.12748483,4.8017216,0.9849326,-2.189051,3.2077029,-4.219158,3.6198173,3.260254,-3.669258,-3.846443,1.0629131
1002,-3.6466842,-2.180548,-0.74274284,-2.0078235,1.9431905,2.1587322,2.449456,3.584724,-1.9594171,-3.539994,-0.88584936,2.1536827,4.2091765,-1.2434387,0.11641301,0.78953457,-0.3935939,1.2418914,0.9583847,0.17129268,-1.1870252,2.3395302,0.30956358,-1.4471849,-0.8269789,-2.475046,-1.0877726,0.36421686,1.3978947,0.1161612,1.9250735,-2.37301,-1.7684274,-3.1042373,-5.4613266,-1.8833374,-1.2181112,-1.2928888,-3.5196903,6.9768014,1.1000428,1.7308376,-1.8029758,-0.59524775,2.229981,2.418063,-2.2481337,0.8156215,-0.7588892,-1.9284621,-3.5181499,1.2949393,1.6186684,1.1221839,4.3487544,-0.9557164,-1.6154518,1.8568363,-4.332819,3.52829,0.12579161,-1.9650882,1.9048414,0.8344184
1043,-2.4516182,-1.6500329,1.6041408,-1.6826905,2.5740929,1.1645517,3.7751021,1.6995306,-0.3640803,-4.9725895,-2.1961608,1.25187,2.4291415,-2.4122381,-0.50508195,-1.4463372,-1.7308905,-0.094706796,0.9951445,0.712128,1.2186744,3.5901313,-1.365,-2.4192204,3.213392,-1.226696,0.56316364,-1.0152259,-2.171492,-2.043726,0.7899667,1.3026276,2.4546604,-3.5372198,-4.526611,-2.0135462,-1.506301,-2.391828,-3.454075,5.9524074,0.099275246,1.3572055,-3.6374428,-1.7120066,0.24869427,3.424774,-3.1585011,2.5515275,-0.7822193,-2.3635647,-3.2704978,0.46662706,2.1237035,0.5135127,3.939858,-0.31496263,-1.96586,1.597635,-4.53967,5.071181,2.2553127,-3.2287319,-4.2561617,-1.2410862
