,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
7,-0.24444665,0.14703663,-1.2663057,-0.2912638,2.9235957,0.23076554,-3.0802333,-3.5592873,2.778342,4.8075523,-1.4065872,0.9648754,-0.62388,-0.4649383,0.49641585,-2.7636175,-1.5582542,0.6964457,-1.5024865,1.6389102,0.4450212,-3.3430502,0.8386127,-5.05187,-0.08040227,2.498165,-1.5650332,-2.2375689,-0.9251261,2.0444894,0.01655858,-0.31818536,-2.3730822,-0.9816614,0.7431516,-3.3618073,-1.1485503,-0.94469094,-3.8745623,-0.6234094,1.1871321,1.3537726,0.101966895,1.1949968,-0.51189387,-1.3816642,-0.44179407,2.6391077,1.2201846,0.92747384,-0.688728,-2.8654842,-1.045021,-1.0894866,-2.9470081,-2.887656,0.19415963,-0.50692767,0.8120796,1.6626709,-1.3655672,-3.1073997,4.1719365,2.0737379
21,-1.5884534,0.5790843,-2.0009236,-2.064283,1.9008977,2.48505,-0.61116105,-1.2616962,2.120508,3.7911656,-2.3399098,1.3837397,2.203056,0.91776454,-0.88156,-0.83635354,-0.66270745,2.0158055,-5.62432,1.8744543,-1.889018,-3.1814654,1.4261246,-3.1214676,-3.821665,-2.5771074,-4.2447863,0.078163385,-0.11922106,1.4698166,0.77322847,-2.0123224,-1.6711054,0.19080897,-0.8793771,-3.8128536,1.1374573,0.487859,-3.7326918,2.70069,1.7769897,2.8874424,0.61957556,2.7595332,0.79160714,-3.0219815,-3.0072136,-0.39179474,0.4118753,1.2884964,-2.4363134,-0.07798048,0.23461857,0.85886383,-2.3208973,-5.4123344,0.38880968,-0.85537714,1.9120001,0.5963369,-4.398179,-2.5954342,4.193249,3.6827457
28,-1.692739,-0.38022768,-1.0956304,-0.89667374,-0.6962273,1.3414099,-1.9681275,1.2348506,-0.73462284,5.030277,0.4037131,1.852262,2.531026,0.5043924,-0.26589024,-1.1572665,-0.71740115,1.8150284,-1.0516971,-1.0030266,-0.28220353,-1.0985545,1.8985895,-1.2332901,-0.8126637,-2.1516266,-1.7794546,-1.6494415,5.1296763,6.145868,-2.4430099,-0.029452672,-1.689709,-1.999918,0.7126031,-1.8905905,-3.9876013,0.4305367,-2.1517394,3.191374,-0.888758,-0.43682277,0.21026641,1.5871539,2.924593,0.7221217,-1.9045974,-1.2179397,1.0056202,1.9122719,-0.6650452,-0.7389637,0.29461315,-0.78867906,-1.4793832,-3.1637456,-1.031201,1.3370066,2.6255767,1.4185705,-0.9163078,-1.1114014,4.8139505,1.256887
32,-0.88539916,1.131628,0.016910575,1.1879964,2.4516068,-0.9830215,-2.09634,-4.0686126,1.2513919,2.7187006,1.8966097,0.45254958,0.9683186,0.27765578,-0.31225616,-2.6127932,-1.5923773,-0.48867586,0.0011086613,-0.37777394,0.45451647,-2.6136403,-0.77377605,-5.0631943,-2.2545257,3.470145,-1.9674821,-1.9144999,-1.0475711,3.6284897,-0.06354911,-0.358446,-1.699419,-0.9463371,-0.03207282,-2.197731,-3.0637512,3.3199172,-0.8908645,-0.09712897,1.7979524,0.7754432,-3.956274,1.6508363,-1.6547868,-1.5182078,4.7755327,1.7233748,0.061758816,-0.09331496,-3.221638,-1.937626,1.2119662,0.86775035,-1.988496,-0.85409236,2.4299629,0.6885643,3.1318064,2.2331233,-0.21068582,-2.2613254,2.9544978,0.7131892
39,-0.76644945,0.78828037,-2.4766598,0.63180244,3.7983596,0.505472,-1.8024894,-2.20756,2.3314562,3.7435281,0.15231411,1.2475393,1.2928855,0.17734252,0.12328702,-0.9711455,-1.7278427,0.947188,0.04688727,1.26814,-0.37607014,-2.7217011,-0.73725843,-3.8364809,-0.844848,3.4848557,-1.3745936,-1.8182335,-1.2449921,3.0108123,1.0674859,-1.6025122,-3.8376465,-0.4748602,-0.20979078,-4.920214,-0.3319539,0.3345965,-1.7062335,0.19744381,1.5666335,0.34512523,-0.68777984,1.349246,-1.2128292,-2.275858,0.6634729,0.79351705,1.3943512,0.5236739,-0.5439181,-1.9238052,0.31452027,-0.99563956,-2.3725019,-1.6612285,1.1174686,0.7774287,0.107057184,2.7354336,-2.6037328,-2.8297155,6.737748,1.4928286
63,-0.5319517,1.2261246,-0.70263016,-1.3036163,2.8563573,0.97318333,-2.6823184,-2.2153666,2.5572336,5.5453215,-1.3739337,1.7627572,0.04009825,0.5399555,-0.3171415,-2.401416,-2.4501214,1.723851,-1.9383397,1.3244563,-0.09836123,-3.0683734,0.80261385,-3.8992937,-0.7413952,1.5859116,-1.4025782,-1.6835208,-0.16399956,1.4792742,0.34670115,0.07837112,-2.3587341,-1.2170641,0.2522,-2.835843,-0.9790289,-1.3467493,-3.3093681,0.46431124,0.48051497,0.6046773,0.4284668,0.6490152,-0.5168545,-1.4020998,-1.3916277,0.8042276,1.4612535,1.607068,-0.9824224,-2.6945343,-1.0309588,-0.78495204,-2.6416485,-3.3283327,-0.16699782,-0.499959,1.1800961,-0.11539004,-1.1937523,-3.4895508,4.763145,3.4703898
184,-0.7954889,1.6725146,-1.0167115,-1.0695255,-0.40046206,-0.5702742,-2.4929178,-1.2511245,-0.05436185,4.270182,0.53459704,0.45734066,1.2380686,-0.9857793,-1.7734481,-0.8565384,-3.2513602,2.331282,-1.0613127,-0.62306666,-1.1672419,-0.72654414,-0.0030457452,-3.62387,-2.410792,-1.0939484,-0.052450106,-2.8027053,3.0305598,3.3219368,-1.4355729,1.222271,-2.8165789,-1.9398445,0.5300819,-1.9635801,-4.086462,-2.8163652,-1.1261635,2.0013907,0.013356291,-1.2882515,0.11872511,-0.5167879,1.8494185,-0.58440965,0.52013457,0.4729786,1.9849222,1.9658909,-0.63995314,-0.51462495,-2.305654,-1.6011639,-2.5952122,-1.4976729,-0.6790567,0.8227238,1.0956861,0.729619,-2.029284,-1.5953295,3.9946656,0.48461515
193,-2.9825315,0.90323645,-0.5713384,-1.2469898,-0.94696486,1.6950995,-0.039747454,1.4675726,-1.8033428,3.8532538,2.7756264,2.797508,1.8301479,2.0213633,-0.82885087,0.07017389,-1.817347,1.6120789,-1.7461402,-1.4675518,-0.46550465,-0.4838236,1.1488491,-1.1717464,-2.0771623,-2.7071369,-1.8502522,-0.405317,3.7894464,4.1600294,-2.0254743,-0.28495502,-3.3868048,-2.1590745,0.046306975,-1.7300358,-3.2447822,1.5677031,-1.9043068,2.0368986,-0.04740657,-0.725055,-0.6717472,0.7925041,3.6870694,1.2733591,-1.0551128,-2.784377,1.501919,1.5289594,-2.1974008,-1.1365832,-0.7134384,2.1088827,-0.2654293,-2.6109877,0.2966478,1.7198391,3.6662014,0.4142745,-2.534181,0.64767706,5.86392,2.4073217
204,0.0853928,0.09749526,-0.90174276,-1.2223755,2.201398,-0.24975404,-1.1521492,-2.2286336,0.2727282,2.7186198,-0.41303214,1.6102465,0.80019975,-0.39589903,-1.3273947,-0.13241504,-3.2058725,2.421721,-1.993671,0.21273817,-1.1091515,-2.0841515,0.606035,-3.7033238,-2.8657572,2.1322906,-1.1632668,-1.4564638,-1.7638472,0.21466507,-1.3860962,0.5739117,-3.7870045,-1.8000208,0.5288635,-2.931774,-1.1676823,-1.8428907,-2.6636097,0.9048235,1.1243551,-0.6416992,-1.5573447,1.5778468,1.4718382,-2.4964516,0.9344604,2.8893847,0.4341804,0.9248246,-0.93119913,-1.1078826,-2.7815235,-2.0219991,-3.112735,-1.8479466,0.3176554,-1.7363309,-1.0262206,0.17763175,-3.141521,-3.0975945,4.3213553,2.248194
275,-0.80853397,0.5541592,-0.51851046,-1.2849827,1.97133,1.6529915,-2.1996624,-1.6562822,3.281401,4.94371,-0.27875805,0.4084543,1.7542905,0.74802554,-0.28815225,-2.4267902,-1.6523398,-0.416276,-1.2178367,1.4473825,-1.0016536,-2.5514438,1.2900512,-3.2097077,-2.3147633,0.9371626,-2.2094994,-0.4897046,0.8084595,4.0313015,-0.46543616,-0.3658408,-1.6546671,-1.161972,0.28743404,-2.9810917,-2.203503,-0.034986675,-2.277958,1.0318253,1.5714142,0.79902023,-0.08055723,1.535261,-1.3343503,-0.16082916,-0.09709051,0.18840167,0.8203963,1.37051,-2.1125164,-1.2265573,1.4910598,0.070058964,-2.5636263,-3.6337724,-0.43766457,-0.4163527,1.1714723,1.7292917,-0.93324614,-2.4451299,4.304965,2.3814328
