,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
180,-0.99690723,-2.9105864,-2.1142797,0.08789856,2.2826893,0.6079724,1.0126907,1.5706443,-3.7048552,1.1333339,-1.8301506,1.87596,-2.2700858,2.1909733,1.80735,0.6460289,-2.2389708,0.9402223,-3.5204585,-0.4625054,0.07589027,-0.46419954,-0.96962535,0.6388651,-0.8534323,1.2193738,-0.48661515,-1.1318641,-1.8347023,-1.2822163,2.027819,-1.5052449,-0.30792153,0.8414916,3.7424839,-2.1971328,0.655753,3.280493,-2.0874152,2.345373,2.1630561,-1.1325862,-3.7945645,-1.7418556,1.134363,-4.675504,1.9326133,-1.0154972,5.1423783,-1.1146806,-1.3394464,0.018470973,-2.344432,0.89702594,-1.091398,0.39542967,1.5732377,-2.1067622,2.5469537,-1.7889459,-1.8148427,-0.09571801,1.8748852,-0.1909741
259,-0.018293083,-3.4754336,-1.9945352,0.4785757,2.1442187,0.50900555,2.09154,2.7711706,-5.269615,1.6939054,1.9911602,1.8973603,-1.570663,0.9651023,0.396068,-0.7763186,-1.5584166,-0.5399161,-1.6311327,0.78882957,1.0178494,-0.6926875,-0.76595616,1.8133478,-0.3711705,1.002155,0.54476464,-1.3952788,-2.4149754,-0.15278919,1.979248,-0.9904489,0.086795986,-0.4373747,2.522327,-2.3701866,1.1539602,6.027797,-1.3283406,1.801465,1.8718436,-1.970873,-3.022367,-1.5077752,1.3123817,-3.5407765,1.3994746,-0.77430046,4.6918306,0.27539533,-0.25740993,-0.94843566,-0.9549524,0.76824,0.57944924,1.0072573,0.06733034,-0.85825694,3.1214404,-0.7294587,-0.24978334,2.5336947,2.7079327,-0.51277673
514,-1.4137943,-4.062366,-0.09510054,2.8362515,2.5485606,0.6653587,1.5980693,1.4383934,0.7566576,-0.24037488,-2.0136921,1.2969841,-2.7280726,2.0109587,2.739256,-0.42968965,1.0089269,-0.59081924,-3.3556023,-0.74718565,2.0836964,-0.32179523,-2.2775073,1.4466271,3.7212198,2.2917802,0.21111844,-2.4215453,-2.9772437,-1.3373349,1.8862735,-2.4463432,0.4571797,1.8804687,4.0962744,-2.3927953,1.3356272,6.7412753,-0.5303556,3.0971212,3.158207,-1.6521896,-4.6727705,-2.0087597,1.3915923,-1.748879,1.8283271,-1.871747,5.3098917,-0.0717341,-2.1742437,-0.1771271,0.0505815,1.7310244,-1.4278654,-0.45989865,2.4369595,-1.7862811,3.4228415,-2.1593673,-2.1308458,-0.82869524,1.4976279,-1.1906761
591,-1.1757976,-4.2854214,-0.24828762,0.24678162,2.6158671,1.1717428,1.762032,0.88242316,-0.79958534,-0.44436312,-0.067388214,0.37460637,-1.4396567,1.6657431,2.8668537,-0.14694126,-0.5372251,-0.8443155,-2.805233,-0.87385803,0.004692316,-0.6423966,-0.7775965,0.67779636,-0.529865,2.1862705,-1.0344008,-2.5313869,-4.168553,-2.7179508,1.8578104,-1.5182383,-0.4692273,2.0952418,3.9620118,-2.2346714,0.3138229,2.3506782,-0.98899645,1.511545,2.2183638,-2.391499,-3.5956776,-2.621077,1.4736784,-3.5505438,3.6548128,-1.3884102,5.3259706,-0.68543786,-2.0968347,1.0381938,-1.1036685,-0.38005814,-2.066307,-0.04739608,2.1666589,-2.03439,2.0301228,-3.0803668,-0.7629413,0.37892616,1.3239231,-0.39476353
978,-0.36134613,-4.299518,-1.5035303,2.2313793,1.5587276,0.31121427,1.5595846,0.8197129,0.20379399,-1.992995,-2.6905255,1.1652664,-2.6303544,1.1068227,3.4065971,-0.43610603,1.5174502,0.09976981,-3.8459053,-0.9273315,0.75322264,-0.871237,-1.3678986,0.4417422,2.2901025,1.0088519,-0.28837457,-2.453686,-2.7767966,-1.6834441,1.1878822,-2.2899997,0.22041994,2.538715,3.8940825,-2.1752653,1.0318391,5.3451443,-1.32262,4.1156244,2.9312286,-1.2239897,-3.6161475,-0.82522,1.5875797,-3.0733864,3.7855103,-0.3346687,5.1642756,-0.22628891,-2.5130131,0.70398855,-0.5748315,0.3410305,-1.6824095,-0.10851772,1.7124108,-3.0271544,1.8431379,-1.6075019,-1.7798932,-0.79624134,1.6320888,-1.280936
982,-0.4780041,-4.889998,-0.9599374,0.6017866,2.730973,0.4328599,0.93503606,0.52680886,-0.7165164,-0.6954318,-3.0314114,-0.42668897,-3.4564734,1.3524058,3.6145275,0.38379908,1.0457135,-1.2288464,-4.7367063,0.49818334,0.8162459,-0.7405236,-2.0063553,0.024694175,2.0090907,1.0287342,-1.1562617,-1.855155,-2.9336507,-1.8806247,1.680359,-2.3145218,0.14405963,2.3691964,4.7287717,-4.283756,1.1122043,4.662724,-2.0536263,3.0622406,3.8994823,-0.47311828,-4.2046113,-1.290958,2.10054,-3.5621507,3.0028348,0.46594062,4.566206,-0.51380277,-2.4963546,0.19776481,-0.7503815,1.1047913,-1.5520588,-0.101173125,1.6787533,-2.3392894,1.8304567,-1.1642377,-2.5704665,-0.11298029,1.0386665,0.10180667
1040,-0.6516429,-3.2021587,-1.4004333,0.21751407,2.1331573,0.39200735,0.32851553,1.9454392,-2.2092419,0.26693755,-2.1358051,1.2465949,-2.363086,1.9465613,2.582056,1.2038012,-1.3515102,0.5595697,-3.1317198,-1.4316888,0.8370875,-0.8244351,-1.8650185,1.1581154,0.7338412,1.1738359,-0.30078548,-2.1222732,-1.2034361,-0.91384524,0.70396835,-0.7215089,-0.7602569,1.9318613,4.212323,-3.35457,-0.89672333,3.0825706,-2.8272588,2.9245083,2.4882026,-1.31993,-4.213375,-1.8721446,1.6018318,-4.070343,1.6791713,-0.38994312,4.701598,-1.2154555,-2.1893227,0.0028419644,-1.6648676,-0.045723114,-2.0429926,0.11188252,1.4221435,-1.354984,1.9405096,-2.1429665,-2.6281903,-0.957614,1.3083245,-0.4043187
1250,-0.61766475,-5.5092216,-0.034105986,0.45014298,1.9907265,0.19904561,0.45686862,-0.35195953,-0.56513286,0.45975956,-2.1792946,-1.0297874,-0.88458765,-0.3279494,4.4447927,-1.3975775,0.022607654,0.35597637,-3.1028602,1.0330211,0.04557264,1.0726566,-0.8088808,0.48626712,-0.89396626,1.1104349,-0.88619494,-2.0234325,-3.532866,-1.8716016,2.91446,-4.4252963,-0.20780674,1.6705483,2.7686048,-0.6723098,1.2983632,0.95912564,0.99028605,0.925188,0.755849,-0.48267838,-3.0144362,-2.0111983,1.862115,-4.532708,2.5016165,-0.77835816,2.9759648,-2.5559,0.39260745,0.6112986,1.8227533,-0.9053603,-0.88066244,-0.32047832,1.6482716,-2.3419867,2.261169,-0.80291766,2.012524,0.43881506,0.012467663,0.88450515
1265,-0.94129705,-4.399326,-1.0023301,0.322119,3.137033,0.7932151,0.8197007,0.03916934,-1.6522839,0.37610024,-1.250819,0.31712353,-2.7083445,1.9284041,2.4511683,0.17618352,0.29017133,-0.79969776,-4.466668,1.2845018,0.35215318,-1.231229,-2.3943725,0.70578957,0.27577326,1.1662036,-1.0356234,-1.5226896,-3.2143393,-2.6007512,1.5649837,-1.3559287,-0.85747856,2.097062,3.2070954,-4.3489566,0.7405061,4.9173493,-2.5225575,1.8630468,3.977973,-0.5013367,-3.9289358,-1.5045127,2.904228,-3.950249,0.54396176,-0.48157766,4.149744,-0.20165482,-2.7910643,-0.41623667,-0.09513921,1.5579569,-1.1814709,-0.1889878,1.7471814,-0.9985875,2.815585,-2.2384984,-2.9918444,0.627864,1.8523736,1.1821136
1274,-2.1460378,-3.9197607,1.0961325,3.0690227,1.0788031,-0.4867556,2.4557378,1.5311304,-1.5844551,0.5542271,-1.5600772,1.1030569,-1.6233745,-0.31674528,-0.0993292,-0.9681462,1.7224612,-1.9970429,-2.5427136,-0.9289205,0.083046034,0.42730358,0.07677581,0.6739806,0.61745286,1.6123565,0.6098818,-2.0153997,-1.4453636,0.2922488,2.902957,-3.066282,2.1318614,0.387756,2.5637593,0.1818957,0.848,6.7832913,1.8692775,4.3165994,2.9766462,-1.4558858,-4.4180746,-1.722219,1.980011,-1.5762515,4.759263,0.72003514,3.2354817,-0.1362407,-1.6620033,-0.4111352,-0.7704959,2.71408,-0.6160869,0.027928412,1.5142933,-2.8360279,3.8234842,-0.96571326,0.5874419,-0.34886283,0.9859778,-2.9048462
