,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
6,0.4486481,3.632928,-3.0744166,0.89425373,0.39360726,-0.2954793,2.175873,3.1097858,-3.892037,1.5895629,0.5170236,2.4421244,-1.7905543,-2.228875,-1.547498,-0.7038952,-2.1406496,-0.6338981,1.6783651,0.06729713,2.3777294,0.23550813,3.9864323,0.8955865,-1.4576008,0.30044693,2.1789339,0.952453,-5.214063,-0.315816,2.3846493,-0.5366039,2.3627963,-0.87373924,-1.7772291,0.016401865,1.7010564,2.7462862,-0.99996287,-2.080387,-0.47761095,0.68289506,1.0610683,-0.040053003,-2.120433,-1.3087002,0.95848805,-1.0653125,2.6070614,0.1702648,2.0384057,0.19911039,-2.3297975,0.8265878,2.5521874,0.20802592,-1.1369665,-1.3023723,1.6511093,0.11414084,2.0255027,0.66253746,-0.7720819,-1.2892019
9,2.0660856,2.2092137,-0.39634645,-0.095523596,1.2796736,-1.2300522,-0.43689334,1.8457049,-0.89632785,1.1945993,-1.2659141,-3.6643503,-2.1422205,-4.6689987,-1.6202263,-0.543858,0.769146,-1.7876425,-0.10607983,0.64102495,1.4401858,0.35701397,1.270672,0.023283765,-1.8993163,-1.4180274,1.3004566,-0.29522222,-4.734134,-1.0629416,4.65671,-1.0848054,2.8598192,1.1382557,-3.3320413,0.1689085,1.6336046,0.76893455,0.47841632,0.012169275,2.695737,3.3368266,2.4993203,0.7965372,0.87809265,-1.6807395,3.3849669,1.9477683,-0.48139158,0.7459978,1.8869936,1.0526882,-1.7664431,-0.4989636,2.6549442,-1.151161,-2.7472343,-0.53065914,-0.76978135,0.718359,1.2589029,-0.80202323,-3.4503648,-2.857776
22,0.821403,2.44423,-0.39217073,0.19073734,0.30734712,0.7687211,0.695178,3.778868,-1.8785119,0.8776955,-0.36923647,-0.7553463,-2.6442633,-3.91583,-0.96570593,-0.7643255,0.97958237,-1.5200545,1.9336922,0.36228853,2.695805,0.080207,3.298977,0.9324757,-1.696487,-0.9746323,2.5305061,0.3593036,-4.315989,0.40812534,3.1508677,-1.5792114,3.072731,0.4422502,-3.7977617,1.8065562,0.84854835,3.6552908,0.8196505,-0.9230409,1.5924602,1.361766,3.0184867,0.9166999,-1.6455871,0.08062479,2.2778633,0.114634916,1.0541853,0.7596086,1.8843732,0.12047124,-1.470376,0.57009745,4.2820253,-1.0870333,-3.6877217,-0.46614212,0.09655851,1.0458008,3.6704743,0.8082284,-1.3827608,-2.5576096
52,0.2524987,3.8239818,-0.9500086,0.95368856,0.39807677,0.6403383,1.6720771,3.828048,-1.9591827,0.1860602,-0.43863562,1.0908306,-2.1733377,-2.9145334,-1.6022137,-0.6030152,0.51571286,0.0058680996,2.3406894,-0.54068893,2.421003,-0.009558552,3.1683965,0.88917685,-1.7619069,-0.69296896,2.885725,0.8881539,-4.252553,-0.020767316,4.237725,-2.2709436,2.820791,-0.07636691,-4.1762414,1.9252627,1.8181236,3.790902,1.1914881,-0.7117296,0.88995683,0.99054253,3.5781834,1.0397323,-2.7302277,0.69057894,1.7430496,-1.2475848,1.7439314,1.50024,1.8908837,0.72881997,-1.5836821,1.4172752,4.4405,-1.0530832,-3.4116807,-1.297549,0.7340579,0.18658884,3.7630212,0.8650761,-0.2657039,-1.6383429
79,1.5787435,2.2961552,-2.493234,-0.5375352,1.4126174,-0.5411352,1.4739543,2.1608312,-2.7744853,1.2192503,-0.82955873,-0.85271394,-0.5424417,-3.4284642,-2.2216067,0.08177052,0.26534584,-1.5886222,0.27452895,0.85757506,0.59376323,-0.390968,2.9483063,0.010104537,-3.5007875,-1.8462461,-0.057884455,0.8421604,-4.1747465,-0.69644177,3.162268,-1.2716072,3.031261,0.26331323,-3.8354318,-0.89477646,3.006903,1.7106056,-0.22298384,0.15343355,2.1152182,2.6194007,2.5854218,2.4378426,-0.087416,-3.5025923,1.8216437,0.92425185,0.37936342,0.9005075,1.6047016,2.4648304,-1.3332103,0.075868405,2.2313526,-1.2702049,-2.4057949,-1.5445443,0.02540873,1.2058756,0.81264687,0.93387365,-1.2928214,-1.2800214
87,2.4768744,3.0768385,-2.4138932,0.14897731,0.61077154,-0.15117739,0.9818512,2.358688,-1.2092836,2.47421,-1.5079257,-2.3323388,-2.9128685,-3.9630077,-0.8385258,-0.44382197,0.08920277,-2.0600948,0.5156555,0.131503,1.6954426,-0.41761276,3.0816956,0.20770207,-0.9608765,-1.1868757,0.97506094,-1.1302419,-5.212395,-0.4364944,2.7343838,-0.20845753,1.8629881,1.4522822,-1.5779871,-0.84430534,0.052294992,0.2824869,-0.52826077,-1.1478703,0.6924583,2.2549946,2.3311136,1.0713546,0.34054166,-2.3392394,2.0158591,0.8144507,2.0603049,0.4687717,1.5756363,2.4212203,-1.6542298,-0.2775693,2.1677198,0.10706447,-1.6313843,-1.3250437,-0.027940895,0.67156225,0.2838996,0.06226886,-3.0251389,-2.9148412
99,-0.2981264,2.690656,-0.09402287,1.1562483,0.7749033,-0.78033626,1.0769114,3.594448,-1.9491305,0.58884925,-0.20786549,0.27705097,-2.5145712,-3.03509,-1.6063135,-1.3297508,1.100925,-0.48111877,2.07978,-0.51083165,3.5049098,0.3580941,3.1451192,0.8113482,-0.7479396,-0.38633627,2.8275137,0.9557203,-3.8112996,-0.25269032,4.748178,-2.3185873,4.181617,-0.3607403,-4.4466257,2.4921997,2.4154353,3.909763,1.5800442,-0.1766217,1.5327597,0.9169984,3.0673184,0.5099937,-1.9677773,0.8278594,1.8221712,-0.5067859,0.397481,1.2632906,2.4919753,-0.8201422,-1.9590389,1.0011481,4.7491255,-0.8820865,-3.2130344,-0.54695594,1.0928382,-0.41990882,5.101118,0.26386324,-1.3240868,-1.1726232
100,0.73284775,2.635976,-1.4419653,0.018535987,2.1404672,-1.1844288,0.7756026,2.0081432,-1.3677077,1.1280476,-0.6152725,-2.6077592,-1.460476,-3.9679148,-2.0544014,-0.5308059,1.8727514,-2.6834316,0.79220456,-0.30473047,1.0556695,0.34383264,2.514155,0.6073669,-1.0973271,-1.4919281,0.2899474,-0.8234807,-4.078199,-0.9092801,5.571111,-1.1401244,3.3851874,0.9498167,-3.3124654,-0.69837785,2.0288978,0.025080778,0.8910173,-0.22988628,2.1839952,3.0082228,3.4752798,0.8847537,0.9763763,-1.3311386,2.4948256,1.1640335,-0.5124569,1.3404901,1.9610933,1.8483952,-1.2798935,-0.40900254,2.6531603,-1.0086269,-2.5681353,-0.75546974,0.12450792,0.32096,1.1235137,0.2566355,-2.0176582,-1.9568945
108,2.2496307,3.0595057,-2.0644312,-0.25849885,0.40739465,0.5233353,2.1777816,2.1461933,-2.5583813,3.2067692,0.44814143,0.19436975,-2.2681262,-3.3352232,-1.7441019,-1.3377426,-1.323703,-3.3075497,0.8067619,1.0306549,0.6347856,-0.19223224,4.2505083,0.53617275,-1.9368343,-0.6533679,1.2340682,0.0016419291,-5.307673,-0.4588213,1.6242564,0.13243651,2.2190259,0.044478446,-0.87742287,0.8964268,0.4510747,1.7260698,-1.4637568,-2.765274,0.7055479,1.750984,1.5126964,0.3649498,-0.70979166,-1.8228348,2.3973339,0.55039704,1.908476,0.52265793,0.556638,1.9176992,-1.0067459,1.842,2.279538,-0.15875266,-0.3934359,-2.5083182,1.9037732,0.6437569,1.0820199,1.0320926,-2.0488265,-2.2939131
142,3.003025,2.8929193,-1.3252883,0.03296656,0.78708,0.027786374,0.76325184,2.1709716,-1.5316044,2.1474197,-0.9521605,-3.3442335,-2.3254468,-5.237419,-1.0627171,-0.6791095,0.40616077,-2.0666227,-0.1322959,0.5362846,2.6106439,-0.20393318,2.5648065,0.40591493,-0.9678844,-2.3859808,1.0053165,-1.4099216,-5.496373,-0.26828718,1.8131877,0.06261845,3.1046252,1.5449408,-2.5694878,0.1338357,-0.027820285,2.0191507,-0.464275,-1.3507078,1.7008824,2.4775732,1.9633987,1.6752259,0.36860907,-2.055896,2.4290009,1.5182365,0.67862964,1.1477662,1.8309113,2.3744268,-1.1740419,0.10116507,1.9779047,-1.4311875,-1.6660963,-1.3309959,0.73650134,1.1033124,0.6907253,0.31479108,-4.306704,-3.2356396
