,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
11,-0.3227554,0.77964133,-1.821516,-1.4966704,-3.110607,2.797149,2.6587455,0.49267104,4.0254416,-2.184144,0.15653892,0.979165,-2.1638825,0.4220056,-1.7353799,0.40930134,-1.658968,-3.5075703,-3.2936113,-1.0785253,-5.348753,-0.6427267,-0.8707781,0.38753483,-4.7618527,-1.0351737,-3.2454412,-0.90539974,-2.5073776,-1.1970224,-1.4189111,4.360573,1.1484288,-1.4662931,-0.18613134,1.3992918,-2.9694629,1.795739,-1.9982903,0.7566716,-0.35112673,-2.4412806,0.26479468,-0.9468861,-1.378009,-1.2942774,-0.5115259,1.3788551,0.84527266,0.521873,-4.9665995,0.55401576,0.27688777,0.14384113,-2.7978742,-1.819893,1.6935571,-1.1393961,-1.2575613,-1.7051795,-1.3581405,0.45681375,1.1098881,1.9401065
12,-0.49430925,-0.03553659,-3.571893,0.078349285,-2.130209,1.3600404,0.73476845,1.0863023,1.020562,-1.3199903,0.091674015,3.147187,-2.417685,1.8613234,-0.6540601,0.12289414,-1.7078627,-2.8826025,-1.013805,-1.4034641,-3.8505478,1.7031362,-1.3829025,2.4138384,-0.38632894,0.3622861,-1.1548995,-0.19185495,1.9577599,1.3786441,-0.27016574,3.455661,1.9996033,-3.611664,1.0739524,1.8010685,-1.4579995,1.5906509,-1.6065733,1.365327,-0.55401975,-1.9161808,1.99245,-0.27538782,-2.0346644,0.7294573,-1.4862343,-0.51339716,0.5288108,-0.54015374,-2.0013397,-1.5267516,1.7180228,0.7343464,-0.8144937,-0.69107187,1.6173706,-0.6044749,-1.095643,1.0664108,-0.35903257,1.2221423,3.0662456,1.492945
14,0.2104028,-0.56000364,-2.0858345,-2.4350681,-1.6332129,1.0078237,-0.42298687,1.7114753,-0.5164515,-1.0221792,2.36345,-0.8139838,-1.9780772,1.9813547,-0.8794641,0.061022114,-1.2978115,-3.7377746,-1.2082138,-1.8400681,-3.7548308,0.63073355,-3.4867535,2.0370615,-0.47834682,-1.8621931,-2.1510766,-2.0983002,2.9487772,2.0883086,-2.476805,5.8124576,3.077494,-3.2106984,1.3657756,-0.20897648,-3.4338555,-0.24675564,-1.140446,1.4843916,-0.49687743,-3.2273145,0.5681566,-1.8766913,-0.2772649,0.5583602,-0.24426518,1.3152431,0.52713907,0.9809396,-1.4044839,-1.6493189,0.5324297,-1.9844837,-1.2116364,-0.7003361,-0.83039314,-0.11886632,-0.7474653,0.2919594,-0.23577157,2.8329968,1.1629051,0.9269105
66,0.49470502,0.13858908,-2.899893,-1.1824155,-0.5684525,0.74250203,-0.3951247,-0.9528232,2.0355234,-2.1835792,-0.22953236,0.032264996,-1.8081368,1.1240929,-1.029832,0.37628305,-1.391905,-2.9066198,-3.2721453,1.0956416,-5.5353346,0.3893404,-2.755443,0.36169297,-3.008612,-1.1596788,-2.2631457,0.50098646,0.13834259,-1.2126609,0.33722702,3.3690348,1.960466,-2.229722,-1.265437,0.38006604,-0.12709615,0.5152512,-1.9149711,0.52290785,1.4921417,0.30744544,1.647718,-0.5233948,-0.6637287,-1.2456818,-0.31253183,1.2181743,-0.57249844,-0.06895332,-2.894926,-0.684561,1.0148594,-0.055579673,-1.6223104,-2.29285,0.90324974,-1.0293043,-1.7781966,0.52715176,-1.5191871,1.4491912,1.3176955,2.5828793
152,0.8709091,-0.1456898,-1.9324243,-2.5361524,0.062270183,-0.06861386,-0.680727,1.2518445,0.42387033,-1.3669219,1.7352753,-1.6505511,-0.94558144,1.2630649,-1.8925204,0.99029106,-1.993658,-3.0934122,-2.6614168,-1.276058,-4.3194313,0.34061888,-4.1219387,1.0718808,-1.1078608,-1.3654351,-2.4655018,-0.9962362,2.2095172,0.72066,0.2597267,4.913424,2.891955,-2.5845098,0.2579745,-0.25938308,-1.8458835,-1.0724934,-2.5794477,1.1701422,1.1367164,-1.3229297,0.86597556,-1.6868979,0.6526791,-0.4419739,0.9725187,2.1154377,-1.0145017,1.329193,-1.4888759,-1.1216666,-0.0023461077,-1.9528375,-2.0358381,-2.6675844,0.14305341,-0.27136764,-1.6099541,-0.4348309,-1.2105795,1.3320841,0.3927863,1.152832
233,-0.19859333,0.6357427,-2.7799182,-0.2527943,-2.2161264,1.5847951,1.7071056,1.0903332,1.8829324,-2.2977998,1.7589703,2.939562,-2.1836805,1.4729189,-1.1791992,-0.42397666,-2.401205,-2.354748,-1.5470322,-2.1310666,-3.7651196,0.91719663,-2.2353117,2.047338,0.026463568,-0.14500776,-1.4023744,-1.293348,1.1632953,0.6116241,-1.6526134,5.04845,2.454547,-2.8291266,1.3976231,2.79429,-2.060308,2.116857,-1.5792518,0.076042,-0.59393686,-2.6863332,1.1414034,-1.236727,-2.513184,0.8591941,-0.9947789,-0.040327363,0.82400775,-0.028468192,-2.7565258,-1.3102616,0.762395,0.05088334,-1.7841277,-1.8112402,1.6566584,-0.96360147,0.28638327,0.12620074,-0.75932646,1.7443041,2.0077531,0.46986955
235,1.122441,0.092176974,-3.070396,-0.48022485,-2.2069294,1.9559804,1.3067148,0.89452285,0.542642,-2.6763988,2.1940582,2.8189728,-1.6006564,0.7847947,-0.59005034,-0.25704896,-2.498055,-0.7579076,-1.5399045,-1.1956803,-3.6179705,-0.28684047,-2.733931,1.1597434,-0.95074475,-0.6575407,-0.5998211,-0.8800819,0.53928363,0.54038817,-2.986412,4.8244877,1.5476983,-3.4018986,0.70058495,2.8026562,-2.3381457,2.687228,-2.5491333,-0.65314585,-0.8280572,-3.2291508,0.601624,-1.1968154,-2.064253,0.21495976,-0.437951,0.1501768,1.4762268,0.31929442,-2.869823,-1.2158893,0.49531835,-0.47379005,-1.7358543,-1.8432727,1.080679,-1.2070827,-0.57457197,0.038659766,-0.7336271,2.2372031,2.4179747,1.1752193
239,0.94808066,-0.97343993,-3.5115407,-2.0424268,-2.188365,0.66130394,-0.31329006,2.1673057,-0.26337034,-2.2698386,-0.34905878,0.29881805,-2.6510592,0.7606857,0.13050161,2.8399975,-2.6318674,-1.45116,-4.2255316,-1.330252,-3.6893668,1.2639978,-4.0878334,1.6565968,-2.053754,-2.9692316,-2.43766,-0.033621825,2.5082276,1.26533,-1.5227811,3.474823,1.4666628,-2.2237546,-0.09882932,0.5229282,-1.6622744,1.6797876,-3.2982233,2.944109,1.0735103,-0.737618,0.06473953,0.011309519,1.2128532,-1.6379143,-0.387681,1.6732382,-0.78844345,-0.90278614,-2.1106887,-2.6152124,-0.245374,-0.39576453,-1.8498609,-2.479846,1.0394458,0.15331827,-2.4966128,1.8556676,-2.5414886,1.9755234,1.2097749,2.1366928
245,1.339061,-1.62442,-2.571335,-1.0344182,-0.6455836,0.33357614,0.2780787,-0.28429082,1.4515089,-1.5003105,1.7147297,-0.76879007,-2.2147634,0.34438357,-0.8719015,-1.3058606,-0.799463,-4.000052,-1.8168248,1.0973425,-4.2279553,0.28001267,-3.522902,0.77479506,-1.0121725,0.31861645,-1.676385,-0.9247982,-0.01947786,0.15996788,0.052045014,4.4469757,1.5921009,-2.6667953,0.36545256,-0.48342064,-1.813068,1.3805381,-1.9705698,0.094522536,0.8831358,-1.8866553,1.515911,-0.96627694,-0.546453,-0.502583,0.07956797,1.8272983,0.07283537,1.13943,-1.9860536,-1.0450916,2.0929606,-1.1576993,-1.4250925,-0.7818977,0.09287993,-0.59132046,-1.5454587,0.041736916,0.070549615,2.190588,1.6102297,1.917995
251,0.771916,-1.1414915,-2.312025,-1.456875,-1.3124456,1.3412937,0.29619643,-0.690783,3.0582936,-2.0312696,0.27711523,0.0058914423,-3.2131817,0.9711416,-0.47303435,-1.0641135,-0.22880852,-4.8863473,-1.767141,0.4819896,-5.2583027,0.71820086,-2.5675757,0.5375762,-1.463361,0.3425017,-3.0419245,-1.0398124,-0.44472718,-0.44977665,-0.53815913,3.9889007,2.3282979,-2.8674436,-0.04461363,0.4640973,-1.1860262,0.781415,-1.4197836,0.45373988,0.879602,-1.6460983,2.557081,-0.067559086,-1.3045461,-0.44643328,0.2866747,1.8235295,0.07452787,0.5339535,-2.8325517,-0.46859184,1.8734039,-0.48065257,-1.0851209,-0.9048371,0.2878739,-1.3613911,-2.177272,1.1090325,0.44255072,1.9289423,2.1396377,2.3734808
