,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
17,1.4414604,-0.4064512,1.3169408,-2.430727,-0.7993063,0.46408796,-0.74132174,0.5161145,3.291876,-1.5639824,1.1597978,1.3487653,0.52616835,1.4342853,-3.5122514,3.1180546,-0.4296479,-4.397797,-1.8171428,5.013323,-0.7412948,-0.3491346,1.4353113,1.7487715,1.8149366,-1.6386601,-1.4004446,0.23457454,-0.62707275,-2.4847093,-6.05446,-0.9937171,0.60067487,0.95744455,2.3189185,0.46514335,0.4826758,2.1669006,0.7299031,-2.774623,2.5321236,-1.6816175,-2.1993504,4.2436423,-1.0972354,0.42803794,0.6899093,-1.5123546,-2.1670277,-3.2598763,0.5408877,-0.41198817,0.28718516,-0.54280317,-2.7560935,-2.4649708,-2.758667,1.7219216,0.4072342,6.300843,-3.518172,-2.0384138,2.2532635,0.62963104
53,1.631618,-0.9781631,0.5023397,-0.67327267,-1.9834026,-1.2936325,0.81979656,0.3394987,3.5891135,-2.2168794,1.6563934,0.5794217,-1.1064075,-0.32411057,-3.191087,2.0607362,0.6243364,-5.3592086,-1.2365797,3.8199158,1.1785828,0.08687883,1.9688481,2.0972822,3.0441978,-2.219886,-0.92499506,-1.8880782,-1.2552689,-2.146668,-7.475003,-0.42305917,0.8075198,2.0017784,3.113656,-0.2990241,-1.4594368,2.9841466,2.1190472,-2.1332662,2.573273,-2.525758,-2.1734617,4.2197504,0.083656244,0.78900594,0.2632662,-0.7491066,-0.9629328,-3.2664087,0.5389789,-0.8207093,0.5569831,-1.2205428,-2.6430151,-0.94393396,-2.8430278,2.091399,1.6215142,6.3650155,-3.4626465,-0.16395225,1.1119136,0.13240741
132,2.0390193,-0.4975011,0.46695408,-0.9636151,-1.3910365,-0.66681147,0.3832068,-0.633849,1.4001026,-0.7446273,1.6351808,2.0198634,-0.7426133,1.5668125,-3.0627472,1.4104912,-1.1595236,-4.294445,-1.0071983,4.6435595,0.8039457,-1.0272738,2.926745,1.4530848,1.6367276,-1.0934708,-0.8148757,-0.9376877,-1.5699159,-2.4253905,-8.410726,0.6749468,1.0908276,0.11940898,3.5664034,-0.81187826,-1.8554091,2.5590148,0.3305636,-2.997296,1.0803771,-2.1506612,-3.7039676,2.9226463,-0.678787,-0.24423322,-1.2449725,-0.1273705,-0.4720076,-3.0039303,0.14903522,-1.2033314,0.17254068,-0.9527176,-2.9300013,-0.39284593,-2.868607,1.9105006,2.323854,4.7235665,-3.0911555,-0.47607827,0.43614027,1.1225126
169,-0.048996195,-1.4936448,1.9358513,0.20668876,-3.2021482,-1.0469363,-0.14606866,1.3605232,1.3201941,0.23966238,0.2286854,-0.06536137,0.11480032,-0.91882944,-3.859694,2.382048,2.1753833,-5.7111254,-0.606326,2.9977307,-0.083465405,1.5737929,3.0485978,4.210419,1.7796857,-2.473386,0.08700078,-1.2157891,1.7121956,1.5855923,-7.4984927,-1.0770681,1.8141754,0.50001156,2.3341076,0.6159283,-3.4693604,2.9292114,3.9410174,0.64767295,1.4016342,-3.9518838,-3.516362,3.244737,1.0576192,2.3408728,2.079683,-1.7487735,-2.4170625,-3.1827648,0.73020965,-2.0262833,1.3701861,0.38127667,-1.5437797,0.22445835,-2.7566686,2.1327791,0.36014026,6.2152724,-1.909301,-0.81227285,0.9046808,-0.008943468
407,1.7728245,0.49081975,2.7360694,-1.3949763,-1.831374,-1.7149891,-0.773949,-0.8961318,2.7995672,-1.270827,1.0753834,0.08465633,-0.16126731,0.0115195215,-5.032911,1.9066446,-0.7852569,-4.543435,-2.7363603,4.4281325,0.07183635,0.032494046,-0.46539548,0.627754,0.7324647,-1.8833162,-0.52019,0.21885978,-0.42051628,-2.0735366,-5.171696,-0.36492202,1.673068,-0.7305523,1.8345213,0.16524309,-0.8507868,2.6896977,1.4634113,-2.2116966,3.1775904,-1.2698449,-3.1738124,3.1122377,-0.21530865,1.582845,0.2916189,0.072094895,-2.9863899,-2.562213,-0.008521166,-2.10263,-0.32174546,0.5762854,-3.6200345,-2.106341,-2.6630602,1.6704702,1.9221056,5.2896576,-2.454787,-1.0810133,-0.55716443,1.6651386
409,2.877783,-2.0617287,0.70951253,-1.3080192,-0.9248936,-0.56692094,0.023650274,0.72933316,2.8383422,-1.5414575,0.20798515,2.029683,0.62277997,1.0221181,-3.55713,3.3661518,1.0409576,-4.3461947,-2.7805948,6.1242747,0.20003788,-0.54344684,1.1645511,1.5999644,1.8142672,-1.8062822,-1.9167621,0.097750366,-1.2294719,-1.95335,-5.6573625,-3.701005,1.3031579,0.43672568,1.8618783,-1.4865956,1.9230549,4.2422194,0.42269808,-1.8131623,2.4948041,-0.33671802,-1.9144605,5.446657,0.840842,-1.1601515,-1.1769564,-0.8329892,-2.5555944,-2.1551833,1.8287596,-0.32844946,2.238714,-0.46041334,-2.5101945,-2.3558662,-2.3834798,2.3966334,1.3684337,6.524881,-3.1663637,-2.1000605,2.0531209,1.4651549
425,1.8256005,0.49823257,0.5399826,-1.7225678,-1.7631472,-1.2534009,-0.36362407,0.90808696,2.041366,-1.6329379,0.77749306,2.0814362,0.36311072,1.2063427,-3.2216005,3.5266232,-2.170553,-2.2174766,-2.341716,4.5012403,-0.38422668,-0.08728436,1.3376371,1.3637424,1.3185177,-2.448884,-0.40273103,0.10184741,-0.74038124,-2.590582,-6.4136004,-0.48638397,0.50055665,0.6818168,2.162581,0.081751026,-0.47462228,1.7612423,0.6678626,-1.5601987,1.1201367,-1.6967891,-3.717603,2.958348,-0.105518095,-0.44519785,1.1075846,-1.5016235,-1.0584897,-3.3375187,0.413263,-0.56323326,-0.5407712,-1.257288,-3.1130924,-2.2342482,-2.220063,1.2283874,0.3528852,5.342507,-3.778646,-2.2189863,1.3810424,1.3035315
463,1.9538505,-1.0430739,1.4406118,-1.5253927,-2.2599187,0.17389335,0.047374398,0.86581683,3.9123816,-1.5110179,1.3239474,0.8829813,0.15022175,0.38527548,-3.3524506,2.9417062,0.681593,-5.753288,-1.9157743,5.051343,0.30260432,-0.9991244,1.8445871,2.0829833,1.510751,-1.4879713,-1.4889976,0.104226455,-1.6268363,-1.5058702,-7.197031,-1.3311659,0.75598127,1.2474608,2.8180041,-0.61380607,-0.77756864,3.7652385,-0.02155291,-2.2224057,3.0578296,-2.2642376,-3.4382374,3.7710114,-1.2915115,0.30474842,-0.08309926,-0.5455718,-2.1250906,-3.2705333,0.0035863258,-1.2013444,0.89890236,-0.40647757,-3.2102067,-1.9747374,-2.3467658,1.9599112,0.58951235,5.8258514,-2.9430254,-1.5914237,0.9884902,0.3709005
540,0.94572335,-0.63736314,0.89540565,1.3160934,-3.1876962,-1.4768897,2.1136622,0.40070984,3.2579236,-1.2598652,0.13782103,2.9554563,-0.019104376,-0.26163542,-4.2113066,2.9123995,-0.010144077,-4.5892296,-0.9692312,4.3678255,0.12472433,-0.18646063,3.1968741,1.854024,1.5704203,-0.7852123,-0.25388572,-0.29685047,-1.1485096,-0.9594397,-7.6162806,-1.7958304,0.62876993,-0.044294886,2.8486605,0.6268467,-1.5411747,4.314055,2.4367406,-1.9117428,1.0633702,-2.9289086,-4.411587,3.5356963,-0.7813972,0.24770738,0.35537118,-0.8632131,-0.621176,-3.660568,0.5111495,-0.31721303,1.0504878,0.36816555,-3.2485275,-0.7759254,-1.5484489,1.5133485,1.6087573,6.2464185,-2.9445791,-1.4769211,1.2845345,-0.46899664
595,2.6913958,-0.29623905,1.5747659,-1.5602612,-2.3428333,-1.0679952,-0.18180904,0.3208489,4.1691747,-2.0830786,0.41930673,0.79494333,-0.18519554,0.32798454,-4.1648364,3.1649194,-0.030732268,-4.898861,-3.1636293,4.396814,0.3339159,-0.56695104,0.82388437,1.3292985,1.3711042,-2.4729342,-1.344943,-0.020355307,-1.9263377,-2.2282732,-6.541291,-1.0485386,2.1080275,0.93664956,2.5855398,-0.43491054,-0.6374075,2.8669207,0.8109447,-2.1206822,2.9876764,-1.2611927,-3.0502126,4.207599,0.2991959,0.32168838,0.38642037,-0.577408,-2.1054938,-2.8722749,-0.0013425238,-1.0637894,1.0258726,-0.74608505,-3.4937625,-2.850326,-2.729178,1.5923591,1.2886286,5.9737825,-2.9741426,-1.9347655,-0.32701632,0.52475077
