,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
4,-3.6328049,0.59150875,-0.9843312,0.3520419,0.3585978,-1.7587574,-0.72023875,-1.0584216,-2.0849094,-2.2037125,-4.0977554,-3.0195234,-0.16211829,-1.2937319,2.5112238,0.8216792,3.5848267,-1.6015602,-2.1530654,-1.5990078,1.2789375,2.2144077,0.51384544,-0.91458774,5.110215,-1.6433092,0.7797401,1.0801123,-0.66557336,0.70462316,-1.0948074,-0.16836852,3.7068272,-0.8663067,2.5286906,-1.761424,1.2760365,-1.7640661,-0.5120391,2.302179,-0.11521509,-0.24367318,-0.9924311,-1.8824888,1.1116979,3.5934489,3.8011618,-2.2592347,-0.5462589,-1.0099454,-0.49737093,-1.7798364,-3.5564568,-0.31102586,1.0328616,-0.12287401,3.6776133,-1.2726912,-4.3262863,1.5546268,-1.7167808,-0.7805326,-0.25950482,2.1774523
68,-3.8381286,0.7088781,-1.1906426,0.45420867,1.3554212,-1.1217129,-0.16573116,-1.1486694,-1.6365775,-2.6355805,-3.0601168,-2.4784932,0.22235692,-0.538762,2.3790138,0.6224308,3.2996345,-1.9668516,-1.7039167,-1.1902599,0.5844395,1.8734404,0.7677374,-1.3003953,4.161333,-1.0184532,0.5474738,1.7036941,-1.7756648,0.032735877,-0.55284804,-0.9882754,2.883927,-1.0383403,1.8203138,-1.5981005,1.801154,-0.495319,-0.22220916,1.3217067,0.58890814,0.27258858,-1.4243602,-1.784557,0.7466314,4.34317,2.9162924,-1.7762343,-0.03072837,-0.8955988,-0.9643908,-2.0580873,-3.0706494,0.7587293,1.2612001,-0.7163423,4.130931,-1.7696037,-3.0183127,0.98568755,-1.7410332,-0.5850042,1.2477349,3.4632626
91,-3.9542596,-0.57877016,-0.3802451,-0.58559465,0.37600634,0.2704286,-0.9386598,-1.205995,-3.2825046,-1.4076557,-2.6211019,-1.8474418,0.24610212,0.39067063,2.5478356,-0.15362383,2.9083018,-2.2749915,-1.5147233,-0.9536842,-0.22657585,1.8072459,1.8555804,-0.11345313,3.0098217,-1.3817126,0.25735864,1.3199742,-0.4580702,1.4134924,-3.517606,0.32446775,2.8775053,-2.183935,2.3969367,-0.90030223,-0.78560287,-0.89679766,-1.3093486,2.1123576,-0.33581576,-0.99729204,-2.0017555,-2.0026531,1.1694283,4.1325707,4.0762315,-1.8066833,0.23811439,-0.6117808,-1.8249997,-2.0027509,-2.983206,0.49209988,1.560967,0.154415,3.101385,-1.893149,-3.8901293,1.2242334,-0.63459307,-0.048585802,1.6295655,3.2331352
96,-2.528964,-0.22645847,-0.3824492,0.5785348,0.8965949,-1.7964845,-1.1782655,-2.347778,-0.14048502,-2.354751,-4.205825,-3.3480618,-0.6249639,-1.9346163,3.3565557,-1.0630476,4.9299917,-1.9419358,-1.6835265,0.3766881,1.4300328,1.8475584,1.3416245,-0.99465656,4.9516788,-1.0879182,1.2939065,2.0382743,-2.145188,-0.21154787,-1.2664396,-0.8890178,4.150434,-0.72680193,1.3430742,-1.2053891,1.9736185,-0.7789696,-0.17735651,1.6715233,0.87364674,0.6804386,-0.22793841,-1.4978853,0.7355615,4.1130733,3.6555216,-1.9178933,-1.3033373,-0.24456842,-0.9050692,-2.0953412,-1.7688961,0.2899889,1.9396049,-0.07987601,3.3017168,-1.9348586,-4.462589,0.5732026,-0.0019277036,-1.0184525,-0.64592636,4.063503
141,-3.560773,-0.042199332,-0.7847505,2.1966774,0.13262765,-2.9122305,0.3409132,-2.1529162,-0.21803024,-2.763469,-3.2863579,-2.3157134,0.41869333,-2.608639,2.274358,-0.89562327,5.631543,-1.372926,-0.94871217,-0.73052204,1.8508537,1.74747,1.5192928,-0.6354822,4.967121,-0.3924862,1.3084027,1.9009331,-2.0285966,-0.50068873,-0.36035153,-1.6991222,3.8489978,-1.0118632,0.2938154,-1.0445288,2.7753704,-0.45018023,0.4594955,2.9334643,0.13838278,-0.42690197,0.09180821,-1.4174114,1.0207685,4.2412596,3.4826775,-2.7545855,-1.9144213,-0.07526452,-0.43026495,-2.0749383,-1.8593314,0.06634123,1.875384,0.4383577,3.3508856,-1.1174384,-4.182023,-0.17859662,0.3649225,-1.4477738,0.118295655,4.068041
237,-2.7691517,0.24204937,-1.1068766,0.36373645,1.0717514,-1.4145056,-0.191237,-1.9057368,0.005663641,-2.5535104,-4.351307,-2.5038662,0.103115,-1.397864,2.561255,-0.21845861,4.694135,-2.2755828,-1.9215622,0.4438197,0.5501763,1.1882546,1.8734808,-1.3723725,3.738848,-0.7677499,0.60573614,2.4861474,-2.9252372,-0.6944547,-0.39670563,-1.2223243,3.599468,-0.43245924,1.2454201,-2.156916,2.4573276,-1.0415714,-0.2944099,1.6514815,0.588054,0.78862506,-0.22194552,-0.80872434,0.70695186,3.2312462,2.8273175,-2.2571926,-0.9440757,-0.2518031,-0.9565542,-1.2509551,-1.7498335,-0.06774306,1.3665282,-0.28388727,3.465716,-1.98724,-4.5412726,0.26660717,-0.6829465,-1.4517494,0.016046334,4.159276
322,-3.8646553,0.054063026,-0.18714112,0.78916806,0.3706445,-1.7917569,-0.38942438,-1.944588,-0.9998814,-1.8939514,-2.9496036,-3.7331276,-0.3074557,-1.8847489,2.4865406,-0.5939323,5.168506,-2.765382,-1.3545429,-0.9696925,1.3001574,1.8580866,1.0280955,-0.38999647,5.070821,-0.9993467,0.9950489,1.2140183,-1.3338122,0.5307622,-0.90896595,-0.36880726,3.9249594,-0.8168846,1.5307852,-1.6750287,1.0865245,-1.5392776,-0.16693611,2.7861674,0.167494,-0.46140912,-0.36068738,-2.332478,1.0106896,4.594271,4.125547,-2.2767246,-1.534807,-0.41226083,-0.61338794,-2.172184,-2.500404,0.25403124,1.5431968,0.35201406,3.263944,-1.1695749,-4.276523,0.48402834,-0.34306857,-1.0097659,-0.17981192,3.1708517
344,-2.5637014,-0.33309758,-0.76736414,0.75983864,0.61136514,-2.0344036,-0.11886931,-2.5779555,-0.3028295,-2.7889268,-3.801882,-2.9263659,-0.4831728,-2.2688575,3.1069489,-1.2313061,5.2611265,-1.8884915,-1.6760495,0.51404256,1.1947315,1.1865498,1.6921551,-1.6820078,4.400936,-0.45706034,1.1440749,2.195939,-2.7744203,-1.1038958,-0.819834,-1.1909369,3.2114682,-0.45190227,1.2373451,-1.6279124,2.237945,-0.78942853,-0.2656379,1.8408018,0.7100173,0.40924397,0.20141247,-0.7930449,1.2459403,3.6911564,3.636249,-1.8356967,-1.2463533,-0.27968237,-1.0535954,-1.5938276,-1.8954469,0.1517372,1.8591263,0.34687716,3.094812,-1.9234661,-4.477298,0.09405331,-0.012311369,-1.037185,-0.11364122,4.2507935
355,-3.6497674,0.30673105,0.027918205,0.8516975,0.0018423195,-1.3894935,-0.50975287,-1.2029394,-0.9375639,-1.472731,-4.3407955,-3.4330096,-0.3804029,-1.8114525,2.1795292,0.08159394,4.1615524,-2.9158835,-2.2159662,-0.39156845,0.42898488,2.0662956,1.1002747,-0.99805665,4.3721914,-1.0380231,1.1852647,1.5773787,-0.92772734,1.4688996,-0.83742654,-0.68329954,3.8747785,-1.2375187,2.1865892,-1.1676539,1.0087466,-0.7300239,0.08358168,2.7584329,0.21911278,-0.35249734,-1.4740207,-2.2040482,0.85967207,4.142028,4.086251,-1.8401142,-0.9963591,-0.8824159,-0.8744312,-2.1468806,-2.3303955,1.2303114,1.5450182,-0.106435716,3.6505835,-1.8031349,-4.4028206,1.1122817,-0.5660138,-1.3301657,-0.81938595,2.55072
365,-3.452649,-0.25374314,-0.49349248,0.56596005,1.1165016,-1.1852622,0.16493598,-2.501538,-0.4741015,-2.8389502,-3.3486335,-3.0584419,-0.45655337,-1.5728378,2.637063,-0.4331376,4.69745,-3.2160692,-1.3631643,0.114946134,0.18964116,1.6613064,1.5999719,-1.8557967,3.7700107,-0.42976242,0.7415638,1.9789318,-3.1614356,-0.5338279,-0.79892987,-0.8688665,2.6397314,-0.9005968,1.3751675,-1.7592645,1.7779894,-0.8776756,0.25745034,1.1882986,0.7504341,0.394597,-0.9547498,-1.3979234,1.5292919,4.532333,3.895518,-1.125229,-0.6623666,-0.7077023,-1.5151368,-2.1234295,-2.1700354,0.96504396,1.7621366,0.13173743,3.5333147,-2.2032852,-4.469499,0.8729584,-0.94822013,-0.48603153,0.6807282,3.9670365
