,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
29,-1.4401436,0.158763,-1.9373767,1.2336398,0.41745615,2.0845797,-3.7567267,2.1861117,0.020092532,-0.98484296,1.7750247,4.083914,3.626585,3.8382697,-1.5357612,0.97924846,-2.8235462,-3.4202056,1.5839121,-2.0053947,-4.219461,-0.6054244,-0.008516528,1.5370839,-0.9786311,-0.7911541,-1.8757789,0.35600156,3.7048178,3.9877522,-3.6137857,-2.8342478,-0.5992905,-1.6901554,1.1177512,0.10783697,1.665381,-0.29633814,-3.610137,-1.3195184,2.4177513,-1.5827787,-4.4370136,-1.7460682,-1.295997,0.48885846,4.4210825,1.2093896,-0.30215633,-0.40666783,0.26059982,-2.151851,-0.14415486,1.4318669,-0.9280028,-1.211595,0.0607998,1.3154001,-2.1468284,0.23283245,0.10415348,-0.26490092,1.0921118,-3.5492845
33,-0.5088194,0.0039360784,-2.8596225,3.6794696,-0.15411986,1.7693624,-4.930897,2.875855,0.7771449,1.6793573,-1.7493091,2.4802017,3.518618,3.2990103,-0.47367403,-1.3954476,-2.868765,-2.9809668,1.6875653,-1.4839636,-3.0618927,0.84427637,-0.5173507,2.276738,0.41673976,-0.62792057,-0.6288532,0.83027786,2.2189422,3.7687275,-4.0902185,-4.3608627,1.0875511,-1.8145249,2.4658427,-0.24825528,3.8066914,-0.47877157,-3.171561,-3.274916,2.5500658,-1.4187151,-4.9415355,-2.478561,-1.0442113,0.8129059,3.4711094,0.916604,-0.05486189,-0.16470517,1.6525683,-4.100212,1.9243796,3.4399557,0.73598933,0.43967158,0.66947037,0.8936288,-0.94682455,-0.6129517,-0.53959143,-2.029126,-1.9603556,-3.9650702
57,-0.19089188,-1.2401377,-2.560984,1.3322958,-0.2242434,2.0748823,-4.073159,3.445382,0.33437797,0.56145984,-0.32209015,3.2976875,2.9724488,4.316346,-0.40486512,-0.36589766,-2.7362325,-3.3663173,0.5824726,-1.6147424,-3.074472,-0.19296582,-0.28719574,2.8389432,-0.33913082,-1.4183812,-1.9697173,1.356485,2.5102174,3.5484176,-4.400913,-4.0922313,0.5557846,-1.2862673,1.8851542,-0.47666097,3.0131662,0.2633635,-4.6640596,-0.8342268,2.9409683,-1.4852632,-4.784038,-1.1121215,-0.24347869,0.47255445,3.8337057,0.4107948,-0.3709834,0.0196713,0.54045874,-3.3484735,1.8237416,2.8277965,0.696468,-0.6318571,-0.5879228,0.6616098,-1.4916759,-0.81069,-0.09671515,-1.6612322,-0.7022589,-2.6133177
349,1.135182,0.08334012,-3.3451898,4.2694526,-1.8549575,0.849571,-3.3348415,3.100216,2.4312947,0.50501907,-2.3894107,2.3879678,2.353112,2.3753965,0.39555806,-2.878961,-2.3719413,-2.412463,1.3019478,-1.6168203,-1.8532453,-0.26446155,-0.03394053,0.9322947,1.3880849,-0.56882995,-0.6874033,0.33980006,-0.6893749,2.029632,-5.258048,-4.633704,1.0047266,-0.72392327,3.432768,-0.93989915,4.313858,-0.36302757,-3.94689,-3.826596,1.7206793,-1.6052755,-5.379171,-2.720014,-0.734712,-0.01910517,3.7753782,1.7738674,1.0643499,-0.100253895,1.3074647,-3.9569554,1.9590949,3.0102232,1.7928307,1.4296138,-0.34691748,-0.10577457,-0.109556094,-2.2130485,-0.11275774,-2.692573,-4.009828,-3.5790222
368,1.5253913,-1.4385359,-1.8332798,1.2788241,-1.3753735,0.8618931,-2.6344502,3.9919639,1.0594171,2.3385854,-1.3240943,0.5100902,1.9086756,1.6158586,-0.7415423,-0.30358636,-2.5068958,-3.2551584,0.16135293,-0.71069217,-2.0854979,0.36283538,-0.919989,2.8651345,-0.426272,-1.7773477,-0.8061938,0.63892066,0.75487304,3.3849008,-5.041963,-4.3539047,-0.15532297,-0.25100148,2.5229692,-2.3004236,2.480265,0.26877785,-2.9783323,0.087494135,3.2297032,-1.7495567,-5.4550824,-1.9764307,1.4379267,-0.5930646,3.329474,1.7671267,-0.28407568,0.054453805,0.4377595,-4.064782,2.7180977,3.609157,1.8392093,0.9815987,-1.0102657,0.21300925,-1.1568393,-1.1149225,-1.5305251,-2.5451174,-2.2761376,-2.3471332
444,0.7293777,0.5631003,-1.6093488,4.603026,-2.1352627,1.0834816,-2.6828992,3.2599242,3.371733,1.076662,-1.4139545,1.2071062,3.0328324,1.4962531,-1.0355386,-2.3925142,-2.050684,-3.1246634,1.3722113,-2.606284,-2.5293672,0.14581147,-0.38393494,2.044079,0.9468102,-1.1718578,-0.5855452,-0.17247221,-0.50915754,2.5410256,-6.1735735,-4.227619,0.9657951,0.059741676,2.7099864,-0.10346992,3.0515077,-0.21867038,-2.3122244,-3.8490453,2.494144,-2.3165581,-5.779722,-3.0681312,0.23342407,1.0315189,4.8175,1.8383844,0.34676734,-0.012916449,0.3843966,-3.979786,1.8162879,3.7498193,1.215501,0.81562227,0.25139815,-0.00065492094,0.10362515,-2.036197,-0.9679034,-2.5394623,-4.346327,-4.7113953
450,-0.54853505,0.8246115,-2.5464082,4.565293,-2.1059313,1.2544303,-2.2836232,2.081107,2.264897,0.22052167,-1.6560291,2.3642735,2.9932146,1.9157108,-1.2641003,-2.0372431,-2.3907773,-2.6514032,0.87130404,-2.4302475,-3.4087749,-0.19639896,0.15918414,0.2765074,-0.2228104,-0.8868188,-0.9541271,-0.36738527,-0.34737462,2.096075,-4.750063,-4.0842094,0.1283114,-0.27925485,2.739163,-0.07116233,2.7952127,-0.186341,-2.708828,-3.889468,1.7712939,-1.9055947,-5.7225075,-2.8546054,0.009645201,0.16324863,4.8747354,2.0283024,1.1361771,-0.34182543,0.016154572,-3.209128,0.8306016,3.6282783,0.2743345,0.7327478,0.2332989,0.12534511,0.35930765,-1.8339815,-1.3286543,-2.3429554,-3.040558,-4.867023
467,1.2690651,-0.9326489,-2.0088594,3.1274168,-2.1758554,0.651369,-3.2315545,2.875095,1.1897202,0.53290033,-1.1791269,1.1949036,2.7330823,1.8068874,-0.6196185,-1.4513422,-2.0840144,-3.3612177,0.39074236,-1.7358873,-2.830985,-0.5840659,-0.7040069,1.5491111,-0.22683159,-1.3881512,-1.0743073,0.55037963,-0.2886511,2.9846048,-6.2505603,-4.628368,0.40564156,-0.42927325,2.6753943,-1.211768,2.523686,-0.29174787,-4.2117357,-2.5324373,2.6093197,-1.9973236,-6.8938084,-2.5213144,0.9990301,-0.62732273,5.57761,3.2785661,-0.96544075,-0.5158137,0.453971,-4.2400203,1.3771042,3.0136607,0.8094731,0.7780618,-0.8858265,0.26501268,-1.3178651,-1.3728354,-0.5766776,-2.5900798,-3.9532974,-4.087961
621,0.41795766,-0.100708425,-2.0726957,4.469169,-1.3672764,1.1237618,-3.4870193,3.1154006,2.347675,1.1985972,-1.9861428,1.5125117,3.2043006,2.507237,-1.3243984,-1.7993195,-2.4389036,-2.942759,1.4156356,-1.903229,-3.2188523,0.73043126,-0.72481275,1.8519106,0.8357503,-0.6822026,-0.23653376,0.40629196,1.041168,3.382276,-4.6707892,-4.6560674,1.0926375,-1.2794821,2.944119,0.3857941,3.8584094,-0.6511685,-2.1987555,-3.2414558,2.4217012,-1.6626818,-5.2179832,-2.5745947,0.01638003,1.1672851,4.764898,1.8286557,-0.12787756,-0.05194232,1.5309362,-4.131774,1.9836901,4.156205,1.391489,0.68380016,0.059445463,-0.104257375,-0.6060796,-1.0537302,-1.1598451,-2.8073711,-3.3006124,-4.7821374
727,-0.10886577,0.0035688654,-3.4642117,1.2523465,-1.4873861,1.1751815,-2.6080146,3.2300184,1.0113455,-0.2745441,-2.3733075,1.0970765,3.2599669,2.6152337,-0.7371851,0.35303098,-2.3942716,-1.9007239,-1.1481487,-2.7507665,-4.0737524,0.68967044,-0.48147956,1.4531898,-2.5867245,-3.3821297,-2.8464472,1.7275281,1.5649065,2.2176507,-3.0694451,-5.5433173,-0.4341286,0.860927,1.0897229,-0.8783663,4.488633,-1.7746253,-4.0680504,0.47758186,3.9174023,0.9322088,-4.002464,-0.8511264,1.664853,-1.3724772,5.153903,1.2426733,-0.7769191,-1.1645123,-0.22266623,-2.29179,0.7168422,4.3706083,1.3638837,-0.4164273,-0.79412544,-0.11650116,-1.5908211,-0.66149175,-3.012494,-2.647315,-2.516585,-3.2868245
