,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
205,0.18908349,2.4197671,3.3482308,1.0613703,2.811758,0.9997409,-1.4640017,2.7263975,-3.1787477,1.5185776,0.7274879,2.1361592,1.1653572,4.801163,-1.7831321,2.4062376,-2.2854033,-0.9771016,0.030692637,-0.1819273,0.86633855,-1.3259081,-1.2355545,-2.985943,-1.5663872,0.9467611,0.26272738,0.3315125,3.2462306,-1.5502741,-2.235931,-1.4837097,0.7588103,-4.532352,1.2013019,-3.246088,-0.070529945,-0.16759478,-2.0475316,1.4794285,2.056476,0.5785642,-1.7773386,-0.38294497,0.30339292,-1.1109759,0.09402418,0.32264054,0.8338525,-0.46625894,-0.1170691,1.4902818,-1.6557227,-0.69734573,-2.4970627,-1.2500248,-0.20752528,1.3700649,2.036392,-1.3527634,-4.322956,1.4392326,0.81919485,-0.277911
210,1.632794,1.648362,4.8083677,2.976383,2.6510313,1.1593479,-1.7518208,3.321841,0.009364188,-1.024047,-2.715735,0.37338984,-0.15005264,3.587307,-0.3955125,0.53625464,0.41052607,-1.6743639,-0.84522325,0.9232594,1.8006276,-1.5892656,0.75854576,-4.665855,-0.14286351,0.98603696,0.43968153,-1.0150883,2.2774625,-1.8880802,-2.2268212,-3.0582807,2.560298,-3.6700976,2.1247532,-3.6509697,0.33152485,1.2131851,-2.055924,4.5973325,1.9532886,0.9948535,-1.0336955,0.06321549,-3.0373724,-1.7958151,1.8231317,1.412049,1.2195613,-0.06363314,0.28434592,4.2127175,0.3825705,-2.4580834,-2.302,-1.8347987,-1.5476556,-0.115458205,0.26362056,-2.5424955,-4.1891365,0.19731654,-1.6017587,-1.1085818
270,0.7180963,2.1496732,3.5381987,1.3051916,1.8261547,1.6357056,-1.6293659,1.9801302,-1.8401785,-0.10855707,-0.13195671,0.59085935,0.79752743,3.6995752,-1.1140795,1.2813482,0.27392676,-1.1157901,-0.6012661,0.14467235,0.35910493,-1.7379868,-0.115108445,-2.3985336,-1.1303391,-0.23169759,-0.09985468,-0.75754905,2.8009646,-1.4481324,-2.7937794,-1.8375053,2.4809623,-3.2130244,1.1466889,-2.8182676,-0.6923465,0.17743227,-1.8554958,2.7875059,1.5911627,0.39832875,-0.07273574,-0.08236938,-1.4023514,-0.3936143,0.8205254,0.47758397,-0.07573293,0.70145696,-0.051150918,2.3401303,0.056255817,-1.0780718,-1.648197,-2.1163616,-2.0816622,1.0654337,1.6525849,-1.6472147,-3.0380778,1.0224991,-0.07078091,-0.15205102
306,-1.6543584,1.6764225,6.226117,3.0665658,2.2506156,1.1589904,-1.7602596,3.9352856,-1.3741069,-0.36134577,-0.2307516,0.29029137,0.93314254,3.0072317,-0.67324346,-0.09325981,-0.32854408,-3.6470277,0.13239078,-1.3086032,1.7129028,0.40330222,0.43295705,-3.174965,0.90020794,1.7394745,0.0998265,-2.4559205,4.424372,0.661047,-3.4771721,-1.8712206,2.7340333,-4.3084717,3.0048792,0.6291309,-1.8301854,2.6504877,0.20947872,3.3010354,2.2688532,-1.0910139,-4.153193,-2.1441464,-3.0897303,0.66739804,3.2338178,1.3747452,0.09117386,-2.3218126,0.20054144,1.5303196,-0.5769889,-1.1270111,-1.8462818,-3.3455844,-1.2364526,0.16224508,3.5525084,-1.6022999,-3.5884926,1.0675806,-0.68546903,-2.9012256
394,0.76612353,1.2130588,3.8282351,3.1470387,2.853472,1.9919916,-0.95886564,4.705501,-2.7516387,0.35927522,0.20832907,1.6880361,-0.20199907,4.006063,0.3202733,0.64996815,-0.82017535,-2.1768494,1.4900414,-1.0092766,3.1510231,-1.5194483,-0.6225226,-2.4381497,1.3770955,1.7746325,1.1884788,-2.4507427,2.9475172,0.13901845,-4.1713605,-1.2700342,2.1348088,-4.521025,3.371217,-3.0484018,-1.5323797,2.9163077,-2.4784322,2.5551763,0.8145923,-0.78562295,-2.6285772,-1.8970907,-2.9480395,-1.0257406,0.1823555,1.4821308,2.460946,-0.6031854,0.18379238,1.8789595,-0.33006772,-2.6202328,-2.6582706,-1.2101254,0.15548864,1.3560632,2.2776234,-1.6894687,-4.2357826,2.190586,0.4924302,-2.276347
433,-1.113022,1.9023942,3.4091272,2.9275625,1.7991842,0.26669055,-0.9042245,2.0496073,-2.5041726,0.49586383,1.8532926,2.3011687,0.97886086,2.7483342,-1.9051478,0.32160947,-0.6296426,-2.600655,1.129895,-0.82125384,0.77547294,-0.8793426,0.28845838,-2.4926083,0.20533967,1.8538237,0.38951385,-2.7037444,3.651211,-0.22733383,-3.9296868,-0.7987663,0.71969306,-3.9488547,2.2242534,-2.1450977,-1.733524,1.2730031,-0.5106651,1.3129352,1.2892025,-1.3798279,-2.3662646,-1.8119998,-1.1059787,0.19595325,0.91397387,0.4260167,0.8910186,-0.7689934,0.109361865,1.2563258,-0.96088076,-1.640516,-1.9537244,-1.1098388,-1.3818642,2.0215864,4.018515,-1.1095207,-4.0030518,1.9518117,1.5992392,-1.9996437
490,1.3758595,0.9083946,1.7138598,0.13114437,2.396653,1.4318938,-0.16216677,2.2678688,-1.9878359,-1.2941688,-1.35633,0.2588167,0.7588451,4.0532703,-0.1372811,3.4059215,-0.85920775,-0.14632723,-1.0215007,-0.19021863,-0.56563926,-1.462338,-0.67113566,-2.4023407,-3.1512377,-0.53476274,-1.2936257,-0.3596175,1.1239121,-2.4127092,-1.9431658,-2.6117833,0.21069703,-1.8298763,1.6930922,-4.9445353,0.51073176,-1.4547149,-1.7831056,3.8830516,2.4189856,0.9368083,-0.49115318,0.87786067,-0.60689986,-2.878228,1.5615045,0.7901442,1.9562529,-0.21326865,-0.9016337,3.7776299,-0.33795938,-1.1532929,-1.4748572,-1.0396254,-1.4318491,-0.1364704,-0.6445511,-0.20762923,-5.141732,1.8646979,0.71293265,0.25914052
491,-0.6497451,1.9832717,6.1066713,3.7630632,2.3508432,1.0403321,-0.9476987,4.1852074,-1.8249986,-0.34920925,0.049745966,0.40869445,0.69592595,2.7833114,-2.0037336,0.6316574,0.17757288,-2.7180555,0.713266,-1.3193344,1.7286308,0.2622407,-0.9739957,-2.841508,1.5070906,1.2748849,1.0580975,-2.568654,4.7916203,0.6104339,-2.5327823,-2.0613124,3.0683832,-4.9319434,2.3204315,-0.80948937,-1.1113969,3.1383061,0.8444233,4.4339285,2.152512,-1.1403425,-2.8356993,-2.099845,-2.346384,0.7899867,2.9457958,2.1170144,0.2694212,-0.49556118,0.21252695,1.3432097,-0.5271099,-0.8418122,-1.9683889,-1.8878855,-0.48838103,0.46536475,2.300903,-1.6911062,-3.6267922,1.6423538,-0.1274326,-2.962871
712,1.3707393,1.8861843,5.7937765,2.8477829,3.9640646,1.8078445,-2.1177373,4.4453216,-0.07765357,-1.8368843,-1.3998735,-0.553153,0.11416778,4.197468,0.3455273,0.6140409,-0.49895078,-2.4365633,0.025938623,-0.9801843,2.8636234,-0.7695405,0.47917244,-4.238478,1.1358621,1.28074,0.53483737,-1.3804145,2.3293989,-1.71022,-3.188488,-2.6740954,3.2075539,-3.9559958,3.3340607,-1.2785562,0.2716552,1.0945178,-2.1102226,3.0955737,2.9128401,0.3793055,-2.3795757,-1.0289305,-4.3616667,-0.44332853,3.683871,1.8112136,1.0778288,-1.0320456,0.6951246,3.707457,-0.8889346,-2.630241,-2.283746,-2.891959,-0.875312,-0.8280263,0.98029923,-2.622561,-4.5658617,0.41550368,-1.92307,-1.9587466
1027,-0.98751616,1.7948209,6.8648415,4.9814878,2.9181252,-0.90095633,-1.8021662,4.1200905,0.7727026,-1.9243536,-3.0390754,-0.34929603,0.6637641,1.3191965,-1.0675199,-0.6073539,1.3508061,-3.3038468,0.43623132,-0.73958623,2.8658457,1.4496084,1.1006054,-4.120328,2.9569292,2.1213489,1.0856494,-1.9327543,4.6218286,0.054957204,-1.0201639,-3.4568317,3.6493452,-4.449478,1.4995538,0.29030347,0.28262612,2.6829426,1.2913541,5.964524,3.0884101,-0.241371,-3.5064948,-1.1134126,-2.807572,0.41140023,4.387612,2.615041,-1.5026052,-1.8695751,1.4541135,2.7365723,-0.32732937,-1.5212659,-2.3497784,-2.5253818,-1.320756,-1.2313901,0.75809157,-3.2754223,-3.2038693,-1.1154293,-2.6799676,-2.4385054
