,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
8,-1.0928531,-2.158191,2.0943289,-0.5681097,0.031971388,0.6507539,-0.403201,0.18899548,1.3888901,-1.4507875,0.51297414,-2.4880798,1.2050112,-2.3616962,3.835484,-0.046941698,1.1128013,-1.1565622,-0.16173728,0.5653546,-1.551648,3.113915,2.4625254,-1.6812123,-1.6793272,-0.25832897,1.4207318,-0.17253458,-0.4526026,0.63266855,-1.1411145,0.9527037,2.63172,3.2890925,1.9957026,-1.1606493,0.44751596,-1.6458495,1.1215174,-1.4864235,2.048135,-0.4648998,1.2805009,0.79619116,1.2511877,-1.2252865,-0.4900641,2.0094957,-4.0684814,-1.8662834,0.27496585,0.18938577,2.2858489,1.5579981,-1.2844185,-2.6697357,1.9855562,-1.1970477,2.8794918,0.3439361,0.4670074,-2.072749,-1.1536405,0.9855598
153,-1.4077947,-4.74734,1.9830346,-1.6655203,1.6397685,0.5248653,0.5014354,2.54166,1.0108773,0.1489247,-0.46414447,0.96413016,2.0250094,-0.37543404,3.1148348,2.0061827,-0.089852974,4.4962406,0.51731366,0.87385404,-3.1302812,0.6184833,3.145526,1.7389326,-2.4587312,-1.7245165,0.70472896,-0.86074656,3.9036176,-1.5808034,0.72176474,3.2450542,2.4327705,2.16591,1.9338143,0.06925427,3.3525515,-1.429962,-0.18027472,-2.3453076,3.2133741,-2.2204947,1.4871302,0.9291149,-1.5686386,1.1345103,0.73247457,-2.4471247,-1.6917157,1.130968,0.37073755,2.2070055,1.9741938,0.4632739,-1.041623,-1.171436,1.6955926,-2.07559,3.0073538,1.7153475,1.781604,-2.1835804,0.5273603,2.0408516
160,-1.7002434,-3.3580391,1.3048592,-2.101232,1.8583704,0.78965837,-0.310345,-0.81938916,-0.7150562,-0.70120275,2.5741189,-1.6386632,1.6845187,0.29082546,3.146805,-0.3515283,0.3341698,-1.4345798,-0.6171709,1.8698788,-2.1100154,1.7943832,2.378243,-0.9661157,-2.7041125,-0.48409975,-0.105437875,0.78970003,0.6610037,-0.7596822,-0.66493976,2.1335993,2.9485092,1.4421828,2.4348876,-1.9371964,1.4998953,-0.6550888,0.29403684,-0.8719021,3.3863552,-0.67477953,0.5811953,0.29491806,0.49712136,-0.59345776,-0.90996003,1.3305172,-3.2579546,-0.091227815,-0.48508587,-0.15993322,1.9754665,1.476242,-1.2361947,-1.9097799,1.7859805,-1.4866707,3.3199232,-0.5401456,0.62562364,0.30032286,0.28090364,2.8335743
197,-1.5904024,-2.5301023,1.3083007,1.0213084,-1.030268,0.70422345,0.6584994,1.7432342,1.0706503,-2.404182,-0.42789483,-0.39248586,1.4416516,-2.269607,4.5422316,1.1031349,-0.22097683,1.5651096,0.8845428,-0.3751883,-1.6550463,3.056299,2.285903,-1.6001036,-2.0042145,0.34830052,3.124257,0.23616518,0.5941205,1.2822007,-0.4735809,0.9403641,1.0345101,3.113627,2.1794174,0.2799434,0.9005176,-0.5272219,1.5553498,-1.2697222,1.3078763,-1.1192042,0.70482206,1.2175381,0.50421405,-1.2744123,0.55939275,1.0623657,-2.1796386,-3.1906166,-0.15314133,0.23223391,2.08551,2.811292,-1.4958234,-2.038266,2.8339276,-2.291327,2.1393652,1.367267,0.20220433,-2.1885014,-0.39284903,-0.113700435
226,-1.5563736,-2.2559876,1.2660146,-1.4372482,0.8802083,0.10935806,-0.97713935,-0.91796273,-1.2945731,-1.2649041,0.7407878,-1.0559614,1.0667785,0.111070156,2.1576633,-1.1980097,-0.578251,-0.24729085,-1.3198687,1.8330781,-2.3216379,1.2050221,0.91436005,-1.292626,-2.9398339,0.53464836,0.12202495,-0.14474116,0.5301247,-0.9913185,-0.54357135,2.91378,2.334322,2.3304543,2.4701707,-2.144671,0.75477326,0.61606497,-0.3531965,0.7926305,2.764905,-0.80054647,-0.015988693,0.49609533,-1.0150075,-2.1041524,-0.22032292,1.4143556,-2.1403022,-0.37583175,-0.92861503,0.39774173,0.6758998,1.3215504,-1.6988941,-1.6304027,-0.3618301,-1.615254,2.8792021,-1.0037968,-0.2591268,-0.35929775,-0.9695351,1.0765829
295,-0.46732605,-4.451777,1.1374104,-0.2921157,1.2003617,0.58297676,0.7546865,2.2326715,0.2504561,-0.5609882,0.91387576,2.1628842,1.9766061,-0.83246803,3.8513632,1.355216,-0.8399581,5.2066817,1.0589668,1.6150008,-2.0636063,-0.27994803,2.685095,0.67650914,-1.9183333,-0.12713075,2.147646,-0.6088675,2.0017023,-2.0002315,0.01789575,2.9620235,1.2824618,1.6080738,2.6257126,0.06133555,3.2790208,0.24009237,-1.0076723,-3.628853,2.1435733,-2.4513543,0.69902056,0.34161663,-2.3175254,0.39402106,-0.26355577,-1.5278565,-0.56705534,0.26442248,0.17571008,1.2275374,2.1064672,0.32342032,-1.1350297,-0.94424623,2.3678362,-1.6703507,3.1780698,1.3820684,1.7268481,-1.573893,0.78136736,1.0931404
424,-1.0217696,-2.713258,3.0137274,-1.9170266,0.950935,1.0612216,-1.2807544,0.54209155,-0.28978288,-0.7121937,2.4336348,-3.035686,1.7994702,-1.1630996,3.1429994,-0.16774313,0.9673137,-1.4796731,-0.8341331,1.019782,-1.4684752,2.1332526,1.1805133,-1.1186675,-2.1203067,-0.87032765,0.6900917,-0.256894,1.0998194,0.8399954,-1.9217315,1.8201127,3.6900322,2.692567,2.0677302,-1.6014696,-0.16247018,-0.4943493,-0.029012065,-0.9793943,3.4331698,-0.82462114,0.6182493,0.0061431676,0.94270504,-1.0636126,-0.5065148,2.2679513,-4.47647,-0.6134093,0.0144577995,-0.24903119,2.0282917,1.0959296,-1.7577641,-3.4479911,1.3200356,-0.48251402,3.7305326,-0.16590053,0.58530664,-0.5870969,-1.1754992,0.70326996
428,-2.824406,-3.1332157,1.3496649,0.88586193,0.82505965,-1.2087935,1.346369,1.129712,-0.2294338,0.28036308,-1.0743033,2.4730933,2.4133325,-1.0503175,1.7192473,1.4881597,-0.6463442,4.7332597,1.4654752,0.7144034,-3.6658678,1.2655457,3.6435924,0.78553784,-2.8434885,-0.29491585,2.243047,-0.825187,3.6940312,-1.4485146,2.3258855,2.926384,2.082436,0.8095525,2.1500897,0.8031192,3.7191758,-1.0303876,1.9256346,-1.3876866,2.3222198,-2.3561563,0.4590351,-0.3681232,-1.8948005,0.9637808,2.1167896,-2.0167916,-0.68684185,0.20099443,0.14862019,1.5619314,0.6256689,1.7154024,-1.4268451,0.4156202,2.6305707,-3.0113251,3.1087706,1.7243706,1.3680828,-2.223654,1.0017067,0.7325601
461,-1.180523,-1.9877781,2.23744,-1.103624,-0.66302025,2.2775173,0.031347472,3.5236921,-0.1074457,-0.34141615,1.3613474,0.15183565,1.7110422,-0.553151,3.4976277,1.2155292,-0.82397205,1.3915262,0.81938684,-1.1415409,-1.5600182,1.004686,1.5396146,0.08824718,-2.7517793,-0.04050429,2.1222074,-0.6373284,1.6265833,0.92353714,-2.0890336,3.1798327,2.4629939,2.7126393,3.1045454,-0.20408574,-0.09282256,-0.04781218,-0.9928482,-1.2846143,1.4130526,-2.7794952,0.28096086,-0.33528456,-1.6869143,-0.22260639,-0.6552458,-1.0608675,-0.79818463,-0.6811985,-0.4595628,0.5939364,1.2795774,1.3528965,-2.14204,-2.381873,1.8678979,-1.051638,3.4620512,-0.42171645,0.16479552,-1.4789861,-0.79833716,-0.76273805
479,-0.08092122,-3.3819585,2.2085412,-0.05836619,0.17047808,0.7131658,1.2669382,1.8356363,1.6484767,-1.8055929,-0.40477034,0.34840852,1.6806704,-2.1889064,3.7166278,1.3051561,-0.92029834,3.4819393,0.84861267,1.247412,-1.5397439,0.65608513,2.5941482,-0.35857058,-3.7413468,0.19902669,2.2801983,-0.29399297,-0.7396485,-2.4662168,-0.8904848,2.919465,1.4254541,2.2147245,1.7923405,0.26497066,1.9915774,-0.22890262,0.43167284,-2.2454195,2.0287793,-2.350165,0.40694267,1.0907997,-1.7377166,-0.5548833,0.5009649,-0.8149454,-0.63781583,-0.90638715,-0.73283,1.6319097,2.0683048,0.22758971,-1.801339,-1.5260198,1.7671359,-2.1135821,1.4363673,1.072351,0.74283224,-1.4925811,-1.3134624,1.1659143
