,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
13,0.031889252,-3.1071186,1.4744956,-1.782448,-0.9967032,1.7844046,0.05890534,1.2858624,-0.13756353,0.14866804,0.16222206,-1.229493,0.7812495,-1.8138492,3.6105263,-0.9121537,0.26292038,-0.31294176,-0.51216984,0.7748793,-1.4692552,1.0521165,2.981211,-1.1042794,-3.7516763,-0.8028771,0.6852616,-0.88852775,-0.5027766,1.3082318,-3.3780017,2.9637816,2.7260785,3.175425,2.741405,-1.1812067,-1.1106244,0.31137106,-0.5920581,0.0056803375,1.4901078,-1.5771564,0.13798311,1.3671044,0.68753636,-2.9145904,-0.5866305,1.2263112,-1.3621757,-0.9345287,-1.2102396,1.2324371,2.1601772,1.4888327,-1.4683558,-1.9073616,1.2746902,-1.9283379,2.792323,-0.8644052,-0.3163424,-1.7380742,-1.9422678,0.50400937
23,-0.73869765,-3.3889554,0.9907826,-1.2491328,1.8397849,0.70767426,-1.2694373,-0.53112745,-0.31983238,-1.4653642,0.59764874,-1.9298619,0.4894259,0.014963038,5.2516313,-0.8242731,0.31560612,1.1061282,-0.29028845,1.0850121,-0.7398779,2.2548118,1.4979167,-1.1357903,-1.2022479,-1.1477178,0.486626,-1.0974824,0.009677196,-0.49248618,-1.6866707,2.536677,3.6678836,3.1987748,2.0333414,-1.8811395,0.9833839,-0.9788717,0.10944353,-0.7601152,2.6594555,-0.21001649,1.6027538,0.6446935,0.97400963,-2.7322497,-0.17933634,1.1698837,-2.2342231,-0.5255488,0.08858276,0.7112079,1.3329465,0.6596065,-1.4782621,-2.4155607,1.1130841,-1.827742,3.137116,-0.46556377,0.025042266,-0.86966413,-0.8093317,2.076506
24,-1.6053398,-2.4653559,1.441328,-0.8503698,1.2132468,-0.5124481,-0.73366874,-0.6569953,-2.082176,0.9767813,-0.64170074,-0.9593241,1.3747587,0.4009731,1.4282827,-1.6319736,-0.806328,-0.43097648,-0.34636718,2.152372,-3.0675597,1.743169,2.1793525,-1.4491796,-3.4999118,0.65044737,1.1309465,-0.5192351,2.4552035,1.205855,0.09357907,3.3792436,3.7588804,1.4162488,2.8983197,-1.6371278,-0.1735608,-0.23369102,1.6551774,1.669902,1.9902346,-0.39976144,-0.20684102,0.49918586,-0.44537148,-2.7130783,-0.06916085,2.4149587,-2.5602446,-0.46533322,0.13243839,0.5941106,1.2076299,1.4523515,-2.3884394,-0.8856735,0.44238576,-2.6850905,3.3282614,-1.1509025,0.36810237,-1.6935884,-1.4875054,0.42613554
137,-1.7640399,-2.224451,0.3261608,-0.28777614,0.29750994,-0.09922559,-0.35534865,1.2605801,-1.4789847,-1.6753876,0.7201028,0.48236918,1.9155437,0.108897954,3.3995876,0.23516983,-1.1718735,2.8989074,-0.079998195,-0.54097164,-0.98295563,2.9002223,1.1110616,-0.8083403,-1.76602,-0.95714575,1.7124255,0.029608577,2.5287976,1.4034084,0.2916471,2.0227296,2.8596172,2.6999018,2.2746584,-0.13169995,1.9876103,-0.37453306,0.5801027,0.6054887,1.6417923,-0.2680569,1.3825116,1.1902776,0.019308046,-2.2696433,-0.9267177,-0.4795793,-2.4449031,-1.394664,1.0141952,0.028659657,0.9203642,1.9334623,-1.374108,-2.4060738,1.6609765,-1.737756,3.7106,-0.19960213,-0.015690103,-1.332228,-0.6576965,0.72447646
172,-0.7651999,-3.0837157,0.8572334,-1.2201641,1.6006373,0.39812648,-1.025595,-0.98008496,-0.66908026,-1.1093636,0.1963897,-1.737255,0.8447808,-0.9700408,4.2802196,-1.410012,0.8705528,-0.42753235,0.7070864,1.5784136,-1.7165809,2.7572455,1.8451906,-2.001386,-0.76016444,0.03512174,1.2917618,-0.62021524,0.4919405,0.49821228,-0.45232207,2.6604035,3.8061063,2.5705938,3.4942625,-1.6577458,1.2734762,-1.8497443,1.0759825,-1.1454518,2.1859484,-0.18153907,2.0836017,0.9996965,0.38853952,-2.0350296,-0.009200696,1.923334,-3.0669935,-0.7563286,0.37311918,0.69247866,1.7156473,0.8921377,-1.3428041,-1.255642,1.3691343,-2.261531,2.5891113,0.5498422,0.48729846,-0.8836289,-0.6960162,1.1610185
187,-0.6352845,-4.200455,1.4421947,-1.3401204,1.3546524,1.1655596,-0.19239855,-0.45689481,0.17359102,-1.0508156,0.90128064,-2.301986,1.2421393,-1.2064359,3.5789044,-1.0853982,1.179371,0.15505555,0.44823903,0.68050325,-2.355815,1.3592281,2.3894439,-1.3893481,-2.364426,-0.561715,0.37826955,-2.032433,-0.07826312,0.38710546,-1.6187744,3.559833,2.5852654,3.3080518,2.899549,-1.7051132,-0.68013173,-1.0397812,1.0395122,-0.43522093,2.3968318,-1.4946429,1.3151164,1.6372622,1.6155306,-1.9265978,0.94402933,2.2411556,-2.2731042,0.6369515,-0.58000433,2.5557566,1.2541043,-0.05448932,-2.3617048,-1.6269718,0.61637473,-2.9310193,2.5584052,-0.5630513,-0.057041556,-1.1657379,-0.4273994,0.21568143
191,-1.3998239,-3.1443527,1.8998682,-0.90328217,0.30426016,0.5178827,-0.062137462,0.6113378,0.6177684,-0.67621064,-0.43815014,-2.0514133,0.9072808,-1.3307663,3.9739861,-0.8348349,0.9229795,-0.5740368,-0.09988552,0.19981359,-2.052024,2.4701838,2.612938,-2.2839954,-2.3760505,-0.2913651,0.8456328,-1.0132065,0.17416035,1.2940907,-0.16846609,2.1218393,3.3284287,3.5751064,3.2374785,-2.09104,-0.2540174,-1.7748481,0.7131457,-0.47468418,1.6836095,-0.5218383,0.78550303,0.61657286,1.4211292,-2.6464865,-0.17944273,2.6543913,-3.4019601,-0.8796179,0.02494742,1.2566409,1.4198616,1.308857,-2.312483,-1.8162233,1.2733865,-2.0592883,3.414774,-1.0326619,0.67864734,-2.6055927,-1.9037722,0.83366865
195,-0.9763745,-1.5862445,0.34628582,-2.7980075,1.8543973,0.79858696,-1.1364336,-0.09002605,-1.8988979,-0.023755224,0.15179692,-0.5503838,-0.29562506,1.5892874,1.169703,-0.6692181,-0.32024068,-1.8160461,-1.8035356,1.2174089,-2.4805856,-1.0870479,0.33674282,0.6668136,-1.658046,0.23727618,-0.8922092,-1.8237715,0.779866,-1.3106031,-0.9377135,4.1525164,2.3564594,2.2736237,3.7454789,-2.6615713,-1.2233044,0.14150241,-1.1158917,2.1673145,2.7186503,-1.4000753,-0.90938973,-0.7332147,-0.87736714,-1.1441959,0.7850221,-0.5766402,1.6899782,0.9469452,-2.0465324,1.3096052,0.20579714,-0.17853822,-1.6781211,-1.0391289,-1.13105,-2.6636837,2.1985037,-2.5428765,-2.2765572,0.41899294,-0.82042116,-0.06534253
196,-1.4325486,-1.5281198,1.221714,0.35713208,-0.87535614,-1.9117004,-0.085509576,1.3233403,-0.55321324,-1.5942926,-0.57259226,-0.5421906,1.2515999,-1.5973165,3.400582,0.97491616,-1.1972734,1.7966133,0.36116725,-1.1456745,0.09071475,3.5424054,1.471293,-0.7866944,-1.7180355,0.52081877,2.2972941,0.52826196,0.58633906,0.52960294,0.4135351,1.2898042,2.4284399,2.3429687,1.7261474,-0.8698733,1.88667,-1.9736404,1.3758745,0.346344,0.72428,-0.8097177,0.46638077,1.2300822,1.0378728,-2.4522371,-0.034075815,0.5679126,-3.1911209,-3.0159671,1.653116,-0.9582822,0.8852198,1.3997288,-1.3968289,-1.3079447,2.3273835,-1.7691135,2.2657797,-0.40196663,0.8542077,-2.9207478,-2.1968758,1.7458812
218,-0.93818784,-2.5687814,-0.021123007,-0.8036008,0.22119239,1.2782491,1.078397,-0.044785816,-0.6142663,-1.2591487,0.9460406,1.6357458,1.5960252,0.16769679,3.6797292,-0.77525496,-1.007035,1.7169149,0.12826827,1.3157907,-2.8513157,1.2428294,2.7721643,-1.0130876,-3.4147604,-0.5086685,1.0984647,-0.3592857,0.6396208,-0.12021057,-1.7574689,2.9779255,1.8203831,2.5247674,2.8705735,-0.18738744,1.1878713,-0.06470962,0.8135517,-0.42697975,1.3282516,-0.67112243,1.1965867,1.4650402,-0.434891,-2.6362138,-0.207384,-0.3493407,-0.31435,-0.9524047,-1.33822,1.8159494,2.3770788,1.9776188,-1.2698812,-1.5572923,1.9851321,-3.4420724,3.274821,-0.26993966,-1.0770195,-0.3101942,0.38598996,1.0031437
