,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
48,-1.811194,0.36328954,0.26399106,-3.1015198,-1.3009611,-0.8011451,-3.3354495,5.3621497,-3.6655805,1.6845846,0.4064497,0.22069846,3.5228956,3.5118794,2.8366942,-2.1555731,2.0760398,-3.3760753,2.3023713,0.34544098,-0.17727897,-1.2955383,-3.1758065,-0.1859909,0.37990603,2.7467556,0.9604058,2.2125013,1.2110538,-1.2312875,-1.6860725,2.4216897,-1.6326668,-1.4105248,-1.3124224,-0.8225737,-1.6469553,1.8390236,-6.418644,-5.8744082,1.6939981,3.1258628,-1.6520271,-0.52629775,4.8252845,4.1396446,-6.567043,3.215122,1.171473,-2.0159633,-1.5999141,-0.63101006,-0.93153226,-2.7438788,0.6745742,-1.8856441,3.099579,-1.4972005,3.6267343,-2.181381,-1.5841252,-0.88311976,2.070285,-0.026218161
136,-2.382981,-0.22626372,-1.2280376,-2.6708455,-1.9823714,-2.6836193,-1.2786703,5.814529,-3.6717873,-1.2641679,-0.7266286,-0.76789355,4.336902,4.594046,2.8377573,-3.691402,2.2623317,-0.7503079,3.2198524,-0.5203831,-1.5639409,1.4577022,-2.3580303,1.2947977,0.41341883,0.5488266,1.3874623,0.76690274,0.6545222,0.018802792,-0.43231344,0.7445159,-2.6389663,-0.019537807,-2.0785644,-0.7547914,-0.8198599,-0.0026098266,-3.3485193,-0.3312923,-0.12720133,3.8181326,-0.061183874,-0.31970528,3.787458,3.982404,-2.8663514,2.9515092,2.52515,-2.0043662,-0.9174044,0.56514347,-0.78474826,-2.6915998,2.544357,-1.4680257,1.4890637,-3.181655,1.7404917,-0.60878694,-1.4222542,-1.8394855,5.2630067,0.5731949
176,-2.452431,0.70120543,0.68609583,-3.4131794,-1.6326616,-0.7350409,-3.5882125,4.9457827,-3.311229,1.4660712,-0.281458,0.22156352,3.8038435,3.8349001,2.7355647,-2.3707275,2.1177764,-3.7379212,2.0363004,0.572624,-0.32930112,-0.65613884,-2.6461308,-0.21467414,-0.3080672,2.8009417,0.7715502,3.261105,1.1078175,-1.2981074,-1.0618727,1.9687784,-1.6531566,-1.827333,-1.7395678,-0.26030776,-1.4242804,1.749975,-6.373037,-5.666434,1.7869446,4.1531606,-1.780358,-0.25847593,4.438776,4.8612595,-6.4280043,3.520345,0.25569797,-2.5929127,-1.9198693,-0.8734911,-0.9257361,-2.0382233,0.5100263,-2.194759,3.278074,-1.7305236,3.3139408,-2.0685372,-1.1955768,-1.4280995,1.884415,0.5872892
255,-0.85898465,0.94556516,-0.25443795,-0.48575076,-1.003241,-0.12990114,-2.638663,5.488466,-4.7170057,2.6017008,1.2983459,1.6315256,2.3289526,3.2924392,2.418695,1.2434103,0.30733982,-1.2518196,3.0178583,-0.11247295,0.8672633,-1.5698493,-4.4823146,0.5728886,0.54988676,2.5880127,2.4390142,1.8251524,2.2992973,-0.5010702,-0.9577168,0.9155438,-2.347999,-2.7550316,-0.39975026,-2.0390105,-0.5337222,2.7690816,-4.6809373,-4.50829,1.1802628,1.7192835,-1.3265343,-0.5937094,4.0797625,2.9403067,-6.5727324,1.9864897,1.5849545,-1.8236421,-0.5705976,-2.3559198,-0.91641027,-1.9803054,0.33090737,-0.030154519,3.7993214,0.7537301,2.3117156,-0.17579603,-2.4925923,1.381697,3.3662162,0.06637721
310,-2.5256956,0.47083858,1.8870614,-2.3619936,-1.2001773,-3.5640724,-1.9180427,5.5369935,-3.1786683,-0.36966404,-0.19050953,-1.8400793,3.4004228,4.1368484,1.8864675,-3.96446,2.6783755,-1.9359865,3.3090074,-0.57143,-0.9594,1.8127682,-3.3794427,1.3727645,2.1890817,1.0955871,2.2464206,0.18618517,1.9453712,0.374449,-0.24664539,0.6311344,-0.64050114,-0.76735127,-2.2328746,1.0648208,-1.1758733,0.7633539,-1.6422118,-0.7460082,0.31866658,3.5089092,-0.73435116,-1.3602183,3.727059,5.244964,-0.53771645,4.045256,0.084961414,-1.3917695,-0.20603517,-1.1928025,-1.0733618,-1.708446,2.4125757,-2.1279354,1.4615185,-2.904669,3.327935,-1.0005283,0.28424823,-2.6103368,4.552334,0.63331556
417,-1.2528987,3.6068194,0.57712805,2.034943,-3.3499782,0.69991946,1.3288386,0.40388203,-0.50666535,-0.61868006,1.8701687,2.1097376,0.9298562,2.7204764,-1.8718541,1.7917072,-0.080884464,0.606246,1.1853459,-1.8101833,-2.029481,-0.42487344,-0.22837892,1.2726395,0.6400064,-0.8702487,0.92084694,0.083629996,2.3658829,-0.37020117,-1.2070788,0.12804398,0.6555622,-0.6338301,0.9915888,-0.17528808,-1.2804018,1.5157537,2.2828941,-0.3957295,-1.7108212,0.0036703516,1.0974195,-0.80226785,-0.19727157,3.8207707,-1.3191146,1.701647,1.0510378,1.5678756,-1.4945395,-2.1073012,0.016055832,1.1748004,0.07319466,0.599778,0.93371755,0.36016142,1.6624179,0.46173263,0.474473,2.889901,1.2310328,-1.6109971
655,-1.6970508,-1.6421381,0.8160287,-3.1284795,-0.755598,-3.7666683,-2.0751517,4.8998656,-0.65034723,-1.6764755,-3.501777,-2.0196128,2.6090574,4.6552362,4.4384828,-7.53209,5.403538,-1.7465788,2.666476,1.0223316,-0.50814724,2.4053113,-1.8707528,2.0012531,3.095798,0.62660825,1.4764087,0.74124724,-0.47959015,0.07021042,0.48723415,-1.0738326,0.10102391,1.2458031,-3.6273103,1.7375567,-1.2792135,0.73599863,-2.9369977,-0.26051223,0.91581506,7.1613536,0.16316622,-0.3535592,3.7861145,4.9481597,-1.5098249,5.080353,-0.16212386,-1.813974,-0.41111153,0.5679421,1.2341025,-2.0617049,3.972652,-2.7337742,0.18340084,-5.410497,3.555977,-1.7732772,2.2310221,-5.58851,3.4619844,1.9408188
682,0.7600976,2.7191834,0.82450086,-0.51278037,-1.1413715,-0.14981015,-0.52507836,1.0814697,-0.75798464,-0.6345449,1.1344041,-0.06957565,2.7251384,2.778682,-1.7462319,2.2811558,1.1065117,-0.18217915,0.9574366,1.1021394,-1.5545574,-0.7683769,0.05645244,1.9758205,-0.42753488,-1.4803709,0.42587826,1.8834716,1.8047259,-1.1364496,-0.61029524,-2.3613033,1.4683152,0.0749547,-0.5236183,-3.4867318,0.6881357,0.30415988,0.95317006,1.6034802,0.80431515,2.3438437,1.9616735,1.3337755,-0.27924046,2.7122214,-0.5795006,3.0178232,-2.445285,2.057455,-0.51433367,-1.3587964,1.562077,-0.4480765,0.02529662,-0.29182032,-0.5867799,0.12006056,-0.5734877,0.79459804,1.2089721,0.9564717,1.3199899,0.90301245
744,-0.8928239,1.6260322,2.0173182,2.7418637,-3.0517533,-0.81054026,1.9934112,-0.9468882,-1.6145874,0.411956,1.9407761,1.5200081,1.4789243,1.8996135,-3.7747676,1.1719064,0.73245174,-1.769909,2.1171467,-0.016413108,-3.333799,0.046074755,0.6579908,1.1690338,-0.5394616,-0.22821127,2.1685257,-0.4525916,3.1943076,0.6948887,-0.5146954,-0.63740873,0.31842238,-1.5356154,0.8646619,-0.49017626,-2.120766,1.4348123,3.9250844,0.56687987,-1.475146,0.8769592,0.35754833,0.07920958,1.6492453,3.7442226,0.3809445,4.7758884,-0.99869215,1.1923178,-0.916615,-2.9112697,1.438124,1.9561802,-0.70851016,1.7214013,0.16694143,-0.5367792,1.5400854,2.0479949,0.91739583,2.617123,1.6450416,-1.7268753
803,1.5253257,3.5314755,1.6315384,-1.0705214,-1.3712459,1.3370789,-0.47436798,1.3903002,-0.6598145,-0.027031295,-0.24937001,0.8688674,1.9152279,5.097685,-1.3037798,2.330211,-0.49434006,0.44888362,0.4920227,1.2304803,-1.5987647,-1.3412756,0.018381,1.5154523,-0.79032725,-1.3010312,0.51816076,2.1746843,0.7634155,-2.023277,-1.2925171,-1.3352666,1.9063276,-0.058823444,0.73619235,-2.3272524,-0.34787604,0.23249057,-0.47298437,-0.17296283,-0.4823025,3.823621,1.5607775,1.4000018,-0.59227824,2.4872956,-1.4478571,3.7932034,-1.2503376,1.8910972,-1.6259129,-1.2526181,1.0753419,0.1965913,-0.50593317,-0.8380437,0.41213778,-0.23420219,-0.16259587,0.8225739,0.8754821,0.37944138,-0.1580898,0.0862836
895,0.91814464,2.514526,-1.1786015,-1.8846214,-0.51605105,-0.03691318,-0.018087767,0.9656976,-1.5563309,-1.4514524,0.48467946,0.85038424,3.6181645,4.7454753,-1.2515304,1.7137765,-0.77268004,1.0840725,0.8433429,1.4570829,-3.171577,-0.8312975,-0.24033564,0.68227375,-1.8635242,-0.18274012,-0.33080265,2.0119703,0.26840425,-2.475168,0.48598137,-0.9530534,-0.5640866,0.28761744,-0.021940911,-3.1055105,0.8571314,-1.3374112,-1.1310354,0.2784306,-0.2198691,3.7663968,1.9164271,1.5570973,-0.09549849,1.0729873,-1.3296419,4.055456,-0.30815753,1.6769748,-0.85653335,0.21296611,0.3627891,-1.6080388,-0.29160744,-0.3585974,0.007683471,-1.3309499,-1.2640939,0.48288703,-0.7604994,0.15626156,2.4008746,0.40183365
926,-0.584451,0.8535411,0.6115421,-1.8991706,-0.50693655,-0.31640613,-0.7839336,4.113297,-2.171545,-0.14567721,-0.13966711,-0.26631534,4.0104375,6.373849,1.3723773,-2.114543,2.0384583,-1.4023438,4.1637926,1.293084,-2.3101606,-0.27391437,-0.9272145,1.4671544,0.11210629,1.5908164,1.405972,1.028775,-0.5963283,-1.5476985,-0.70441043,-0.4583686,-1.1498902,-0.19074142,-0.615622,-1.8195947,0.02311305,0.31568313,-1.5858238,-1.8088173,-0.7913713,4.1986756,0.85597926,0.365948,1.0701712,3.8418977,-2.1896992,4.6679306,1.4179361,0.4896492,-0.9080572,0.1355137,0.8273417,-1.9344804,1.6783626,-0.43884295,1.5986867,-2.7929552,1.1209934,-0.29711756,-0.124322,-0.9464808,4.952326,0.50645095
