,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
56,-2.5212781,2.911627,1.4929307,-3.277157,0.86632323,1.7123344,-3.974052,0.9565428,-0.8781234,2.931236,1.1603082,2.6122112,-3.3202991,0.1503033,-1.4325992,2.6610131,-3.1461296,-1.1528358,-0.89765257,2.1027467,-0.97443223,-0.050888866,-2.5109048,-3.726962,-0.57039756,0.8595013,3.9753554,-1.2102419,1.2284143,-0.092577875,1.3101206,-0.8738228,-3.8652673,-1.3238797,0.5546744,-1.1422938,-3.7977078,-0.37915844,-2.6018152,-5.087458,0.0013914108,-1.0986024,-3.7386591,-4.639563,1.3340467,1.8273654,-5.227735,2.0010104,-2.0887413,1.996752,1.832942,-2.0083034,-5.004456,1.019628,-1.93658,0.48648298,-0.87666,5.7582436,1.9873149,-2.2158535,-0.9992366,-1.729972,3.040773,0.7139147
128,-3.7830193,1.9519855,1.6321316,0.3332478,0.23403907,0.23092328,-2.7748654,1.9959515,-1.7640474,3.4355364,0.17319353,1.6526465,-2.1947134,-1.6606369,-2.112274,3.8368564,-1.5333842,-1.5867685,-0.32604396,0.67067236,-0.79347026,0.9076128,-4.2130156,-2.5647702,-0.10431228,1.7361652,4.7899175,-0.7160667,3.1862216,1.0350513,3.6258817,-1.2716435,-4.44361,-1.7854404,-0.9251345,-1.1682471,-2.3630948,0.9193603,-0.5334201,-3.7614408,0.6590129,-0.838643,-3.1367993,-3.3539581,5.1937428,2.2516491,-5.085808,0.98846245,-2.0412145,-0.53504044,2.1610954,-3.2366629,-4.1019607,2.6166453,-1.8711588,0.8695174,1.1127089,6.0521197,2.0014794,-0.5261983,-2.6597083,-1.115558,2.9046853,-0.41306037
174,-2.2785578,2.41952,1.2894614,-3.4736106,-0.22630283,2.3704023,-3.8323982,1.4540092,-0.85578585,2.2590978,1.3832569,1.9785091,-2.9207067,-1.136492,-0.07293868,2.9890149,-1.6049705,-2.1114745,-2.291668,2.4372756,-0.29119068,-1.787141,-3.0202203,-3.7418795,-1.3149102,0.17418031,2.3346338,-0.3054549,0.50320995,-0.87474644,-0.51127774,-0.3339765,-4.174216,-0.112095825,-0.7378879,-2.1029477,-3.7243783,1.4811366,-4.8449445,-6.403871,1.3193524,-0.56275654,-4.2058377,-3.0286381,3.1338172,1.4176838,-6.702719,1.9662936,-1.7842449,0.87518835,0.57697856,-1.8454367,-5.0285826,0.9055027,-2.5666945,-0.52491856,-0.41644442,5.4939113,2.1115587,-2.4995725,-2.1316164,-0.48061496,0.88542336,0.82205486
391,-3.0258334,3.6384158,0.13295805,-1.5784925,-0.50233465,1.8437805,-3.5040143,2.1279464,-1.2911636,1.801895,0.12931193,2.4746232,-1.9789197,-1.0855296,-1.4155576,4.655794,-2.761711,0.13128138,-2.212639,0.2521657,-0.9441088,-0.46073997,-3.1687226,-3.8835073,-1.0422318,0.08082162,3.08285,-0.09333507,2.0603106,0.41694313,2.2110522,-0.9912725,-4.492843,-0.28773403,-0.42804056,-0.9807654,-3.0066202,0.43297452,-3.6958745,-4.849701,0.7695156,-0.06380156,-2.8134918,-2.666189,3.7234027,1.8692632,-6.6085424,0.38945338,-0.82708573,0.0053522624,1.3998804,-1.1251161,-6.1354423,1.7000703,-2.8299193,-1.2665089,0.86046666,5.7174053,1.8786777,-1.5174868,-3.763972,-1.5432918,1.4454193,-1.3527976
434,-1.9684604,3.1856668,0.15927464,-0.55749816,-0.16908504,0.6462504,-3.3418336,3.2490203,-1.386491,2.4494426,-0.97821003,2.3382723,-1.8372581,-2.155067,-0.85543346,4.7175927,-2.7015493,0.6127507,-0.5170928,0.15689018,-0.2779788,-0.90060496,-4.207493,-3.4445436,-1.2686112,1.3693149,4.5629253,0.27491874,1.723792,-0.5739678,2.9490473,-0.75522166,-5.0129075,-1.4077669,-1.0515858,-2.0743344,-1.3212128,0.36600864,-2.2456048,-4.635119,0.49755782,-1.1529146,-2.2767756,-2.0660284,4.988554,0.560695,-5.430637,0.2562138,-0.24104226,-0.5289242,1.3656785,-2.0835629,-4.6372004,0.44076332,-1.9127657,0.72427714,1.0929124,5.3938036,0.5831401,-1.5125512,-3.152919,-1.7519572,2.5344062,0.8506762
474,-1.3544668,0.2765514,-0.6584754,-1.3019277,0.5386122,0.4630087,-3.2803411,2.2261302,-2.2626603,2.4861624,1.1401678,1.6493542,-3.5532823,-1.4031547,-0.20249972,3.6425006,-1.9436268,-1.0521119,0.074399635,2.1497133,-0.6251835,-0.378761,-4.0120335,-2.1898115,-0.31078884,0.35519928,4.111699,-2.1145568,1.9269444,0.6675139,0.18959406,-1.5067803,-5.833471,-0.4797336,-0.9225006,-3.7383008,-2.312475,0.402211,-2.294067,-3.6646492,0.3950651,-1.7406677,-2.2277396,-2.2802837,5.345368,0.10082218,-4.4735765,0.67374825,0.33567202,0.30611917,2.4621239,-1.9315374,-4.064639,0.6164181,-1.01974,1.5899783,-0.7021421,6.3658085,0.27178013,0.5180356,-3.5361683,0.46239775,4.4594083,0.95066726
507,-2.625473,2.0647984,1.6574929,-2.007086,1.0852582,0.7258012,-3.0397394,1.3674214,-1.5799017,3.6926942,1.149115,1.5398979,-2.7415814,0.019584276,-2.0120234,3.0362544,-1.9490136,-2.1673763,-1.0168673,1.852056,-0.7788873,-0.15462855,-3.6458127,-2.547415,-0.90111023,0.89829856,3.5525284,-0.571067,1.8513799,0.20517363,1.6237317,-1.2390335,-3.6434476,-1.7545185,-0.62802577,-2.6261587,-3.1411655,0.09069893,-2.0139499,-3.5755298,1.3193314,-0.98538387,-3.4398828,-3.5705173,4.018006,1.724839,-5.1294713,1.3229007,-1.9075313,1.3686463,1.4694526,-2.5649729,-3.910641,2.0027657,-1.5642833,0.7598551,-0.13170941,5.3681293,1.7951849,-1.7993829,-1.8745427,-0.63054293,2.7165227,1.7432032
547,-2.2784379,2.249953,1.391298,-3.0551174,0.33202478,1.9598879,-4.018974,2.1743212,-1.1474473,3.729833,1.0132655,1.7470142,-1.8424602,-0.67007744,-1.2714123,3.348621,-2.1447122,-1.5801896,-1.4783478,1.2197037,-0.19165039,-0.25781125,-2.7406366,-2.901172,-1.2487619,0.8033265,3.3010745,0.15597342,1.1814762,0.8301318,1.2217622,-1.1345246,-3.5457513,-1.5519483,0.60300565,-1.6124103,-3.9375987,0.5729238,-3.6204953,-4.6029344,1.461725,-0.8521639,-4.1686134,-4.1157103,2.9349241,1.9070404,-6.064856,1.8580232,-2.729197,1.6620451,1.1007642,-2.3142552,-4.1442137,0.53843725,-2.1397312,0.037923425,0.60525185,5.589127,1.7430673,-2.8167064,-1.3421816,-1.9630872,2.0212235,0.24471287
629,-3.878948,2.5815477,2.0868487,-1.0954477,0.3946252,1.542107,-2.7089396,0.41679615,0.27464205,3.6831944,0.37326425,1.9997865,-0.86856806,-1.1895821,-3.239208,2.9520493,-1.4696674,-2.4029322,-1.1161594,1.3641152,-2.4605846,0.63476163,-1.3949589,-3.1014664,-2.9636383,1.4363588,3.527916,-0.23191199,1.1779662,0.72226334,2.9310145,-1.5287308,-4.3236737,-1.5121847,-0.3007929,-0.85026366,-4.071744,0.009739839,-1.0626284,-4.042075,2.0201728,0.013570902,-3.9256096,-4.0576,3.1947525,2.140488,-4.8286195,2.5502734,-3.321487,0.79213333,0.034524903,-1.2917774,-3.7110162,2.0272732,-3.0277863,0.33906585,1.2544247,4.392554,1.8556411,-2.0812168,-2.4846349,-2.5027187,2.67673,-0.7649559
648,-2.6887279,2.4352462,2.9274578,-2.648463,0.19454819,1.6869432,-5.290793,3.1559086,-1.3348433,4.8993983,1.359347,0.11007644,-1.6608433,-2.0429993,-2.0811827,3.3862448,-1.554752,-2.709116,-0.12145884,0.047511525,-0.13402283,0.4948228,-4.2951818,-2.3025146,-0.24427137,-0.3264758,4.338402,-2.0901265,3.8258483,2.1603541,0.79753864,-0.25401434,-2.4632354,-1.9215027,0.10298222,-0.9496549,-4.4147773,0.17299804,-1.8706994,-4.663079,1.3612266,-2.1611037,-3.8427877,-5.4089246,4.1717296,2.436197,-5.20378,1.6692643,-2.4722848,1.783152,1.7181633,-2.596076,-4.272344,0.06199789,-2.0649767,0.16081925,0.20249835,7.036926,2.293957,-1.4902811,-2.1031537,-1.1087046,2.0312388,-1.2501872
649,-2.215122,2.081796,0.36338478,-2.7519264,1.310756,1.4261363,-4.036971,0.5569907,-2.580795,2.6150546,1.2339882,3.6786704,-3.0711706,-0.0068760887,-0.7490224,2.8334825,-3.112939,0.009976741,-0.9550138,2.077082,-0.27981165,-0.027316535,-2.3615696,-3.410864,-0.529255,1.2953283,3.859646,-0.15967235,1.4444612,-0.49685043,1.4413505,-0.76918197,-4.362181,-1.741987,0.1066584,-0.9510063,-3.0378559,0.12020521,-3.2138221,-5.261224,0.74273497,-0.17340833,-3.0266902,-2.6472745,2.9547515,1.1691133,-5.597146,1.8560028,-2.3664837,0.8531974,1.7913727,-2.4428287,-5.029007,1.0650556,-1.6695652,0.9041366,-0.24613392,4.9069753,1.9388828,-1.6854621,-1.1177589,-1.1959337,3.3014412,1.4344251
673,-3.401253,2.7852213,1.024189,-2.1933703,0.3758133,1.8183061,-2.8556714,0.95880616,-0.82673085,2.5055723,-0.4312547,2.2168927,-1.6277449,-0.74677706,-2.6706562,3.742917,-2.0488691,-1.1798131,-1.973587,1.3030765,-2.788166,0.071109615,-1.5867921,-3.6642675,-2.959532,0.42261964,3.2505949,0.15860222,1.4047452,-0.1374401,3.0424695,-1.7974005,-4.9072733,-1.0611007,-0.76432294,-1.0896341,-3.3614438,-0.8116749,-2.1959457,-3.8792803,0.56512475,0.16027227,-2.9330359,-2.8607762,3.8776145,1.8318211,-4.491965,1.636479,-2.170217,0.9310354,0.49987364,-1.2865497,-4.3405786,2.640487,-2.098587,-0.067928396,0.41727713,4.7271023,1.0456666,-2.196563,-2.495286,-2.3624763,2.8403215,0.69225216
886,-2.383491,2.3666005,1.7160339,-1.7760241,0.56466866,1.4276557,-3.198365,2.3423734,-0.6419848,2.973096,0.7748005,1.2578326,-1.9597685,-1.4719614,-1.7160625,3.6284525,-0.77351826,-2.1906927,-1.020738,1.5129163,-0.8212816,-1.216866,-4.0025144,-2.888236,-0.6665037,0.83700806,3.45677,-0.43502283,1.5771999,0.017174408,2.1003249,-1.8216316,-3.833086,-0.54006135,-1.307748,-2.8574579,-2.297535,1.0930549,-2.3838115,-4.5718403,1.4849193,-1.0802529,-2.752783,-3.1509883,4.367861,1.6118581,-5.729994,1.0458764,-1.9334111,0.95689285,1.2020674,-2.2548218,-3.5192916,1.520051,-1.7694131,-0.2140102,0.052375115,6.1884756,1.9038776,-2.1608593,-2.038061,-1.1683178,2.5156968,0.8519159
