,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
62,-0.7924215,-1.5978181,-1.0099502,1.4250184,4.7218957,0.47483152,-0.9015275,1.6542826,2.1179264,-2.311061,-1.1222048,-4.987184,-3.039258,0.34466472,3.1950371,0.86467755,3.6602724,-2.2204342,1.2157686,-2.8886056,2.0121143,-1.408745,-0.06846294,-1.9044126,3.3911724,0.49836874,0.27724636,-0.044548273,-2.3242953,-1.1591254,3.0718443,-3.7256942,-0.6235616,-0.65325093,0.7708819,-1.6543353,2.4977074,1.3339462,2.0209522,1.8496704,2.1433852,0.5347666,-1.947497,1.9625303,0.2228545,5.9459233,-0.49591163,2.885299,0.071033455,-0.108659394,2.0127115,-2.1892247,0.048923045,2.0332682,3.5463915,-0.36925805,-1.0512671,-1.6654681,0.2037067,-0.49108082,-0.445113,-2.6009293,2.137698,5.3420887
83,1.0293837,-0.70539534,-2.1264207,0.1623874,2.3342788,0.29847902,-1.0501833,3.7974463,-1.7937729,-1.9511502,1.394057,-3.8378303,-0.9780556,0.16046864,2.0056906,3.3745048,0.57706296,-1.3678765,2.898114,-4.1427774,-0.3452279,-3.000441,-1.3486843,-1.5302149,1.4403708,-1.4013431,0.65893567,-3.186486,1.2180227,0.35291326,-2.275663,-1.4214249,-2.2067695,-1.0175087,2.213945,-3.7411478,-0.52612275,-0.59490794,0.92834944,1.3541489,0.36641818,-2.4826887,-2.419122,0.5186728,1.4297687,2.7344577,2.4142206,5.2394857,3.4035883,-0.34996867,0.6539097,-0.97418666,-1.105622,-1.8399134,1.6881843,0.76817894,-1.3012794,-0.5346542,-0.8276459,2.5273733,-2.5219486,0.8244968,4.662856,1.994593
213,1.7511909,1.7876754,-1.3657627,-1.4734851,-0.027956035,1.3535197,-0.543679,1.7999972,0.12087306,-1.2118165,0.42074648,-0.36563116,1.9099677,3.224204,-1.1521081,4.1387734,0.027859554,-0.5677085,-0.45746017,-0.33020425,-1.8071584,-2.4312844,1.3103007,0.531077,-1.0828638,-1.8713673,-1.0831809,3.1950662,1.6310169,-0.6186656,1.2433846,-3.6716175,0.66340256,-0.16677557,1.7002021,-4.320317,2.6256344,-0.078549296,-0.21563527,1.8208876,0.15077162,2.6222513,1.2564687,3.4910638,-1.2135209,1.5856421,-1.225499,3.829705,-2.3421953,1.7053915,0.62686616,-0.23967846,2.1374145,-0.104858205,0.10321814,-0.28634715,-1.6659006,0.10900761,-0.7255026,1.4260522,0.7379809,0.24835007,1.4012017,1.4253918
215,-0.99596477,-2.0454535,0.328749,2.040826,4.2981157,-0.73733747,-1.6948711,0.66446435,2.481893,-2.5657663,-1.4003242,-5.4538107,-3.1112072,-0.45244762,2.6927562,-0.3862278,4.3730726,-2.021392,1.6844634,-3.216932,2.035147,-0.5840751,0.9525589,-1.7263169,3.6377726,0.4388817,0.9157648,-0.49672413,-1.3324282,-0.9988243,2.9263995,-3.183031,0.55244017,-0.7980453,0.121450506,0.9136268,1.6283891,0.99723905,3.2779942,2.5974667,2.0512805,0.7692265,-1.7355137,2.4071705,0.3441442,6.8697867,1.4112308,3.8449528,-1.8963675,-0.09269465,2.3467996,-2.2782087,-0.14829022,1.7435975,3.7390802,-0.46863294,-2.1926758,-2.3117218,0.21829693,-0.57673454,1.2883362,-3.6912525,0.83089215,4.756831
221,2.1368186,1.8719944,-1.0003774,0.5503779,-1.0813061,-1.1028274,0.14614367,-2.0854514,0.19236025,-0.1415611,-1.0105226,0.9628222,-0.39502636,2.340645,-1.4018528,2.0862343,-1.1946516,0.020732485,0.54352874,0.88217026,-1.1042956,-0.6572298,1.6988555,0.65021205,-1.2329834,0.1945263,1.1017872,1.7258888,-0.5598925,-2.9652526,-0.5592769,-0.6695485,0.06731845,-0.31227916,1.3730246,-3.7534807,0.68448013,-1.4295307,1.1397084,1.1952513,-1.1098053,1.8971202,1.2026694,3.1172335,0.036712624,0.13331386,-0.40417668,3.221906,-0.85402095,0.75199443,-0.17349401,-0.45978063,1.3337919,-0.30810073,-1.3458745,2.760159,-0.6337214,-0.9069376,-1.085661,1.5003009,0.44411182,0.22198343,0.10550433,1.5326145
248,2.2734654,2.8280501,0.21843296,-0.6348576,-1.1952072,1.4041388,0.30149496,0.40606564,2.300097,-0.4464009,0.4716468,-0.07423252,0.81750655,2.4828243,-1.870506,2.557345,-0.54917234,-1.3777626,-0.28432077,0.26214448,-1.8673398,-2.6278143,1.3698941,-0.08144599,-1.4441917,-1.3763129,-0.43071792,1.5732144,-1.3462665,-2.1372924,-1.098163,-1.3682714,0.29177338,0.5381396,2.0943844,-5.073659,0.3933186,-0.67799926,0.21973842,-0.12453632,-0.39668244,1.516137,1.176459,2.4546137,-0.19839644,0.9736412,-0.96887827,2.586451,0.047935605,1.7495755,-1.7071795,1.6643499,1.6286188,-0.8745443,-1.8010665,0.40246654,-0.7865067,0.025495663,-0.28176826,0.9501906,0.099438116,0.7766192,-0.28352883,0.07714526
269,0.30543345,-2.1179063,-1.2189786,0.44147944,4.0079756,1.6665334,-1.6162869,2.1805146,2.6770737,-2.8633072,-0.85270566,-5.1992154,-1.6446462,-0.19736797,3.4850426,1.2686391,4.250376,-2.1779833,0.4581442,-1.4423454,1.5416138,-2.107245,0.4446046,-1.8042768,1.9802713,-0.4321006,-0.20546934,1.2844012,-2.3168287,-0.6666764,1.8043278,-4.848137,-0.55454206,-0.72087073,0.38408718,-1.40613,3.0612247,2.5819266,0.7892515,2.2978153,3.1689174,0.49318922,-1.926258,2.5276678,-1.1569444,5.3149467,-0.1466939,2.9363718,-1.0256058,0.34943724,1.264837,-1.6403402,1.2214341,1.9016423,3.8037138,-1.3312002,-1.2868491,-1.6096842,-1.048389,0.045001656,-0.21967843,-2.6449692,2.599162,5.376985
307,-0.7830406,-1.8458433,-0.4999938,1.1075009,5.6842437,0.8580326,-0.71893615,1.8296005,1.8694686,-1.4522902,-0.3825684,-5.0640054,-3.4655595,0.8688203,2.866104,0.78822625,3.0664248,-2.7649827,1.1388654,-3.0962226,1.9483596,-1.9270324,-0.84058976,-2.1549664,3.123889,1.0501952,0.35025078,-0.8211884,-2.9185002,-1.5415931,2.9328885,-2.7614596,-1.2582281,-0.7339765,0.8109217,-1.7419437,1.2269683,1.4070423,1.3615073,0.27175406,2.3658988,0.30069286,-2.8108103,1.1616077,1.8560829,5.5507464,-0.8107245,3.3627307,0.83127797,0.072142385,1.3472105,-2.0542283,-0.63141805,1.9254888,2.8781366,-0.4651888,-0.24868953,-1.3420464,1.0680324,-1.4280627,-1.2604674,-2.5094101,2.3124573,5.032961
356,0.36410195,-3.723572,-1.9673638,-0.2573515,3.5570438,1.4667256,-1.3125975,4.6988063,0.5833442,-2.6890023,-1.3061968,-4.7651973,-0.93355215,0.737345,4.930278,1.361883,4.2720428,-0.3696939,1.0469201,-3.0908248,0.85472566,-1.8216416,0.77819633,-0.98204124,1.7328904,-1.54335,-0.19313303,0.7468598,0.9699544,1.2025195,1.7505621,-5.8116045,-2.228154,-0.97515285,-0.035724625,0.5650175,1.792913,1.9016122,0.9307014,4.3647475,2.11838,0.14969897,-1.2725712,3.7044134,1.466468,4.812418,1.8423115,2.438843,0.1699366,-0.5465196,1.5778824,-0.7867927,1.8124378,1.2760077,5.740259,-1.2896416,-1.917072,-2.76923,-0.98630524,0.24133836,0.8178352,-3.0085404,5.1757674,6.158773
503,0.15557683,-1.2062992,-0.6577464,1.2795249,4.076225,1.1045257,-0.42330122,1.669502,2.89362,-2.7991166,-0.51158655,-5.161054,-2.3012776,0.42991802,2.749773,1.0806683,4.1606417,-1.6384903,1.3526652,-3.2238603,1.5284653,-2.4097736,0.7132784,-1.7322289,2.5041487,-0.26361912,-0.15387654,-0.3528626,-2.9549062,-2.0488784,2.2725456,-3.685356,-0.038519695,0.14921196,0.5403571,-1.8750709,2.1128843,1.0096593,1.806182,2.056173,1.758122,0.376634,-0.9630867,2.4908311,-0.17062601,5.9910264,-0.12736432,3.1251915,0.16935834,1.2299752,1.3879915,-0.7466563,0.4323075,1.3215944,3.1553845,-0.64390004,-1.5453006,-1.7808789,0.17904882,-0.9803322,0.05199278,-2.3534846,1.6224843,4.847546
