,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
30,0.27035448,3.2225616,-0.24197638,-3.3657076,0.56718874,0.9820177,-2.5024672,2.8331594,1.6068537,2.6742194,2.0744636,2.7092104,1.9585834,2.5149362,1.4583465,-1.3226218,0.92800516,1.2022512,4.187308,1.3239689,-0.6519061,-3.2310207,-0.673296,2.266059,4.8971934,-1.231855,-0.6432562,-4.6676993,0.1938085,2.020558,3.5239058,0.5392864,2.6679504,-2.2226465,1.8631544,0.41113356,0.82072985,-1.1456728,3.6957667,-4.5553946,-0.5524826,-3.464538,-2.668816,-1.4979746,1.8800637,-3.5903463,1.6936669,1.4892137,-2.4098659,-4.5495095,-5.0709763,2.7105837,-0.8610217,0.3232092,-3.318075,-0.9136849,-3.5283735,1.3198483,-2.6879215,1.7918038,-2.9442852,-0.63942116,0.3258356,-0.23192154
36,0.13474622,4.528972,-0.24140975,-4.5002217,-1.1255641,0.50198203,-3.6947002,1.8483406,0.7458303,0.90374196,1.5355687,1.327619,1.6057982,1.9733763,4.3530107,-2.4904723,1.4960498,3.6952853,3.7271929,0.9427327,0.7987733,-6.0486455,0.33252046,2.2758994,3.2273738,-0.10541132,-0.6230612,-3.0080884,0.2683814,3.8995838,6.2756004,-1.0071169,3.43264,-5.1837273,1.320856,0.655883,1.4280813,0.12268524,2.7858584,-4.478988,0.09184215,-4.220606,-3.2174463,-1.1586337,1.7142764,-3.8750715,1.2691523,3.409866,-2.8027225,-4.6402564,-7.1141887,1.9255549,1.795158,3.0700946,-2.7889783,0.42661268,-4.1225157,0.20841955,-4.6076846,-1.2672306,-2.3350208,0.13512838,-3.2192347,0.787665
69,0.5221877,4.139844,-1.4477401,-3.8497708,-1.1747018,1.0152854,-2.4261467,2.1295104,1.8349192,0.3238893,1.3555291,2.7889605,1.5664773,2.0483031,3.9891014,-1.7048414,1.4754764,3.426479,3.4372923,1.3551607,0.23235296,-6.2067914,0.6859387,1.8210263,2.927193,-0.26453578,-1.1123,-3.036575,-1.4606054,2.516863,5.325388,-0.7452186,2.3510537,-3.7814682,1.1080282,-0.523007,1.4907053,0.19544297,2.4598498,-4.93926,-0.63934064,-3.7544138,-2.4044328,-0.36457273,2.1752574,-4.3656898,0.92679876,2.244867,-1.2191043,-4.4914556,-6.862802,2.5237794,1.7357363,1.6813946,-2.9115593,-0.01606518,-4.0204253,0.5431614,-4.2874484,-0.5580869,-2.6069603,-0.25416875,-1.4503485,0.9287295
165,-0.6749981,3.6834233,-0.21201426,-4.440443,-0.595632,1.1681409,-2.5669847,1.914768,0.9870999,0.54756564,2.3006706,1.1380856,2.2039676,2.43359,3.1601474,-1.0415261,1.6890054,3.354327,3.4580088,-0.20525983,-0.3635342,-5.4144735,0.55084896,2.3947315,2.846476,-0.55220586,-1.4062101,-3.6285274,0.3137905,4.191431,5.3985386,-0.54799753,2.8136675,-4.3643303,1.3531923,1.171211,0.46647555,-0.5880076,3.5689838,-3.8413577,0.3788646,-4.7053275,-2.9906824,-0.42103744,3.4473221,-3.3684654,2.7321138,2.5812516,-2.4441926,-4.3983173,-6.9379873,2.907094,0.4633606,3.089895,-3.2757058,-0.37449992,-3.104638,0.08870232,-4.6685934,0.08480112,-3.7271497,-0.10681225,-1.3645647,0.027260326
178,-0.64203066,5.1905704,0.31088203,-3.9820292,-1.9699804,0.40378892,-3.8311424,2.5458527,0.40542275,0.7731367,1.6705143,1.2351073,2.0842905,0.23625804,3.8575423,-2.2051287,1.8675857,4.144106,3.4450088,0.20038712,1.19487,-6.565121,0.31059927,2.5098217,3.4269288,0.15765585,-0.18916935,-3.0244734,1.706281,5.4609227,7.126808,-1.4916818,3.406144,-5.531946,0.83734417,0.79761285,0.7511988,1.2886637,2.711751,-4.217767,0.08145535,-4.6194034,-3.6798143,-1.4559994,2.3430398,-3.530803,1.4280621,4.266561,-3.448971,-5.164264,-7.430607,0.7418239,2.0326674,3.6460595,-3.032911,0.14848281,-3.6857343,0.69767535,-4.4417725,-1.9123992,-2.003874,-0.021777645,-3.7172732,0.11626049
198,-0.8888825,4.4997334,-0.15086332,-3.279979,-2.2811463,-0.3292172,-3.5582504,1.6216989,0.5725074,-0.44993934,1.5301889,1.056779,1.5717192,0.30968273,4.5723395,-2.697639,2.6012955,5.2381716,3.9883575,0.26090613,1.6601722,-7.3531814,0.9180238,1.9367168,2.8269176,0.8103499,0.091696605,-3.255344,1.2948102,6.187927,8.1912155,-2.3226666,3.8876197,-6.6128716,-0.1301206,0.8633937,0.7435552,1.312112,3.1240275,-3.2910984,-0.13931519,-4.834578,-3.4627752,-1.1941634,2.330248,-3.694272,1.2444226,4.9840894,-3.0310717,-4.300378,-6.521388,1.0980244,2.5669177,3.906826,-3.1831808,1.1462059,-4.3912992,0.67023754,-5.5554843,-2.604114,-0.9784993,0.17292474,-4.5496836,-0.17418651
296,0.34963822,3.9421427,-0.020792767,-3.937654,-0.5602258,0.51043093,-3.5363638,2.8335557,0.8704699,1.2663107,2.1254456,2.3376606,1.5743818,1.9272617,2.8609984,-1.6893423,0.9163943,2.8450952,4.114448,0.98202753,0.44909197,-5.4803596,-1.0565284,1.9151111,4.339215,-0.5339258,-0.6386168,-4.5559387,1.0693233,3.7866395,4.646591,0.30239564,3.2411294,-3.9703655,1.4426258,0.051278338,0.3746467,0.12714559,2.9917433,-4.4163165,-0.19953614,-4.156096,-3.082715,-1.3113908,1.9361078,-3.9119825,1.3040962,3.1402247,-2.2081046,-4.515129,-5.809751,1.8926078,0.39476642,0.9510694,-3.3824248,-0.6858103,-4.6052933,1.3373156,-3.3052003,0.3748334,-2.165791,-0.22331353,-1.6523958,-0.5564636
387,0.7671787,4.323171,0.051233515,-3.9150677,-1.0150684,1.0460868,-2.8725772,3.1553392,1.7057594,1.4255979,1.8617754,2.4095864,2.182779,1.9659714,2.7736382,-1.4254646,1.0863268,2.775562,3.3931756,0.8832102,0.37555128,-5.8992677,-0.64008176,1.817776,4.1251445,-0.9517495,-0.5293224,-3.694958,-0.20850872,2.9547808,4.318892,-0.106686726,3.7333968,-3.9374993,1.5232081,0.84271324,1.2444124,0.3025375,2.1544657,-5.195611,-0.4167875,-4.4665604,-3.5147505,-1.6387674,1.8656981,-3.9184706,1.4614563,2.3401482,-2.2495272,-4.51277,-6.521639,2.295648,0.35095993,1.582995,-3.7249947,-1.4143392,-3.3475528,0.882582,-3.3147404,-0.18493176,-2.7021646,-0.8698655,-2.0562987,0.11798826
399,1.8258846,2.9310846,2.4304197,-2.575245,0.86368436,1.4315801,-2.289339,4.1280217,4.048098,5.266937,0.9639029,3.207281,2.5923028,2.3492749,-2.314803,0.5008129,-1.8712772,-2.2289374,2.375989,1.8823773,-2.4347112,-0.30910906,-2.8126552,0.1958743,3.2136116,-2.178604,-0.57832706,-2.3371584,-0.2007167,-1.1745445,-1.0010855,1.3687638,2.3151286,0.82016283,2.143909,1.2687211,0.5277215,-1.8160214,1.9515609,-4.018447,0.7141493,-1.9311463,-4.012807,-2.7948701,0.3362041,-2.8364215,3.2028327,-0.41810617,-2.9146712,-4.4322844,-4.09959,2.0193958,-3.5853221,-1.308354,-3.6701212,-3.9200323,-1.5460708,1.3790504,-0.14924432,2.0690355,-1.9247758,-3.2015023,1.0988631,0.18074349
492,0.39710742,3.7014735,-0.21688807,-3.847416,-0.8901287,0.21956326,-3.1879065,2.257241,1.4996037,0.7668335,1.6740936,2.232104,1.7664009,1.7936624,3.234,-2.0789456,1.7635473,2.9787965,3.799914,1.3699663,0.6527588,-6.1676936,0.3868741,2.1079848,3.18322,-0.20528194,-0.6657156,-3.5000572,-0.3155611,3.413981,5.3941073,-0.8019727,3.426936,-4.2807736,0.6595521,-0.061396256,1.2165226,0.45626026,2.592099,-4.072964,-0.13961312,-4.0289483,-3.174281,-1.0540032,1.7476149,-3.97832,0.96205634,3.1737015,-2.566895,-4.1598577,-6.1930118,2.141427,1.3674064,1.5816307,-3.1403668,-0.46842855,-4.53811,0.8081649,-4.041357,-0.82645524,-1.7162056,-0.6025417,-2.3497772,0.41560382
