,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
3,-1.422045,-0.9847586,2.5942912,2.016904,1.8411515,-1.8889413,-5.3035173,-4.2349744,0.6249552,-0.13344081,-0.5087674,2.535745,-2.0498464,-0.087466985,-3.1194568,-3.124736,-2.122925,0.6364692,-1.3215895,-0.28941455,-3.1074395,-1.1450268,-1.1151835,0.5250577,1.3295496,1.1571293,0.41295284,-3.222373,0.66218686,2.195879,-1.62288,-0.21869406,-0.8629141,-0.9914508,1.057715,-1.6474634,2.8413253,-1.3576621,-1.5482067,-0.44530147,1.3203743,-0.087041035,-0.22336961,1.073698,-0.6369742,-1.6426837,0.07962887,0.6226803,1.2458048,-2.4281814,0.96885794,3.0522656,-1.9836259,-0.033357944,1.1773027,-1.0018657,1.784382,-3.8333654,-1.044619,1.1253844,0.7141886,-2.1957638,-0.8052179,0.3756352
19,-1.9699451,0.09094337,4.4036336,0.67037463,0.9159688,-0.662693,-4.2413816,-2.8214366,1.6781307,0.7658422,-0.50949645,1.6440839,-1.6707631,0.37914473,-3.5216205,-2.141768,-1.7952081,-1.3025632,-2.716346,-0.52328616,-2.3711205,-2.353677,-0.35192484,1.5018717,0.2870539,0.53888184,-0.71788144,-2.1284873,-0.96036744,2.0485868,-2.397376,0.115312055,0.13083588,0.13464074,1.283299,-2.4767063,1.7304851,-0.36163515,-2.9014928,-0.36889082,1.8052995,-0.5215072,-1.993499,0.5775378,-1.1557839,-0.8650822,-0.972237,-0.0009684935,0.90487635,-2.3269784,-0.3989496,2.3645344,-1.8752304,1.037797,-0.020230833,-2.6033194,2.4298768,-3.9293556,-0.30810255,-0.8081896,0.50993085,-3.2101462,-2.809173,1.1829553
51,-1.7461393,0.15276071,2.8050177,1.1606228,-0.11151762,-0.60705197,-4.6472516,-1.2987394,0.46389112,-0.53575784,-0.041095696,3.3805835,-0.8576864,0.44359484,-2.629432,-1.2399086,-3.2310193,1.4549009,-1.7308506,-2.3122308,-2.0568082,-1.8487964,-1.3033577,1.610457,0.5343194,0.13335864,-0.023323447,-2.339322,0.9503143,3.8371751,-2.7734323,-0.061866634,-0.8928394,-0.80073917,2.0503058,-1.3071982,1.9290526,-0.19273756,-2.7944539,0.58401036,1.0774951,-1.5464984,-2.4087343,0.37293127,-2.4034271,-1.2590735,0.11462015,-0.8957175,2.0296402,-2.9282575,0.22561637,2.9988766,-2.7779655,0.03323263,0.21831939,-2.0346763,2.130886,-4.199187,-1.149514,0.23262097,0.69879,-2.6777494,-1.7601173,-0.64519036
78,-2.065087,-0.18276837,3.782539,-1.3189231,-0.8907646,0.8975243,-4.084169,-0.2224574,-0.121351555,0.17594343,-0.26033774,1.6113553,0.0003274083,1.6954826,-3.3821087,0.4032727,-1.9719139,0.051455982,-3.9457014,-2.1071897,-3.4881208,-1.697366,-1.0225601,2.374683,-1.7170384,-2.446958,-2.0779667,-0.4268546,2.1961553,4.2238135,-2.5474598,-0.56525654,-0.0896778,-0.0904465,1.6958861,-1.7018738,1.4751813,0.08965578,-3.1503234,2.6911902,2.2837162,-0.5722703,-2.1052444,1.6522579,-0.92814505,-0.8490932,-0.6864776,-1.7959142,0.6577176,-2.2444963,-1.0945132,3.3939214,-1.6551569,1.9439733,1.101528,-3.3872025,1.297646,-3.8372493,-0.93217504,0.63366604,-0.73481554,-1.81068,-2.099133,0.1382574
105,-2.1049137,-0.21637134,2.0972762,2.539535,0.9292058,-1.0782151,-2.7622259,-2.1197183,0.5269561,-0.8488491,0.67975205,3.7095332,-0.9867835,-0.0037687197,-2.6627707,-2.3972723,-1.9226878,-0.013102854,0.18911624,-1.4689547,-2.256836,-1.5169091,-0.18341428,1.6349902,2.4856591,1.446884,0.6896682,-3.1796227,0.20719798,2.891477,-2.7546434,0.28994012,-0.84150153,-0.90993685,1.9907813,-1.9764116,1.9337326,-0.1202652,-1.1673481,-1.0387833,-0.15990612,-1.8463489,-1.5977607,-0.29836673,-2.2648885,-0.18061726,-0.79361314,-0.63109535,2.5439954,-2.586988,0.22102717,3.0961995,-1.2721553,-0.18672594,1.057593,-0.5981927,2.5103252,-3.3481894,-0.41436535,0.44273847,0.60372066,-1.349158,-0.7204308,-0.64345706
120,-2.9793515,-0.88730437,2.9363775,4.914377,0.94017977,0.1892951,-3.316458,-1.3366579,0.93929446,1.6791233,0.12096308,3.9753826,-2.005418,-0.06403573,-3.250689,-1.6531583,-1.7710228,-0.32993558,0.057911474,0.59025156,-2.833342,-0.4949389,-3.2683067,2.7182922,1.9859619,2.1493766,1.7196182,-3.0315232,1.7666912,5.4477625,-1.0073884,-2.329879,-3.1185772,-1.7889371,1.2192436,-3.0133972,2.3262165,3.8840191,0.9844935,-0.5740323,1.8374071,-1.9509426,-1.6984102,-0.13678563,-1.2536131,0.16213901,-3.2271109,-2.4112988,3.6970131,-2.800116,0.4717598,2.0598402,1.0943667,4.10528,2.3689172,-0.74577206,3.014018,-2.138575,0.78738934,2.4191887,-1.1151768,0.22371402,2.2226763,-0.53277576
148,-0.8996382,-0.49737397,4.523162,0.34835672,1.1593881,-1.1898423,-5.5001645,-1.7806455,1.2304503,1.5274717,-0.37275815,1.4188126,-1.3162919,-0.023650073,-3.52164,-2.9258535,-2.0774682,-1.1262603,-1.681416,-1.4186364,-2.2572372,-2.3323092,-0.7942146,1.8092719,0.81814784,0.58916175,-0.531984,-3.5133998,0.373346,3.1965113,-3.0572777,1.6401489,1.1262249,-0.21356302,1.5351821,-2.0244782,1.3376924,-0.11057782,-2.7071736,0.16592193,1.2700095,-1.4826332,-2.1294477,0.3777027,-1.3809417,-1.5000178,-0.61659205,0.3664763,0.89666784,-1.4366696,-0.010969266,2.9528823,-1.6659243,-1.1819968,-0.15080355,-2.6619878,1.6270893,-3.8474376,-0.22817653,-0.89171594,1.2251301,-3.0056274,-3.2669344,0.03642471
158,-0.8111841,-0.6792893,2.8800716,0.78578764,1.5275918,0.027127147,-4.505184,-1.3755853,1.2388244,1.7314233,0.4705463,2.9532096,-1.2151057,1.125063,-2.6410644,-2.336175,-2.752737,-0.73648804,-1.9335265,1.0193839,-2.1819582,-3.220919,-2.418065,1.8839905,-0.20072831,1.5825099,-0.5814756,-1.1886859,-0.35621995,2.7265487,-1.8385955,-0.1901703,-0.8936219,-1.4653518,1.1149052,-3.6137319,2.8911219,1.8373798,-3.998249,-1.0434824,2.1940923,-1.0795709,-2.0971093,0.32559732,-2.169368,-1.9791995,-3.4243913,-1.1505991,1.9539723,-1.689526,-0.4970415,2.2568936,0.05063636,0.94003665,0.27868795,-2.435981,2.3939538,-2.9722414,-0.18031013,-1.0011228,0.17380048,-1.7181568,-1.0288385,2.0327766
212,-0.92650986,-0.86028194,3.3156657,0.6828481,1.6469976,0.26098335,-4.106436,0.21958601,-2.03164,3.2634299,2.6621332,2.0577877,0.33880994,-0.61752343,-2.6326106,-0.48418242,-1.2381704,-0.88970554,-1.172358,-0.33250588,-0.8421427,-3.8463955,-3.871423,1.0038466,-0.51989985,1.3482481,0.21046504,-1.4186008,1.0395341,2.460795,-3.1643565,1.1492335,-0.66319406,-2.2138848,-0.79621327,-3.2430444,0.77225333,3.4872155,-4.201297,-2.9541855,2.5637672,-1.9946553,-3.146447,-0.6318333,2.668012,-1.3737694,-4.5490785,0.21355519,1.063026,-1.0179424,-0.38420585,0.6363288,-1.558192,-0.40212762,-0.8427027,-2.328746,3.470018,-0.13384777,1.8838701,-1.5052893,-0.9820372,-0.08820473,-0.32835883,0.9245841
246,-2.1097996,0.22047897,4.6314516,1.3924135,-0.6469226,0.055315822,-5.733147,-0.3784251,0.85070527,0.09653462,0.22584604,2.4943626,-1.1691287,0.078252696,-3.1473238,-1.0824472,-2.807172,1.5927432,-1.8959064,-3.2212324,-1.7330835,-1.8744209,-2.1801717,2.4218094,1.3678727,-0.78076273,0.6200115,-2.9092617,2.6597924,5.7083645,-3.2241523,-0.021072768,-0.2985942,-1.0970957,1.8830396,0.29999998,0.22630739,0.8534392,-2.2873821,0.5781639,1.4215724,-2.307784,-3.0792522,-0.4629389,-2.1240897,0.14096296,0.5143988,-1.0429265,1.8211548,-2.6794899,-0.3588626,2.7276845,-2.4146051,1.1739653,1.0851982,-3.0612936,2.4591532,-3.7069654,-0.6954413,-0.081498906,1.4562497,-2.7124517,-2.508182,-1.5936359
247,-0.9964706,-1.8183385,5.7168107,0.18320274,0.08873707,0.70000017,-5.5003953,-1.1621915,2.9057984,1.2785925,-2.9140017,1.036862,-3.3252804,0.83510256,-2.464267,-2.3188472,-0.6698082,-0.46040142,-4.8161926,-1.8386437,-1.503629,-2.4259462,-1.1715064,2.9365695,1.7101905,-2.6760519,-1.4610593,-2.7510982,1.2319582,5.045731,-3.7860146,-1.3109461,1.0098345,1.1086044,1.5909045,-0.9723427,1.0851107,1.2660967,-3.6100028,0.9662647,2.2146535,0.24410087,-1.6534939,2.4714117,-0.21541834,-1.0324922,-0.3900852,-1.6897572,1.107806,-2.1690433,-0.6301916,3.5758562,0.06541316,2.4728997,1.8626518,-4.268327,1.8419942,-4.908966,-0.056516003,-0.037124395,1.2728276,-3.819808,-4.3161945,1.1865292
272,-1.5078712,-0.06364961,3.2573905,0.7652148,0.79592866,-0.8700887,-4.694029,-2.6169536,1.3340403,-0.4556263,0.11422135,1.5804207,-1.0164872,-0.057930157,-3.2407656,-2.4341192,-1.5137284,-0.44482294,-1.5421088,-0.8756844,-3.1845543,-1.9547582,-1.2895821,1.2025536,0.7758198,0.80171597,-0.80943,-3.289617,0.26479566,2.68879,-2.1510544,0.9801651,-0.6417226,0.3342203,1.8464855,-2.8439438,1.785491,-1.0167881,-1.9955597,-0.03719872,1.6066356,-1.2586561,-0.951904,0.6141696,-2.1550663,-1.308972,-0.12786305,-0.28834793,1.6392889,-1.9195156,0.20676497,3.9564166,-1.8432616,-0.8190693,0.4956377,-1.5792739,0.8372396,-3.682553,-1.1217865,0.17464139,0.2971204,-2.0383935,-1.9714833,-0.73749864
