,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
72,3.0766,2.3981671,1.3438022,0.40662044,-4.4357405,1.4331175,-1.3938203,-0.9789137,-2.417695,-0.5546708,1.374424,0.9142755,-0.51489747,0.71387255,-1.8259133,0.38998687,-0.9568308,-0.05082328,-2.230745,1.5003636,-0.0032550618,-1.9720705,-1.1615517,-0.7095398,-0.7060024,-3.8570242,1.4387896,-0.4550423,2.6901011,0.5234814,-8.6778345,1.7350343,2.5496526,-3.7043884,3.3905306,-0.23096204,-4.9013762,2.7452776,-0.42660174,-2.824312,1.1526201,-1.7601556,-0.997076,1.0491506,0.237456,2.1910365,-0.058928516,0.41628402,-1.0351002,-0.37472445,-2.3750162,-1.1275163,1.8262562,2.1466048,-0.21765232,-1.6075084,-4.381251,1.9052047,5.079223,3.3543744,-1.4539219,1.8712754,-1.1878792,-0.98835194
126,2.2052433,1.2054,1.6556747,0.42841887,-4.4407945,1.9830843,-1.2488502,-0.7907382,-2.131558,0.62874174,-0.71238387,-0.6193274,-0.6608113,0.1675511,-1.5156314,0.4464593,1.1970314,-1.2673093,-1.7931972,1.8015636,-1.0936588,-0.86313945,0.49137267,0.04039614,-2.4120736,-4.017593,0.79735136,-0.86546797,3.2374203,1.2986145,-7.88801,0.93112373,1.5310112,-3.1191726,2.821935,-0.9235986,-5.2968783,1.7241217,1.4419538,-0.52683455,1.1513193,-1.277243,0.17508218,2.3181102,1.5975838,2.3594725,0.58898216,-0.27357942,-1.1247709,-0.65034467,-2.444725,-0.10970273,2.7860181,2.4875891,1.0952234,-0.020834297,-4.7213025,1.6209583,3.3900971,3.924601,-2.2221014,1.9716023,-0.54560137,-0.14217189
168,3.1255202,1.9170793,-0.34484628,0.64793164,-2.0410218,-0.4137522,-1.783601,-1.7950716,-4.088293,-0.9690571,1.2899233,0.5755599,-1.6781522,0.59793854,-1.1725982,0.91791695,-0.08925487,0.2153073,-0.96655065,1.1813841,0.3913858,-1.3493459,-1.9789683,-1.3361675,1.2676065,-2.8161995,1.6607773,-2.9861772,3.3630376,-0.85508096,-7.0985394,0.9155608,1.5815115,-2.228853,3.2896082,-1.9572723,-3.407406,0.038137883,-0.3864828,-2.551497,0.9849079,-0.5017915,1.0190017,1.005822,1.1593707,0.31753695,0.56292754,1.5833025,-1.5807552,-0.98071873,0.22805399,-1.0703042,-0.077039,-0.18854503,0.120509595,0.48159176,-4.466474,3.4409065,4.640883,4.481857,-2.5328233,1.7191769,0.55104214,-1.2885131
229,2.5948026,1.5886075,0.92375594,1.0409086,-3.438265,0.73298144,-1.2210371,-1.9222077,-1.8472916,-0.63864416,0.6094089,-0.32794374,-0.5989456,-0.8198079,-1.8975587,0.17578623,0.5830084,-0.8860775,-0.45242333,1.2300413,-1.6253258,-1.355508,-1.3600832,-1.132626,-1.9377618,-2.007625,1.162226,-2.9813795,1.9703441,0.0118999705,-7.2956734,1.5187641,0.43327582,-2.3558447,2.679614,-1.5945075,-4.846893,0.353369,1.2523243,-1.5498408,1.3818667,-2.4159205,0.33217686,1.229954,0.6776751,1.0397098,0.7964388,0.8141106,-0.3459738,-0.46786264,-1.5393666,0.30039445,1.1460487,0.26348117,-0.058834996,0.7203842,-5.085726,2.232977,3.051832,3.9328823,-2.6891181,1.9920611,0.25334576,-1.4293288
352,4.0287795,3.205202,2.4794567,-0.13416095,-1.8925264,-0.11454467,-1.3602269,-2.706638,-1.8105984,-1.074208,0.68945396,0.28927565,-0.7887764,1.6032487,-1.997099,0.83574826,-0.7557275,0.46002868,-1.9173877,2.5760655,-0.42306954,-2.4680386,-1.66698,-2.404858,-2.0955932,-1.9876387,0.7401583,0.3406189,2.156407,-2.7482464,-5.924482,-0.14796971,2.0501163,-3.3824115,1.4476527,-1.0306464,-2.4089358,0.47025925,-0.14711513,-2.0420697,2.7012815,0.77695924,0.80882037,1.5528121,-0.047876433,0.5526063,1.4725913,1.9937541,-2.3242664,-0.0055907303,-1.837304,-0.48959053,1.2194161,1.8071848,0.4196808,-1.0086536,-4.375827,1.6040777,3.589671,1.8571246,-0.69268847,1.4421809,-1.5519148,0.96919703
371,1.7147299,1.617539,1.2546539,0.22071338,-2.952298,1.2104417,-2.9819577,-0.9021884,-2.2889578,1.0461802,1.4655117,-1.8901325,-0.8399315,-0.48758635,-1.0062503,-0.5901641,0.23397493,-1.2224234,-1.2409344,2.1760247,-0.35768706,-1.1263113,-2.1185126,0.23352703,-1.329015,-2.8004255,0.9867821,-2.1725304,2.7858465,1.6319858,-7.493064,2.0441446,0.5849153,-2.5033214,1.7069708,-2.0428007,-5.671675,2.0644214,0.9101567,-1.3026179,1.9242427,-2.7541673,-1.0338725,0.19039738,0.8684015,1.9277076,-0.50943494,-0.41363654,-0.48688152,-0.3579317,-1.2574658,-1.4463221,1.6433506,0.91472614,0.32770845,-0.40046072,-5.392143,3.168063,3.4181912,2.662405,-2.6619906,2.0329068,-0.20553106,-0.43436766
401,3.431954,2.5376344,0.3202295,1.3517138,-2.0123997,-0.30216968,-0.5641052,-3.053474,-2.0773532,-2.291857,0.23431586,1.0740716,-0.650646,0.6747488,-1.4545084,0.8859427,0.019138262,0.43450084,-0.935795,2.1868362,-0.84253937,-2.0675182,-0.29027635,-2.474794,-1.0867324,-1.3321612,0.6493026,-1.5543977,0.54586357,-4.0506277,-6.838284,-0.23110247,0.7888895,-2.5895734,2.2679894,-1.8680879,-1.8785728,-0.17504041,0.061143696,-3.6625404,1.7017624,-0.10091038,1.0638205,1.7346804,0.46447372,0.018867064,1.7140938,2.022567,-1.1785322,-0.9568579,-1.3434803,0.18891567,0.68699485,0.5002918,0.6187042,0.5417579,-4.050526,2.2684305,3.536368,3.2101436,-2.338663,1.3075703,0.1412439,-0.093599975
477,2.9479454,2.8808038,1.8314896,1.341558,-2.23861,-0.54368347,-1.9231582,-3.2221103,-1.5130135,-1.4662974,0.33879468,0.3029581,-0.996848,0.195737,-2.368404,0.20274603,-0.3732139,-0.0024948232,-0.9370977,1.6354007,-0.6844576,-1.0467303,-2.3704674,-2.2666862,-1.1226051,-1.7307652,1.7235669,-1.4737886,1.7778981,-2.000391,-5.8765,0.6550147,1.8291109,-3.3761744,1.8741044,-0.57876587,-2.4484305,0.15748724,0.9793947,-3.0712757,2.3139677,-0.3177736,0.80950725,0.9913778,-0.25260952,1.220836,1.8469266,1.3468956,-1.8174261,-0.6937353,-1.1773865,-0.75064176,0.31400862,1.3712234,-0.25722426,-0.33837742,-4.3463373,1.9583358,3.8974087,3.5916033,-1.7452623,1.2582841,-0.5721289,-0.34397835
554,3.9636295,2.439237,0.34284928,1.2010568,-1.4187506,-0.8613233,-1.7737421,-2.5923388,-1.9314468,-2.3449035,-1.42181,1.9727294,-1.3377864,1.1087631,-1.0656091,1.1839943,-0.3659192,1.499752,-2.0876586,2.6591372,0.16670354,-1.9735802,-1.7994623,-3.05279,0.5114978,-2.3229616,0.3943027,-1.6973671,1.4911836,-3.9771142,-6.4735074,-0.84586746,2.1818888,-2.954994,2.4445896,-1.7343673,0.51730204,1.1536175,-0.66006577,-4.3095455,2.0658183,1.6809895,1.1171685,1.9356239,0.35410807,-1.0783865,0.877713,1.6789916,-1.072269,-1.2334789,-0.7668816,-0.4334668,0.9564428,0.83654547,0.9115385,-1.088849,-3.7847948,2.4784887,4.8422203,4.397778,-3.489492,0.9687852,-0.095413275,0.30684757
557,4.21068,2.2753956,-0.26850897,0.41992295,-1.5831736,0.609457,-0.9808991,-2.4521394,-1.1869757,-1.1874975,0.16898954,1.5213033,-0.51939726,1.1643767,-1.5486166,1.5057569,-1.0754831,1.1708144,-2.0364718,3.156456,-1.1072236,-2.6390316,-1.1619545,-2.1204236,-1.8014328,-1.09772,0.7441087,0.68651867,-0.44645253,-3.4768314,-5.489285,-1.1705614,-0.11998504,-2.407984,1.6695049,-2.9546266,-0.68315387,0.8657289,-1.2460538,-3.5008929,1.8448827,0.7118299,1.1528304,2.2379308,0.8935009,-0.7908717,-0.3212158,0.9992093,-1.1373038,-0.6627968,-1.7680025,0.119653314,1.5941871,1.4579791,0.35964987,-0.6961776,-3.2955272,2.294928,3.2315648,2.9867246,-2.1270378,0.28988308,1.1300137,0.88938445
