,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
37,1.7194744,-2.9593759,3.4676547,-0.8670946,-0.2218405,1.2867064,-0.7276201,-0.53284067,-1.1588827,-0.4682404,1.2845696,-2.4271233,0.95139015,-0.10345577,3.5048368,-1.4510741,1.9382447,-2.1841455,-1.6094353,1.6237057,-0.32110387,-0.31879,1.1117655,-0.15067652,-2.7046854,-0.21594888,-0.804752,-2.4226205,0.4321943,-0.872351,-3.7511997,-3.071192,1.7930921,-0.4853379,3.166333,1.6389011,-1.9471635,-2.4743705,0.3797009,-0.4710098,0.76115817,-0.9296981,-0.34465337,-1.0319424,-0.27505338,-1.9251469,1.3874379,-0.38339263,-1.531326,-2.5467825,1.8741839,1.6186514,4.0333834,-2.9240787,1.0269556,-2.1206183,-2.1340423,0.0476418,2.952819,0.38936067,2.0968232,2.8097677,-2.2756147,0.047105085
90,2.380257,2.9548237,0.45000708,0.19320127,-0.63409835,0.81147504,0.34151533,-2.050622,0.023794696,-0.4581343,0.6091382,1.1704916,0.13856983,2.4575698,-1.7363453,0.26954734,-0.9204263,-0.3696923,-0.6085012,2.9156659,-2.312523,-1.4147397,-0.08147916,-0.23351508,-2.84828,-1.0465391,0.3843483,1.368253,-0.8227751,-3.2043529,-1.5881681,0.01962756,0.42147785,-1.2068185,0.55225426,-2.8839016,0.17308658,0.34197527,0.9207607,0.0004207231,0.33064318,2.0318553,1.7367756,1.6395552,-1.064014,0.32523432,-1.2976276,1.0316988,0.12614647,1.2364023,-2.0899081,0.47797894,1.8542453,0.5491454,-0.769331,0.53266364,-1.3186815,-0.7128005,0.61187035,0.65099293,-0.77574974,2.5773818,-0.027462356,1.9372439
145,1.7576373,-2.4594717,2.842206,0.046730302,0.012469028,0.9852312,-0.5437324,-0.48046392,-1.735701,-0.022961361,0.33123654,-0.6331872,1.2457972,0.11819457,2.5434222,-1.2064736,-0.21575952,-0.54986674,-1.6225858,2.5197601,-0.58922,-0.5364102,-0.581323,-1.084629,-3.8414407,1.446601,0.12200171,-1.2180759,-0.4888838,-2.2565677,-2.1256351,-3.0060837,0.91418785,-1.8558145,2.7314837,0.24308115,0.81169146,-1.0613242,0.03259582,-1.4455924,0.21790919,-0.60817933,-0.07517351,-0.4200461,-0.54824007,-3.603693,-0.50059414,-0.19675362,-0.9277586,-2.8626196,1.8296071,0.52266705,4.3058214,-1.955869,0.4688058,-1.3237318,-1.0665987,0.98042953,3.2895215,0.4427635,1.1264074,1.8448831,-1.1286144,1.3396686
298,1.2057656,-0.9697814,1.5227749,0.5813339,-2.0567112,0.8433937,0.982879,-0.005535856,-3.799534,-0.79879063,2.6545982,1.4273075,1.1380609,0.46283478,1.4854099,0.020409092,-0.95479256,-0.18641919,-1.1975944,1.1647723,-0.35016948,-0.7407812,0.03144537,-0.5931712,-3.6096177,-0.09076279,0.94986796,-1.5869738,1.4642293,-0.867937,-5.2075114,-1.3509402,-0.3231164,-2.8317077,3.4469202,1.0071816,-1.4442848,-0.042085007,0.16514711,-0.89430934,0.13405758,-2.3206217,-0.8696403,-0.86493826,-0.4755489,-1.5603068,-0.4638528,-1.8364049,0.89055514,-3.0501683,0.6559265,-0.031218536,2.7290905,-0.88478035,1.0585314,-0.6092357,-1.1790978,1.581388,3.87287,1.3653451,-1.4946413,4.0330353,0.587273,0.42074275
309,1.0558959,-0.9598068,1.5394084,0.4421968,1.4096525,0.44715673,-0.50980693,-0.48411906,-3.544165,-0.058164865,2.1547306,1.2486528,1.023773,1.8445454,1.0232958,0.5943628,-1.259149,-0.7821783,-1.6367846,1.8578429,-0.46607208,-1.5341427,-1.594837,-1.8282728,-3.2015743,2.6717067,0.26707754,-0.6199548,0.08951971,-3.203862,-2.1724148,-2.570774,-1.4234126,-3.1733644,2.1803188,-0.51121676,0.8054065,-0.041061997,-1.5627795,-2.5397868,1.7145119,-0.27074403,-0.923742,-0.7598862,0.6888342,-2.5880597,-0.57707256,-0.26452327,-0.09906836,-2.919753,0.8499495,-0.27700803,1.974743,-1.3413289,0.5795833,-1.5800089,0.109780975,1.9596032,3.6861546,-0.08311229,-2.651273,2.3560843,2.0832481,1.0904484
374,0.5685155,-2.0661063,2.5646715,-0.71695614,-0.89236295,-0.1612611,0.23255843,-0.45151353,-2.992952,-0.2182595,2.9559796,0.030711163,2.6124825,0.5516655,0.8641909,-0.47414654,-0.54941225,-0.89997613,-0.99173707,-0.13980494,-2.6356463,0.22407524,0.39420235,-0.22845908,-3.6531873,0.20488895,-0.71797395,-2.3452342,2.4581232,-0.18617065,-3.6564512,-2.3546417,0.03637454,-2.8650832,2.8179653,2.203443,-1.6187415,-2.7156093,2.2882051,1.1726235,-0.5290633,-3.137865,-1.3614776,-1.611079,0.9328966,-2.436453,3.3782122,0.16171241,-0.8853953,-2.0462465,1.35997,0.57823616,2.731629,-3.245702,0.7472919,-0.8414869,-1.4480921,-0.51279753,2.4394479,0.44447005,2.1141334,3.15443,1.7490467,0.4368689
441,2.4880488,1.5710845,0.46759775,0.35593292,-1.6143473,0.9596757,0.23349714,-1.2254508,-2.343097,-0.107783586,3.7143452,2.1812832,0.5169052,3.09812,-1.8916421,-0.29894924,-1.4220877,-2.2788467,0.4381125,1.9492339,-1.7211396,-1.9007883,0.4934308,0.3037596,-2.11085,0.05853446,0.40630314,-0.52836347,1.0687541,-1.3164574,-5.6530614,1.39913,0.8591071,-3.2292633,2.1832309,-1.090466,-1.1413633,1.1439272,-0.88027024,-1.9615984,0.06864239,-0.9733526,-0.46646973,-0.40207833,-1.0521976,0.117645904,-0.8374528,1.5631317,-0.0027475506,0.3839452,-0.18775618,-1.3510009,1.8062583,-0.008121952,0.20242946,0.82346636,-2.7959251,1.3222694,2.6999397,0.22625615,-2.2453249,2.4378204,0.64127254,0.1657913
473,1.4991305,-1.0674903,2.9977255,0.2490479,-2.484014,1.086858,1.3249687,0.026620962,-2.1938415,0.17973217,3.8846946,1.874385,2.464964,0.9246861,-0.79103816,-0.147542,-1.1803781,-2.128314,-0.7073325,1.4893179,-2.0697706,-0.11821215,0.46258354,0.43410853,-3.7743804,-0.5377573,0.35598332,-1.4275321,3.5288258,1.0933647,-6.3238826,-1.089801,0.4458905,-4.979106,2.970217,2.8791454,-2.568985,0.42586106,1.9817221,-0.061495088,0.64646983,-3.200068,-1.7459025,-1.0157777,-0.0930545,0.109495044,1.1957735,-1.3224019,-0.39483264,-1.74915,-0.088587224,0.055970356,4.4012833,0.20800807,0.81872773,-1.379892,-1.877066,0.46158373,3.6703448,1.9392809,-0.7443183,4.3218975,1.1296437,0.112330586
564,2.0075383,1.5748745,1.3635559,-0.46314132,-1.7736795,0.25594014,1.1621796,-2.0000901,-0.06957109,-0.1711457,2.330965,1.0005827,-0.52569735,0.20754217,-1.7685386,-1.7617906,0.12097151,-4.0450225,0.07181376,1.5492629,-2.53,-1.7026091,-0.6391884,-0.4463095,-2.6089501,-0.27469036,0.36239076,-1.1546664,1.0197881,-0.49249643,-4.422775,1.1205615,0.33101344,-1.9700804,2.1829293,-1.1817223,-3.0528693,0.01474075,0.953403,-0.15932995,1.5073304,-1.4298974,0.19713548,0.22965455,-1.6392978,1.2434493,-0.5805284,0.099057116,0.5920818,0.20479941,-2.2137837,0.9016273,3.2396407,0.5983964,-0.19538473,0.7808824,-3.281335,-0.6488203,3.1054833,1.0907345,-1.0890347,3.4930825,0.04635542,0.96965176
625,2.1518772,-1.3286963,0.60775805,0.9852721,0.40053967,-0.9238114,-0.4603495,1.0495917,-4.8781238,-0.028795032,2.540026,1.2440877,0.53708476,1.7794929,0.61137843,1.7143922,-2.3947144,0.83118993,-0.10330425,0.61122394,-0.26460892,-0.72203153,-2.2344458,-0.9339608,-2.3937767,0.6100497,1.5505137,-2.2599468,3.282464,-0.87647617,-4.690693,-1.1843067,-1.4690721,-4.1630836,2.1498194,-0.61015815,-0.42762998,-0.91223407,0.024305832,-0.7427468,1.150651,-1.890092,-0.47895622,-0.58828706,2.5499258,-2.527959,1.2685674,-0.18845424,1.6165386,-2.2995925,1.64757,-0.51578236,0.9296997,-2.0133307,1.0767412,-0.11502653,-0.93055,2.2311058,2.3948905,1.9045876,-3.6963513,3.5683749,3.0951934,0.85161114
645,1.5825571,0.8004317,1.0417135,0.7365087,-0.58409834,-0.41993695,0.66687083,-2.3973272,-1.1004552,-1.331438,1.0363314,1.2445648,0.7914773,0.08710249,-2.982602,-1.2693789,0.25277588,-1.6351347,0.003313534,2.1555414,-2.82907,-0.62727046,-1.6450832,-0.9887227,-2.0350406,0.6487191,0.8875685,-0.13263278,1.339766,-0.7490687,-0.49866426,-0.6554954,0.11054557,-2.083762,1.0963022,-1.5262775,-0.54906094,0.7216219,1.392614,0.6395548,0.8714713,-0.29901004,1.2824262,1.3975042,-1.5083845,0.2864476,-0.004821066,1.3245548,-1.3250829,0.89338154,-0.24079832,0.5873687,2.261117,0.5730882,-0.77930236,1.3112848,-3.7427378,0.036660507,1.4590647,1.3454746,0.9478725,2.255007,0.58066833,0.88487256
860,-0.15523662,-2.7556665,3.1158164,0.80346227,-0.8578386,1.4725847,-0.18840936,0.13271804,-1.3704349,0.11538494,0.3301913,-1.0095909,1.2532129,-1.0673186,2.7583973,-0.7675075,0.8047245,-1.0108244,-0.7432188,0.37853354,-0.98003244,1.2090685,0.8983284,0.4323543,-2.9735343,0.9573285,0.46954593,-2.3224766,1.1489699,-0.41942507,-2.3708963,-4.070191,-0.8916663,-1.8484145,2.437894,3.9229858,-1.8807783,-1.8408338,2.8881526,0.553067,-0.6160117,-2.7335808,-0.813334,-1.2584447,0.49449405,-1.0127364,2.348771,-2.75902,0.1993882,-4.0257463,1.5518827,1.0558499,3.960527,-1.8060536,1.8223134,-1.0332227,-1.2821952,0.056176722,1.9172589,1.2960689,1.3060844,2.7874947,0.69299084,0.015239447
1037,1.6908358,-1.373406,2.6475308,-0.3015069,-0.15313393,1.131267,-1.1085062,-0.3713732,-2.7304459,-0.57429034,2.0432236,-0.29675943,1.904838,1.7430168,1.2270668,-0.494794,-0.13329169,-1.3664528,-1.2364651,1.5801756,-1.3014104,-1.0055515,-0.89581895,-0.49307457,-3.0613294,0.50030434,-0.48619184,-1.4319013,1.4997154,-1.6653154,-3.4541104,-2.1981885,1.2217644,-2.8947558,2.6267078,1.2383177,0.5920179,-1.3160034,-0.42360935,-1.1734085,0.45791495,-1.1791722,-0.026983194,-1.0801512,-0.9881363,-1.989117,1.0778099,-0.2402173,-0.53060937,-1.7826759,1.9604532,-0.4610834,3.0457807,-2.3499541,1.1334083,-1.4656354,-2.1069539,1.0568851,2.4991715,0.3477537,-0.38296616,3.0812654,0.04296793,0.77586496
1039,2.0506465,0.9902588,0.97456515,0.6764335,-3.128725,0.0709542,1.3785847,-1.1863757,-2.056599,-1.1215276,2.6749043,2.5058963,-0.18460631,0.58360326,-1.6991572,-0.8757505,0.081562676,-1.5836866,-0.28344542,0.6921651,-1.9550115,-0.5441793,-0.11324744,0.3081124,-0.88739526,-1.6286651,0.72180974,-2.160242,4.082657,1.1062229,-6.1768203,0.7774811,0.6948096,-2.954061,3.034346,1.0750408,-3.1724172,1.1923559,1.8908699,0.21371332,0.49825308,-2.2046816,0.5334648,0.6278076,-0.80514467,1.2750927,0.18032938,-0.7029162,0.31192335,-0.10129516,-0.7463188,0.388076,2.9708366,0.96294224,1.4765712,0.6240554,-3.9236162,0.3992877,4.013503,2.5793881,-1.4522054,4.3687024,0.85590947,-0.18566652
1222,0.3775937,-2.9954045,2.4738657,-0.6791391,-0.10886414,0.7851833,-0.07101702,-1.5197535,-1.8317147,-0.49811682,0.8092938,-1.351812,1.1652144,-0.4141043,3.2578187,-2.0593567,1.2569065,-1.9871013,-1.6388535,1.5522853,-0.9523942,0.41162902,2.2697923,-0.41650188,-2.9320064,0.6456917,-1.1444138,-2.1915026,0.2265729,-1.3311388,-3.3468938,-2.9819715,0.79698664,-1.0763422,3.64206,1.6040325,-1.5100406,-3.2528718,0.8550532,-0.71132684,-0.13618451,-1.3680947,-0.5983008,-0.85278195,-0.2613346,-2.3778167,1.067854,-0.53103846,-1.41385,-3.388455,1.9164178,1.9674884,3.7805252,-2.9024496,1.413068,-0.98365974,-1.8349386,-0.3146597,2.9803157,0.36901706,1.9308571,2.5133438,-1.2207557,0.8242259
1505,2.0715897,-0.5955786,2.3092446,0.7299643,0.39374897,0.47709876,0.67035687,-1.4105648,-2.7498622,0.3313635,2.8282714,1.0510243,0.6315795,1.4374808,-0.51424086,-0.00605049,-0.41996422,-2.7560656,-0.72672224,3.1589944,-1.0171105,-1.2790322,-0.8655516,-0.97970784,-3.2418609,1.6032248,0.38433665,-1.4810854,0.9804315,-2.4276702,-4.332517,-1.4918854,-0.028782256,-4.1717296,2.8518987,-0.8448656,-0.41924188,0.3495726,0.7751635,-1.9369118,2.1127765,-0.8844141,-0.3121473,-0.5705524,-0.19030964,-1.2134764,-0.5671146,-0.05238902,-0.4266062,-1.67468,0.28455693,-0.02580516,3.897505,-0.51192075,1.2065612,-0.50221187,-1.5718728,1.9989702,4.1314583,1.6806719,-2.6327152,4.1301174,1.568313,0.9064479
1565,2.6174996,1.7153215,1.5580595,-0.6986066,-0.7530707,1.0374464,0.24159223,-2.049197,-2.7139325,-1.5426435,2.6306949,2.1077123,-0.15798354,1.7465454,-1.1609676,-0.10755023,-0.5119937,-1.136285,-0.5921633,1.4199533,-1.7185556,-1.3485203,-1.8267978,-1.5336494,-2.1722622,-0.69251275,0.5283451,-1.1071482,2.1275582,-1.3148508,-3.9103281,-0.2668852,1.0318637,-3.0639806,2.4376447,-0.25849888,-1.1815687,-0.2940445,0.20098527,-1.0425607,1.0676441,-0.31352603,1.3979514,0.6180843,-1.4708393,0.28956383,-0.7049593,0.08478918,-0.54565895,0.33604547,-0.16809437,0.3527661,1.9511747,0.32235736,0.34502473,-0.07075647,-3.354074,0.82284474,3.4458106,1.5567355,-1.0008883,4.040657,0.52516735,0.96098286
