,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
16,-2.3669953,-1.1764276,-1.2536554,1.9833978,-0.27406144,-3.8565044,-2.2611582,-5.260223,-0.6401055,2.7380035,0.11463328,1.6456617,-0.76260936,-0.35107145,-0.42411566,-1.1657099,3.3184679,2.6573873,-0.7945761,-1.1458966,5.0560074,4.5333915,0.022910096,3.9415493,1.5712714,0.10336585,1.8846841,0.79942274,-0.17471178,-2.160983,3.1350482,-1.5581081,1.3118955,-2.7302227,0.6843185,2.650922,-1.1373179,-2.013952,-0.9440949,4.8584194,3.552207,1.896629,-0.15399244,-1.9902914,0.47225627,-1.4402057,-1.3663659,-0.4803355,-9.218104,1.4652725,1.1537604,-1.801162,-0.20812745,-2.4301002,-0.26202068,5.9798017,1.5032126,0.8745889,-0.37930822,-3.5756657,-0.0687491,-5.587436,1.4730718,1.6842511
18,-1.4302533,-0.5829285,-1.5602889,1.6721874,-1.8847739,-2.5321274,-1.2158135,-5.014839,0.79640615,2.253093,0.5493465,2.0942733,-0.9413413,-1.6013124,0.34927624,-1.4265605,4.281928,2.4986107,-1.045474,-1.3586202,4.607797,3.1869211,1.0925205,3.8182387,0.46811116,0.06390123,1.48472,0.10814865,-2.366378,-3.3539224,1.4987943,-2.069666,-1.0256331,-0.933129,0.9418397,2.484727,-2.4655366,-1.7635589,-2.103179,4.48653,3.293035,1.1649283,0.097745515,-2.1433866,-0.06652506,-2.5608618,-0.8500762,-1.3948734,-7.9247255,1.3785447,-0.36681268,0.025031656,0.1349432,-3.1154606,0.49206477,6.881718,0.9550719,1.0713819,-0.8053679,-4.1270447,-0.50081015,-5.6833186,1.901334,0.87627816
27,1.0413337,-0.49953118,0.4069436,2.491324,1.1756124,-2.3829398,-3.0188208,1.6155905,-1.4332327,6.981534,-2.7464275,0.6209391,-0.22179538,-3.0897794,-1.957104,2.5754862,-0.70840436,-0.24504328,2.399959,-0.7572757,1.8352062,2.2718518,-1.3765466,2.540221,0.658499,2.9045837,6.298828,-0.20884249,2.1607318,1.5156431,4.56271,-0.955763,-2.0111423,-3.7915103,0.38835806,0.6739802,-1.7077284,-0.11001617,1.0912967,0.5404822,0.9853485,-0.22540623,-1.0324804,-1.9162049,6.7441516,-0.59793663,-2.6924932,0.83216214,-3.3561509,-0.57756823,0.5682331,-3.0147548,2.0417063,-0.75651395,-0.31874073,3.454409,4.2961326,3.182292,-1.4051847,-1.3965718,-2.1858094,-5.701574,2.0200636,-0.03143415
43,-1.1570373,-1.5451459,-1.9347091,-0.29271582,-0.08495627,-2.4898782,-3.0202644,-5.642664,0.12680249,2.7905948,0.31754157,2.2667162,-1.7340915,0.45235586,0.13653848,-0.91081876,2.4582806,2.4085462,-1.9192731,-0.028551076,4.138203,4.983168,-0.13815488,3.09909,0.13829154,-1.4705153,1.2421364,0.44645095,-1.6390946,-1.6903808,2.3240137,-1.2948892,0.024140868,-2.9435117,2.4084516,2.6375632,-3.5278425,-3.2479424,-1.4434054,3.400751,5.4348555,3.222377,-2.0377717,-2.9933167,-0.058256894,-2.809943,-0.97576785,1.7003864,-9.643036,2.1884756,0.31157658,-0.97007084,-0.5978481,-4.2494993,-0.54399097,7.208623,1.1977746,-1.2122012,-1.0378906,-3.3833628,-0.22087681,-5.1707115,1.960451,1.2349439
76,-1.0431713,-0.9196942,-1.33075,-0.09557617,0.4283213,-2.3008764,-2.92324,-4.7398696,0.35689998,3.616955,0.41741344,1.9516768,-1.6965635,0.09015562,-0.20701815,-0.9559709,2.3557644,1.7543396,-1.3054975,-0.60504144,3.8204823,4.5725503,-0.44856033,2.8532183,0.5744264,-0.8661415,1.6761642,-0.3299383,-1.5593605,-1.2455132,2.4540565,-0.8660349,-0.16986018,-2.6237454,2.3065524,2.1760647,-3.862564,-3.245088,-1.3381232,2.4786766,5.140714,2.7375233,-1.9200069,-3.4551864,0.61617076,-2.2173002,-1.4820621,1.4848735,-8.729779,2.461378,0.2681692,-0.6973863,-0.6362692,-4.0137653,-0.43167368,6.7850604,1.4800807,-0.794874,-0.2800305,-3.6593115,-0.64037275,-5.2106724,1.8227413,0.7894106
80,0.3052044,-2.0606902,-1.161793,0.6867994,-0.06786199,0.5514475,-0.41687578,-0.3667243,0.695014,4.5546293,0.18238895,1.1875712,0.6330333,-3.089556,-0.91675574,1.2497256,2.6271734,1.1761935,0.82469237,-0.30178028,2.6074722,1.3045605,1.7141793,3.0475702,-2.3670137,0.07114203,2.7364604,-0.48589754,-2.7542725,-0.8898205,1.6231898,-2.882596,-2.851672,-1.8069992,-0.26507702,0.1763365,-2.367615,0.49600762,-0.9900736,2.975186,2.3759055,-1.2647505,-0.3024262,-1.8886015,3.3664124,-1.9301702,-2.6355298,-1.1056334,-3.2933822,2.6429892,-1.5182619,0.4965269,1.7120233,-1.5533159,0.81307787,4.5449286,3.0145032,2.7459738,-2.1105661,-3.6377845,-1.6607751,-4.3809686,4.238201,1.3327944
89,1.6554482,0.41564903,-2.550485,-1.5089056,0.22881003,-0.21130684,-3.366201,-2.260884,0.46465224,3.2153163,-0.9476902,3.2939918,-1.2246639,-1.5623951,-0.29949078,1.0461391,-0.31802073,2.3452654,-1.8223472,-0.94417155,1.8197185,2.583654,0.32408014,-0.56222415,-2.0685601,-0.9485076,2.0715773,-0.8228226,-3.0179954,0.18616854,1.2710689,0.71748435,-2.3189313,-1.9912615,3.7230878,1.8859812,-6.653578,-2.7480018,-2.5471482,-2.1533375,5.021494,3.4669204,-3.298924,-2.4940739,2.316458,-3.0546014,-3.256206,4.560122,-5.5247135,2.3764033,-0.8405278,1.1411113,-2.0012355,-6.4659367,-2.2068222,5.1188507,2.3853228,-2.3844335,-0.21952386,-3.2517564,-1.899879,-4.925299,0.7500351,-1.8658359
102,-0.3353157,-2.9684215,-1.3747504,0.059491895,1.4079838,-0.09109782,-3.5302067,-2.058959,-0.6795919,5.8721185,-0.3822118,-0.4228174,0.022833452,-1.6700943,-0.2093464,1.2763306,2.3574607,0.6042079,-0.296871,0.64572054,4.190894,3.2960243,0.26518917,4.621552,1.1184001,-0.8118672,2.5390627,1.0105848,0.96781504,0.1514406,2.2014136,-2.408291,0.35393327,-3.285385,-0.023966009,1.3840245,-1.6681986,-0.26253545,-1.8022987,3.2750382,3.6379113,1.2992296,0.4486109,-1.723604,3.621887,0.27773312,-3.786224,-1.4403347,-6.264322,1.4748293,-0.009074658,-1.5944152,2.2213418,-0.49458867,0.4359641,2.695627,3.8559396,3.617893,-1.5937936,-1.4422365,-1.8288076,-4.6128163,2.7516518,0.7799677
104,-1.3326265,-0.430215,-1.5353487,1.943195,-1.4336638,-1.4342253,-1.9066901,-3.4864793,0.19612658,2.8728101,0.20164047,1.2550089,-0.19841447,-2.5513108,0.5309014,-0.112081006,4.221393,1.258897,-0.6633813,-1.4187769,4.7419524,2.0328486,0.19826701,2.627765,1.3326585,0.48945194,1.8954195,0.57974756,-1.6794262,-2.1066442,1.3571972,-1.915626,-0.16163877,-1.1183888,0.7090849,1.5292915,-1.4001638,0.056258332,-2.5385275,1.7964113,3.0473132,0.76763135,0.46339846,-1.5556327,1.7733865,-0.5406203,-3.8372118,-1.4789597,-6.191416,1.0273894,-0.15811688,-0.20826446,0.19711967,-2.2369742,-0.22415438,4.2202554,3.1510549,2.4718757,0.34969056,-3.2477677,-1.4413376,-4.756399,1.2780849,-0.22289453
179,-1.3490483,-2.6149952,-1.4184625,1.0154588,0.28318733,-0.25796157,-3.149425,-3.5577536,-0.8352772,5.308727,-0.74232924,0.083944425,0.93694043,-1.336549,-0.70359325,0.5019329,3.3851314,1.2200639,-0.5145416,-0.4549858,4.4675384,3.8079712,1.4161351,5.6149015,1.1824837,-0.3655203,1.951508,1.5265126,1.4011973,-0.75762695,2.0709682,-2.2065065,1.430605,-3.0134046,0.43770656,3.2016609,-1.3091401,-0.83201367,-2.252618,4.7402635,3.107572,1.536105,1.9381919,-0.7033822,2.0771434,-0.20317844,-2.9581714,-2.4825299,-7.5925107,0.9285162,0.25941437,-0.5182437,2.078154,-0.79031396,0.02155528,3.4053857,3.6874955,3.5559294,-1.7020277,-1.3968467,-1.8442982,-6.2779956,2.2165952,-0.9041809
