Muscle-Skeletal,396
WholeBlood,337
Skin-SunExposed(Lowerleg),324
Adipose-Subcutaneous,318
Lung,288
Artery-Tibial,281
Thyroid,279
Nerve-Tibial,278
Esophagus-Mucosa,273
Cells-Transformedfibroblasts,256
Esophagus-Muscularis,245
Skin-NotSunExposed(Suprapubic),233
Artery-Aorta,207
Heart-LeftVentricle,202
Adipose-Visceral(Omentum),197
Breast-MammaryTissue,179
Stomach,175
Heart-AtrialAppendage,175
Colon-Transverse,167
Pancreas,167
Testis,165
Colon-Sigmoid,141
Esophagus-GastroesophagealJunction,137
AdrenalGland,128
Brain-Cerebellum,119
Artery-Coronary,118
Liver,110
Brain-Caudate(basalganglia),109
Cells-EBV-transformedlymphocytes,107
Pituitary,107
Brain-Cortex,105
Brain-Nucleusaccumbens(basalganglia),104
Brain-FrontalCortex(BA9),102
Prostate,100
Spleen,100
Brain-CerebellarHemisphere,97
SmallIntestine-TerminalIleum,92
Ovary,88
Vagina,85
Brain-Hippocampus,84
Brain-Anteriorcingulatecortex(BA24),83
Brain-Hypothalamus,82
Brain-Putamen(basalganglia),81
Uterus,78
Cells-Leukemiacellline(CML),70
Brain-Amygdala,69
Brain-Spinalcord(cervicalc-1),60
Brain-Substantianigra,57
MinorSalivaryGland,55
Kidney-Cortex,28
Bladder,9
Cervix-Ectocervix,6
FallopianTube,5
Cervix-Endocervix,4
