,0
0,Cells-EBV-transformedlymphocytes
1,Artery-Tibial
2,Brain-Hippocampus
3,Thyroid
4,Pancreas
5,Artery-Tibial
6,Muscle-Skeletal
7,Lung
8,Skin-NotSunExposed(Suprapubic)
9,Muscle-Skeletal
10,Colon-Transverse
11,Nerve-Tibial
12,Nerve-Tibial
13,Skin-SunExposed(Lowerleg)
14,Nerve-Tibial
15,Adipose-Subcutaneous
16,WholeBlood
17,Ovary
18,WholeBlood
19,Thyroid
20,Heart-LeftVentricle
21,Lung
22,Muscle-Skeletal
23,Skin-SunExposed(Lowerleg)
24,Skin-SunExposed(Lowerleg)
25,Breast-MammaryTissue
26,Artery-Coronary
27,WholeBlood
28,Lung
29,Pituitary
30,Testis
31,Artery-Tibial
32,Lung
33,Pituitary
34,Heart-LeftVentricle
35,Artery-Aorta
36,Testis
37,Vagina
38,Heart-LeftVentricle
39,Lung
40,Cells-EBV-transformedlymphocytes
41,Artery-Coronary
42,Esophagus-Muscularis
43,WholeBlood
44,Colon-Sigmoid
45,Artery-Tibial
46,Esophagus-GastroesophagealJunction
47,Cells-EBV-transformedlymphocytes
48,SmallIntestine-TerminalIleum
49,Esophagus-Muscularis
50,Brain-Cerebellum
51,Thyroid
52,Muscle-Skeletal
53,Ovary
54,Heart-LeftVentricle
55,Heart-AtrialAppendage
56,Spleen
57,Pituitary
58,Brain-Cerebellum
59,Colon-Transverse
60,Heart-LeftVentricle
61,AdrenalGland
62,Stomach
63,Lung
64,Adipose-Visceral(Omentum)
65,Esophagus-Mucosa
66,Nerve-Tibial
67,Adipose-Visceral(Omentum)
68,Pancreas
69,Testis
70,Cells-Transformedfibroblasts
71,Artery-Tibial
72,Uterus
73,Brain-Nucleusaccumbens(basalganglia)
74,Colon-Transverse
75,Liver
76,WholeBlood
77,Artery-Aorta
78,Thyroid
79,Muscle-Skeletal
80,WholeBlood
81,Artery-Tibial
82,Heart-LeftVentricle
83,Stomach
84,Brain-Cortex
85,Esophagus-Muscularis
86,Esophagus-Muscularis
87,Muscle-Skeletal
88,Heart-LeftVentricle
89,WholeBlood
90,Vagina
91,Pancreas
92,Breast-MammaryTissue
93,Brain-Cortex
94,Brain-Spinalcord(cervicalc-1)
95,Artery-Tibial
96,Pancreas
97,Esophagus-Muscularis
98,Adipose-Visceral(Omentum)
99,Muscle-Skeletal
100,Muscle-Skeletal
101,Brain-FrontalCortex(BA9)
102,WholeBlood
103,Adipose-Subcutaneous
104,WholeBlood
105,Thyroid
106,Adipose-Subcutaneous
