layer,bn,coefficient_of_correlation
Encoder_0,yes,0.4698
Encoder_0,yes,0
Encoder_0,yes,0.5487
Encoder_0,yes,0.5914
Encoder_0,yes,0
Encoder_0,yes,0.2652
Encoder_0,yes,0.3092
Encoder_0,yes,0
Encoder_0,yes,0.1005
Encoder_0,yes,0.3086
Encoder_0,yes,-0.1261
Encoder_0,yes,-0.3342
Encoder_0,yes,0
Encoder_0,yes,0.0681
Encoder_0,yes,0.1186
Encoder_0,yes,0.1773
Encoder_0,yes,0.6835
Encoder_0,yes,0.3649
Encoder_0,yes,0.1542
Encoder_0,yes,0
Encoder_0,yes,0
Encoder_0,yes,0
Encoder_0,yes,0.128
Encoder_0,yes,0.0315
Encoder_0,yes,0.2908
Encoder_0,yes,0.226
Encoder_0,yes,0
Encoder_0,yes,0
Encoder_0,yes,0.4776
Encoder_0,yes,0.1465
Encoder_0,yes,0.2169
Encoder_0,yes,0.5317
Encoder_0,yes,0.1572
Encoder_0,yes,0.2251
Encoder_0,yes,0.3679
Encoder_0,yes,0.2221
Encoder_0,yes,0.5105
Encoder_0,yes,0
Encoder_0,yes,0.1065
Encoder_0,yes,0.6868
Encoder_0,yes,0.1747
Encoder_0,yes,0.4729
Encoder_0,yes,0.3259
Encoder_0,yes,0.3578
Encoder_0,yes,0.4736
Encoder_0,yes,0.1029
Encoder_0,yes,0.34
Encoder_0,yes,-0.0198
Encoder_0,yes,0.3954
Encoder_0,yes,0
Encoder_0,yes,0.8198
Encoder_0,yes,0.0516
Encoder_0,yes,0.35
Encoder_0,yes,0.0487
Encoder_0,yes,0.4129
Encoder_0,yes,0.2118
Encoder_0,yes,0.2272
Encoder_0,yes,-0.2
Encoder_0,yes,0.596
Encoder_0,yes,0.5745
Encoder_0,yes,0.1001
Encoder_0,yes,0.3438
Encoder_0,yes,0.2485
Encoder_0,yes,-0.0289
Encoder_0,yes,0.7011
Encoder_0,yes,0.1119
Encoder_0,yes,0
Encoder_0,yes,0.5608
Encoder_0,yes,0.2695
Encoder_0,yes,0.1045
Encoder_0,yes,0.3296
Encoder_0,yes,0.2528
Encoder_0,yes,0.0283
Encoder_0,yes,0.3249
Encoder_0,yes,0.6859
Encoder_0,yes,0.5966
Encoder_0,yes,0
Encoder_0,yes,0.1814
Encoder_0,yes,0.3212
Encoder_0,yes,0.6041
Encoder_0,yes,0.3682
Encoder_0,yes,-0.0038
Encoder_0,yes,0
Encoder_0,yes,0
Encoder_0,yes,0
Encoder_0,yes,0.3423
Encoder_0,yes,0
Encoder_0,yes,0
Encoder_0,yes,0
Encoder_0,yes,0.182
Encoder_0,yes,0.2207
Encoder_0,yes,0
Encoder_0,yes,0.3906
Encoder_0,yes,-0.2362
Encoder_0,yes,0.2537
Encoder_0,yes,0.3625
Encoder_0,yes,0
Encoder_0,yes,0.3438
Encoder_0,yes,0.192
Encoder_0,yes,0.5142
Encoder_0,yes,0
Encoder_0,yes,0.5761
