activation,bn_position,model_num,neuron_idx,correlation
LeakyReLU,before_bn,1,0,0.6932
LeakyReLU,before_bn,1,1,0.5682
LeakyReLU,before_bn,1,2,0.76
LeakyReLU,before_bn,1,3,0.7043
LeakyReLU,before_bn,1,4,0.7589
LeakyReLU,before_bn,1,5,0.7169
LeakyReLU,before_bn,1,6,0.6511
LeakyReLU,before_bn,1,7,0.5182
LeakyReLU,before_bn,1,8,0.7262
LeakyReLU,before_bn,1,9,0.7187
LeakyReLU,before_bn,1,10,0.7608
LeakyReLU,before_bn,1,11,0.8498
LeakyReLU,before_bn,1,12,0.7677
LeakyReLU,before_bn,1,13,0.4001
LeakyReLU,before_bn,1,14,0.6793
LeakyReLU,before_bn,1,15,0.4681
LeakyReLU,before_bn,1,16,0.614
LeakyReLU,before_bn,1,17,0.6077
LeakyReLU,before_bn,1,18,0.8354
LeakyReLU,before_bn,1,19,0.7022
LeakyReLU,before_bn,1,20,0.6391
LeakyReLU,before_bn,1,21,0.7619
LeakyReLU,before_bn,1,22,0.6093
LeakyReLU,before_bn,1,23,0.658
LeakyReLU,before_bn,1,24,0.7141
LeakyReLU,before_bn,1,25,0.7335
LeakyReLU,before_bn,1,26,0.7014
LeakyReLU,before_bn,1,27,0.5198
LeakyReLU,before_bn,1,28,0.6746
LeakyReLU,before_bn,1,29,0.7157
LeakyReLU,before_bn,1,30,0.6601
LeakyReLU,before_bn,1,31,0.7795
LeakyReLU,before_bn,1,32,0.661
LeakyReLU,before_bn,1,33,0.708
LeakyReLU,before_bn,1,34,0.8214
LeakyReLU,before_bn,1,35,0.6662
LeakyReLU,before_bn,1,36,0.8135
LeakyReLU,before_bn,1,37,0.8309
LeakyReLU,before_bn,1,38,0.7861
LeakyReLU,before_bn,1,39,0.515
LeakyReLU,before_bn,1,40,0.8312
LeakyReLU,before_bn,1,41,0.6807
LeakyReLU,before_bn,1,42,0.6416
LeakyReLU,before_bn,1,43,0.6309
LeakyReLU,before_bn,1,44,0.6886
LeakyReLU,before_bn,1,45,0.8005
LeakyReLU,before_bn,1,46,0.7174
LeakyReLU,before_bn,1,47,0.7363
LeakyReLU,before_bn,1,48,0.6509
LeakyReLU,before_bn,1,49,0.6287
LeakyReLU,before_bn,1,50,0.8197
LeakyReLU,before_bn,1,51,0.4772
LeakyReLU,before_bn,1,52,0.7281
LeakyReLU,before_bn,1,53,0.5446
LeakyReLU,before_bn,1,54,0.5474
LeakyReLU,before_bn,1,55,0.6906
LeakyReLU,before_bn,1,56,0.6748
LeakyReLU,before_bn,1,57,0.6644
LeakyReLU,before_bn,1,58,0.6519
LeakyReLU,before_bn,1,59,0.6314
LeakyReLU,before_bn,1,60,0.6363
LeakyReLU,before_bn,1,61,0.7367
LeakyReLU,before_bn,1,62,0.6366
LeakyReLU,before_bn,1,63,0.699
LeakyReLU,before_bn,2,0,0.5993
LeakyReLU,before_bn,2,1,0.7776
LeakyReLU,before_bn,2,2,0.7541
LeakyReLU,before_bn,2,3,0.6832
LeakyReLU,before_bn,2,4,0.5622
LeakyReLU,before_bn,2,5,0.7924
