model_type,model_id,layer_name,layer_type,layer_index,neuron_position,correlation_coef
large,model_1,Encoder_0,Encoder,0,0,0.4238
large,model_1,Encoder_0,Encoder,0,1,NA
large,model_1,Encoder_0,Encoder,0,2,0.5623
large,model_1,Encoder_0,Encoder,0,3,0.6042
large,model_1,Encoder_0,Encoder,0,4,NA
large,model_1,Encoder_0,Encoder,0,5,0.089
large,model_1,Encoder_0,Encoder,0,6,0.3113
large,model_1,Encoder_0,Encoder,0,7,NA
large,model_1,Encoder_0,Encoder,0,8,-0.1417
large,model_1,Encoder_0,Encoder,0,9,0.1242
large,model_1,Encoder_0,Encoder,0,10,-0.0704
large,model_1,Encoder_0,Encoder,0,11,-0.6291
large,model_1,Encoder_0,Encoder,0,12,NA
large,model_1,Encoder_0,Encoder,0,13,-0.1009
large,model_1,Encoder_0,Encoder,0,14,-0.0302
large,model_1,Encoder_0,Encoder,0,15,0.2445
large,model_1,Encoder_0,Encoder,0,16,0.6871
large,model_1,Encoder_0,Encoder,0,17,0.3323
large,model_1,Encoder_0,Encoder,0,18,0.2427
large,model_1,Encoder_0,Encoder,0,19,NA
large,model_1,Encoder_0,Encoder,0,20,NA
large,model_1,Encoder_0,Encoder,0,21,NA
large,model_1,Encoder_0,Encoder,0,22,0.2255
large,model_1,Encoder_0,Encoder,0,23,-0.0602
large,model_1,Encoder_0,Encoder,0,24,0.0798
large,model_1,Encoder_0,Encoder,0,25,0.0258
large,model_1,Encoder_0,Encoder,0,26,NA
large,model_1,Encoder_0,Encoder,0,27,NA
large,model_1,Encoder_0,Encoder,0,28,0.4258
large,model_1,Encoder_0,Encoder,0,29,0.1378
large,model_1,Encoder_0,Encoder,0,30,0.1614
large,model_1,Encoder_0,Encoder,0,31,0.5342
large,model_1,Encoder_0,Encoder,0,32,0.1429
large,model_1,Encoder_0,Encoder,0,33,0.3586
large,model_1,Encoder_0,Encoder,0,34,0.2935
large,model_1,Encoder_0,Encoder,0,35,0.2439
large,model_1,Encoder_0,Encoder,0,36,0.3019
large,model_1,Encoder_0,Encoder,0,37,NA
large,model_1,Encoder_0,Encoder,0,38,-0.0541
large,model_1,Encoder_0,Encoder,0,39,0.6217
large,model_1,Encoder_0,Encoder,0,40,0.1467
large,model_1,Encoder_0,Encoder,0,41,0.1444
large,model_1,Encoder_0,Encoder,0,42,0.2264
large,model_1,Encoder_0,Encoder,0,43,0.3028
large,model_1,Encoder_0,Encoder,0,44,0.1667
large,model_1,Encoder_0,Encoder,0,45,-0.013
large,model_1,Encoder_0,Encoder,0,46,-0.2355
large,model_1,Encoder_0,Encoder,0,47,-0.1912
large,model_1,Encoder_0,Encoder,0,48,-0.1338
large,model_1,Encoder_0,Encoder,0,49,NA
large,model_1,Encoder_0,Encoder,0,50,0.7911
large,model_1,Encoder_0,Encoder,0,51,0.1149
large,model_1,Encoder_0,Encoder,0,52,0.2984
large,model_1,Encoder_0,Encoder,0,53,-0.091
large,model_1,Encoder_0,Encoder,0,54,0.1494
large,model_1,Encoder_0,Encoder,0,55,0.0182
large,model_1,Encoder_0,Encoder,0,56,0.1435
large,model_1,Encoder_0,Encoder,0,57,-0.333
large,model_1,Encoder_0,Encoder,0,58,0.6718
large,model_1,Encoder_0,Encoder,0,59,0.1945
large,model_1,Encoder_0,Encoder,0,60,0.155
large,model_1,Encoder_0,Encoder,0,61,0.3217
large,model_1,Encoder_0,Encoder,0,62,0.214
large,model_1,Encoder_0,Encoder,0,63,-0.2852
large,model_1,Encoder_4,Encoder,4,0,-0.1415
large,model_1,Encoder_4,Encoder,4,1,0.1655
large,model_1,Encoder_4,Encoder,4,2,0.2691
large,model_1,Encoder_4,Encoder,4,3,0.6402
large,model_1,Encoder_4,Encoder,4,4,0.2194
large,model_1,Encoder_4,Encoder,4,5,0.1752
large,model_1,Encoder_4,Encoder,4,6,0.0662
large,model_1,Encoder_4,Encoder,4,7,0.2182
large,model_1,Encoder_4,Encoder,4,8,0.1826
large,model_1,Encoder_4,Encoder,4,9,-0.0404
large,model_1,Encoder_4,Encoder,4,10,-0.0826
large,model_1,Encoder_4,Encoder,4,11,0.605
large,model_1,Encoder_4,Encoder,4,12,0.3233
large,model_1,Encoder_4,Encoder,4,13,0.5051
large,model_1,Encoder_4,Encoder,4,14,0.2771
large,model_1,Encoder_4,Encoder,4,15,-0.0615
large,model_1,Encoder_4,Encoder,4,16,0.2046
large,model_1,Encoder_4,Encoder,4,17,0.2913
large,model_1,Encoder_4,Encoder,4,18,0.1835
large,model_1,Encoder_4,Encoder,4,19,0.1816
large,model_1,Encoder_4,Encoder,4,20,0.8174
large,model_1,Encoder_4,Encoder,4,21,0.7047
large,model_1,Encoder_4,Encoder,4,22,0.3903
large,model_1,Encoder_4,Encoder,4,23,0.4116
large,model_1,Encoder_4,Encoder,4,24,0.163
large,model_1,Encoder_4,Encoder,4,25,0.4913
large,model_1,Encoder_4,Encoder,4,26,0.2029
large,model_1,Encoder_4,Encoder,4,27,-0.2075
large,model_1,Encoder_4,Encoder,4,28,0.5492
large,model_1,Encoder_4,Encoder,4,29,0.0167
large,model_1,Encoder_4,Encoder,4,30,-0.0314
large,model_1,Encoder_4,Encoder,4,31,0.3161
large,model_1,Encoder_4,Encoder,4,32,0.3076
large,model_1,Encoder_4,Encoder,4,33,0.0065
large,model_1,Encoder_4,Encoder,4,34,0.2624
large,model_1,Encoder_4,Encoder,4,35,0.1754
large,model_1,Encoder_4,Encoder,4,36,0.3057
large,model_1,Encoder_4,Encoder,4,37,0.7543
large,model_1,Encoder_4,Encoder,4,38,0.3992
large,model_1,Encoder_4,Encoder,4,39,0.2653
large,model_1,Encoder_4,Encoder,4,40,0.5636
large,model_1,Encoder_4,Encoder,4,41,0.3938
large,model_1,Encoder_4,Encoder,4,42,0.0084
large,model_1,Encoder_4,Encoder,4,43,0.122
large,model_1,Encoder_4,Encoder,4,44,-0.0416
large,model_1,Encoder_4,Encoder,4,45,0.6987
large,model_1,Encoder_4,Encoder,4,46,0.3558
large,model_1,Encoder_4,Encoder,4,47,0.1363
large,model_1,Encoder_4,Encoder,4,48,0.4511
large,model_1,Encoder_4,Encoder,4,49,0.4828
large,model_1,Encoder_4,Encoder,4,50,-0.1357
large,model_1,Encoder_4,Encoder,4,51,0.5704
large,model_1,Encoder_4,Encoder,4,52,0.6556
large,model_1,Encoder_4,Encoder,4,53,-0.5122
large,model_1,Encoder_4,Encoder,4,54,0.5257
large,model_1,Encoder_4,Encoder,4,55,0.653
large,model_1,Encoder_4,Encoder,4,56,0.7331
large,model_1,Encoder_4,Encoder,4,57,0.0075
large,model_1,Encoder_4,Encoder,4,58,0.3345
large,model_1,Encoder_4,Encoder,4,59,0.4463
large,model_1,Encoder_4,Encoder,4,60,0.1102
large,model_1,Encoder_4,Encoder,4,61,0.1732
large,model_1,Encoder_4,Encoder,4,62,0.2231
large,model_1,Encoder_4,Encoder,4,63,0.4174
large,model_1,Encoder_8,Encoder,8,0,0.2293
large,model_1,Encoder_8,Encoder,8,1,0.2754
large,model_1,Encoder_8,Encoder,8,2,-0.0732
large,model_1,Encoder_8,Encoder,8,3,0.4545
large,model_1,Encoder_8,Encoder,8,4,0.6472
large,model_1,Encoder_8,Encoder,8,5,0.4422
large,model_1,Encoder_8,Encoder,8,6,0.5142
large,model_1,Encoder_8,Encoder,8,7,0.5115
large,model_1,Encoder_8,Encoder,8,8,0.6662
large,model_1,Encoder_8,Encoder,8,9,0.6867
large,model_1,Encoder_8,Encoder,8,10,0.3649
large,model_1,Encoder_8,Encoder,8,11,0.5647
large,model_1,Encoder_8,Encoder,8,12,0.5261
large,model_1,Encoder_8,Encoder,8,13,0.4362
large,model_1,Encoder_8,Encoder,8,14,0.2783
large,model_1,Encoder_8,Encoder,8,15,0.4324
large,model_1,Encoder_8,Encoder,8,16,0.5845
large,model_1,Encoder_8,Encoder,8,17,0.273
large,model_1,Encoder_8,Encoder,8,18,0.5277
large,model_1,Encoder_8,Encoder,8,19,0.7344
large,model_1,Encoder_8,Encoder,8,20,0.0916
large,model_1,Encoder_8,Encoder,8,21,0.5789
large,model_1,Encoder_8,Encoder,8,22,0.3106
large,model_1,Encoder_8,Encoder,8,23,0.4789
large,model_1,Encoder_8,Encoder,8,24,0.1005
large,model_1,Encoder_8,Encoder,8,25,0.5828
large,model_1,Encoder_8,Encoder,8,26,0.6111
large,model_1,Encoder_8,Encoder,8,27,0.2385
large,model_1,Encoder_8,Encoder,8,28,0.3084
large,model_1,Encoder_8,Encoder,8,29,-0.1655
large,model_1,Encoder_8,Encoder,8,30,0.1103
large,model_1,Encoder_8,Encoder,8,31,0.5959
large,model_1,Encoder_8,Encoder,8,32,0.4539
large,model_1,Encoder_8,Encoder,8,33,0.62
large,model_1,Encoder_8,Encoder,8,34,0.0178
large,model_1,Encoder_8,Encoder,8,35,0.0547
large,model_1,Encoder_8,Encoder,8,36,0.5001
large,model_1,Encoder_8,Encoder,8,37,0.1146
large,model_1,Encoder_8,Encoder,8,38,0.1577
large,model_1,Encoder_8,Encoder,8,39,0.481
large,model_1,Encoder_8,Encoder,8,40,0.2149
large,model_1,Encoder_8,Encoder,8,41,0.3117
large,model_1,Encoder_8,Encoder,8,42,0.173
large,model_1,Encoder_8,Encoder,8,43,0.5932
large,model_1,Encoder_8,Encoder,8,44,0.4959
large,model_1,Encoder_8,Encoder,8,45,0.6587
large,model_1,Encoder_8,Encoder,8,46,0.4114
large,model_1,Encoder_8,Encoder,8,47,0.2189
large,model_1,Encoder_8,Encoder,8,48,0.2151
large,model_1,Encoder_8,Encoder,8,49,-0.0558
large,model_1,Encoder_8,Encoder,8,50,0.2884
large,model_1,Encoder_8,Encoder,8,51,0.4804
large,model_1,Encoder_8,Encoder,8,52,0.6176
large,model_1,Encoder_8,Encoder,8,53,0.5304
large,model_1,Encoder_8,Encoder,8,54,0.295
large,model_1,Encoder_8,Encoder,8,55,0.5416
large,model_1,Encoder_8,Encoder,8,56,0.4774
large,model_1,Encoder_8,Encoder,8,57,0.4288
large,model_1,Encoder_8,Encoder,8,58,0.3107
large,model_1,Encoder_8,Encoder,8,59,0.5485
large,model_1,Encoder_8,Encoder,8,60,0.7866
large,model_1,Encoder_8,Encoder,8,61,0.5715
large,model_1,Encoder_8,Encoder,8,62,0.299
large,model_1,Encoder_8,Encoder,8,63,0.0239
large,model_1,Decoder_0,Decoder,0,0,0.453
large,model_1,Decoder_0,Decoder,0,1,-0.3645
large,model_1,Decoder_0,Decoder,0,2,0.881
large,model_1,Decoder_0,Decoder,0,3,0.4356
large,model_1,Decoder_0,Decoder,0,4,0.4144
large,model_1,Decoder_0,Decoder,0,5,0.6906
large,model_1,Decoder_0,Decoder,0,6,0.4989
large,model_1,Decoder_0,Decoder,0,7,0.7462
large,model_1,Decoder_0,Decoder,0,8,0.414
large,model_1,Decoder_0,Decoder,0,9,0.6404
large,model_1,Decoder_0,Decoder,0,10,0.7942
large,model_1,Decoder_0,Decoder,0,11,0.6242
large,model_1,Decoder_0,Decoder,0,12,0.6498
large,model_1,Decoder_0,Decoder,0,13,0.7581
large,model_1,Decoder_0,Decoder,0,14,0.5731
large,model_1,Decoder_0,Decoder,0,15,0.7255
large,model_1,Decoder_0,Decoder,0,16,0.6961
large,model_1,Decoder_0,Decoder,0,17,0.742
large,model_1,Decoder_0,Decoder,0,18,0.735
large,model_1,Decoder_0,Decoder,0,19,-0.3728
large,model_1,Decoder_0,Decoder,0,20,0.5372
large,model_1,Decoder_0,Decoder,0,21,0.7113
large,model_1,Decoder_0,Decoder,0,22,0.5072
large,model_1,Decoder_0,Decoder,0,23,0.699
large,model_1,Decoder_0,Decoder,0,24,0.7711
large,model_1,Decoder_0,Decoder,0,25,0.7425
large,model_1,Decoder_0,Decoder,0,26,0.6696
large,model_1,Decoder_0,Decoder,0,27,0.5648
large,model_1,Decoder_0,Decoder,0,28,0.718
large,model_1,Decoder_0,Decoder,0,29,0.6198
large,model_1,Decoder_0,Decoder,0,30,0.5772
large,model_1,Decoder_0,Decoder,0,31,0.7102
large,model_1,Decoder_0,Decoder,0,32,0.1437
large,model_1,Decoder_0,Decoder,0,33,0.8314
large,model_1,Decoder_0,Decoder,0,34,0.5901
large,model_1,Decoder_0,Decoder,0,35,0.654
large,model_1,Decoder_0,Decoder,0,36,0.6346
large,model_1,Decoder_0,Decoder,0,37,0.8645
large,model_1,Decoder_0,Decoder,0,38,0.55
large,model_1,Decoder_0,Decoder,0,39,-0.5055
large,model_1,Decoder_0,Decoder,0,40,0.6252
large,model_1,Decoder_0,Decoder,0,41,0.8275
large,model_1,Decoder_0,Decoder,0,42,0.549
large,model_1,Decoder_0,Decoder,0,43,0.8243
large,model_1,Decoder_0,Decoder,0,44,0.3922
large,model_1,Decoder_0,Decoder,0,45,0.7361
large,model_1,Decoder_0,Decoder,0,46,0.8127
large,model_1,Decoder_0,Decoder,0,47,-0.2923
large,model_1,Decoder_0,Decoder,0,48,0.5324
large,model_1,Decoder_0,Decoder,0,49,0.3993
